Date,Ret,Universe,Model
2008-10-31,,ALL,RF_longonly_0bps
2008-11-30,,ALL,RF_longonly_0bps
2008-12-31,,ALL,RF_longonly_0bps
2009-01-31,,ALL,RF_longonly_0bps
2009-02-28,,ALL,RF_longonly_0bps
2009-03-31,,ALL,RF_longonly_0bps
2009-04-30,,ALL,RF_longonly_0bps
2009-05-31,,ALL,RF_longonly_0bps
2009-06-30,,ALL,RF_longonly_0bps
2009-07-31,,ALL,RF_longonly_0bps
2009-08-31,,ALL,RF_longonly_0bps
2009-09-30,,ALL,RF_longonly_0bps
2009-10-31,0.05550803772718245,ALL,RF_longonly_0bps
2009-11-30,0.00528011527915137,ALL,RF_longonly_0bps
2009-12-31,-0.057185704086056256,ALL,RF_longonly_0bps
2010-01-31,0.022141008191876466,ALL,RF_longonly_0bps
2010-02-28,0.06376037200023797,ALL,RF_longonly_0bps
2010-03-31,0.017470641089359338,ALL,RF_longonly_0bps
2010-04-30,-0.07998779044194751,ALL,RF_longonly_0bps
2010-05-31,-0.03464230365308205,ALL,RF_longonly_0bps
2010-06-30,0.08318030663200168,ALL,RF_longonly_0bps
2010-07-31,-0.03877647248979314,ALL,RF_longonly_0bps
2010-08-31,0.10110939558296986,ALL,RF_longonly_0bps
2010-09-30,0.04361488912893488,ALL,RF_longonly_0bps
2010-10-31,-0.04267842757251915,ALL,RF_longonly_0bps
2010-11-30,0.07063277352451983,ALL,RF_longonly_0bps
2010-12-31,0.02597779724523706,ALL,RF_longonly_0bps
2011-01-31,0.028639326112753563,ALL,RF_longonly_0bps
2011-02-28,0.004952448164739513,ALL,RF_longonly_0bps
2011-03-31,0.06647875940788041,ALL,RF_longonly_0bps
2011-04-30,-0.03462991419556417,ALL,RF_longonly_0bps
2011-05-31,-0.020662163490611885,ALL,RF_longonly_0bps
2011-06-30,-0.028418601439486386,ALL,RF_longonly_0bps
2011-07-31,-0.06253301526442882,ALL,RF_longonly_0bps
2011-08-31,-0.10447686779469927,ALL,RF_longonly_0bps
2011-09-30,0.11604795248974181,ALL,RF_longonly_0bps
2011-10-31,-0.02004874264151076,ALL,RF_longonly_0bps
2011-11-30,-0.008452640513253158,ALL,RF_longonly_0bps
2011-12-31,0.059249133866711635,ALL,RF_longonly_0bps
2012-01-31,0.03822124067057559,ALL,RF_longonly_0bps
2012-02-29,0.01574023151505107,ALL,RF_longonly_0bps
2012-03-31,-0.011048956678173889,ALL,RF_longonly_0bps
2012-04-30,-0.08417784090669392,ALL,RF_longonly_0bps
2012-05-31,0.050629354756514776,ALL,RF_longonly_0bps
2012-06-30,0.007042588427791698,ALL,RF_longonly_0bps
2012-07-31,0.03532723351375385,ALL,RF_longonly_0bps
2012-08-31,0.025188270102929147,ALL,RF_longonly_0bps
2012-09-30,-0.012583989659710589,ALL,RF_longonly_0bps
2012-10-31,0.019964357589087534,ALL,RF_longonly_0bps
2012-11-30,0.03093922578715473,ALL,RF_longonly_0bps
2012-12-31,0.043921963078291444,ALL,RF_longonly_0bps
2013-01-31,-0.02261796801256181,ALL,RF_longonly_0bps
2013-02-28,0.017393599920203603,ALL,RF_longonly_0bps
2013-03-31,0.026023982239015295,ALL,RF_longonly_0bps
2013-04-30,0.007096186053455572,ALL,RF_longonly_0bps
2013-05-31,-0.03156164273288636,ALL,RF_longonly_0bps
2013-06-30,0.06295552497879921,ALL,RF_longonly_0bps
2013-07-31,-0.01695352058251245,ALL,RF_longonly_0bps
2013-08-31,0.040014915593771974,ALL,RF_longonly_0bps
2013-09-30,0.037790822868212115,ALL,RF_longonly_0bps
2013-10-31,0.01979777982146641,ALL,RF_longonly_0bps
2013-11-30,0.017188975191787807,ALL,RF_longonly_0bps
2013-12-31,-0.02230631958350602,ALL,RF_longonly_0bps
2014-01-31,0.06444083747376908,ALL,RF_longonly_0bps
2014-02-28,-0.001739159671873065,ALL,RF_longonly_0bps
2014-03-31,8.674174753753354e-05,ALL,RF_longonly_0bps
2014-04-30,0.01187339499673886,ALL,RF_longonly_0bps
2014-05-31,0.01765617290368755,ALL,RF_longonly_0bps
2014-06-30,-0.030807922067009292,ALL,RF_longonly_0bps
2014-07-31,0.02663670674890319,ALL,RF_longonly_0bps
2014-08-31,-0.032790328732700685,ALL,RF_longonly_0bps
2014-09-30,0.010187621727725573,ALL,RF_longonly_0bps
2014-10-31,0.021770543352996715,ALL,RF_longonly_0bps
2014-11-30,-0.02400693730480197,ALL,RF_longonly_0bps
2014-12-31,-0.005552733640565379,ALL,RF_longonly_0bps
