Date,Ret,Universe,Model
2008-10-31,,C,RF_longonly_0bps
2008-11-30,,C,RF_longonly_0bps
2008-12-31,,C,RF_longonly_0bps
2009-01-31,,C,RF_longonly_0bps
2009-02-28,,C,RF_longonly_0bps
2009-03-31,,C,RF_longonly_0bps
2009-04-30,,C,RF_longonly_0bps
2009-05-31,,C,RF_longonly_0bps
2009-06-30,,C,RF_longonly_0bps
2009-07-31,,C,RF_longonly_0bps
2009-08-31,,C,RF_longonly_0bps
2009-09-30,,C,RF_longonly_0bps
2009-10-31,0.12786501511752668,C,RF_longonly_0bps
2009-11-30,-0.07203389830508478,C,RF_longonly_0bps
2009-12-31,-0.012580374615599799,C,RF_longonly_0bps
2010-01-31,0.03274820687051738,C,RF_longonly_0bps
2010-02-28,-0.004386365713241358,C,RF_longonly_0bps
2010-03-31,0.04897336145612152,C,RF_longonly_0bps
2010-04-30,-0.035474468161785955,C,RF_longonly_0bps
2010-05-31,0.0013590904077802556,C,RF_longonly_0bps
2010-06-30,0.015595815941364657,C,RF_longonly_0bps
2010-07-31,-0.018962430597095858,C,RF_longonly_0bps
2010-08-31,0.07412568986523889,C,RF_longonly_0bps
2010-09-30,0.03144594789696001,C,RF_longonly_0bps
2010-10-31,0.013184581395390582,C,RF_longonly_0bps
2010-11-30,0.0676716784455445,C,RF_longonly_0bps
2010-12-31,-0.01290343830262771,C,RF_longonly_0bps
2011-01-31,0.04031319440673922,C,RF_longonly_0bps
2011-02-28,0.040610858154430184,C,RF_longonly_0bps
2011-03-31,0.06609590888518262,C,RF_longonly_0bps
2011-04-30,-0.05487094802229277,C,RF_longonly_0bps
2011-05-31,-0.051460682979120445,C,RF_longonly_0bps
2011-06-30,0.03171164676647898,C,RF_longonly_0bps
2011-07-31,0.007911593445540707,C,RF_longonly_0bps
2011-08-31,-0.12365012637088851,C,RF_longonly_0bps
2011-09-30,0.08790959390295203,C,RF_longonly_0bps
2011-10-31,0.010165533322118716,C,RF_longonly_0bps
2011-11-30,-0.06926357035884544,C,RF_longonly_0bps
2011-12-31,0.014053721123227607,C,RF_longonly_0bps
2012-01-31,0.027446298596427228,C,RF_longonly_0bps
2012-02-29,-0.05292781072341094,C,RF_longonly_0bps
2012-03-31,0.0033823063635663214,C,RF_longonly_0bps
2012-04-30,-0.09758821214661495,C,RF_longonly_0bps
2012-05-31,0.03337706156822449,C,RF_longonly_0bps
2012-06-30,0.033280094401745314,C,RF_longonly_0bps
2012-07-31,0.04513764046998472,C,RF_longonly_0bps
2012-08-31,0.009828159080658871,C,RF_longonly_0bps
2012-09-30,-0.04337412566416523,C,RF_longonly_0bps
2012-10-31,0.004163877234692585,C,RF_longonly_0bps
2012-11-30,0.015706783276342326,C,RF_longonly_0bps
2012-12-31,0.03581141701527795,C,RF_longonly_0bps
2013-01-31,-0.032843665225736285,C,RF_longonly_0bps
2013-02-28,0.02693562365876343,C,RF_longonly_0bps
2013-03-31,0.012021501834545853,C,RF_longonly_0bps
2013-04-30,0.007478921769623864,C,RF_longonly_0bps
2013-05-31,-0.032651696134250355,C,RF_longonly_0bps
2013-06-30,0.07747369814192251,C,RF_longonly_0bps
2013-07-31,0.01883494487869048,C,RF_longonly_0bps
2013-08-31,-0.0026189322821301396,C,RF_longonly_0bps
2013-09-30,-0.0005451351570201352,C,RF_longonly_0bps
2013-10-31,0.003344448338305774,C,RF_longonly_0bps
2013-11-30,-0.004495193796548565,C,RF_longonly_0bps
2013-12-31,0.03692957635729994,C,RF_longonly_0bps
2014-01-31,0.09083923523286028,C,RF_longonly_0bps
2014-02-28,-0.021186404324035995,C,RF_longonly_0bps
2014-03-31,-0.0067543642105464576,C,RF_longonly_0bps
2014-04-30,-0.00669246640696612,C,RF_longonly_0bps
2014-05-31,0.04911098161886056,C,RF_longonly_0bps
2014-06-30,-0.08808386370469141,C,RF_longonly_0bps
2014-07-31,0.043654112080474476,C,RF_longonly_0bps
2014-08-31,-0.051604398136576246,C,RF_longonly_0bps
2014-09-30,-0.06786174869390046,C,RF_longonly_0bps
2014-10-31,-0.057835341802442035,C,RF_longonly_0bps
2014-11-30,-0.10498040800166081,C,RF_longonly_0bps
2014-12-31,-0.006983644510706665,C,RF_longonly_0bps
2015-01-31,0.046747904466352734,C,RF_longonly_0bps
2015-02-28,0.01472688802344075,C,RF_longonly_0bps
2015-03-31,0.049696079076818646,C,RF_longonly_0bps
2015-04-30,-0.033971847144694096,C,RF_longonly_0bps
2015-05-31,-0.03189760601900561,C,RF_longonly_0bps
2015-06-30,-0.09700708394647667,C,RF_longonly_0bps
2015-07-31,-0.05038683211295205,C,RF_longonly_0bps
2015-08-31,-0.0503649317779202,C,RF_longonly_0bps
2015-09-30,0.03009059777294492,C,RF_longonly_0bps
2015-10-31,-0.07763615745775797,C,RF_longonly_0bps
2015-11-30,-0.019829903995649368,C,RF_longonly_0bps
2015-12-31,-0.07042992525666686,C,RF_longonly_0bps
2016-01-31,-0.016852734834602135,C,RF_longonly_0bps
2016-02-29,0.03618788517521143,C,RF_longonly_0bps
2016-03-31,0.055572011513823696,C,RF_longonly_0bps
2016-04-30,-0.03924814604066058,C,RF_longonly_0bps
2016-05-31,0.05055664341255031,C,RF_longonly_0bps
2016-06-30,0.0032437691252324664,C,RF_longonly_0bps
2016-07-31,-0.01641369102476748,C,RF_longonly_0bps
2016-08-31,0.012941469799882763,C,RF_longonly_0bps
2016-09-30,-0.030246534672814976,C,RF_longonly_0bps
2016-10-31,-0.021036098237582075,C,RF_longonly_0bps
2016-11-30,0.01637134036308587,C,RF_longonly_0bps
2016-12-31,0.024025582672261746,C,RF_longonly_0bps
2017-01-31,0.002789238522204064,C,RF_longonly_0bps
2017-02-28,-0.01640274351757982,C,RF_longonly_0bps
2017-03-31,-0.010327444000537913,C,RF_longonly_0bps
2017-04-30,0.0022971932247277467,C,RF_longonly_0bps
2017-05-31,0.009061381999605671,C,RF_longonly_0bps
2017-06-30,0.02881327869635599,C,RF_longonly_0bps
2017-07-31,0.009240240088129197,C,RF_longonly_0bps
2017-08-31,-0.0101217422177547,C,RF_longonly_0bps
2017-09-30,0.025390513202672837,C,RF_longonly_0bps
2017-10-31,0.008777881970147748,C,RF_longonly_0bps
2017-11-30,0.03703861480687378,C,RF_longonly_0bps
2017-12-31,0.019400349721516753,C,RF_longonly_0bps
2018-01-31,-0.03690161502601371,C,RF_longonly_0bps
2018-02-28,0.008052722970762377,C,RF_longonly_0bps
2018-03-31,0.016951076561923007,C,RF_longonly_0bps
2018-04-30,0.01347774028464612,C,RF_longonly_0bps
2018-05-31,-0.038273017362331366,C,RF_longonly_0bps
2018-06-30,-0.025143125931666826,C,RF_longonly_0bps
2018-07-31,-0.02903636091426159,C,RF_longonly_0bps
2018-08-31,0.013681172794559304,C,RF_longonly_0bps
2018-09-30,-0.05595687925423827,C,RF_longonly_0bps
2018-10-31,-0.06603650660358636,C,RF_longonly_0bps
2018-11-30,-0.05201240849376852,C,RF_longonly_0bps
2018-12-31,0.06387285672617063,C,RF_longonly_0bps
2019-01-31,0.0690848510386093,C,RF_longonly_0bps
2019-02-28,0.0002628747986235984,C,RF_longonly_0bps
2019-03-31,0.07693976052326452,C,RF_longonly_0bps
2019-04-30,0.09249247758039561,C,RF_longonly_0bps
2019-05-31,0.09218868238087866,C,RF_longonly_0bps
2019-06-30,-0.02459251369210875,C,RF_longonly_0bps
2019-07-31,-0.01672820278738324,C,RF_longonly_0bps
2019-08-31,-0.020111329572390813,C,RF_longonly_0bps
2019-09-30,0.012887499096670524,C,RF_longonly_0bps
2019-10-31,-0.038651189330669806,C,RF_longonly_0bps
2019-11-30,0.03710659459052272,C,RF_longonly_0bps
2019-12-31,0.044927101827246976,C,RF_longonly_0bps
2020-01-31,0.0235788487308527,C,RF_longonly_0bps
2020-02-29,-0.21477326600480925,C,RF_longonly_0bps
2020-03-31,0.12812739211130264,C,RF_longonly_0bps
2020-04-30,0.07400985771835093,C,RF_longonly_0bps
2020-05-31,0.038076493317410566,C,RF_longonly_0bps
2020-06-30,0.17546747783009753,C,RF_longonly_0bps
2020-07-31,0.1377855225824048,C,RF_longonly_0bps
2020-08-31,-0.007673685260793509,C,RF_longonly_0bps
