,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-06-30,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-07-31,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-08-31,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-09-30,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-10-31,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-11-30,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2010-12-31,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2011-01-31,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2011-02-28,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2011-03-31,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333
2011-04-30,0.0,0.0,0.0,0.33333333333333337,0.5000000000000001,0.0,0.0,0.0,0.16666666666666669
2011-05-31,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2011-06-30,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2011-07-31,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2011-08-31,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2011-09-30,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2011-10-31,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2011-11-30,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.1,0.3
2011-12-31,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.1,0.3
2012-01-31,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2
2012-02-29,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.1,0.3
2012-03-31,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.4
2012-04-30,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.4
2012-05-31,0.0,0.0,0.0,0.26666666666666666,0.3333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.2
2012-06-30,0.0,0.0,0.0,0.26666666666666666,0.3333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.2
2012-07-31,0.0,0.0,0.0,0.2380952380952381,0.28571428571428575,0.14285714285714288,0.04761904761904762,0.09523809523809525,0.1904761904761905
2012-08-31,0.0,0.0,0.0,0.23809523809523814,0.28571428571428575,0.14285714285714288,0.09523809523809526,0.04761904761904763,0.19047619047619052
2012-09-30,0.0,0.0,0.0,0.2380952380952381,0.28571428571428575,0.14285714285714288,0.04761904761904762,0.09523809523809525,0.1904761904761905
2012-10-31,0.0,0.0,0.0,0.2380952380952381,0.28571428571428575,0.14285714285714288,0.04761904761904762,0.09523809523809525,0.1904761904761905
2012-11-30,0.0,0.0,0.0,0.2380952380952381,0.28571428571428575,0.14285714285714288,0.04761904761904762,0.09523809523809525,0.1904761904761905
2012-12-31,0.0,0.0,0.0,0.23809523809523814,0.28571428571428575,0.14285714285714288,0.09523809523809526,0.04761904761904763,0.19047619047619052
2013-01-31,0.0,0.0,0.0,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.23809523809523808
2013-02-28,0.0,0.0,0.0,0.19047619047619047,0.2857142857142857,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.23809523809523808
2013-03-31,0.0,0.0,0.0,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.23809523809523808
2013-04-30,0.0,0.0,0.0,0.28571428571428575,0.23809523809523814,0.14285714285714288,0.09523809523809526,0.04761904761904763,0.19047619047619052
2013-05-31,0.0,0.0,0.0,0.23809523809523808,0.14285714285714285,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.19047619047619047
2013-06-30,0.0,0.0,0.0,0.2380952380952381,0.09523809523809525,0.04761904761904762,0.1904761904761905,0.14285714285714288,0.28571428571428575
2013-07-31,0.0,0.0,0.0,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.2857142857142857
2013-08-31,0.0,0.0,0.0,0.2380952380952381,0.1904761904761905,0.09523809523809525,0.04761904761904762,0.14285714285714288,0.28571428571428575
2013-09-30,0.0,0.0,0.0,0.19047619047619047,0.14285714285714285,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.23809523809523808
2013-10-31,0.0,0.0,0.0,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.047619047619047616,0.23809523809523808
2013-11-30,0.0,0.0,0.0,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.2857142857142857,0.047619047619047616,0.19047619047619047
2013-12-31,0.0,0.0,0.0,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.23809523809523808
2014-01-31,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.14285714285714285,0.19047619047619047
2014-02-28,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.14285714285714285,0.19047619047619047
2014-03-31,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.23809523809523808,0.14285714285714285
2014-04-30,0.0,0.0,0.0,0.14285714285714285,0.09523809523809523,0.19047619047619047,0.2857142857142857,0.23809523809523808,0.047619047619047616
2014-05-31,0.0,0.0,0.0,0.14285714285714288,0.04761904761904762,0.2380952380952381,0.28571428571428575,0.09523809523809525,0.1904761904761905
2014-06-30,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.19047619047619047,0.14285714285714285
2014-07-31,0.0,0.0,0.0,0.14285714285714288,0.04761904761904762,0.2380952380952381,0.28571428571428575,0.1904761904761905,0.09523809523809525
2014-08-31,0.0,0.0,0.0,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.23809523809523808
2014-09-30,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.19047619047619047
2014-10-31,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.14285714285714285,0.19047619047619047
2014-11-30,0.0,0.0,0.0,0.23809523809523808,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.047619047619047616
2014-12-31,0.0,0.0,0.0,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.09523809523809523
2015-01-31,0.0,0.0,0.0,0.2380952380952381,0.28571428571428575,0.1904761904761905,0.14285714285714288,0.04761904761904762,0.09523809523809525
2015-02-28,0.0,0.0,0.0,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.09523809523809523
2015-03-31,0.0,0.0,0.0,0.14285714285714285,0.23809523809523808,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.047619047619047616
2015-04-30,0.0,0.0,0.0,0.09523809523809526,0.23809523809523814,0.19047619047619052,0.28571428571428575,0.04761904761904763,0.14285714285714288
2015-05-31,0.0,0.0,0.0,0.09523809523809523,0.2857142857142857,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.23809523809523808
2015-06-30,0.0,0.0,0.0,0.1904761904761905,0.28571428571428575,0.2380952380952381,0.14285714285714288,0.04761904761904762,0.09523809523809525
2015-07-31,0.0,0.0,0.0,0.14285714285714288,0.2380952380952381,0.1904761904761905,0.28571428571428575,0.04761904761904762,0.09523809523809525
2015-08-31,0.0,0.0,0.0,0.2380952380952381,0.28571428571428575,0.1904761904761905,0.14285714285714288,0.04761904761904762,0.09523809523809525
2015-09-30,0.0,0.0,0.0,0.23809523809523814,0.28571428571428575,0.19047619047619052,0.09523809523809526,0.04761904761904763,0.14285714285714288
2015-10-31,0.0,0.0,0.0,0.23809523809523814,0.28571428571428575,0.19047619047619052,0.09523809523809526,0.04761904761904763,0.14285714285714288
2015-11-30,0.0,0.0,0.0,0.23809523809523814,0.28571428571428575,0.14285714285714288,0.09523809523809526,0.04761904761904763,0.19047619047619052
2015-12-31,0.0,0.10714285714285714,0.0,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.25,0.03571428571428571,0.07142857142857142
2016-01-31,0.0,0.1785714285714286,0.0,0.21428571428571433,0.25000000000000006,0.14285714285714288,0.07142857142857144,0.10714285714285716,0.03571428571428572
2016-02-29,0.0,0.1785714285714286,0.0,0.21428571428571433,0.25000000000000006,0.14285714285714288,0.10714285714285716,0.03571428571428572,0.07142857142857144
2016-03-31,0.0,0.1785714285714286,0.0,0.21428571428571433,0.25000000000000006,0.14285714285714288,0.03571428571428572,0.10714285714285716,0.07142857142857144
2016-04-30,0.0,0.10714285714285715,0.0,0.1785714285714286,0.25000000000000006,0.2142857142857143,0.14285714285714288,0.03571428571428572,0.07142857142857144
2016-05-31,0.0,0.14285714285714288,0.0,0.2142857142857143,0.25000000000000006,0.10714285714285715,0.03571428571428572,0.07142857142857144,0.1785714285714286
2016-06-30,0.0,0.1785714285714286,0.0,0.07142857142857144,0.25000000000000006,0.2142857142857143,0.10714285714285715,0.14285714285714288,0.03571428571428572
2016-07-31,0.0,0.14285714285714285,0.0,0.10714285714285714,0.17857142857142858,0.21428571428571427,0.25,0.07142857142857142,0.03571428571428571
2016-08-31,0.0,0.14285714285714285,0.0,0.10714285714285714,0.21428571428571427,0.25,0.17857142857142858,0.03571428571428571,0.07142857142857142
2016-09-30,0.0,0.14285714285714285,0.0,0.10714285714285714,0.17857142857142858,0.25,0.21428571428571427,0.03571428571428571,0.07142857142857142
2016-10-31,0.0,0.14285714285714285,0.0,0.10714285714285714,0.25,0.21428571428571427,0.17857142857142858,0.07142857142857142,0.03571428571428571
2016-11-30,0.0,0.25000000000000006,0.0,0.10714285714285715,0.2142857142857143,0.14285714285714288,0.07142857142857144,0.1785714285714286,0.03571428571428572
2016-12-31,0.0,0.2142857142857143,0.0,0.14285714285714288,0.25000000000000006,0.1785714285714286,0.03571428571428572,0.07142857142857144,0.10714285714285715
2017-01-31,0.0,0.21428571428571433,0.0,0.1785714285714286,0.25000000000000006,0.10714285714285716,0.03571428571428572,0.07142857142857144,0.14285714285714288
2017-02-28,0.0,0.2142857142857143,0.0,0.14285714285714288,0.25000000000000006,0.10714285714285715,0.03571428571428572,0.07142857142857144,0.1785714285714286
2017-03-31,0.0,0.21428571428571433,0.0,0.1785714285714286,0.25000000000000006,0.14285714285714288,0.03571428571428572,0.10714285714285716,0.07142857142857144
2017-04-30,0.0,0.14285714285714288,0.0,0.1785714285714286,0.25000000000000006,0.2142857142857143,0.10714285714285715,0.03571428571428572,0.07142857142857144
2017-05-31,0.0,0.10714285714285714,0.0,0.14285714285714285,0.25,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.07142857142857142
2017-06-30,0.0,0.2142857142857143,0.0,0.14285714285714288,0.25000000000000006,0.10714285714285715,0.07142857142857144,0.1785714285714286,0.03571428571428572
2017-07-31,0.0,0.14285714285714288,0.0,0.1785714285714286,0.2142857142857143,0.07142857142857144,0.10714285714285715,0.03571428571428572,0.25000000000000006
2017-08-31,0.0,0.25000000000000006,0.0,0.14285714285714288,0.2142857142857143,0.10714285714285715,0.1785714285714286,0.03571428571428572,0.07142857142857144
