Date,Universe,Strategy,Ticker,Weight
2008-10-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2008-11-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2008-12-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-01-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-02-28,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-03-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-04-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-05-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-06-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-07-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-08-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-09-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,
2009-10-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,2.1433246451505884e-11
2009-11-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,1.711025737214363e-10
2009-12-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,8.777519095821155e-12
2010-01-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.1999999994741277
2010-02-28,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.1999999999181508
2010-03-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999990323009
2010-04-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.1999999984689117
2010-05-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999957982556
2010-06-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999987441724
2010-07-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999996439136
2010-08-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,5.5311049475546825e-11
2010-09-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,4.3871091220059656e-11
2010-10-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.920239562103511e-11
2010-11-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,9.225131371495502e-12
2010-12-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999999176393
2011-01-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.1999999998802764
2011-02-28,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999999002258
2011-03-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999999790438
2011-04-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999995933893
2011-05-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999995899193
2011-06-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,0.19999999926659676
2011-07-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,4.897559207920463e-10
2011-08-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.290383933346337e-11
2011-09-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.8077681490956216e-11
2011-10-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,6.728667738499613e-11
2011-11-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,2.029884232876527e-11
2011-12-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,1.771676441537775e-10
2012-01-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,9.930707428273248e-12
2012-02-29,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,4.076117303906343e-12
2012-03-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.4835348263096533e-12
2012-04-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,4.597984681912156e-12
2012-05-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.0338489780505963e-12
2012-06-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.0531826343217916e-12
2012-07-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,6.652052838331468e-13
2012-08-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,6.7415176923237256e-12
2012-09-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,4.855820672179322e-12
2012-10-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,4.7237251676827096e-12
2012-11-30,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,3.685042660266494e-12
2012-12-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,2.440938224207596e-12
2013-01-31,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,1.9985435538446173e-12
2013-02-28,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,DIA,1.9112957625640396e-12
