,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,6.11489868160151e-27,6.11489868160151e-27,6.11489868160151e-27,6.11489868160151e-27,6.11489868160151e-27,0.1999999999969695,6.11489868160151e-27,1.1691542227058723e-12,0.20000000000159757,3.2025679973028264e-14,1.336132656255351e-13,1.0081345290143666e-13,0.19999999999785886,1.327736922320872e-13,0.19999999999993492,1.3861429970969753e-13,1.3616006951852825e-13,0.20000000000128762,6.11489868160151e-27,6.11489868160151e-27,1.1334393039262543e-14,5.0624288746815055e-14,6.11489868160151e-27,5.0067516462635796e-14,9.928110119543475e-14,6.11489868160151e-27,3.531812380008858e-14,4.1482692993017715e-14,6.11489868160151e-27,6.11489868160151e-27,6.11489868160151e-27,6.11489868160151e-27,1.0897638857245216e-13,5.0839428773099404e-14,3.3549679260862746e-14,2.6974147356425377e-14
2009-11-30,-1.3913000737323665e-25,-1.3913000737323665e-25,-1.3913000737323665e-25,-1.3913000737323665e-25,-1.3913000737323665e-25,0.19999999999935877,-1.3913000737323665e-25,1.6880142381852192e-13,0.19999999999982895,2.1823580339125088e-14,7.110580500842526e-13,4.1483903845741216e-13,0.19999999999819018,8.961178721588116e-14,0.19999999999948637,1.479422929784567e-13,9.852340787464706e-14,0.20000000000054158,-1.3913000737323665e-25,-1.3913000737323665e-25,1.1944094480350769e-14,3.3929059585312116e-14,-1.3913000737323665e-25,3.537916328475801e-14,6.424346252122619e-14,-1.3913000737323665e-25,3.063885716201608e-14,5.5643683142679306e-14,-1.3913000737323665e-25,-1.3913000737323665e-25,-1.3913000737323665e-25,-1.3913000737323665e-25,2.763109643131633e-13,4.069593791034557e-14,7.345135876912272e-14,3.192512055567083e-13
2009-12-31,-9.232873792913231e-27,-9.232873792913231e-27,-9.232873792913231e-27,-9.232873792913231e-27,-9.232873792913231e-27,0.1999999997169899,-9.232873792913231e-27,3.841385467202857e-13,0.19999999994410542,3.253326511047108e-14,1.5089631437449859e-12,9.070044803265592e-13,3.3344096731457036e-10,1.9366331907107656e-13,0.19999999999933823,4.0368890993218853e-13,2.06989775555778e-13,0.20000000000043489,-9.232873792913231e-27,-9.232873792913231e-27,5.292387776978476e-14,8.15695536447175e-14,-9.232873792913231e-27,8.513789492538259e-14,0.20000000000024432,-9.232873792913231e-27,6.807377922589134e-14,9.185504644831155e-14,-9.232873792913231e-27,-9.232873792913231e-27,-9.232873792913231e-27,-9.232873792913231e-27,3.784085680595529e-13,1.030750212280271e-13,1.1895574643569227e-13,8.294671774274336e-13
2010-01-31,1.590611132264051e-25,1.590611132264051e-25,1.590611132264051e-25,1.590611132264051e-25,1.590611132264051e-25,1.4785622468337382e-11,1.590611132264051e-25,2.096680004770753e-11,0.19999999998102322,-2.523157057682624e-13,1.6371335834059714e-11,0.19999999985103287,0.20000000001479112,6.2149465782492466e-12,-7.254330793583957e-12,7.044561991360401e-12,7.942104828406325e-12,0.20000000002020607,1.590611132264051e-25,1.590611132264051e-25,1.9419862937977745e-12,-0.20000000000167978,1.590611132264051e-25,2.9959003582546506e-12,3.055210131229871e-11,1.590611132264051e-25,2.6811180337948467e-12,-2.8772971780155414e-13,1.590611132264051e-25,1.590611132264051e-25,1.590611132264051e-25,1.590611132264051e-25,3.9117277138538624e-13,3.943905750441561e-12,-1.7710234301841322e-12,-5.8701250418068505e-12
2010-02-28,1.1966663989343055e-26,1.1966663989343055e-26,1.1966663989343055e-26,1.1966663989343055e-26,1.1966663989343055e-26,0.19999999998831386,1.1966663989343055e-26,0.20000000000123794,-0.20000000000175944,-5.4772298673665654e-14,4.630501643480947e-13,5.208997719606345e-13,-0.20000000000148194,2.403425819944094e-13,4.3209958018709484e-14,2.305927832977002e-13,2.5832803647924776e-13,0.2000000000015619,1.1966663989343055e-26,1.1966663989343055e-26,1.4650554921562543e-13,8.747407987675722e-13,1.1966663989343055e-26,1.600908291109178e-13,3.4116726285211856e-13,1.1966663989343055e-26,1.627320262022497e-12,2.122773570414264e-13,1.1966663989343055e-26,1.1966663989343055e-26,1.1966663989343055e-26,1.1966663989343055e-26,1.6837681683651394e-13,2.594796318621541e-13,-1.874611228464056e-14,-2.5023148187034154e-14
2010-03-31,1.3934563762369354e-26,1.3934563762369354e-26,1.3934563762369354e-26,1.3934563762369354e-26,7.367348128518905e-14,0.20000000000054033,1.3934563762369354e-26,0.2000000000008296,3.676485013812908e-13,8.035644556626192e-15,1.7004520838956306e-13,1.8210733596835922e-13,-1.9345854713092184e-13,1.1445497837752743e-13,5.832528596795774e-13,1.6269074090829544e-13,1.206480430161235e-13,0.19999999999909845,1.3934563762369354e-26,1.3934563762369354e-26,1.1148631386386602e-13,1.2076739780637032e-13,1.3934563762369354e-26,0.19999999999956392,6.290307932438473e-13,1.3934563762369354e-26,5.799239855924295e-13,2.0841232928241043e-13,1.3934563762369354e-26,1.3934563762369354e-26,1.3934563762369354e-26,1.3934563762369354e-26,3.407794508639834e-13,1.427597538072876e-13,8.074091120804085e-14,0.1999999999957778
2010-04-30,4.2631520743232975e-26,4.2631520743232975e-26,4.2631520743232975e-26,4.2631520743232975e-26,3.3459779795394856e-13,0.19999999998708493,4.2631520743232975e-26,0.19999999999927037,1.6546485197711403e-12,-5.957973496929745e-14,7.981987425483262e-13,1.3211963255871284e-12,-0.19999999999834828,2.9518353974379666e-13,2.5625925719260936e-11,3.342689165233733e-13,3.366224150690303e-13,0.19999999997215998,4.2631520743232975e-26,4.2631520743232975e-26,4.4442742595173414e-12,7.591293613296574e-13,4.2631520743232975e-26,-1.6239877872971456e-12,-0.20000000000080562,4.2631520743232975e-26,4.929132866228912e-13,1.2759450947090333e-12,4.2631520743232975e-26,4.2631520743232975e-26,4.2631520743232975e-26,4.2631520743232975e-26,5.684085578187317e-13,1.495097620751327e-12,5.562779083879159e-13,-3.5454634862394476e-13
2010-05-31,-5.378847588785882e-25,-5.378847588785882e-25,-5.378847588785882e-25,-5.378847588785882e-25,6.604220794292243e-13,2.5985900680450393e-12,-5.378847588785882e-25,3.2867840785822726e-12,-2.1700804949996476e-11,-1.2742844192069297e-12,1.3149215462094645e-12,1.5785455617017374e-12,-0.20000000003097168,-0.19999999998830278,-1.8102617995926412e-12,-0.20000000002052615,-0.19999999987054132,9.912114905855048e-12,-5.378847588785882e-25,-5.378847588785882e-25,1.23848814903634e-12,1.5043326861101621e-12,-5.378847588785882e-25,2.2514783454351467e-12,4.249891058905094e-12,-5.378847588785882e-25,1.171322048422984e-12,4.1381941729211554e-13,-5.378847588785882e-25,-5.378847588785882e-25,-5.378847588785882e-25,-0.20000000002945578,5.790236451252831e-13,2.115519507367704e-12,3.3643490385935697e-13,2.205425419341523e-12
2010-06-30,5.299936100721318e-26,5.299936100721318e-26,5.299936100721318e-26,5.299936100721318e-26,-0.20000000005787558,3.90841971198045e-12,5.299936100721318e-26,0.1999999997595964,-1.2668726127440075e-11,-8.354387547077178e-12,9.535545864497508e-12,8.989543798647315e-12,6.234664279244219e-12,-9.181718695565564e-14,1.1405798920207078e-11,5.508377796397515e-13,6.429099598215925e-13,0.20000000004419233,5.299936100721318e-26,5.299936100721318e-26,4.454781980000904e-12,2.808457612926625e-12,5.299936100721318e-26,1.220366019429666e-11,0.20000000004985047,5.299936100721318e-26,4.355157240166247e-12,5.347918707099607e-13,5.299936100721318e-26,5.299936100721318e-26,5.299936100721318e-26,-0.1999999999752144,2.603071450619115e-12,1.1344780008463833e-11,8.303505394287184e-14,1.2500606297513715e-11
2010-07-31,-3.6972528718333993e-25,-3.6972528718333993e-25,-3.6972528718333993e-25,-3.6972528718333993e-25,-1.4232730997112946e-13,3.953616648832079e-13,-3.6972528718333993e-25,7.202588867241987e-13,7.795045362801374e-13,-4.512541406496493e-14,2.8539160851046245e-13,0.19999999999862006,4.255492003025091e-13,1.716692672549039e-13,0.199999999988871,1.9361991050540134e-13,1.9718681489691102e-13,1.4088327125135016e-12,-3.6972528718333993e-25,-3.6972528718333993e-25,1.7401573917269136e-13,0.19999999999923693,-3.6972528718333993e-25,3.846130437518423e-13,0.20000000000260681,-3.6972528718333993e-25,1.5697642591397993e-12,7.990744328606465e-13,-3.6972528718333993e-25,-3.6972528718333993e-25,-3.6972528718333993e-25,-2.4894476626127205e-13,5.322512164011314e-13,3.562725547649078e-13,2.1640574700473584e-13,0.20000000000161927
2010-08-31,-1.982518910025673e-25,-1.982518910025673e-25,-1.982518910025673e-25,-1.982518910025673e-25,9.531142019599586e-12,1.7565142911096697e-11,-1.982518910025673e-25,0.19999999986205172,-0.19999999902711568,-1.0493813403339763e-11,3.1799679463000904e-11,3.602007055754394e-11,3.8417508856999663e-11,9.978608276054204e-12,0.20000000009159352,1.1995442427554527e-11,1.1923541013715601e-11,0.20000000010730198,-1.982518910025673e-25,-1.982518910025673e-25,9.316516231662015e-12,-2.98924168662855e-11,-1.982518910025673e-25,1.5422256691011766e-11,1.481848990445695e-11,-1.982518910025673e-25,2.1781245889096535e-11,2.2277752769454e-11,-1.982518910025673e-25,-1.982518910025673e-25,-1.982518910025673e-25,-0.2000000001259417,1.4124228491449719e-11,3.6384611402760206e-11,1.9839823393687488e-12,-4.422689657256455e-10
2010-09-30,2.4201853842490086e-26,2.4201853842490086e-26,2.4201853842490086e-26,2.4201853842490086e-26,3.826246232994171e-13,1.2771430483384087e-12,2.4201853842490086e-26,0.20000000000027474,5.763861725261165e-13,-3.135140338969989e-14,7.504196442995354e-13,1.5075190062296477e-12,1.4570247739066157e-14,4.926364812712376e-13,0.2000000000030706,5.090026219356146e-13,4.99296412427773e-13,0.19999999998101176,2.4201853842490086e-26,2.4201853842490086e-26,5.833236209379771e-13,1.7386266678851866e-12,2.4201853842490086e-26,1.8403405448918953e-12,1.7896969225752196e-12,2.4201853842490086e-26,0.19999999999641963,2.0768926710068623e-12,2.4201853842490086e-26,2.4201853842490086e-26,2.4201853842490086e-26,0.20000000000285362,1.0202630648011053e-12,8.197677226606997e-13,3.3961223339329487e-13,1.2008435157918734e-13
2010-10-31,-8.036130842766522e-26,-8.036130842766522e-26,-8.036130842766522e-26,-8.036130842766522e-26,9.363710510241178e-14,1.922251220625517e-12,-8.036130842766522e-26,7.381829270248859e-13,2.4826770311767104e-13,6.266155426670639e-14,1.501567439548333e-13,2.58537223984938e-13,6.049733461115706e-13,1.1880333682744957e-13,0.20000000000119644,1.2304301514084534e-13,1.2153274159356418e-13,5.576999898329485e-13,-8.036130842766522e-26,-8.036130842766522e-26,0.19999999998265908,0.19999999999818868,-8.036130842766522e-26,2.765453568800187e-12,2.1640284462452684e-12,-8.036130842766522e-26,0.199999999999905,2.9467272638111083e-12,-8.036130842766522e-26,-8.036130842766522e-26,-8.036130842766522e-26,0.20000000000090254,2.048563230699624e-13,1.6741900577285395e-13,8.272456561361877e-13,3.0728235266270156e-12
