Date,Universe,Model,Calib,Ticker,Weight
2008-10-31,A,LASSO_longshort,isotonic,DIA,
2008-11-30,A,LASSO_longshort,isotonic,DIA,
2008-12-31,A,LASSO_longshort,isotonic,DIA,
2009-01-31,A,LASSO_longshort,isotonic,DIA,
2009-02-28,A,LASSO_longshort,isotonic,DIA,
2009-03-31,A,LASSO_longshort,isotonic,DIA,
2009-04-30,A,LASSO_longshort,isotonic,DIA,
2009-05-31,A,LASSO_longshort,isotonic,DIA,
2009-06-30,A,LASSO_longshort,isotonic,DIA,
2009-07-31,A,LASSO_longshort,isotonic,DIA,
2009-08-31,A,LASSO_longshort,isotonic,DIA,
2009-09-30,A,LASSO_longshort,isotonic,DIA,
2009-10-31,A,LASSO_longshort,isotonic,DIA,0.199999999983232
2009-11-30,A,LASSO_longshort,isotonic,DIA,0.19999999995668102
2009-12-31,A,LASSO_longshort,isotonic,DIA,0.19999999772016716
2010-01-31,A,LASSO_longshort,isotonic,DIA,0.1999999976563108
2010-02-28,A,LASSO_longshort,isotonic,DIA,0.1999998367068076
2010-03-31,A,LASSO_longshort,isotonic,DIA,0.19999983078945918
2010-04-30,A,LASSO_longshort,isotonic,DIA,0.19999999975098925
2010-05-31,A,LASSO_longshort,isotonic,DIA,3.643817960796777e-12
2010-06-30,A,LASSO_longshort,isotonic,DIA,2.4587123590901267e-12
2010-07-31,A,LASSO_longshort,isotonic,DIA,1.8505031078328682e-11
2010-08-31,A,LASSO_longshort,isotonic,DIA,2.965010537181945e-12
2010-09-30,A,LASSO_longshort,isotonic,DIA,5.203745482711217e-10
2010-10-31,A,LASSO_longshort,isotonic,DIA,2.5183249602018708e-11
2010-11-30,A,LASSO_longshort,isotonic,DIA,4.269802563814315e-10
2010-12-31,A,LASSO_longshort,isotonic,DIA,0.1999999993620077
2011-01-31,A,LASSO_longshort,isotonic,DIA,0.19999997356103547
2011-02-28,A,LASSO_longshort,isotonic,DIA,1.2533659790784788e-11
2011-03-31,A,LASSO_longshort,isotonic,DIA,0.19999999981553357
2011-04-30,A,LASSO_longshort,isotonic,DIA,0.1999999998279178
2011-05-31,A,LASSO_longshort,isotonic,DIA,3.9057457316941047e-10
2011-06-30,A,LASSO_longshort,isotonic,DIA,1.4076999436125294e-10
2011-07-31,A,LASSO_longshort,isotonic,DIA,8.863700568586685e-11
2011-08-31,A,LASSO_longshort,isotonic,DIA,6.56346259872533e-11
2011-09-30,A,LASSO_longshort,isotonic,DIA,2.7463021351112897e-09
2011-10-31,A,LASSO_longshort,isotonic,DIA,5.222102731104948e-11
2011-11-30,A,LASSO_longshort,isotonic,DIA,2.0952027968755168e-10
2011-12-31,A,LASSO_longshort,isotonic,DIA,0.1999999999985989
2012-01-31,A,LASSO_longshort,isotonic,DIA,5.493767430438323e-12
2012-02-29,A,LASSO_longshort,isotonic,DIA,0.2000000000198478
2012-03-31,A,LASSO_longshort,isotonic,DIA,0.19999999998647597
2012-04-30,A,LASSO_longshort,isotonic,DIA,1.8572749040593204e-11
2012-05-31,A,LASSO_longshort,isotonic,DIA,2.05614592480115e-11
2012-06-30,A,LASSO_longshort,isotonic,DIA,1.2377485398027373e-10
2012-07-31,A,LASSO_longshort,isotonic,DIA,3.6192637422946347e-12
2012-08-31,A,LASSO_longshort,isotonic,DIA,2.635238523201355e-11
2012-09-30,A,LASSO_longshort,isotonic,DIA,2.8768488014869112e-11
2012-10-31,A,LASSO_longshort,isotonic,DIA,0.19999999922275108
2012-11-30,A,LASSO_longshort,isotonic,DIA,0.19999999996373077
2012-12-31,A,LASSO_longshort,isotonic,DIA,0.20000000002747922
2013-01-31,A,LASSO_longshort,isotonic,DIA,0.19999999999830173
2013-02-28,A,LASSO_longshort,isotonic,DIA,0.1999999999075941
2013-03-31,A,LASSO_longshort,isotonic,DIA,0.2000000000116058
2013-04-30,A,LASSO_longshort,isotonic,DIA,0.19999999999911974
2013-05-31,A,LASSO_longshort,isotonic,DIA,0.20000000000069493
2013-06-30,A,LASSO_longshort,isotonic,DIA,0.1999999999959159
2013-07-31,A,LASSO_longshort,isotonic,DIA,0.19999999998598372
2013-08-31,A,LASSO_longshort,isotonic,DIA,2.4927240694771144e-10
2013-09-30,A,LASSO_longshort,isotonic,DIA,1.4479249436333573e-10
2013-10-31,A,LASSO_longshort,isotonic,DIA,1.8194067096990014e-10
2013-11-30,A,LASSO_longshort,isotonic,DIA,1.3011238830987921e-10
2013-12-31,A,LASSO_longshort,isotonic,DIA,0.19999999999319573
2014-01-31,A,LASSO_longshort,isotonic,DIA,6.719575019749862e-12
2014-02-28,A,LASSO_longshort,isotonic,DIA,1.982201320597881e-11
2014-03-31,A,LASSO_longshort,isotonic,DIA,0.19999999999206208
2014-04-30,A,LASSO_longshort,isotonic,DIA,0.1999999999965163
2014-05-31,A,LASSO_longshort,isotonic,DIA,1.843658142800255e-11
2014-06-30,A,LASSO_longshort,isotonic,DIA,4.240723380223083e-12
2014-07-31,A,LASSO_longshort,isotonic,DIA,1.605224360686099e-11
2014-08-31,A,LASSO_longshort,isotonic,DIA,3.789640278353028e-12
2014-09-30,A,LASSO_longshort,isotonic,DIA,4.642215866506662e-12
2014-10-31,A,LASSO_longshort,isotonic,DIA,6.191762483347732e-12
2014-11-30,A,LASSO_longshort,isotonic,DIA,2.791722114733888e-11
2014-12-31,A,LASSO_longshort,isotonic,DIA,7.346046621951614e-12
2015-01-31,A,LASSO_longshort,isotonic,DIA,4.030170012257021e-12
2015-02-28,A,LASSO_longshort,isotonic,DIA,4.2007847903285756e-11
2015-03-31,A,LASSO_longshort,isotonic,DIA,1.4818208613977782e-11
2015-04-30,A,LASSO_longshort,isotonic,DIA,2.0283430353815328e-10
2015-05-31,A,LASSO_longshort,isotonic,DIA,2.8064188351667984e-11
2015-06-30,A,LASSO_longshort,isotonic,DIA,3.1009209774629822e-12
2015-07-31,A,LASSO_longshort,isotonic,DIA,1.5867567328971625e-10
2015-08-31,A,LASSO_longshort,isotonic,DIA,4.84200323859211e-11
2015-09-30,A,LASSO_longshort,isotonic,DIA,4.836015462351694e-12
2015-10-31,A,LASSO_longshort,isotonic,DIA,-8.087804052614875e-13
2015-11-30,A,LASSO_longshort,isotonic,DIA,1.0777552887428214e-10
2015-12-31,A,LASSO_longshort,isotonic,DIA,2.4009577991483686e-11
2016-01-31,A,LASSO_longshort,isotonic,DIA,1.2589168488946386e-10
2016-02-29,A,LASSO_longshort,isotonic,DIA,7.209585650757492e-11
2016-03-31,A,LASSO_longshort,isotonic,DIA,5.140279849347039e-11
2016-04-30,A,LASSO_longshort,isotonic,DIA,4.1972372941716e-11
2016-05-31,A,LASSO_longshort,isotonic,DIA,7.453038923259126e-11
2016-06-30,A,LASSO_longshort,isotonic,DIA,4.5844473383969993e-11
2016-07-31,A,LASSO_longshort,isotonic,DIA,9.441877624035915e-12
2016-08-31,A,LASSO_longshort,isotonic,DIA,4.406539237492651e-12
2016-09-30,A,LASSO_longshort,isotonic,DIA,4.119974840248303e-12
2016-10-31,A,LASSO_longshort,isotonic,DIA,1.78133073226043e-10
2016-11-30,A,LASSO_longshort,isotonic,DIA,2.719413157463728e-11
2016-12-31,A,LASSO_longshort,isotonic,DIA,9.874881261153859e-11
2017-01-31,A,LASSO_longshort,isotonic,DIA,1.1271403514747624e-10
2017-02-28,A,LASSO_longshort,isotonic,DIA,1.8276913409200225e-11
2017-03-31,A,LASSO_longshort,isotonic,DIA,9.385760680316403e-12
2017-04-30,A,LASSO_longshort,isotonic,DIA,1.473945191736281e-11
2017-05-31,A,LASSO_longshort,isotonic,DIA,1.0177646146156249e-10
2017-06-30,A,LASSO_longshort,isotonic,DIA,1.801701724465492e-10
2017-07-31,A,LASSO_longshort,isotonic,DIA,1.9043125877976333e-10
2017-08-31,A,LASSO_longshort,isotonic,DIA,2.178783178470731e-10
2017-09-30,A,LASSO_longshort,isotonic,DIA,2.3632749080815606e-10
2017-10-31,A,LASSO_longshort,isotonic,DIA,9.312265830897769e-11
2017-11-30,A,LASSO_longshort,isotonic,DIA,3.23147153478514e-10
2017-12-31,A,LASSO_longshort,isotonic,DIA,3.045239578633343e-11
2018-01-31,A,LASSO_longshort,isotonic,DIA,1.0723181758370968e-10
2018-02-28,A,LASSO_longshort,isotonic,DIA,3.858553549110784e-09
2018-03-31,A,LASSO_longshort,isotonic,DIA,9.256008474986787e-10
2018-04-30,A,LASSO_longshort,isotonic,DIA,2.537650449587839e-10
2018-05-31,A,LASSO_longshort,isotonic,DIA,9.534639447959738e-11
2018-06-30,A,LASSO_longshort,isotonic,DIA,5.4867476001414715e-11
2018-07-31,A,LASSO_longshort,isotonic,DIA,2.0512741947030024e-11
2018-08-31,A,LASSO_longshort,isotonic,DIA,0.19999999991567252
2018-09-30,A,LASSO_longshort,isotonic,DIA,0.19999999999799828
2018-10-31,A,LASSO_longshort,isotonic,DIA,0.1999999964340721
2018-11-30,A,LASSO_longshort,isotonic,DIA,0.19999999993817066
2018-12-31,A,LASSO_longshort,isotonic,DIA,8.623718280377078e-12
2019-01-31,A,LASSO_longshort,isotonic,DIA,4.1874853599778713e-11
2019-02-28,A,LASSO_longshort,isotonic,DIA,0.19999999999132945
2019-03-31,A,LASSO_longshort,isotonic,DIA,0.19999999998121798
2019-04-30,A,LASSO_longshort,isotonic,DIA,2.981042588163672e-11
2019-05-31,A,LASSO_longshort,isotonic,DIA,6.497811099713423e-11
2019-06-30,A,LASSO_longshort,isotonic,DIA,0.19999999994191883
2019-07-31,A,LASSO_longshort,isotonic,DIA,0.19999999932051793
2019-08-31,A,LASSO_longshort,isotonic,DIA,3.2658357220640363e-10
2019-09-30,A,LASSO_longshort,isotonic,DIA,5.981509605386707e-11
2019-10-31,A,LASSO_longshort,isotonic,DIA,0.19999999718872366
2019-11-30,A,LASSO_longshort,isotonic,DIA,1.939180597616956e-10
2019-12-31,A,LASSO_longshort,isotonic,DIA,1.355811032131217e-11
2020-01-31,A,LASSO_longshort,isotonic,DIA,5.272084303889082e-12
2020-02-29,A,LASSO_longshort,isotonic,DIA,1.5097122067411123e-10
2020-03-31,A,LASSO_longshort,isotonic,DIA,1.400075259993705e-10
2020-04-30,A,LASSO_longshort,isotonic,DIA,4.748476231760423e-11
2020-05-31,A,LASSO_longshort,isotonic,DIA,2.176514306496907e-10
2020-06-30,A,LASSO_longshort,isotonic,DIA,5.991259964371517e-11
2020-07-31,A,LASSO_longshort,isotonic,DIA,3.214368011382133e-11
2020-08-31,A,LASSO_longshort,isotonic,DIA,2.3270549351189224e-11
2020-09-30,A,LASSO_longshort,isotonic,DIA,2.8053755889590127e-10
2020-10-31,A,LASSO_longshort,isotonic,DIA,1.3636655445970436e-10
2020-11-30,A,LASSO_longshort,isotonic,DIA,1.2153547563670603e-11
2020-12-31,A,LASSO_longshort,isotonic,DIA,2.6215305202768738e-12
2021-01-31,A,LASSO_longshort,isotonic,DIA,3.506144612410956e-12
2021-02-28,A,LASSO_longshort,isotonic,DIA,1.6006820185180913e-12
2021-03-31,A,LASSO_longshort,isotonic,DIA,0.1999999999739182
2021-04-30,A,LASSO_longshort,isotonic,DIA,7.461271185297387e-11
2021-05-31,A,LASSO_longshort,isotonic,DIA,-7.237612635519382e-11
2021-06-30,A,LASSO_longshort,isotonic,DIA,6.886562656179775e-11
2021-07-31,A,LASSO_longshort,isotonic,DIA,-0.19999999966000492
2021-08-31,A,LASSO_longshort,isotonic,DIA,6.696274846421736e-11
2021-09-30,A,LASSO_longshort,isotonic,DIA,-1.941519860285224e-14
2021-10-31,A,LASSO_longshort,isotonic,DIA,5.826287566746937e-11
2021-11-30,A,LASSO_longshort,isotonic,DIA,5.480680300062965e-13
2021-12-31,A,LASSO_longshort,isotonic,DIA,7.095888267935371e-11
2022-01-31,A,LASSO_longshort,isotonic,DIA,0.19999999963934095
2022-02-28,A,LASSO_longshort,isotonic,DIA,4.680120357519202e-11
2022-03-31,A,LASSO_longshort,isotonic,DIA,1.2441960559707845e-10
2022-04-30,A,LASSO_longshort,isotonic,DIA,1.256517530770259e-10
2022-05-31,A,LASSO_longshort,isotonic,DIA,3.8275546606669574e-11
2022-06-30,A,LASSO_longshort,isotonic,DIA,3.251406181760569e-10
2022-07-31,A,LASSO_longshort,isotonic,DIA,1.5979509844466064e-10
2022-08-31,A,LASSO_longshort,isotonic,DIA,1.6199312105748317e-10
2022-09-30,A,LASSO_longshort,isotonic,DIA,3.0885796734751194e-10
2022-10-31,A,LASSO_longshort,isotonic,DIA,8.511043886196809e-11
2022-11-30,A,LASSO_longshort,isotonic,DIA,4.425847299797608e-10
2022-12-31,A,LASSO_longshort,isotonic,DIA,1.8756081624163647e-10
2023-01-31,A,LASSO_longshort,isotonic,DIA,1.4928470193103998e-10
2023-02-28,A,LASSO_longshort,isotonic,DIA,1.469897360698633e-10
2023-03-31,A,LASSO_longshort,isotonic,DIA,2.884774461023542e-10
2023-04-30,A,LASSO_longshort,isotonic,DIA,7.94873583731837e-11
2023-05-31,A,LASSO_longshort,isotonic,DIA,1.8499695101036466e-10
2023-06-30,A,LASSO_longshort,isotonic,DIA,3.299620427444403e-11
2023-07-31,A,LASSO_longshort,isotonic,DIA,1.1736526272285285e-11
2023-08-31,A,LASSO_longshort,isotonic,DIA,2.7586494523461725e-11
2023-09-30,A,LASSO_longshort,isotonic,DIA,9.082277578452934e-12
2023-10-31,A,LASSO_longshort,isotonic,DIA,1.2719068651273538e-11
2023-11-30,A,LASSO_longshort,isotonic,DIA,2.088571064554167e-11
2023-12-31,A,LASSO_longshort,isotonic,DIA,4.51657581916725e-12
2024-01-31,A,LASSO_longshort,isotonic,DIA,9.14858059835678e-12
2024-02-29,A,LASSO_longshort,isotonic,DIA,1.2100904802935736e-10
2024-03-31,A,LASSO_longshort,isotonic,DIA,3.148499375406125e-10
2024-04-30,A,LASSO_longshort,isotonic,DIA,3.125249553824319e-11
