,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,
2009-10-31,0.199999999983232,3.6455638635613174e-12,0.19999999995729642,3.2918102652955144e-25,0.1999999999139746,0.2000000000119396,3.2918102652955144e-25,1.2501227442568487e-10,-7.086056628715139e-13,3.2918102652955144e-25,0.19999999996711612,-4.923570314860467e-12,3.2151180065070133e-11
2009-11-30,0.19999999995668102,7.085002419672506e-13,0.1999999998369078,-7.570325406441633e-25,0.19999999997296167,0.20000000000512283,-7.570325406441633e-25,1.823574928308732e-10,1.9088228766484e-12,-7.570325406441633e-25,0.19999999998322707,4.633681020003851e-13,5.966138832895808e-11
2009-12-31,0.19999999772016716,5.905016835184372e-11,0.1999999992332213,-5.071078547625249e-24,0.19999999975185911,0.20000000004592694,-5.071078547625249e-24,2.995085203568173e-09,7.619085709765562e-11,-5.071078547625249e-24,0.19999999997818718,5.138964762354723e-11,8.892237400939743e-11
2010-01-31,0.1999999976563108,3.782080901981257e-11,0.19999999986419248,-5.655407682201341e-26,0.20000000010991403,0.20000000010960836,-5.655407682201341e-26,2.1528570385385427e-09,2.849548317848629e-11,-5.655407682201341e-26,0.1999999999829584,1.8858156431747414e-11,3.898455672280405e-11
2010-02-28,0.1999998367068076,2.334964764626487e-10,0.20000000001569188,-3.190119078406743e-24,0.19999999997963178,-0.2000000000549092,-3.190119078406743e-24,1.6983862421931103e-09,5.986376262416043e-11,-3.190119078406743e-24,0.19999999999266804,4.0794524509085106e-11,-1.612177505025913e-07
2010-03-31,0.19999983078945918,2.2656953710464695e-09,0.1999999991998279,4.043086397778714e-24,0.19999999340156593,1.7645941326370856e-07,4.043086397778714e-24,0.1999999971643051,2.178069555809001e-10,4.043086397778714e-24,0.200000000058898,1.7165232828043395e-10,2.713760022586413e-10
2010-04-30,0.19999999975098925,-0.20000000011476207,0.19999999774237762,-3.0731141583362197e-24,8.55016623500419e-10,-4.1072504655205916e-11,-3.0731141583362197e-24,0.19999999999538165,8.548582844206642e-10,-3.0731141583362197e-24,0.20000000012450728,4.02016731195921e-10,1.1901807428464508e-10
2010-05-31,3.643817960796777e-12,-0.19999999998707257,-0.19999999998300513,1.1341561754175976e-24,-0.20000000000162077,-0.19999999999962823,1.1341561754175976e-24,4.1657158195039395e-12,9.42891041844685e-13,1.1341561754175976e-24,6.0637427571517625e-12,7.443440029227393e-13,-0.20000000001311286
2010-06-30,2.4587123590901267e-12,-0.2000000000200867,-0.2000000000165785,-2.729404867721778e-24,-0.20000000001905205,-0.19999999991722425,-2.729404867721778e-24,2.7244871503504635e-12,3.4515317544241366e-13,-2.729404867721778e-24,6.307228271886803e-12,5.381602585246622e-14,-0.20000000001516918
2010-07-31,1.8505031078328682e-11,-0.20000000002679583,-0.2000000000364576,6.76357718893506e-25,-0.19999999965248158,-0.19999999998846743,6.76357718893506e-25,2.1545758691233233e-11,-1.1446196941617724e-12,6.76357718893506e-25,2.3911066089207496e-10,4.425321242216984e-12,-0.20000000001106621
2010-08-31,2.965010537181945e-12,-0.20000000000246237,-0.20000000000122836,7.589707606018375e-26,-1.590841202535436e-12,-1.3579313536748041e-11,7.589707606018375e-26,-0.19999999998842402,6.887416627536478e-13,7.589707606018375e-26,0.19999999998534576,4.628337473977678e-13,-0.20000000000325274
2010-09-30,5.203745482711217e-10,-0.20000000000283416,1.5357349593366332e-11,-1.6903735726908006e-25,0.1999999994323512,0.2000000000050856,-1.6903735726908006e-25,-3.801409752661523e-12,-0.19999999997698265,-1.6903735726908006e-25,0.20000000000602602,9.251213068433105e-12,-2.7935767658536928e-11
2010-10-31,2.5183249602018708e-11,0.20000000000907642,0.19999999958349057,2.8759614775964253e-24,0.1999999998479532,0.19999999266268423,2.8759614775964253e-24,7.61321314073092e-09,0.20000000004133264,2.8759614775964253e-24,5.810636558804582e-11,1.2061150043133796e-11,1.4689921326143613e-10
2010-11-30,4.269802563814315e-10,6.189873972758702e-11,3.056583100813774e-10,5.148000336451693e-24,-0.20000000030303633,-0.200000000354457,5.148000336451693e-24,1.7926284472208235e-10,-0.20000000018816802,5.148000336451693e-24,0.1999999979363495,-0.1999999999845582,2.5963085471850314e-10
2010-12-31,0.1999999993620077,8.751379257519887e-11,-2.9697247633663244e-10,9.323998177598771e-24,-0.20000000007813096,-3.842434689676676e-10,9.323998177598771e-24,1.0154947520295245e-09,0.2000000001672149,9.323998177598771e-24,0.20000000016133024,0.19999999838328272,-6.380900979721191e-11
2011-01-31,0.19999997356103547,0.20000000001327492,2.6273231225443196e-08,-1.2332828583114067e-25,2.4125260612107377e-11,0.19999999998619578,-1.2332828583114067e-25,0.1999999999957278,5.385425832521611e-11,-1.2332828583114067e-25,0.2000000000075576,3.8134486495440817e-11,4.6863320520610246e-11
2011-02-28,1.2533659790784788e-11,-0.200000000006315,-0.19999999999544485,1.1754606933512697e-24,-0.20000000001007814,-0.19999999995978954,1.1754606933512697e-24,8.916793165261602e-13,6.992626072246923e-12,1.1754606933512697e-24,0.19999999999773443,6.029400152096584e-12,-4.190722612650094e-12
2011-03-31,0.19999999981553357,-0.20000000009695953,-2.386644601265486e-11,1.525515467983303e-24,-0.20000000005210447,-0.1999999997122222,1.525515467983303e-24,9.434927130121747e-12,3.466481790587593e-11,1.525515467983303e-24,0.1999999999618837,1.318909762877566e-10,-1.6143957743943703e-10
2011-04-30,0.1999999998279178,0.1999999999769614,0.19999999999804494,4.374464882753816e-25,1.4545071979107464e-11,1.518841034976806e-10,4.374464882753816e-25,0.19999999996535806,2.7421596040886592e-11,4.374464882753816e-25,0.20000000000540735,2.0521830036118254e-11,1.1937844968605027e-11
2011-05-31,3.9057457316941047e-10,0.19999999989919084,0.2000000000102996,9.812931450509094e-25,1.2738988853713789e-09,0.1999999997439074,9.812931450509094e-25,0.19999999853410388,6.043141157425976e-11,9.812931450509094e-25,0.20000000001288737,5.135665323414645e-11,2.334945073430594e-11
2011-06-30,1.4076999436125294e-10,0.19999999987891104,0.19999999990038833,-4.72415532913875e-25,5.335614658447663e-10,0.1999999999640561,-4.72415532913875e-25,0.19999999943263852,3.7510402405090244e-11,-4.72415532913875e-25,0.19999999997773543,3.190249231701387e-11,1.0252627033368334e-10
2011-07-31,8.863700568586685e-11,0.1999999997677768,0.19999999990559497,2.4460227222352042e-24,1.407429508860194e-09,0.19999999999531662,2.4460227222352042e-24,0.19999999867800147,3.909663967912228e-11,2.4460227222352042e-24,0.20000000000078486,2.7776574853155166e-11,8.958561777558469e-11
2011-08-31,6.56346259872533e-11,0.19999999905250793,0.19999999991433234,-6.149069282742635e-25,3.6313799455658002e-09,0.2000000000078872,-6.149069282742635e-25,0.19999999723631548,1.5933919716055477e-11,-6.149069282742635e-25,0.20000000000430077,1.2873149356358423e-11,5.883468216675213e-11
2011-09-30,2.7463021351112897e-09,1.4247197828171692e-09,0.19999999968724147,2.4820820510820403e-24,0.20000000002657978,0.20000000007005458,2.4820820510820403e-24,0.1999999955683756,6.138433723512052e-11,2.4820820510820403e-24,0.2000000000307262,3.783741517021924e-11,3.467786658427667e-10
2011-10-31,5.222102731104948e-11,0.2000000000423391,0.19999999997648787,-2.8745977424988935e-25,0.19999999961590142,0.19999999997275697,-2.8745977424988935e-25,4.3559362990838254e-11,2.8511009791741812e-11,-2.8745977424988935e-25,1.8895652602942324e-10,0.20000000003222715,4.703971121150135e-11
2011-11-30,2.0952027968755168e-10,0.19999999979804348,0.19999999993348494,3.437984852064961e-24,0.19999999899483767,0.2000000000157864,3.437984852064961e-24,2.1438421717643645e-10,1.3015562304839625e-10,3.437984852064961e-24,0.19999999972521307,5.462323086908826e-10,4.323422000439435e-10
2011-12-31,0.1999999999985989,0.19999999999814894,0.19999999997694684,-9.845133202324309e-26,0.19999999991998246,0.20000000000577345,-9.845133202324309e-26,8.780092626898669e-12,1.3627561720939032e-11,-9.845133202324309e-26,5.1268053280758e-11,4.7149001331916986e-12,2.2158729299125988e-11
2012-01-31,5.493767430438323e-12,1.1085163620220059e-10,0.19999999927044326,7.901094014037124e-24,2.532992643552663e-10,0.20000000008781452,7.901094014037124e-24,0.2000000002584451,0.19999999935275692,7.901094014037124e-24,0.20000000030710044,8.066861004520674e-11,2.731266246419531e-10
2012-02-29,0.2000000000198478,5.767047239775306e-13,4.954140920343046e-11,-1.7916109577382468e-25,8.402317059099542e-12,8.56943544069693e-10,-1.7916109577382468e-25,0.20000000002666968,0.1999999993380641,-1.7916109577382468e-25,0.20000000003839874,0.19999999965301465,8.54117394707541e-12
2012-03-31,0.19999999998647597,1.0654321737391634e-11,2.0747020111173494e-12,5.337804994518124e-25,-7.405539615815985e-12,2.7766737812626562e-11,5.337804994518124e-25,0.19999999999595616,0.19999999994640308,5.337804994518124e-25,0.20000000001566912,0.20000000000173282,-5.861493816211512e-12
2012-04-30,1.8572749040593204e-11,0.19999999970306073,0.19999999997580287,-2.722081248168325e-25,0.19999999997959103,0.19999999999495144,-2.722081248168325e-25,1.8144518273629904e-11,1.2349576287706289e-11,-2.722081248168325e-25,0.20000000000142765,6.541177717414319e-12,2.895581509677832e-10
2012-05-31,2.05614592480115e-11,0.19999999999400617,0.20000000000020426,-1.1841174959410401e-25,0.19999999997692058,0.20000000001141588,-1.1841174959410401e-25,4.846307948624718e-11,2.760792878406883e-11,-1.1841174959410401e-25,3.871157784622615e-11,9.663105426612098e-12,0.19999999987244582
2012-06-30,1.2377485398027373e-10,0.199999999828803,0.19999999986883604,1.7756128051417032e-24,0.19999999994830506,0.20000000001220913,1.7756128051417032e-24,1.9059577317886744e-10,9.414501969212394e-11,1.7756128051417032e-24,0.19999999967258916,5.1060982337535205e-11,2.0968097258133133e-10
2012-07-31,3.6192637422946347e-12,0.19999999999531878,0.19999999999838874,-3.0817978324761387e-25,0.20000000000056428,0.20000000000198948,-3.0817978324761387e-25,6.875874423024582e-12,2.5348213416787035e-12,-3.0817978324761387e-25,7.97511969968095e-12,2.079194503318908e-12,0.19999999998065437
2012-08-31,2.635238523201355e-11,0.19999999999239781,0.19999999993709885,-5.84019313094218e-25,0.19999999999118112,0.20000000000672052,-5.84019313094218e-25,2.7525806324624272e-11,1.782563922461519e-11,-5.84019313094218e-25,0.19999999943807495,1.3667183323464672e-11,5.491557322144814e-10
2012-09-30,2.8768488014869112e-11,0.19999999996027912,0.19999999983891217,-1.2522924168010662e-23,0.1999999999467108,0.19999999999949336,-1.2522924168010662e-23,3.927171240909625e-11,3.091367482552046e-11,-1.2522924168010662e-23,0.19999999569547894,1.622034837129768e-11,4.443951281766997e-09
2012-10-31,0.19999999922275108,1.934047329411795e-09,0.19999999621876782,2.8571237821858235e-24,1.950562586729308e-09,0.2000000000398125,2.8571237821858235e-24,0.1999999976772637,6.612896621832484e-10,2.8571237821858235e-24,0.20000000012015043,7.928929406321445e-10,1.3824619998743097e-09
2012-11-30,0.19999999996373077,7.58733330283572e-11,0.19999999712108843,5.398186646452573e-25,8.103005148458023e-11,0.19999999997012635,5.398186646452573e-25,0.1999999999463393,8.242824996119977e-11,5.398186646452573e-25,0.20000000006240778,2.5099522717938007e-09,1.8702361390427108e-10
2012-12-31,0.20000000002747922,1.5599875094017854e-11,3.29132989492959e-10,-1.4071999366401848e-25,1.7769370043235104e-11,3.35042866277085e-10,-1.4071999366401848e-25,0.2000000000024346,0.1999999992244265,-1.4071999366401848e-25,0.20000000003647067,0.20000000000173623,9.907793829107873e-12
2013-01-31,0.19999999999830173,-2.6569904386625497e-12,-5.044289153394051e-13,5.310127898488392e-24,2.687813248853743e-12,1.0021800259882815e-10,5.310127898488392e-24,0.19999999995779225,0.19999999994557546,5.310127898488392e-24,0.20000000001058663,0.1999999999786505,3.026236877481282e-12
2013-02-28,0.1999999999075941,0.1999999994069288,0.19999999981839486,-4.324673858455749e-24,6.254634980905529e-10,2.43664600298603e-08,-4.324673858455749e-24,1.8371455038120637e-09,7.121162254825172e-10,-4.324673858455749e-24,0.20000000000986465,5.6213015616271146e-08,0.19999991710301673
2013-03-31,0.2000000000116058,0.19999999949095024,0.1999999999240342,2.676731476239925e-25,4.1789694174307495e-11,1.6733600961876233e-10,2.676731476239925e-25,8.274385873294367e-11,3.909374506815321e-11,2.676731476239925e-25,0.19999999997972512,0.1999999999746925,2.880288874977593e-10
