,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,
2009-10-31,-4.377621924041174e-25,-4.377621924041174e-25,0.20000000000402893,8.076181203837181e-12,3.2130973152710593e-12,6.224849074362898e-12,0.20000000001186416,4.159163822325582e-12,1.3271110872645749e-11,5.966943399951645e-12,0.19999999997477821,0.19999999996534354,4.9957067636906275e-25,0.20000000000307394
2009-11-30,-1.1333496835507577e-25,-1.1333496835507577e-25,0.19999999999916,0.19999999996103515,-8.960241621561731e-13,4.706565203427833e-11,0.20000000000406837,0.19999999999714604,5.226065083688653e-13,6.087812631889718e-13,1.239935232773607e-11,0.19999999997541665,9.473850692070148e-26,1.6814338874545207e-12
2009-12-31,-5.134516354766765e-25,-5.134516354766765e-25,0.20000000001444887,2.35866744421685e-10,1.4629716290940495e-11,1.7045010243059204e-11,0.20000000001005105,1.562899570320019e-10,0.1999999999904936,0.19999999995694487,1.7458404822610438e-10,6.869197971813326e-09,-1.5932881359702168e-25,0.19999999256044831
2010-01-31,4.379032754667489e-25,4.379032754667489e-25,0.19999999999257245,1.192200935669709e-11,-1.8127064749583137e-12,4.314739367271705e-12,0.2000000000039797,0.1999999999573423,0.2000000000046836,1.2742586634506225e-11,-3.5990031033711387e-12,0.20000000000175444,7.325036254112852e-26,5.27655955687073e-12
2010-02-28,3.336208405244455e-25,3.336208405244455e-25,0.20000000000399182,0.20000000000129828,-1.8846304430753e-10,2.32750990479115e-12,7.653099923460162e-12,3.692223032043581e-12,0.1999999999972932,1.0431330603453685e-11,1.6086664579808579e-12,0.19999999978302507,8.120090221840765e-25,0.20000000000021573
2010-03-31,1.8752126159986573e-24,1.8752126159986573e-24,0.19999999999229748,5.569144865566445e-12,2.0746495384749398e-12,0.19999999998736323,0.19999999999069223,3.3085291157253058e-12,0.2000000000051819,4.7914550210559885e-12,0.20000000000245732,2.4428785315500545e-12,-3.1249846662404277e-24,3.821212095665252e-12
2010-04-30,-5.464386806123972e-23,-5.464386806123972e-23,0.20000000000635437,4.397241958856175e-12,1.118570015510319e-12,0.2000000000052324,0.20000000000082485,3.2301689475139627e-12,0.199999999962559,7.81455880716774e-12,5.695855760787915e-12,4.8181297012895225e-12,-5.477826181208674e-23,0.19999999999795498
2010-05-31,5.963781059261221e-25,5.963781059261221e-25,0.2000000000144681,-0.1999999999785423,-4.69326241965216e-11,9.736239869662897e-11,0.19999999960115827,1.9830769387665877e-10,1.0328511141573181e-11,1.5447106892007235e-12,-0.200000000021383,1.0131579195178568e-11,-1.2766808685271666e-24,-0.20000000001984075
2010-06-30,-8.299093970255531e-26,-8.299093970255531e-26,0.20000000007224175,-0.20000000008194566,-0.19999999905891774,0.19999999976421928,0.19999999994374412,9.229179994649421e-10,3.073135722892869e-11,-9.845187917830446e-12,3.175072844162567e-11,4.661899771813968e-11,-4.136726855560825e-24,3.706720119379178e-11
2010-07-31,1.2416746875298649e-26,1.2416746875298649e-26,-0.19999999998255552,-0.20000000000596607,-1.1540776208172523e-12,5.599462623267785e-12,0.19999999999415435,0.19999999999613427,2.7521773962282315e-12,0.20000000000163487,3.3137553100818687e-12,3.4290517791591865e-12,1.9157392092863366e-25,3.3065889785520018e-12
2010-08-31,-5.4767557061750695e-25,-5.4767557061750695e-25,-7.349827858462824e-11,-9.98341619114186e-12,-0.20000000001774265,4.03379078109612e-11,-4.9463818139321866e-11,-8.836143283753339e-11,-0.19999999992869655,-0.19999999987686462,-0.19999999987998382,-4.018821939947718e-11,3.2465610985629973e-25,-0.1999999999948794
2010-09-30,4.228984868571527e-25,4.228984868571527e-25,0.20000000001046325,0.2000000000107786,-1.8987567818553963e-12,4.963424106742066e-12,0.1999999999995936,3.4780432509655854e-12,2.065541710415141e-12,0.19999999995409423,0.20000000000670357,3.774705122841781e-12,-1.7357813040974944e-25,2.1863434947646004e-12
2010-10-31,-4.303332110394734e-25,-4.303332110394734e-25,0.2000000000072554,0.20000000002516538,1.6316017611300528e-12,2.2742301651875085e-11,0.20000000002184215,7.07788133870253e-10,6.8621860821006254e-12,0.2000000000179176,1.1527552343712193e-11,7.1379366314150145e-12,4.0075401853297088e-25,0.19999999917012973
2010-11-30,8.112119526844388e-26,8.112119526844388e-26,0.2000000000085818,0.2000000000009903,-1.614863113211638e-12,0.19999999988139683,0.1999999996075885,4.831866367091502e-10,2.7609872356963884e-12,0.19999999999990414,2.728850478505205e-12,2.773777442997776e-12,-1.2161340368504237e-25,8.473376429188071e-12
2010-12-31,9.132601693237519e-26,9.132601693237519e-26,0.2000000000013444,0.20000000000153836,-3.683614580073727e-15,1.00004229665896e-12,0.19999999999864987,8.31323255216161e-12,2.946456040400083e-13,1.022214216453582e-12,0.19999999999145193,2.825590438431835e-13,4.979490119652667e-26,0.19999999999609902
2011-01-31,1.0971620157916281e-25,1.0971620157916281e-25,0.19999999999911808,2.853576414021114e-12,4.868522488235017e-13,1.7163258724830226e-11,0.19999999998816806,0.2000000000041453,2.130439325835793e-12,0.1999999999941776,2.7981249424358895e-12,1.933895320230689e-12,4.0840270267731727e-25,0.19999999998702486
2011-02-28,1.9012323006776412e-23,1.9012323006776412e-23,1.975354040250713e-11,0.20000000017393868,1.1100258525763377e-10,0.2000000002515092,0.20000000028637793,0.19999999985587508,4.929489588909992e-11,3.041678579971193e-11,0.19999994679304978,5.2274631309492447e-08,8.109002095837056e-24,1.541503091006633e-10
2011-03-31,1.1245330803027447e-25,1.1245330803027447e-25,0.1999999991020262,0.2000000000062916,7.720187641541859e-12,0.20000000000674784,0.20000000001568602,0.20000000000150048,1.9059442106813856e-11,1.5745343083546444e-11,6.073104255926796e-10,1.9176707138149376e-10,-7.327377266898853e-26,2.6145405024469798e-11
2011-04-30,-9.016894939263928e-25,-9.016894939263928e-25,0.1999999999782108,0.19999999998764892,8.39399071693346e-12,0.19999999990657485,0.20000000000098764,8.989755739608749e-11,6.231741392919743e-11,2.885709717856292e-10,7.737793750181381e-11,2.9796360018614726e-11,-4.1290699801692716e-25,0.19999999957022352
2011-05-31,4.911838341168259e-26,4.911838341168259e-26,0.2000000000033318,0.19999999990580797,1.0752707786694972e-12,0.19999999998471824,1.8168265444289202e-11,7.656914601945959e-12,7.135508948708037e-11,0.19999999999478846,9.012300970087346e-12,5.8842785121882555e-12,-2.0713412038159303e-25,0.19999999999820148
2011-06-30,3.6164611712110525e-26,3.6164611712110525e-26,0.20000000000261942,0.19999999999936965,-2.906578898097698e-13,0.20000000000205995,0.19999999996885975,0.19999999999354398,8.871300684835077e-12,1.526529982707542e-12,6.675130696125399e-12,8.769641198343608e-12,-2.761561461098623e-26,7.414010750691098e-12
2011-07-31,-6.474747421856988e-25,-6.474747421856988e-25,0.2000000000026205,0.19999999999119408,-8.06510150896718e-12,0.20000000000147466,0.19999999997767778,0.199999999998255,4.2003290148109055e-12,1.9510740693362813e-13,4.021868583475853e-12,8.136389162285922e-12,1.3796085190310398e-23,4.159329721659747e-12
2011-08-31,-1.6430025696095248e-24,-1.6430025696095248e-24,0.19999999997531354,1.63165757787467e-11,-0.19999999984450312,0.19999999988928793,0.19999999987833803,0.1999999998887759,1.3524227772007934e-10,-1.425605398220893e-10,-5.5035668061516593e-11,9.424644556305867e-11,1.3318699398925507e-24,-8.038008131764634e-11
2011-09-30,6.337808923527313e-26,6.337808923527313e-26,2.2978931497273493e-10,0.2000000000022899,-0.19999999975703248,9.76453877763349e-13,0.20000000000298157,0.20000000000124699,7.664629926235013e-14,-7.223493765762688e-12,-1.140913443380009e-13,0.19999999999824783,-3.6846235066737016e-26,2.1352833016611303e-14
2011-10-31,3.6819488611552173e-26,3.6819488611552173e-26,0.1999999999898681,0.2000000000023835,-7.350859900608302e-13,3.090850338792447e-12,0.20000000000245502,0.19999999999877896,5.587591715023422e-13,5.668866476845749e-13,5.961424931194564e-13,0.20000000000016813,-8.902369909445095e-26,7.985989610167444e-13
2011-11-30,-6.355856296273276e-25,-6.355856296273276e-25,0.19999999996432918,-0.20000000001223184,-1.789561980817159e-12,6.9336793530272775e-12,-0.20000000001260915,0.19999999997347068,3.5057933158449666e-12,4.643457058270569e-12,3.3313695172542003e-12,-0.20000000001214577,-4.048279543295861e-25,5.009582908772571e-12
2011-12-31,-1.1610938879422075e-26,-1.1610938879422075e-26,3.570553160388351e-13,-3.8704630897693967e-13,2.219345092752863e-14,1.2982300458241321e-13,-0.19999999999899457,-0.20000000000016321,-0.20000000000000825,1.6371044909714983e-13,-0.19999999999872117,-0.19999999999996257,-3.7311318067282774e-13,-7.172207435643747e-13
2012-01-31,6.343289628593107e-26,6.343289628593107e-26,0.19999999982111918,4.800852866430105e-10,4.222321812167954e-11,1.9625683860256832e-10,0.20000000011500665,0.1999999999543605,-0.19999999939403001,2.219815212642749e-10,-3.0926750594581383e-10,-1.9525162233923963e-10,0.19999999908006938,1.9034836668423718e-10
2012-02-29,-6.200520376522404e-27,-6.200520376522404e-27,0.19999999999641344,-1.6609867746610746e-12,1.7038705949431703e-12,5.410632150050579e-12,1.878868887981777e-12,3.587374421315056e-12,0.19999999996978754,0.20000000000099658,1.4600665133725148e-11,-0.199999999993843,0.20000000000118945,8.92764090967423e-12
2012-03-31,-7.862226908512035e-26,-7.862226908512035e-26,2.6953825361618274e-12,-0.2000000000009578,-0.1999999999992747,1.0944215443561725e-12,-0.19999999999291673,5.5860897360118383e-14,-1.3237265612293724e-11,-5.4567062860608935e-12,-0.19999999997221007,-0.19999999999873883,2.538553506068939e-12,-1.0823728663414073e-11
2012-04-30,4.306235504701723e-26,4.306235504701723e-26,6.182357467947999e-12,3.3780333404871005e-11,1.1659342743711681e-11,2.843023716614163e-12,0.19999999999647672,3.5083352019315255e-11,0.1999999999670396,2.1073791143465468e-12,0.19999999993778836,0.2000000000000843,4.177285471097132e-12,0.200000000002778
2012-05-31,-3.3345211720027435e-25,-3.3345211720027435e-25,8.100110108433121e-12,-3.639932037313326e-11,-0.200000000006749,6.053224491411049e-12,-0.19999999995172038,7.303617791567634e-13,-0.19999999998610052,1.8781123957213902e-12,-0.19999999999415266,-3.715252548847165e-11,-0.1999999999683955,2.5682380568947597e-12
2012-06-30,8.395437558224475e-26,8.395437558224475e-26,7.68394532415931e-13,0.20000000000116172,0.20000000000048113,4.547139424153281e-13,6.336768603186077e-13,2.302957995815595e-13,0.19999999999535994,2.710902025085698e-13,0.19999999999975468,0.20000000000056653,-3.8957393063504024e-14,2.787969450372004e-13
2012-07-31,2.0955533805677978e-26,2.0955533805677978e-26,0.1999999999962018,0.20000000000171184,-3.951058354207793e-13,1.5182776172305628e-12,9.244870359315413e-13,3.956522018925872e-13,0.20000000000052975,2.8542450046861454e-11,0.20000000000082047,0.19999999996727288,4.4975275220392177e-13,1.2375486866264572e-12
2012-08-31,-1.5495441515410688e-24,-1.5495441515410688e-24,0.20000000000864218,0.20000000012043453,-1.2124199698583542e-11,0.19999999977785127,9.119665160993812e-11,5.062986835559677e-12,4.2918882299022075e-11,8.046078963161359e-12,4.060857902577992e-11,0.20000000010004954,-0.19999999978786084,5.204181559837584e-12
2012-09-30,-7.716994566839541e-25,-7.716994566839541e-25,0.19999999999648507,0.20000000001861587,-2.5057862404384644e-12,0.19999999994186496,3.5811874213331925e-12,3.0486856988974764e-12,2.704479349305725e-12,9.044203386003353e-12,3.3718253590725395e-12,0.20000000001084994,-0.19999999998204085,2.588713896107254e-11
2012-10-31,-1.5315382610407424e-25,-1.5315382610407424e-25,0.20000000000340862,4.543197158760106e-12,-0.19999999996812495,0.19999999998013188,4.593525319861224e-12,1.1653264844313572e-11,-6.5946387382908626e-12,-4.164781394820909e-12,-2.0914875380688145e-12,-0.2000000000017499,-0.2000000000092779,-3.6659278736554336e-12
2012-11-30,-1.1007965623198343e-24,-1.1007965623198343e-24,0.20000000003319238,6.009485263912836e-11,-5.627416292117484e-09,0.20000000000626997,0.1999999940529359,1.1041997325736626e-10,-1.7397763914581295e-11,-1.2504746249569209e-11,4.28283017936529e-14,-0.20000000001177115,-0.20000000005641333,1.1541000322659334e-11
2012-12-31,5.1867734932194974e-24,5.1867734932194974e-24,0.19999999999263304,4.7538110724017265e-12,-7.323606978519393e-12,0.19999999973687665,-0.2000000000403153,3.5225378716752904e-11,-3.3909656009142243e-11,-2.6761239594546816e-11,-3.011115600680203e-11,-4.140588052090835e-11,-0.20000000004626475,-0.20000000000441956
