,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,1.067123555967143e-23,1.067123555967143e-23,1.067123555967143e-23,1.067123555967143e-23,1.0,1.067123555967143e-23,1.067123555967143e-23,1.4045576804879468e-22,5.311061199504312e-19
2009-11-30,6.400728261192421e-23,6.400728261192421e-23,6.400728261192421e-23,6.400728261192421e-23,1.0,6.400728261192421e-23,6.400728261192421e-23,7.77721754818659e-22,2.857836958278551e-18
2009-12-31,4.273172692713694e-22,4.273172692713694e-22,4.273172692713694e-22,4.273172692713694e-22,1.0,4.273172692713694e-22,4.273172692713694e-22,3.911007902911227e-21,1.3728351391093729e-17
2010-01-31,2.1321474225381024e-21,2.1321474225381024e-21,2.1321474225381024e-21,2.1321474225381024e-21,1.0,2.1321474225381024e-21,2.1321474225381024e-21,1.9625876989258043e-20,6.873514255410663e-17
2010-02-28,1.0788854980558843e-20,1.0788854980558843e-20,1.0788854980558843e-20,1.0788854980558843e-20,0.9999999999999998,1.0788854980558843e-20,1.0788854980558843e-20,9.823915551889026e-20,3.4335825763033613e-16
2010-03-31,2.6880387651768617e-20,2.6880387651768617e-20,2.6880387651768617e-20,0.4999999997984041,0.5000000002015951,2.6880387651768617e-20,2.6880387651768617e-20,2.458045122198437e-19,8.594824560347625e-16
2010-04-30,6.721371622419352e-20,6.721371622419352e-20,6.721371622419352e-20,0.49999999992287764,0.5000000000771202,6.721371622419352e-20,6.721371622419352e-20,6.144916271669544e-19,2.1489952009525177e-15
2010-05-31,1.1199189027863197e-19,1.1199189027863197e-19,1.1199189027863197e-19,0.3333333331309216,0.33333333343465155,1.1199189027863197e-19,1.1199189027863197e-19,1.0243866837445656e-18,-0.3333333334344268
2010-06-30,1.8658090789605979e-19,1.8658090789605979e-19,1.8658090789605979e-19,-0.3333333214743046,0.3333333392464141,1.8658090789605979e-19,1.8658090789605979e-19,1.7072888794564836e-18,-0.3333333392792814
2010-07-31,3.103174076565273e-19,3.103174076565273e-19,3.103174076565273e-19,0.3333333328599903,0.33333333362048134,3.103174076565273e-19,3.103174076565273e-19,2.8458003514649523e-18,-0.33333333351952826
2010-08-31,5.171310631914857e-19,5.171310631914857e-19,5.171310631914857e-19,0.33333333326517944,0.3333333333838396,5.171310631914857e-19,5.171310631914857e-19,4.742986706759456e-18,-0.33333333335098103
2010-09-30,8.61960290681096e-19,8.61960290681096e-19,8.61960290681096e-19,0.33333333331397086,0.33333333338032434,8.61960290681096e-19,8.61960290681096e-19,7.905026986514811e-18,0.3333333333057047
2010-10-31,1.43654500924613e-18,1.43654500924613e-18,1.43654500924613e-18,0.33333333347528477,0.3333333335503133,1.43654500924613e-18,1.43654500924613e-18,1.3175166950508677e-17,-0.333333332974402
2010-11-30,2.3942768808660282e-18,2.3942768808660282e-18,2.3942768808660282e-18,0.33333333318941166,0.33333333342599897,2.3942768808660282e-18,2.3942768808660282e-18,2.195894608655449e-17,-0.3333333333845894
2010-12-31,3.989997351133032e-18,3.989997351133032e-18,3.989997351133032e-18,0.3333333332901774,0.3333333333907338,3.989997351133032e-18,3.989997351133032e-18,3.659880249114348e-17,-0.3333333333190886
2011-01-31,6.649819498222403e-18,6.649819498222403e-18,6.649819498222403e-18,0.33333333329154796,0.33333333336749266,6.649819498222403e-18,6.649819498222403e-18,6.099744782020916e-17,-0.33333333334095927
2011-02-28,1.1083022910028426e-17,1.1083022910028426e-17,1.1083022910028426e-17,0.3333333333327392,0.3333333333334983,1.1083022910028426e-17,1.1083022910028426e-17,1.0166241439388944e-16,-0.3333333333337626
2011-03-31,1.8471956439796135e-17,1.8471956439796135e-17,1.8471956439796135e-17,0.33333333345417954,0.3333333335127093,1.8471956439796135e-17,1.8471956439796135e-17,1.6943721394160863e-16,0.333333333033111
2011-04-30,3.078658675002901e-17,3.078658675002901e-17,3.078658675002901e-17,0.33333333333556436,0.33333333334008414,3.078658675002901e-17,3.078658675002901e-17,2.8239545106722107e-16,-0.33333333332435094
2011-05-31,3.848323145524447e-17,3.848323145524447e-17,3.848323145524447e-17,0.24999999999909409,0.2500000000002674,3.848323145524447e-17,3.848323145524447e-17,-0.25000000000108413,-0.24999999999955425
2011-06-30,4.8104090255093536e-17,4.8104090255093536e-17,4.8104090255093536e-17,0.24999999997853825,0.2500000000039427,4.8104090255093536e-17,4.8104090255093536e-17,-0.2500000000125211,-0.25000000000499784
2011-07-31,6.013011440673682e-17,6.013011440673682e-17,6.013011440673682e-17,0.24999999999723233,0.2500000000003739,6.013011440673682e-17,6.013011440673682e-17,-0.25000000000164485,-0.2500000000007486
2011-08-31,7.516268711171626e-17,7.516268711171626e-17,7.516268711171626e-17,0.24999999997428665,0.25000000000471984,7.516268711171626e-17,7.516268711171626e-17,-0.2500000000124467,-0.25000000000854633
2011-09-30,9.395312496009274e-17,9.395312496009274e-17,9.395312496009274e-17,0.2499999995641833,0.25000000011321677,9.395312496009274e-17,9.395312496009274e-17,-0.2500000001632535,-0.2500000001593458
2011-10-31,1.1744153959850514e-16,1.1744153959850514e-16,1.1744153959850514e-16,0.24999999993200892,0.2500000000183674,1.1744153959850514e-16,1.1744153959850514e-16,-0.2500000000300656,-0.25000000001955763
2011-11-30,1.4680194456215193e-16,1.4680194456215193e-16,1.4680194456215193e-16,0.25000000002779277,0.25000000004362777,1.4680194456215193e-16,1.4680194456215193e-16,-0.2500000000459881,-0.2499999998825907
2011-12-31,1.8350243998334555e-16,1.8350243998334555e-16,1.8350243998334555e-16,0.25000000000187644,0.2500000000050755,1.8350243998334555e-16,1.8350243998334555e-16,-0.2500000000065046,0.24999999998654263
2012-01-31,2.293780657302371e-16,2.293780657302371e-16,2.293780657302371e-16,0.24999999999771477,0.25000000000841816,2.293780657302371e-16,2.293780657302371e-16,-0.25000000001203526,-0.24999999998183056
2012-02-29,2.867225854299552e-16,2.867225854299552e-16,2.867225854299552e-16,0.2500000000005864,0.25000000000281625,2.867225854299552e-16,2.867225854299552e-16,-0.25000000000450795,0.249999999992088
2012-03-31,3.5840323501554897e-16,3.5840323501554897e-16,3.5840323501554897e-16,0.25000000000013084,0.25000000000223227,3.5840323501554897e-16,3.5840323501554897e-16,-0.2500000000035756,-0.24999999999405953
2012-04-30,4.480042736291445e-16,4.480042736291445e-16,4.480042736291445e-16,0.24999999990331548,0.2500000002020687,4.480042736291445e-16,4.480042736291445e-16,-0.2500000002437705,-0.24999999965084305
2012-05-31,1.7231855862487028e-19,1.7231855862487028e-19,1.7231855862487028e-19,0.19999999963619614,0.20000000006507054,1.7231855862487028e-19,-0.20000000011324945,-0.2000000001170033,-0.20000000006848076
2012-06-30,5.588512394726105e-23,5.588512394726105e-23,5.588512394726105e-23,0.19999999998322104,0.20000000000106805,5.588512394726105e-23,-0.2000000000093643,-0.20000000000979692,-0.19999999999654983
2012-07-31,-4.290836734132844e-25,-4.290836734132844e-25,-4.290836734132844e-25,5.137258063474218e-11,0.20000000000134738,-0.20000000001584226,-0.2000000000201835,-0.20000000001707607,-0.19999999989417813
2012-08-31,-7.350620866749148e-26,-7.350620866749148e-26,-7.350620866749148e-26,0.19999999998975973,0.20000000000092225,-0.20000000000112,-0.20000000000157775,-0.20000000000166657,-4.9537523228261274e-12
2012-09-30,5.867135239000718e-26,5.867135239000718e-26,5.867135239000718e-26,0.19999999994980083,0.20000000000054127,-0.20000000000074936,-0.20000000000115442,-0.2000000000009029,-4.685145752926033e-11
2012-10-31,-3.42399640783396e-25,-3.42399640783396e-25,-3.42399640783396e-25,0.19999999948949107,0.2000000000182814,-0.20000000001927937,-0.20000000002109974,-0.20000000001927545,-4.3257312906710464e-10
2012-11-30,3.0605969553720987e-25,3.0605969553720987e-25,3.0605969553720987e-25,0.19999999967237406,0.20000000001130785,-0.20000000002309767,-0.20000000003012375,-0.20000000002972493,-2.3337175403287067e-10
2012-12-31,-5.613371563446805e-25,-5.613371563446805e-25,-5.613371563446805e-25,0.19999999977195942,0.2000000000091384,-0.20000000001652848,-0.2000000000232225,-0.2000000000250598,-1.5409149757771955e-10
2013-01-31,-5.714385348083749e-25,-5.714385348083749e-25,-5.714385348083749e-25,0.1999999999875433,0.20000000000020712,-0.200000000000574,-0.2000000000017159,-0.2000000000009895,-8.970146767208656e-12
2013-02-28,-2.3191376658997817e-23,-2.3191376658997817e-23,-2.3191376658997817e-23,0.1999999973150375,0.1999999999732289,-0.20000000011495794,-0.20000000012973196,-0.20000000012205396,-2.3449897326665065e-09
2013-03-31,-3.909911061305332e-24,-3.909911061305332e-24,-3.909911061305332e-24,0.19999999989140022,0.20000000001710083,-0.20000000002963358,-0.20000000002154703,-0.20000000003433102,-5.9874044019499396e-12
2013-04-30,5.4971190976387514e-24,5.4971190976387514e-24,5.4971190976387514e-24,0.19999999988499453,-0.20000000006860533,1.301093244691061e-09,0.200000000184393,-0.20000000014149538,0.1999999984194186
2013-05-31,1.01628252275275e-24,1.01628252275275e-24,1.01628252275275e-24,2.602599690723696e-11,-0.2000000000238561,0.19999999994237777,0.2000000000238561,-0.200000000013912,0.19999999996997225
2013-06-30,8.43153068940254e-24,8.43153068940254e-24,8.43153068940254e-24,3.054501928845708e-12,-0.20000000002116147,-0.19999999999645332,-0.20000000002116147,-0.1999999999982954,0.1999999999598736
2013-07-31,-3.7134222105255676e-27,-3.7134222105255676e-27,-3.7134222105255676e-27,4.9418220804031474e-12,-0.20000000000166956,-0.2000000000010406,0.19999999999221862,-0.20000000000113605,0.19999999999899337
2013-08-31,-7.641397932335755e-24,-7.641397932335755e-24,-7.641397932335755e-24,0.19999999842941438,-0.20000000004395715,-0.20000000017176228,-0.20000000018972744,-0.2000000001647926,1.0003463032497875e-09
2013-09-30,-3.847344522225877e-24,-3.847344522225877e-24,-3.847344522225877e-24,0.19999999995428047,-0.20000000001623564,-0.19999999997984338,0.20000000002337237,-0.2000000000225585,-3.709740259071859e-12
2013-10-31,-1.6807636312835735e-24,-1.6807636312835735e-24,-1.6807636312835735e-24,0.1999999999455585,-0.20000000000570484,-0.19999999999076723,-0.2000000000156833,-0.2000000000156833,-2.6602926019017005e-11
2013-11-30,3.507803795662198e-24,3.507803795662198e-24,3.507803795662198e-24,0.19999999685777334,-0.20000000002902865,-0.1999999999752404,-0.2000000000185596,-0.20000000003015467,-3.0892434481873258e-09
2013-12-31,6.485380709426663e-24,6.485380709426663e-24,6.485380709426663e-24,0.19999999981087696,-0.20000000003017707,0.20000000003339302,-0.19999999999052626,-0.20000000003111243,-1.0391421809754693e-10
2014-01-31,5.826750981539123e-25,5.826750981539123e-25,5.826750981539123e-25,2.403422377435543e-11,-0.1999999997931942,0.2000000000644053,0.2000000000899208,-0.2000000000694673,0.19999999995897838
2014-02-28,-6.672935382608073e-26,-6.672935382608073e-26,-6.672935382608073e-26,9.951183340814053e-12,-0.20000000000122828,0.1999999999823706,0.20000000002636212,-0.20000000001205517,0.19999999996803258
2014-03-31,6.265532244630683e-24,6.265532244630683e-24,6.265532244630683e-24,1.8502716960768066e-11,0.19999999991294085,-0.19999999993113673,-0.2000000000526469,-0.20000000002698765,0.20000000005778504
2014-04-30,1.836582365958461e-24,1.836582365958461e-24,1.836582365958461e-24,0.19999999993741965,0.20000000001677995,-0.19999999953031397,0.20000000005128968,-0.2000000000498351,-4.143617200995723e-10
2014-05-31,3.4540519214206096e-23,3.4540519214206096e-23,3.4540519214206096e-23,0.1999999981662432,-0.2000000002113565,0.20000000027333187,0.20000000035747573,-0.2000000002940966,-6.974961030815937e-10
2014-06-30,3.3567585625964994e-24,3.3567585625964994e-24,3.3567585625964994e-24,0.19999999995318882,0.19999999983291386,-0.20000000006617288,-0.2000000000584464,-0.20000000006614693,-2.31311415650022e-11
2014-07-31,2.1460470785812794e-25,2.1460470785812794e-25,2.1460470785812794e-25,0.19999999991892226,-0.19999999996268308,-0.20000000003475965,-0.20000000003273352,-0.20000000003533844,-1.5563125689155375e-11
2014-08-31,3.6757782453750526e-25,3.6757782453750526e-25,3.6757782453750526e-25,0.1999999999591655,-0.199999999866561,-0.20000000000396767,-0.20000000000375465,-0.20000000000348164,-1.6306954243482278e-10
2014-09-30,-1.0447120866160857e-24,-1.0447120866160857e-24,-1.0447120866160857e-24,0.1999999996809969,-0.20000000002991722,0.2000000000276485,0.20000000003259857,2.770693769871638e-10,-0.19999999995176934
2014-10-31,9.64465184160139e-25,9.64465184160139e-25,9.64465184160139e-25,-1.3124160993487678e-10,0.20000000000630416,0.2000000000380891,0.2000000000566777,-0.1999999998139843,-0.19999999995370338
