Date,Universe,Model,Calib,Ticker,Weight
2008-10-31,ALL,RF_longonly,affine,BITW,
2008-11-30,ALL,RF_longonly,affine,BITW,
2008-12-31,ALL,RF_longonly,affine,BITW,
2009-01-31,ALL,RF_longonly,affine,BITW,
2009-02-28,ALL,RF_longonly,affine,BITW,
2009-03-31,ALL,RF_longonly,affine,BITW,
2009-04-30,ALL,RF_longonly,affine,BITW,
2009-05-31,ALL,RF_longonly,affine,BITW,
2009-06-30,ALL,RF_longonly,affine,BITW,
2009-07-31,ALL,RF_longonly,affine,BITW,
2009-08-31,ALL,RF_longonly,affine,BITW,
2009-09-30,ALL,RF_longonly,affine,BITW,
2009-10-31,ALL,RF_longonly,affine,BITW,5.198322531161947e-13
2009-11-30,ALL,RF_longonly,affine,BITW,1.2720673506944153e-13
2009-12-31,ALL,RF_longonly,affine,BITW,4.229904105088379e-12
2010-01-31,ALL,RF_longonly,affine,BITW,2.618893625270903e-12
2010-02-28,ALL,RF_longonly,affine,BITW,2.382070127782213e-11
2010-03-31,ALL,RF_longonly,affine,BITW,1.8039863905184562e-12
2010-04-30,ALL,RF_longonly,affine,BITW,2.621948961049629e-12
2010-05-31,ALL,RF_longonly,affine,BITW,8.796427129162985e-12
2010-06-30,ALL,RF_longonly,affine,BITW,0.033333333331491376
2010-07-31,ALL,RF_longonly,affine,BITW,3.481524965143994e-11
2010-08-31,ALL,RF_longonly,affine,BITW,2.2390291124134894e-11
2010-09-30,ALL,RF_longonly,affine,BITW,5.677848899714477e-13
2010-10-31,ALL,RF_longonly,affine,BITW,4.619394280737785e-12
2010-11-30,ALL,RF_longonly,affine,BITW,1.1394656176670102e-12
2010-12-31,ALL,RF_longonly,affine,BITW,1.0805571458412672e-13
2011-01-31,ALL,RF_longonly,affine,BITW,5.740740114339472e-13
2011-02-28,ALL,RF_longonly,affine,BITW,8.181676667512275e-13
2011-03-31,ALL,RF_longonly,affine,BITW,1.3029505217101316e-12
2011-04-30,ALL,RF_longonly,affine,BITW,1.5154092989520414e-12
2011-05-31,ALL,RF_longonly,affine,BITW,5.0270966326152125e-12
2011-06-30,ALL,RF_longonly,affine,BITW,6.585484782644955e-12
2011-07-31,ALL,RF_longonly,affine,BITW,9.527335754759439e-12
2011-08-31,ALL,RF_longonly,affine,BITW,3.5177584747934145e-12
2011-09-30,ALL,RF_longonly,affine,BITW,1.1222996874662005e-12
2011-10-31,ALL,RF_longonly,affine,BITW,1.931200944076611e-12
2011-11-30,ALL,RF_longonly,affine,BITW,8.269549890975834e-13
2011-12-31,ALL,RF_longonly,affine,BITW,6.886908520549272e-13
2012-01-31,ALL,RF_longonly,affine,BITW,4.339153139616546e-13
2012-02-29,ALL,RF_longonly,affine,BITW,3.329984269969313e-13
2012-03-31,ALL,RF_longonly,affine,BITW,1.0577349714447913e-13
2012-04-30,ALL,RF_longonly,affine,BITW,1.254524126986139e-13
2012-05-31,ALL,RF_longonly,affine,BITW,3.818466455927565e-14
2012-06-30,ALL,RF_longonly,affine,BITW,0.0
2012-07-31,ALL,RF_longonly,affine,BITW,0.0
2012-08-31,ALL,RF_longonly,affine,BITW,1.4802066133874928e-14
2012-09-30,ALL,RF_longonly,affine,BITW,3.9670671259481616e-14
2012-10-31,ALL,RF_longonly,affine,BITW,1.8805909682685784e-13
2012-11-30,ALL,RF_longonly,affine,BITW,1.219718194169137e-13
2012-12-31,ALL,RF_longonly,affine,BITW,9.63864795360288e-13
2013-01-31,ALL,RF_longonly,affine,BITW,1.3988358733556572e-13
2013-02-28,ALL,RF_longonly,affine,BITW,1.142745195769506e-13
2013-03-31,ALL,RF_longonly,affine,BITW,1.0996155912313365e-13
2013-04-30,ALL,RF_longonly,affine,BITW,1.1904023163368803e-13
2013-05-31,ALL,RF_longonly,affine,BITW,4.779963602568261e-14
2013-06-30,ALL,RF_longonly,affine,BITW,1.3723095458573735e-13
2013-07-31,ALL,RF_longonly,affine,BITW,9.995358904664994e-14
2013-08-31,ALL,RF_longonly,affine,BITW,8.286968360152645e-14
2013-09-30,ALL,RF_longonly,affine,BITW,4.9171732227130186e-14
2013-10-31,ALL,RF_longonly,affine,BITW,7.64917575709091e-14
2013-11-30,ALL,RF_longonly,affine,BITW,2.9029374318731127e-12
2013-12-31,ALL,RF_longonly,affine,BITW,1.0757364823807361e-12
2014-01-31,ALL,RF_longonly,affine,BITW,4.952983202972887e-14
2014-02-28,ALL,RF_longonly,affine,BITW,6.202577743695403e-14
2014-03-31,ALL,RF_longonly,affine,BITW,1.0420825367854872e-12
2014-04-30,ALL,RF_longonly,affine,BITW,1.0393233094680589e-13
2014-05-31,ALL,RF_longonly,affine,BITW,1.1510615816954325e-13
2014-06-30,ALL,RF_longonly,affine,BITW,1.0145109772523402e-13
