,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,
2009-10-31,0.199999998939592,7.585499325746262e-10,0.19999999909350308,0.0,0.19999999919986475,0.19999999941616461,0.0,8.390082993214189e-10,6.992907791004833e-10,0.0,0.19999999905696705,6.588278505946686e-10,1.3382314248595272e-09
2009-11-30,0.1999999998364597,1.745819316260915e-10,0.19999999970606858,0.0,0.19999999985717276,0.1999999998728801,0.0,2.2478964204465904e-10,1.6020751209925854e-10,0.0,0.1999999998488279,1.7473987074992437e-10,1.442718807412396e-10
2009-12-31,0.19999999965167214,3.885943915240815e-11,0.1999999999586181,0.0,0.1999999999648074,0.1999999999649317,0.0,3.2259232665242985e-10,4.984138526287319e-11,0.0,0.19999999996063306,4.3533573070898676e-11,4.4510833662440084e-11
2010-01-31,0.1999999997444725,6.8237539377814705e-12,0.19999999997210732,0.0,0.19999999999894955,0.19999999999822932,0.0,2.5574841509651537e-10,2.9021776008207484e-11,0.0,0.1999999999558129,2.671819204632978e-11,1.2116199445104381e-11
2010-02-28,0.19999999976385224,3.7132770809445616e-10,0.19999999989739212,0.0,0.1999999998779423,2.7323064011849466e-11,0.0,0.19999999989753797,8.704325702415072e-11,0.0,0.19999999988464018,1.6000916441194965e-10,3.2932114933991164e-11
2010-03-31,0.19999997552301238,2.2934644892189665e-10,0.19999999986109182,0.0,0.19999999913193212,2.527750955683578e-08,0.0,0.19999999990110623,3.031709419545643e-11,0.0,0.19999999998115942,2.4918895229176242e-11,3.96060275886516e-11
2010-04-30,0.1999999999760813,3.3781188799081068e-12,0.19999999996109805,0.0,0.19999999868233545,1.4624246880378493e-11,0.0,0.1999999999881491,1.2812274745995875e-09,0.0,0.19999999999271317,7.596314101038757e-11,2.4430066677333622e-11
2010-05-31,0.19999999998342247,5.6956151783484064e-11,2.3608966464962117e-11,0.0,1.5744812740643366e-11,2.068350265188395e-11,0.0,0.19999999998405357,0.19999999996313556,0.0,0.19999999998629142,0.1999999999622706,3.832984063078983e-12
2010-06-30,0.19999999998761,7.21270985438474e-12,9.144209556734858e-12,0.0,7.298633270189386e-12,2.9108067159977615e-11,0.0,0.19999999998777107,0.19999999998615972,0.0,0.1999999999895025,0.19999999998594095,1.0252285709670017e-11
2010-07-31,0.19999999996176426,2.063887377255952e-11,1.5883275151926907e-11,0.0,9.234636850351005e-11,4.5864538912625507e-11,0.0,0.1999999999627106,0.19999999993904663,0.0,0.19999999997302004,0.19999999995221523,3.6510118360585247e-11
2010-08-31,0.19999999999697793,3.4431882449010384e-12,4.989442968033149e-12,0.0,0.19999999998825177,5.911815379375731e-12,0.0,5.88722515904349e-12,0.19999999999674223,0.0,0.1999999999979027,0.19999999999689524,2.998439783729957e-12
2010-09-30,0.19999999941157592,1.0302688526547205e-10,0.19999999916017255,0.0,0.1999999994231486,0.19999999984062541,0.0,1.0223589751313652e-09,1.321915485249545e-10,0.0,0.19999999974184018,8.926022956204671e-10,2.724575893643862e-10
2010-10-31,2.571921684891389e-11,0.1999999999384677,0.19999999988103076,0.0,0.19999999978082575,0.19999999951384895,0.0,6.832425432582613e-10,0.19999999997460435,0.0,3.7564114812203435e-11,2.6699313273603662e-11,1.3799722218030617e-10
2010-11-30,0.19999999998308254,5.527090994706029e-11,0.1999999999854582,0.0,1.9667922380438753e-12,8.04495598837729e-13,0.0,0.19999999999387805,2.609320836610028e-12,0.0,0.1999999999916202,6.056695444172745e-12,0.19999999997925266
2010-12-31,0.19999999979163421,1.3731772818048246e-10,3.424062684159379e-10,0.0,8.805414452312281e-11,1.8840822145126469e-10,0.0,0.19999999962436982,0.19999999994553805,0.0,0.1999999998886936,0.19999999974488417,2.486938180347841e-10
2011-01-31,0.1999997004710079,0.19999999986513792,2.9883557575766825e-07,0.0,3.8208600244921437e-10,0.1999999991203411,0.0,0.19999999964306908,7.917325639832449e-10,0.0,0.19999999975970287,5.097624595040301e-10,6.215841734531915e-10
2011-02-28,0.1999999999870221,2.8780964329117515e-12,9.044593219915699e-12,0.0,1.935823759935598e-12,1.0459268056545001e-11,0.0,0.19999999996680987,0.1999999999861515,0.0,0.19999999999232548,0.19999999998530746,5.8065818774088454e-11
2011-03-31,0.19999999994804415,9.626546073141151e-12,8.927273131653687e-11,0.0,3.2157992227647775e-11,7.518234445075116e-11,0.0,0.199999999960287,0.19999999991682715,0.0,0.19999999996033924,0.19999999993781098,7.045200358490296e-11
2011-04-30,0.19999999988672473,0.19999999997736315,0.1999999999598299,0.0,8.210069476067023e-12,1.2194840624147517e-10,0.0,0.19999999999016957,2.8747827376488878e-11,0.0,0.19999999999184467,2.7104115388422715e-11,8.05759789141145e-12
2011-05-31,5.68189849687957e-11,0.19999999998428264,0.19999999999646081,0.0,2.6451540755439345e-11,0.19999999998803697,0.0,0.19999999993832218,4.351624819108053e-12,0.0,0.19999999999728307,4.5461851310144024e-12,3.4459835143151572e-12
2011-06-30,3.061663933473039e-11,0.19999999996144202,0.19999999993494402,0.0,5.956885326005598e-11,0.19999999993064563,0.0,0.19999999994396767,7.616675025152239e-11,0.0,0.1999999999477402,5.601877782698411e-11,5.888947998478697e-11
2011-07-31,6.029333154068822e-11,0.19999999995699586,0.19999999993940198,0.0,1.8813630557571088e-09,0.19999999993673329,0.0,0.1999999980702274,7.930498097055414e-11,0.0,0.19999999996041223,5.356913517726994e-11,6.169854448063794e-11
2011-08-31,1.2792794749831245e-10,0.19999999887337752,0.19999999995303389,0.0,4.816764650934624e-09,0.19999999995224815,0.0,0.19999999611522545,6.641786112813233e-11,0.0,0.19999999996706105,4.672220777614778e-11,8.12213670613704e-11
2011-09-30,7.013615820797224e-09,1.315108219877759e-09,0.19999999946267177,0.0,0.19999999977215205,0.19999999992397846,0.0,0.19999999129511256,2.5444943834176847e-10,0.0,0.19999999988431882,1.864723127488931e-10,8.921206593276559e-10
2011-10-31,0.19999999998560192,2.7204733339855065e-10,1.1844491578703661e-10,0.0,4.352018363833312e-11,0.19999999974864374,0.0,0.1999999999534998,2.271624645205745e-11,0.0,0.19999999998580242,0.1999999998394391,3.0284396486908864e-11
2011-11-30,3.3136765762891214e-10,0.19999999764042398,4.769821010204757e-09,0.0,1.0663989165953962e-10,0.19999998881570022,0.0,0.1999999999573147,8.723709705020054e-09,0.0,0.19999999998383627,0.1999999995570329,1.1415358522258643e-10
2011-12-31,3.028721073532845e-10,0.19999999974102786,3.291128270859201e-10,0.0,1.462266226056534e-10,6.213255179734924e-10,0.0,0.1999999999434626,0.19999999895425388,0.0,0.19999999998265325,0.19999999983594405,1.4312124525606682e-10
2012-01-31,3.691495698700574e-11,0.1999999999877774,7.276652115589631e-10,0.0,3.965763186710313e-11,0.19999999973442914,0.0,0.19999999999043633,0.199999999049607,0.0,0.199999999993098,4.0955387270932114e-10,3.0860491603661344e-11
2012-02-29,4.565734935854461e-11,0.1999999998980248,0.1999999983634969,0.0,1.0074029628788297e-10,0.1999999999489741,0.0,0.19999999997464296,1.5570446057189177e-09,0.0,0.1999999999928633,5.602753410535102e-11,6.252820683266933e-11
2012-03-31,2.6664897956593537e-11,0.19999999991486345,0.19999999901734788,0.0,1.294025521326219e-10,0.1999999999211639,0.0,0.19999999994004902,1.0198238349516487e-09,0.0,0.19999999998989154,2.494457088177049e-11,1.5848234270141185e-11
2012-04-30,2.314409280290231e-11,0.1999999998970193,0.1999999999297927,0.0,5.10941126474378e-11,0.19999999998238768,0.0,0.19999999996978482,6.57846952736566e-11,0.0,0.19999999999274115,2.7197944617194713e-11,6.105360550461019e-11
2012-05-31,2.9161723167638583e-10,1.2179420958763724e-07,3.226153074146205e-10,0.0,1.6089264297429692e-10,0.1999999996815041,0.0,0.1999999999656646,0.19999999976986457,0.0,0.19999999998299012,0.19999987789663087,1.3401094488946084e-10
2012-06-30,8.980525588357814e-11,2.0616254230317008e-07,8.104794480735856e-11,0.0,6.671501949645903e-11,0.19999999991530718,0.0,0.1999999999761062,0.19999999991439812,0.0,0.19999999999333862,0.1999997937507353,5.000392902164778e-11
2012-07-31,2.250009593847617e-10,2.0568128726540847e-07,1.40624378381105e-10,0.0,1.242393574266303e-10,0.1999999997958823,0.0,0.19999999993350603,0.19999999981347483,0.0,0.19999999997962448,0.19999979419783923,1.085212155557447e-10
2012-08-31,8.579618745662365e-11,0.19999998054124235,8.792806435541707e-11,0.0,1.0192918448183318e-10,0.1999999999775469,0.0,0.1999999999929473,0.19999999994285464,0.0,0.19999999999596693,1.920791731726646e-08,6.587107821229414e-11
2012-09-30,5.1782167283727466e-11,0.19999999946968872,4.9643705600364996e-11,0.0,6.464498472773023e-11,0.19999999998740098,0.0,0.19999999999927934,0.19999999997904513,0.0,0.20000000000110263,3.537173954387574e-10,4.369483652257294e-11
2012-10-31,7.5792483863114e-12,0.19999999932706752,7.690144830671638e-12,0.0,8.590708013003233e-12,0.19999999997354098,0.0,0.1999999999931897,0.1999999999884735,0.0,0.1999999999985632,6.868992205738098e-10,8.405869613744083e-12
2012-11-30,7.1780091470235044e-12,0.19999999908215843,7.345831879184674e-12,0.0,8.050598155595812e-12,0.1999999999717661,0.0,0.1999999999930787,0.19999999998815385,0.0,0.19999999999852483,9.357295047895754e-10,8.014276484256343e-12
2012-12-31,2.8334640603005112e-11,0.19999999984372024,1.3619912784047832e-11,0.0,2.9507121283294247e-11,0.19999999984077177,0.0,0.1999999999749909,0.19999999997104811,0.0,0.1999999999952137,2.738675563831993e-10,2.8925954526297553e-11
2013-01-31,7.426962233815576e-12,0.1999999999652293,1.9229720976566821e-10,0.0,1.0187344727964275e-11,0.19999999983587266,0.0,0.19999999998914764,0.199999999982447,0.0,0.19999999999800702,9.253201958295627e-12,1.0131688239714072e-11
2013-02-28,4.6318134241796535e-12,0.19999999998004234,6.058649538743681e-10,0.0,4.8279453357683406e-12,0.1999999994079011,0.0,0.19999999999467857,0.19999999999027754,0.0,0.19999999999891727,8.050498860082927e-12,4.807934676038527e-12
2013-03-31,2.7656152753023775e-10,0.19999999963654724,0.19999992693182378,0.0,1.4135693474241002e-10,7.288920028040242e-08,0.0,0.19999999996286955,0.19999999972021656,0.0,0.1999999999824571,3.109249309135662e-10,1.480420160558885e-10
2013-04-30,3.524482130824201e-10,0.1999999989628127,0.19999992605221176,0.0,2.1289569438244483e-10,7.440370956304645e-08,0.0,0.19999999989262168,0.1999999995666827,0.0,0.19999999996719028,3.6591768594776213e-10,2.2350956814471527e-10
2013-05-31,7.740421128293781e-11,0.19999999975069596,0.19999989924583342,0.0,6.823824622455927e-11,1.0088093308569304e-07,0.0,0.19999999996040357,0.1999999998880053,0.0,0.1999999999917991,7.682470001230568e-11,5.98625832409413e-11
2013-06-30,1.4736417157439205e-10,0.19999999972433571,0.19999989893887105,0.0,9.39717074302501e-11,1.0114702227657059e-07,0.0,0.19999999989906495,0.19999999980365524,0.0,0.19999999998029663,1.7966995623396117e-10,8.574824726049643e-11
2013-07-31,2.066299494812594e-11,0.19999999996115547,0.1999998989466328,0.0,2.004317727256965e-11,1.0108786461180559e-07,0.0,0.1999999999857417,0.1999999999427489,0.0,0.1999999999963678,2.0659295478548964e-11,1.8123464993086965e-11
2013-08-31,4.372091539723171e-11,0.19999999995379186,5.488130049295188e-10,0.0,4.278749175535062e-11,0.19999999939039267,0.0,0.19999999998685436,0.19999999996001833,0.0,0.1999999999964683,5.188510469449174e-11,2.5267797866291155e-11
2013-09-30,1.749293158193404e-11,0.199999999972293,1.2517445954391219e-10,0.0,6.7619392956000455e-12,0.199999999906001,0.0,0.19999999997822066,0.19999999996347964,0.0,0.1999999999963738,1.6946703074476095e-11,1.725585055790295e-11
2013-10-31,5.3859434891352375e-12,0.19999999999476684,5.032995460316952e-12,0.0,3.8787431711759524e-12,0.19999999999342616,0.0,0.1999999999930212,0.19999999999413734,0.0,0.19999999999906554,5.435403778853854e-12,5.849757411187225e-12
2013-11-30,2.8291856497860513e-12,0.19999999999790127,1.928090783690163e-12,0.0,4.764311675909874e-12,0.19999999999377877,0.0,0.1999999999968431,0.19999999999655824,0.0,0.19999999999948953,2.7430840937560696e-12,3.1643506191387766e-12
2013-12-31,2.3278215701423768e-12,0.19999999999668444,7.018669170365356e-11,0.0,2.4448769530475852e-12,0.1999999999923722,0.0,0.19999999999687335,0.19999999993509587,0.0,0.19999999999945747,2.2642090202607425e-12,2.2930542975159724e-12
