,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,
2009-10-31,1.395520750380701e-10,1.5365251088666658e-10,1.521480920121412e-10,0.0,0.19999999990174586,0.19999999992499587,0.0,0.1999999997864015,8.502228819962047e-11,0.0,0.19999999997662413,8.128492475618406e-11,0.1999999997985726
2009-11-30,1.151519573181022e-09,6.963150376424711e-11,9.771809845208473e-11,0.0,0.19999999980618485,0.19999999995028458,0.0,0.1999999989967431,9.400811442341114e-11,0.0,0.19999999994190798,9.469741834209718e-11,0.19999999979730473
2009-12-31,2.0519789353638257e-11,0.19999999957643907,1.5898673355096835e-11,0.0,0.19999999998719753,0.19999999998760906,0.0,4.574347683181408e-10,1.4114931854009141e-11,0.0,0.19999999998920662,1.1788536098602621e-11,0.1999999999397909
2010-01-31,0.1999999990483747,0.199999995203315,1.0336137393492343e-09,0.0,1.0883009836973897e-09,3.360306894304305e-09,0.0,1.1088368865008332e-07,1.3885874725548238e-09,0.0,0.19999999971140514,0.19999999128974402,0.1999998969926634
2010-02-28,0.19999999968663124,0.19999999604632676,0.19999999892037046,0.0,1.0322529814748612e-09,1.0260216558780115e-07,0.0,0.19999999894708373,3.5539059865768622e-09,0.0,1.496045195701934e-10,3.699790073199884e-09,0.1999998953618687
2010-03-31,0.19999999978816013,2.6653400810325995e-10,0.1999999980059949,0.0,2.092251361908095e-09,0.19999999956642092,0.0,0.19999999957832473,1.3858029222330169e-10,0.0,0.19999999978363153,4.1670877945532224e-10,3.6339329987712624e-10
2010-04-30,0.1999999992519149,0.19999999986337316,0.19999999966821402,0.0,0.1999999985711844,7.11166370725038e-10,0.0,7.28552136505061e-10,4.086936194748212e-10,0.0,0.19999999981616795,3.947864045421426e-10,5.859469800490364e-10
2010-05-31,0.19999999996809953,0.1999999999776092,0.19999999994972303,0.0,5.07488434870638e-11,5.86749675067789e-11,0.0,9.34106544364927e-10,9.076690456434864e-11,0.0,0.1999999999865145,0.19999999894016707,4.3589400068591875e-11
2010-06-30,0.19999999998573084,6.814440444147735e-11,8.655577433867817e-11,0.0,5.998284720055827e-11,0.19999999991687425,0.0,2.956155773660847e-11,0.19999999990255204,0.0,0.19999999995370488,0.19999999994969014,4.7203292856066305e-11
2010-07-31,0.1999999997663874,3.57168458699989e-10,0.19999999881667163,0.0,4.3195196666451787e-10,0.1999999995196797,0.0,0.19999999401345478,2.169691333926695e-09,0.0,0.19999999983692493,4.6350607371287985e-09,4.5300891780451936e-10
2010-08-31,0.19999999942646132,3.4436495265009184e-10,0.19999999991294848,0.0,0.19999999935998355,0.19999999992598294,0.0,7.386311771944699e-10,9.504893658448837e-11,0.0,0.19999999997091886,6.412551807230311e-11,1.615342125489601e-10
2010-09-30,9.681603192940655e-08,0.19999999924036738,0.199999999788475,0.0,0.1999999991404062,0.19999999987143607,0.0,5.940953002152313e-10,4.5385811779004474e-10,0.0,5.653890173594674e-10,2.345579601629473e-10,0.19999990329538314
2010-10-31,6.180106526134814e-11,0.19999999990688527,0.1999999689933635,0.0,0.1999999994810277,0.19999999973475416,0.0,3.1744942166612855e-08,2.597296440922327e-11,0.0,0.19999999997555595,1.74051171791871e-11,5.829222268781751e-11
2010-11-30,1.738592160174177e-10,0.19999999992876724,0.19999999987723294,0.0,4.1135908614695263e-10,0.19999999890757864,0.0,0.19999999977359167,1.172345057245206e-10,0.0,0.19999999976505528,7.462872134586533e-11,9.706925481794215e-10
2010-12-31,0.19999999996862836,0.19999999998772738,0.19999999998406334,0.0,1.8056328303031882e-11,4.846084891155734e-11,0.0,0.19999999998458645,1.7900028473886145e-11,0.0,4.2101169778959755e-11,0.1999999999259129,2.256318276589245e-11
2011-01-31,0.1999999999621883,0.1999999999474178,0.19999999903878307,0.0,3.7195665483975024e-11,6.585570106228283e-11,0.0,0.19999999995823545,3.156034615751742e-11,0.0,9.72557660749408e-10,0.1999999999587849,2.7421095537095373e-11
2011-02-28,0.19999999996831452,3.622217453708263e-10,2.2499116864156996e-10,0.0,2.3042975316897504e-11,2.8487392980229948e-11,0.0,0.1999999999324325,0.19999999948070443,0.0,0.19999999999165982,0.199999999964025,2.4120425055827556e-11
2011-03-31,0.19999999998741755,0.1999999999065283,0.19999999970540247,0.0,2.011768113750564e-11,9.854332077951777e-09,0.0,0.19999999043282185,1.0248139506720075e-10,0.0,3.624537870550651e-11,0.19999999993520065,1.945249668235387e-11
2011-04-30,0.19999999992543335,6.671646319019131e-11,0.1999999996878903,0.0,9.2636973802044e-11,0.19999999968854326,0.0,0.19999999173516178,2.2245290324397896e-10,0.0,0.19999999996734968,8.446154059444499e-09,1.676610650507863e-10
2011-05-31,0.19999999965152207,1.2179982606106e-10,0.19999999939795943,0.0,6.976205513889813e-08,0.19999999987157852,0.0,0.19999999645695984,4.5903552385857277e-10,0.0,0.1999999325358989,5.102322616440881e-10,1.2329585087350471e-09
2011-06-30,0.19999999958909553,1.0398936182869733e-10,0.19999999992952322,0.0,6.716489107333604e-08,0.19999999987957864,0.0,0.19999999956257689,1.1457183757914753e-09,0.0,4.398099704382422e-11,9.575208062887117e-11,0.1999999324848938
2011-07-31,0.19999999994212447,4.954333893961589e-11,0.19999999997528817,0.0,0.1999999997443609,0.19999999997919957,0.0,1.319695178625606e-10,8.20504374400359e-11,0.0,1.3326547109249466e-10,2.1474171123788918e-11,0.19999999994072393
2011-08-31,1.3482977465886595e-11,1.2499479130658196e-11,0.19999999999517215,0.0,0.1999999999935575,0.19999999999765491,0.0,0.1999999999682725,6.744178208043573e-12,0.0,1.415066041650973e-11,4.504900193428722e-12,0.19999999999396062
2011-09-30,1.3361911184271647e-10,1.0637614466181944e-10,0.1999999998287921,0.0,0.19999999986432132,0.1999999999678364,0.0,0.19999999987289757,1.9224586615558563e-10,0.0,9.105289284283737e-11,8.789523302066421e-11,0.19999999985496328
2011-10-31,2.6404095985638338e-11,0.199999999948165,0.19999999998712809,0.0,0.19999999997757215,0.19999999998535536,0.0,3.882129754527342e-11,6.886443513453772e-12,0.0,0.19999999999655027,4.747839268202536e-12,2.8369410700775418e-11
2011-11-30,5.504968184077893e-12,0.19999999999430962,0.19999999999441495,0.0,0.19999999999481816,0.1999999999947731,0.0,5.453284044047209e-12,3.896458328378938e-12,0.0,0.19999999999908202,2.2889839511453714e-12,5.458523395122586e-12
2011-12-31,3.871695279870946e-12,0.19999999999619358,0.199999999995897,0.0,0.19999999999644008,0.19999999999632162,0.0,3.735075918405816e-12,2.8179964565780236e-12,0.0,0.19999999999930157,1.7917383796233748e-12,3.6296195956318904e-12
2012-01-31,2.583022767864812e-12,0.1999999999978857,0.19999999999731954,0.0,0.19999999999754117,0.19999999999740944,0.0,2.2694438270925786e-12,2.210323586981628e-12,0.0,0.1999999999994821,1.4077033439033257e-12,1.8915491906407405e-12
2012-02-29,3.0369699907284384e-12,0.19999999999730142,0.19999999999704676,0.0,0.1999999999971127,0.19999999999672763,0.0,2.451084784053361e-12,2.540752769504139e-12,0.0,0.19999999999938728,1.7718859167805978e-12,2.6235160603220394e-12
2012-03-31,1.6816449988844118e-10,0.1999999998207216,0.19999999984056566,0.0,0.19999999984174863,0.19999999991496756,0.0,1.4508895206542252e-10,1.3332189094195645e-10,0.0,0.1999999999562138,1.1189181153100776e-10,6.731557187850646e-11
2012-04-30,2.3063360199363982e-10,0.19999999979581043,0.19999999978077562,0.0,0.19999999980697847,0.19999999974762447,0.0,2.0258734460166606e-10,1.9195745108690725e-10,0.0,0.1999999999523501,1.3282882495286943e-10,1.584536978275904e-10
2012-05-31,2.0583420595414466e-10,0.19999999980679323,0.19999999981325553,0.0,0.1999999998399454,0.19999999980743832,0.0,2.099094565294039e-10,1.5519881824831395e-10,0.0,0.19999999996077664,9.143415529383023e-11,1.094141526702084e-10
2012-06-30,2.1454684987475485e-10,0.1999999998040756,0.19999999978417177,0.0,0.19999999982825328,0.19999999977873043,0.0,2.104805625785331e-10,1.7595904014756462e-10,0.0,0.19999999995668366,1.1640942421062278e-10,1.3068956343168822e-10
2012-07-31,2.128951925063484e-10,0.1999999997964306,0.19999999979177543,0.0,0.1999999998289652,0.1999999997869713,0.0,2.1287043773377672e-10,1.6968787938635986e-10,0.0,0.19999999995700818,1.1484248953324711e-10,1.2855318724836775e-10
2012-08-31,2.0445341928684242e-10,0.19999999981273284,0.19999999980374114,0.0,0.1999999998305885,0.1999999997994396,0.0,1.9756489967622695e-10,1.6795763261511514e-10,0.0,0.19999999995812237,1.1488651567108641e-10,1.1051303237216577e-10
2012-09-30,2.1621012136173953e-10,0.19999999979711036,0.19999999978715308,0.0,0.19999999981711858,0.19999999977887745,0.0,2.018626947061476e-10,1.8136810134503996e-10,0.0,0.19999999995511059,1.312118193050107e-10,1.339771668331786e-10
2012-10-31,1.1797385763559011e-11,0.19999999998900242,0.19999999998933093,0.0,0.19999999998823004,0.1999999999887739,0.0,1.1189958793876963e-11,8.872751145369785e-12,0.0,0.19999999999797066,6.1522363956726704e-12,8.679678900378353e-12
2012-11-30,2.2504884815312625e-10,0.1999999997826673,0.19999999978748606,0.0,0.19999999981596742,0.19999999977036145,0.0,2.103864514385072e-10,1.8257396372986756e-10,0.0,0.19999999995489778,1.2391665891413251e-10,1.4669419666963502e-10
2012-12-31,1.2135568739101584e-11,0.19999999998914028,0.19999999998904744,0.0,0.19999999998777448,0.19999999998820564,0.0,1.1120813772287846e-11,9.221647961775328e-12,0.0,0.19999999999791404,6.205845865279487e-12,9.234133087695039e-12
2013-01-31,3.1746570479280786e-12,0.19999999999710835,0.19999999999691664,0.0,0.19999999999686996,0.19999999999649698,0.0,2.6315639980122778e-12,2.6753967088138508e-12,0.0,0.19999999999936205,2.0222228057009557e-12,2.741989259132821e-12
2013-02-28,2.8756250243164005e-12,0.19999999999734408,0.19999999999713503,0.0,0.19999999999725152,0.19999999999674806,0.0,2.3908596270294436e-12,2.4683384348757096e-12,0.0,0.19999999999940593,1.8714626394157795e-12,2.508948992820092e-12
2013-03-31,2.971800166372953e-12,0.19999999999715337,0.19999999999689594,0.0,0.19999999999703486,0.19999999999638815,0.0,2.4258409995233863e-12,2.6104419629224702e-12,0.0,0.19999999999935042,2.3175263285607234e-12,2.851765668827119e-12
2013-04-30,3.0043816775209245e-12,0.1999999999970204,0.19999999999668447,0.0,0.19999999999698892,0.1999999999961862,0.0,2.532203672690377e-12,2.65371998767539e-12,0.0,0.1999999999993243,2.529888627558441e-12,3.0755066310622453e-12
2013-05-31,2.6642228254633824e-12,0.1999999999976493,0.19999999999750406,0.0,0.19999999999740498,0.19999999999709314,0.0,2.1113052406948323e-12,2.3165056904546877e-12,0.0,0.19999999999944515,1.6459029620643113e-12,2.1653088912378854e-12
2013-06-30,2.7854595367622662e-12,0.19999999999750145,0.19999999999730092,0.0,0.19999999999736526,0.19999999999689957,0.0,2.2614657263881755e-12,2.4102222174486394e-12,0.0,0.1999999999994251,1.7813236157222073e-12,2.2693268070812034e-12
2013-07-31,2.655088248731972e-12,0.19999999999767687,0.1999999999975388,0.0,0.19999999999738666,0.1999999999971026,0.0,2.044796571739166e-12,2.3147850624093765e-12,0.0,0.19999999999943932,1.7564042479825427e-12,2.0847161747548018e-12
2013-08-31,2.739172152716176e-12,0.19999999999749213,0.19999999999735812,0.0,0.19999999999738655,0.19999999999696785,0.0,2.1889032779489845e-12,2.3506575604138257e-12,0.0,0.19999999999942594,1.953573344626384e-12,2.137078694987964e-12
2013-09-30,2.694518476771821e-12,0.19999999999757637,0.1999999999974369,0.0,0.1999999999973506,0.19999999999702048,0.0,2.0762530518489465e-12,2.32394436992599e-12,0.0,0.19999999999942136,2.0080787744367067e-12,2.0915331344540757e-12
2013-10-31,2.941197256535511e-12,0.19999999999717485,0.19999999999749707,0.0,0.19999999999681267,0.19999999999665166,0.0,1.97807573535641e-12,2.7124448606308437e-12,0.0,0.19999999999929896,2.7631753155622207e-12,2.169899884103564e-12
2013-11-30,3.3481989780246845e-12,0.1999999999960361,0.19999999999715407,0.0,0.1999999999964915,0.1999999999963916,0.0,2.522331919219804e-12,3.0965982371485324e-12,0.0,0.1999999999992465,2.989996605738297e-12,2.7231525461900756e-12
2013-12-31,3.0919560176979604e-12,0.19999999999494608,0.19999999999609144,0.0,0.19999999998300075,0.19999999999535023,0.0,2.0256763719090194e-11,3.3263958933415637e-12,0.0,0.19999999999909995,3.3608018323654325e-12,1.4756036700603262e-12
