,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,
2009-10-31,0.0,0.0,0.1999999999620766,8.762302929293875e-10,1.4174907438997779e-10,0.19999999920489323,0.19999999912866678,0.1999999999101574,1.7293839135270121e-10,3.1183292657335253e-10,4.736083932895909e-10,4.4174588370053914e-10,0.0,0.19999999937610113
2009-11-30,0.0,0.0,0.19999999998932005,0.19999999996708104,9.94408228940347e-12,7.6118439791454e-11,0.19999999997251153,0.19999999999279566,4.2161979515858605e-11,2.1545266931243524e-11,3.9300743658786174e-11,0.1999999998162655,0.0,7.295552841342527e-11
2009-12-31,0.0,0.0,0.19999999996264395,0.19999999994275536,3.2881717593297766e-11,8.104002078781502e-11,0.199999999861133,0.1999999999702062,1.3678732954735071e-10,8.908543892849587e-11,0.19999999933522544,4.5684516832911266e-10,0.0,1.313964076691175e-10
2010-01-31,0.0,0.0,0.1999999999419906,0.19999999929873347,2.805303023951324e-11,0.1999999998702768,0.1999999999079854,0.199999999915038,1.3773714959162923e-10,9.312287231463672e-11,1.817344222604823e-10,4.3998248668292017e-10,0.0,1.853457802578391e-10
2010-02-28,0.0,0.0,0.19999999999610393,5.0990344484903196e-11,1.9148148763289473e-11,0.1999999999721289,0.19999999997114842,5.1309745034724696e-11,0.19999999990835962,4.286577737419104e-11,3.9018430653675656e-11,4.207699231550331e-11,0.0,0.19999999990684975
2010-03-31,0.0,0.0,0.19999999996831686,0.19999999908625862,9.122336485319217e-11,0.19999999984357936,0.199999999801603,7.147157950840058e-11,3.940202437812696e-10,9.645428100753206e-10,1.2993666350614115e-10,2.945102976637535e-08,0.0,0.199999970198018
2010-04-30,0.0,0.0,0.19999999999000045,0.19999999986531758,4.827714205776424e-11,8.07477078975423e-09,0.19999999990142586,5.4730854647528263e-11,1.3943115118021756e-10,0.1999999997781327,1.7984828375727403e-10,1.7200653779260487e-10,0.0,0.19999999179605873
2010-05-31,0.0,0.0,0.19999999999362542,0.19999999996738754,6.509661704263282e-12,0.19999999966020016,0.19999999998459744,1.3018716671271408e-11,8.586370302551115e-12,0.19999999998318663,1.6043211197579643e-11,3.123512178536688e-11,0.0,3.3560975043394274e-10
2010-06-30,0.0,0.0,0.19999999998638304,0.19999999994820958,1.5972241620726047e-11,0.1999999999574882,0.19999999995044873,3.697541848301993e-11,3.2766698412569715e-11,1.7500428469312078e-10,6.07448813188933e-11,4.7440355352100664e-11,0.0,0.19999999978856653
2010-07-31,0.0,0.0,0.19999999999625503,0.1999999999952585,5.935382024794365e-12,1.3987803174230505e-11,0.19999999999614068,0.19999999998965676,5.840098908204033e-12,7.1768657000023125e-12,8.185150344404467e-12,0.19999999996608167,0.0,1.548222608887184e-11
2010-08-31,0.0,0.0,0.19999999999648543,1.4668599600207391e-09,4.2158286486458305e-12,0.19999999999512108,0.19999999985367678,0.1999999999779308,8.162804980130325e-12,0.19999999864336918,7.818154395021493e-12,1.702791109760159e-11,0.0,2.9331909640398546e-11
2010-09-30,0.0,0.0,0.19999999997229795,1.2944524896184598e-10,5.271890960454758e-11,3.574365938057165e-10,0.1999999999316615,0.19999999933034499,1.3474541323911918e-10,0.19999999966953097,1.1103157655505793e-09,1.2850872813183893e-10,0.0,0.199999999182994
2010-10-31,0.0,0.0,0.19999999991180348,0.19999999987881895,2.980375277539312e-11,0.199999999936597,0.19999999987982425,1.2230965588968737e-10,1.6601927607430065e-10,0.1999999976825371,9.869931080325443e-11,3.6791641197732386e-10,0.0,1.925670892407169e-09
2010-11-30,0.0,0.0,0.19999999999117857,0.1999999999823934,2.109431702965467e-11,0.19999999994139223,2.674334463586791e-10,3.015370035221737e-11,7.362509498168171e-11,0.19999999993676035,2.9433148622016004e-11,3.1657922541864215e-11,0.0,0.19999999969487803
2010-12-31,0.0,0.0,0.1999999999978221,0.19999999999119794,3.993592663794902e-12,0.19999999999121248,1.9843862266830223e-10,4.271452520023248e-12,8.493301942496699e-12,0.19999999998224371,2.0998969990165328e-11,1.5424818054928618e-11,0.0,0.19999999978590316
2011-01-31,0.0,0.0,0.19999999998920776,0.19999999996419898,8.141155415222521e-11,1.2777546917897069e-09,1.0736852442937678e-10,7.59903168358895e-11,0.19999999828843887,0.19999999992765077,5.847276079247375e-11,2.9494288979696114e-10,0.0,0.19999999993456288
2011-02-28,0.0,0.0,2.0785518271431532e-10,0.19999999974585136,5.2827988381880346e-11,0.19999999990055878,1.0516707731350632e-10,7.987816186006657e-11,0.1999999998775496,0.19999999996322562,1.1428917707671395e-10,1.0631889513822871e-10,0.0,0.19999999984647823
2011-03-31,0.0,0.0,0.199999999987733,2.3930997687906997e-10,6.015490875299339e-12,0.19999999999309429,0.1999999999503764,0.19999999969582036,2.6945371505592143e-11,0.199999999984372,2.5262451664092657e-11,2.0823601762466755e-11,0.0,7.024704482517393e-11
2011-04-30,0.0,0.0,0.19999999998703188,0.19999999994728168,1.0578044234987868e-11,0.19999999998354617,2.9751372030559093e-11,6.642234761918603e-11,1.7725280845384934e-11,0.1999999999781617,1.70837539426688e-11,1.8367285127522645e-11,0.0,0.19999999994405035
2011-05-31,0.0,0.0,0.19999999992660772,0.19999999922588543,4.558565866125877e-11,0.1999999998919183,0.19999999946570862,6.854542012545212e-11,2.3982209139746856e-10,1.8504484104972118e-09,1.9120547281221847e-10,2.0718444944470975e-10,0.0,0.19999999888708855
2011-06-30,0.0,0.0,2.1357702764186087e-10,0.1999999998412455,4.548649749642738e-11,0.19999999992008421,0.19999999969240273,0.19999999969668433,7.217889028348649e-10,6.686064628862691e-10,3.21925819690001e-10,0.19999999834202378,0.0,5.361746901010704e-10
2011-07-31,0.0,0.0,0.19999999993766115,0.19999999989724349,8.35716513667072e-11,0.19999999992087183,4.047125507234481e-10,4.5156274384413417e-10,3.78959848867253e-10,0.199999999813804,3.547444061243346e-10,3.1893887867621873e-10,0.0,0.19999999843792957
2011-08-31,0.0,0.0,0.19999999999724996,0.19999999998852389,7.281116228689298e-12,0.19999999998376364,0.19999999992605913,0.19999999998954637,2.945301178538199e-11,1.786571848725328e-11,1.282315735930719e-11,1.3719261930907978e-11,0.0,3.3714658184362984e-11
2011-09-30,0.0,0.0,0.1999999999959608,0.19999999993117873,1.4215905957204789e-11,1.5554442359614153e-11,0.1999999994470714,0.19999999999325718,4.652539041345575e-11,3.3497043413253424e-11,0.19999999896214804,1.4902013778417983e-09,0.0,7.038968258373413e-11
2011-10-31,0.0,0.0,0.19999999999536205,0.19999999998952156,2.6045842435157496e-12,0.1999999999945784,0.19999999988957967,2.5981717011322067e-11,1.1943254777849014e-11,0.19999999998606866,1.4754668252919107e-11,1.2189016495389303e-11,0.0,7.741645881178226e-11
2011-11-30,0.0,0.0,0.19999999997851953,0.19999999990271228,6.735770763472037e-12,0.19999999993091463,0.19999999991670048,5.910182792007335e-11,6.361445505968931e-11,0.19999999988212827,6.04039351719689e-11,6.361499984420656e-11,0.0,1.3555388108905532e-10
2011-12-31,0.0,0.0,0.19999999999858747,0.1999999999949739,2.0304435164809981e-13,0.19999999999448734,0.1999999999930288,3.5787837638873398e-12,3.485179003384122e-12,0.19999999999185486,3.5599807330794712e-12,3.525110748482812e-12,1.4281406463036666e-13,1.2572836495559944e-11
2012-01-31,0.0,0.0,0.19999999999930707,0.19999999999751972,1.3980463808253538e-13,0.19999999999766585,0.19999999999271723,4.163298287134442e-12,2.8316022318731324e-12,0.19999999999761617,2.221921618613926e-12,2.4907098161955496e-12,2.2523215116469943e-13,3.101375611606873e-12
2012-02-29,0.0,0.0,0.19999999999901016,0.1999999999971924,1.7611465893339605e-13,0.19999999999742743,0.19999999999619134,1.8087586749915098e-12,2.8795762209573648e-12,0.19999999999728535,2.3569436643187678e-12,2.5798035822555045e-12,3.9946699537642903e-13,2.692750562020103e-12
2012-03-31,0.0,0.0,0.19999999999830478,0.19999999999540063,2.6333952861719447e-13,0.19999999999547638,0.19999999997588236,1.945870227126516e-12,5.119934473309417e-12,0.19999999999548207,4.2386428550756915e-12,4.642686212667881e-12,3.177847885591596e-13,2.2925458838213238e-11
2012-04-30,0.0,0.0,0.1999999999986079,0.19999999999580756,1.9143544401409295e-13,0.19999999999567847,0.19999999998987206,1.6913604544577127e-12,4.417273778079315e-12,0.19999999999584686,3.638532651814759e-12,3.997850815843991e-12,1.4776679170204307e-12,8.77313405529157e-12
2012-05-31,0.0,0.0,0.19999999999895776,0.19999999999730161,7.401764350688967e-14,0.19999999999748533,0.19999999999346063,4.573419734488754e-12,2.7387866226804753e-12,0.19999999999755652,2.3458229908345665e-12,2.5385692813333412e-12,1.7852938578532373e-13,2.7891230714511935e-12
2012-06-30,0.0,0.0,0.19999999999859724,0.1999999999963716,1.7069078434043136e-13,0.19999999999647883,0.19999999998537493,1.1497098142432892e-12,3.4414487982572926e-12,0.19999999999633758,3.1386471228228466e-12,3.3377712943425384e-12,3.9249223266267055e-13,1.520909819705337e-11
2012-07-31,0.0,0.0,0.19999999999819382,0.1999999999961015,1.470501967046195e-13,0.19999999999598259,0.19999999994813406,1.7133243187701822e-12,4.1434985481207295e-12,0.1999999999961355,3.763129809736703e-12,3.999624241243221e-12,5.464042021374495e-13,5.11395068415919e-11
2012-08-31,0.0,0.0,0.19999999999759888,0.19999999999458584,2.522529904010583e-13,0.19999999999423895,0.19999999993619882,2.6601281105141744e-12,6.0375152257147596e-12,0.19999999999466167,5.538322098693074e-12,5.8492242308037e-12,4.549326126527772e-13,6.192342798764967e-11
2012-09-30,0.0,0.0,0.19999999999720172,0.19999999999382356,2.909422630166175e-13,0.19999999999327195,0.19999999994363685,2.999106425612759e-12,6.9838052485194945e-12,0.1999999999938455,6.401703254528023e-12,6.752270708871452e-12,6.700412145332308e-13,5.4122756819377105e-11
2012-10-31,0.0,0.0,0.1999999999974647,0.19999999999451254,2.7513141989508815e-13,0.19999999999396104,0.1999999999287485,3.2099672586125814e-12,6.238972884528798e-12,0.19999999999452814,5.80077224747961e-12,6.0956863160941e-12,2.954613912615091e-13,6.886905280172267e-11
2012-11-30,0.0,0.0,0.19999999999730686,0.1999999999943584,2.8878079696073357e-13,0.19999999999379292,0.19999999991643536,3.645617695808142e-12,6.2176127170068525e-12,0.199999999994372,5.9004699853630885e-12,6.16896000718627e-12,2.856630568109166e-13,8.122737376513593e-11
2012-12-31,0.0,0.0,0.1999999999970841,0.19999999999378748,3.373924453556734e-13,0.19999999999324714,0.19999999991349363,4.108282827481958e-12,6.322783877996143e-12,0.19999999999381082,6.211321171836963e-12,6.449400925813302e-12,3.4432524727820106e-13,8.480343026304704e-11
2013-01-31,0.0,0.0,0.19999999999759518,0.19999999999393092,3.4148196826094224e-13,0.1999999999934844,0.19999999990512699,4.197830746895482e-12,5.066704634872377e-12,0.1999999999939961,5.3817813406959824e-12,5.500641486632654e-12,1.107122545915334e-12,9.427095966633345e-11
2013-02-28,0.0,0.0,0.19999999999693402,0.1999999999930505,3.1711137527503284e-13,0.19999999999228535,0.19999999991198428,4.3840436274477664e-12,6.503896771662371e-12,0.19999999999311502,6.6175462141561315e-12,6.819135117510695e-12,1.8876972022501774e-12,8.61014508490234e-11
2013-03-31,0.0,0.0,0.19999999999717047,0.19999999999307144,2.7826309628047346e-13,0.199999999992252,0.1999999999068632,4.339629898448486e-12,5.444772337147169e-12,0.1999999999932865,5.820577691461803e-12,5.924705254786761e-12,3.437998973837666e-12,9.211042893420126e-11
2013-04-30,0.0,0.0,0.19999999999702864,0.19999999999244772,3.40936689436174e-13,0.19999999999177945,0.19999999991535836,4.5626010412457826e-12,5.8152413522082775e-12,0.199999999992647,6.335434270306496e-12,6.439381205787731e-12,2.784455796309924e-12,8.446074419250756e-11
2013-05-31,0.0,0.0,0.1999999999972372,0.19999999999376616,2.8061662934276263e-13,0.19999999999347073,0.19999999990675024,4.4280635206462476e-12,4.967969590122202e-12,0.19999999999380774,5.360827785180308e-12,5.453984075025901e-12,6.103416866647801e-13,9.386618564825815e-11
2013-06-30,0.0,0.0,0.1999999999972982,0.1999999999943056,2.2608542953496226e-13,0.19999999999392637,0.1999999998892926,4.442070557650388e-12,4.951081288434446e-12,0.1999999999943218,5.172338512553548e-12,5.2854811043426005e-12,4.121178648906373e-13,1.1036643590305342e-10
