,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-06-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-07-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-08-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-09-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-10-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-11-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-12-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-01-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-02-28,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-03-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-04-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-05-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-06-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-07-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-08-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-09-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-10-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-11-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-12-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-01-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-02-29,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-03-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-04-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-05-31,0.0,0.0,0.0,0.2000000000001304,0.2000000000001304,0.0,0.20000000000004473,0.19999999999956405,0.2000000000001304
2012-06-30,0.0,0.0,0.0,0.20000000000535434,0.20000000000535434,0.0,0.19999999999419765,0.1999999999897393,0.20000000000535434
2012-07-31,0.0,0.0,0.0,0.19999999998390883,0.19999999998240964,0.1999999998491765,3.585237790467472e-10,0.19999999985540345,0.19999999997057782
2012-08-31,0.0,0.0,0.0,0.20000000000192705,0.20000000000192705,0.1999999999915053,0.19999999957399484,4.287187637544342e-10,0.20000000000192705
2012-09-30,0.0,0.0,0.0,0.1999999999865235,0.19999999998698834,0.19999999986995592,3.714292109986836e-10,0.19999999980814068,0.1999999999769623
2012-10-31,0.0,0.0,0.0,0.19999999999913953,0.19999999999915313,0.19999999998805867,2.935307427249725e-11,0.19999999998639037,0.19999999999790516
2012-11-30,0.0,0.0,0.0,0.19999999999920917,0.19999999999913257,0.19999999999098705,1.349672949341108e-10,0.19999999987900147,0.19999999999670237
2012-12-31,0.0,0.0,0.0,0.19999999998989676,0.19999999998930285,0.19999999995220236,0.19999999966463802,4.230355064054144e-10,0.19999999998092446
2013-01-31,0.0,0.0,0.0,0.19999999998820986,0.19999999998745585,0.19999999985282785,3.9062050658907255e-10,0.1999999998007424,0.1999999999801434
2013-02-28,0.0,0.0,0.0,0.19999999998988652,0.1999999999873232,0.19999999985001932,4.864895724069114e-10,0.19999999971180907,0.19999999997447232
2013-03-31,0.0,0.0,0.0,0.19999999995855677,0.1999999999515503,0.19999999956126205,0.1999999997198117,9.022356445334813e-10,0.1999999999065836
2013-04-30,0.0,0.0,0.0,0.19999999999141171,0.19999999998646187,0.19999999998202667,0.20000000000034335,6.283216486962808e-11,0.19999999997692425
2013-05-31,0.0,0.0,0.0,0.19999999999877452,0.19999999999246207,0.19999999999848203,0.199999999999757,2.0236182662532156e-11,0.19999999999028814
2013-06-30,0.0,0.0,0.0,0.19999999998913162,0.1999999999565462,0.19999999995576817,1.3794823779955165e-10,0.19999999998567228,0.1999999999749335
2013-07-31,0.0,0.0,0.0,0.19999999999100954,0.19999999998473963,2.7233677431988173e-10,0.19999999998892112,0.19999999978697228,0.1999999999760207
2013-08-31,0.0,0.0,0.0,0.19999999998645213,0.19999999997975407,0.19999999993082584,1.5894704698718427e-10,0.19999999997015805,0.19999999997386284
2013-09-30,0.0,0.0,0.0,0.1999999999909353,0.19999999998557705,0.19999999997669546,0.20000000000024762,6.483687014638243e-11,0.1999999999817077
2013-10-31,0.0,0.0,0.0,0.19999999999990314,0.19999999999977944,0.19999999999959522,2.344429104031571e-12,0.1999999999987071,0.19999999999967055
2013-11-30,0.0,0.0,0.0,0.19999999998082296,0.1999999999452744,0.19999999992799355,0.19999999987588085,3.708743047063807e-10,0.19999999989915387
2013-12-31,0.0,0.0,0.0,0.19999999998716694,0.19999999991268866,0.19999999999357324,0.1999999996862835,4.87771223837861e-10,0.19999999993251633
2014-01-31,0.0,0.0,0.0,0.19999999999750648,0.19999999998795123,0.1999999999995925,0.20000000000029583,0.199999999788914,2.2574011556608403e-10
2014-02-28,0.0,0.0,0.0,0.1999999999983173,0.19999999999064216,0.19999999999843895,0.20000000000005294,0.19999999998800833,2.4540326586394476e-11
2014-03-31,0.0,0.0,0.0,0.19999999995819034,0.19999999993913237,0.19999999984783423,4.2906250763239374e-10,0.19999999990962813,0.1999999999161525
2014-04-30,0.0,0.0,0.0,0.19999999998957874,0.19999999996437987,0.1999999997759394,0.19999999999208054,0.19999999997967277,2.983486591739703e-10
2014-05-31,0.0,0.0,0.0,0.19999999999086243,0.1999999999637337,0.19999999999398785,0.19999999999786952,0.1999999996456776,4.0786878287600623e-10
2014-06-30,0.0,0.0,0.0,0.1999999999592643,0.19999999993351947,3.8540279181229084e-10,0.19999999998157253,0.19999999984092873,0.1999999998993122
2014-07-31,0.0,0.0,0.0,0.19999999998583246,0.199999999970136,0.19999999998942858,0.199999999992915,2.173588547893949e-10,0.19999999984432906
2014-08-31,0.0,0.0,0.0,0.19999999999330223,0.19999999998465445,0.19999999999632123,0.19999999999767548,7.711109124430038e-10,0.1999999992569357
2014-09-30,0.0,0.0,0.0,0.1999999999876167,0.1999999999552098,0.19999999999058676,0.19999999999514728,5.706946642988232e-10,0.19999999950074487
2014-10-31,0.0,0.0,0.0,0.19999999999110712,0.19999999998231147,0.1999999999928511,0.1999999999978968,4.307225928490715e-10,0.1999999996051109
2014-11-30,0.0,0.0,0.0,0.19999999997466472,0.19999999995751613,0.1999999999769909,0.19999999998387274,0.19999999967355875,4.3339670982820456e-10
2014-12-31,0.0,0.0,0.0,0.19999999996800572,0.19999999995350126,0.19999999996935805,0.19999999997917162,4.3756327769778323e-10,0.1999999996924001
2015-01-31,0.0,0.0,0.0,0.1999999999992208,0.19999999999891346,0.1999999999993149,0.19999999999956225,2.0399474978007887e-11,0.19999999998258905
2015-02-28,0.0,0.0,0.0,0.19999999999980422,0.19999999999971158,0.1999999999998547,0.1999999999999419,5.646468521572531e-12,0.19999999999504117
2015-03-31,0.0,0.0,0.0,0.19999999999975496,0.1999999999996374,0.1999999999998377,0.19999999999992382,5.9246272859397395e-12,0.1999999999949215
2015-04-30,0.0,0.0,0.0,0.19999999998007228,0.19999999996713747,0.1999999999865619,0.19999999999447898,4.4134723798813177e-10,0.19999999963040196
2015-05-31,0.0,0.0,0.0,0.19999999999951915,0.19999999999901316,0.19999999999974746,0.19999999999996554,1.8236877457957925e-11,0.19999999998351792
2015-06-30,0.0,0.0,0.0,0.1999999999814923,0.19999999997072143,0.19999999998481863,0.19999999998952092,4.2742210677443686e-10,0.19999999964602466
2015-07-31,0.0,0.0,0.0,0.19999999999980445,0.199999999999206,0.19999999999990356,0.20000000000006743,1.6365270494190217e-11,0.19999999998465337
2015-08-31,0.0,0.0,0.0,0.19999999999972615,0.1999999999995581,0.19999999999973864,0.1999999999997887,7.379421580662865e-12,0.19999999999380905
2015-09-30,0.0,0.0,0.0,0.19999999998288484,0.19999999996977805,0.1999999999829255,0.19999999998463147,2.2057181223813222e-10,0.19999999985920827
2015-10-31,0.0,0.0,0.0,0.19999999999179108,0.19999999998793483,0.19999999999230206,0.1999999999935716,8.188061753411757e-11,0.1999999999525198
2015-11-30,0.0,0.0,0.0,0.19999999999061882,0.1999999999839767,0.1999999999910266,0.19999999999200674,9.114737595618892e-11,0.1999999999512238
2015-12-31,0.0,0.19999999988601527,0.0,0.1999999999871303,0.19999999996518883,0.19999999998901555,0.19999999999180393,2.4929772027934984e-11,1.5591637823914224e-10
2016-01-31,0.0,0.19999999990233683,0.0,0.19999999999174287,0.19999999998065957,0.1999999999920031,0.19999999999360638,1.7700597602760505e-11,1.2195070499657717e-10
2016-02-29,0.0,0.19999999983058656,0.0,0.19999999997985565,0.19999999995432066,0.1999999999794249,0.19999999998274817,2.6030643585809842e-11,2.470335121123978e-10
2016-03-31,0.0,0.1999999998447165,0.0,0.19999999998348633,0.19999999995931195,0.19999999998468493,0.1999999999843316,2.3694783520692763e-11,2.1977392878177421e-10
2016-04-30,0.0,0.19999999996975235,0.0,0.199999999998196,0.19999999999660853,0.19999999999818818,0.19999999999825155,2.9810670373655155e-12,3.602234571635264e-11
2016-05-31,0.0,0.1999999999769437,0.0,0.19999999999866358,0.1999999999972475,0.19999999999857326,0.199999999998572,3.4470428267556123e-12,2.6552938351362253e-11
2016-06-30,0.0,0.19999999999550827,0.0,0.19999999999920354,0.19999999999814394,0.19999999999912835,0.1999999999990025,9.106508629835536e-13,8.102915816045214e-12
2016-07-31,0.0,0.19999999999687268,0.0,0.19999999999930843,0.19999999999828552,0.19999999999929152,0.19999999999915685,6.294189497779973e-13,6.455588984591217e-12
2016-08-31,0.0,0.19999999998067722,0.0,0.1999999999985749,0.19999999999759507,0.19999999999855606,0.19999999999833834,3.4108024598150107e-12,2.284751325377465e-11
2016-09-30,0.0,0.19999999996603315,0.0,0.1999999999971442,0.1999999999949549,0.1999999999970583,0.1999999999965086,6.529955273613323e-12,4.1770877946488004e-11
2016-10-31,0.0,0.19999999996567422,0.0,0.19999999999610626,0.19999999999330753,0.19999999999586365,0.19999999999487403,1.0560271730315824e-11,4.361410973816867e-11
2016-11-30,0.0,0.1999999999648357,0.0,0.19999999999196771,0.19999999998154425,0.19999999999049453,0.19999999998748821,2.4258109217308718e-11,5.941142043719918e-11
2016-12-31,0.0,0.19999999997926105,0.0,0.19999999999559184,0.19999999998830906,0.19999999999459972,0.19999999999256093,1.2579221104532652e-11,3.709816734291584e-11
2017-01-31,0.0,0.19999999999213433,0.0,0.19999999999801105,0.19999999999513743,0.1999999999976379,0.19999999999667192,4.579625358451758e-12,1.5827705230468214e-11
2017-02-28,0.0,0.1999999999608008,0.0,0.1999999999905757,0.19999999998209536,0.19999999998965215,0.19999999998721316,2.3830098273792817e-11,6.583284748138429e-11
2017-03-31,0.0,0.19999999998832263,0.0,0.1999999999971824,0.1999999999937869,0.19999999999679546,0.1999999999953262,7.104875351234947e-12,2.1481524995867375e-11
2017-04-30,0.0,0.19999999999229806,0.0,0.1999999999981516,0.1999999999959793,0.19999999999786006,0.19999999999689047,4.056760618051214e-12,1.476395646489562e-11
2017-05-31,0.0,0.1999999999784426,0.0,0.1999999999950213,0.19999999998925763,0.19999999999445872,0.1999999999925752,1.4244868373694773e-11,3.59995469151836e-11
