Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-10-31,,,,C,RF_longonly,affine
2008-11-30,,,,C,RF_longonly,affine
2008-12-31,,,,C,RF_longonly,affine
2009-01-31,,,,C,RF_longonly,affine
2009-02-28,,,,C,RF_longonly,affine
2009-03-31,,,,C,RF_longonly,affine
2009-04-30,,,,C,RF_longonly,affine
2009-05-31,,,,C,RF_longonly,affine
2009-06-30,,,,C,RF_longonly,affine
2009-07-31,,,,C,RF_longonly,affine
2009-08-31,,,,C,RF_longonly,affine
2009-09-30,,,,C,RF_longonly,affine
2009-10-31,0.12786501511752668,-0.00025,0.12761501511752668,C,RF_longonly,affine
2009-11-30,-0.07203389830508478,-0.0,-0.07203389830508478,C,RF_longonly,affine
2009-12-31,-0.012580374615599799,-0.0,-0.012580374615599799,C,RF_longonly,affine
2010-01-31,0.03274820687051738,-0.0,0.03274820687051738,C,RF_longonly,affine
2010-02-28,-0.004386365713241358,-0.0,-0.004386365713241358,C,RF_longonly,affine
2010-03-31,0.04897336145612152,-0.00025,0.04872336145612152,C,RF_longonly,affine
2010-04-30,-0.035474468161785955,-0.0,-0.035474468161785955,C,RF_longonly,affine
2010-05-31,0.0011546483162081147,-0.0001666666666666667,0.000987981649541448,C,RF_longonly,affine
2010-06-30,0.01698693963366811,-0.0,0.01698693963366811,C,RF_longonly,affine
2010-07-31,-0.023285306316612034,-0.0,-0.023285306316612034,C,RF_longonly,affine
2010-08-31,0.07508974580282864,-0.0,0.07508974580282864,C,RF_longonly,affine
2010-09-30,0.030225165870027215,-0.0,0.030225165870027215,C,RF_longonly,affine
2010-10-31,0.013826381970887553,-0.0,0.013826381970887553,C,RF_longonly,affine
2010-11-30,0.06847497217600229,-0.0,0.06847497217600229,C,RF_longonly,affine
2010-12-31,-0.01274213617470395,-0.0,-0.01274213617470395,C,RF_longonly,affine
2011-01-31,0.038908128885365656,-0.0,0.038908128885365656,C,RF_longonly,affine
2011-02-28,0.0431886989711463,-0.0,0.0431886989711463,C,RF_longonly,affine
2011-03-31,0.06495498044479582,-0.0,0.06495498044479582,C,RF_longonly,affine
2011-04-30,-0.05754423053342046,-0.0,-0.05754423053342046,C,RF_longonly,affine
2011-05-31,-0.053191795655924606,-0.00012499999999999998,-0.053316795655924606,C,RF_longonly,affine
2011-06-30,0.021849324314498514,-0.0,0.021849324314498514,C,RF_longonly,affine
2011-07-31,0.003589310931514794,-0.0,0.003589310931514794,C,RF_longonly,affine
2011-08-31,-0.12305442808920453,-0.0,-0.12305442808920453,C,RF_longonly,affine
2011-09-30,0.0769903005507021,-0.0,0.0769903005507021,C,RF_longonly,affine
2011-10-31,-0.006920918609516824,-0.0,-0.006920918609516824,C,RF_longonly,affine
2011-11-30,-0.08300079560147386,-0.0,-0.08300079560147386,C,RF_longonly,affine
2011-12-31,-0.011213055936680483,-0.0,-0.011213055936680483,C,RF_longonly,affine
2012-01-31,0.021572708602665053,-0.0,0.021572708602665053,C,RF_longonly,affine
2012-02-29,-0.07456900501983435,-0.0,-0.07456900501983435,C,RF_longonly,affine
2012-03-31,0.006806879877165772,-0.0,0.006806879877165772,C,RF_longonly,affine
2012-04-30,-0.08249510915053063,-0.0,-0.08249510915053063,C,RF_longonly,affine
2012-05-31,0.04239201231930988,-9.999999999988324e-05,0.04229201231930999,C,RF_longonly,affine
2012-06-30,0.014027302483617452,-8.463757472654266e-15,0.014027302483608988,C,RF_longonly,affine
2012-07-31,0.024463964871855915,-9.999999995167625e-05,0.024363964871904238,C,RF_longonly,affine
2012-08-31,0.0031854229740773225,-9.999999979984078e-05,0.0030854229742774816,C,RF_longonly,affine
2012-09-30,-0.03359133069570629,-9.999999973952374e-05,-0.03369133069544581,C,RF_longonly,affine
2012-10-31,-0.00022591116865818515,-2.1031456973295462e-13,-0.00022591116886849972,C,RF_longonly,affine
