,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-06-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-07-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-08-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-09-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-10-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-11-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-12-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-01-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-02-28,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-03-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-04-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-05-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-06-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-07-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-08-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-09-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-10-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-11-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-12-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-01-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-02-29,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-03-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-04-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-05-31,0.0,0.0,0.0,0.2000000000002048,0.2000000000002048,0.0,0.1999999999997665,0.19999999999961918,0.2000000000002048
2012-06-30,0.0,0.0,0.0,0.20000000000584728,0.20000000000584728,0.0,0.1999999999879127,0.1999999999945454,0.20000000000584728
2012-07-31,0.0,0.0,0.0,0.19999999998234963,0.1999999999895168,0.1999999999033525,3.425847799827035e-10,0.1999999998172745,0.1999999999649217
2012-08-31,0.0,0.0,0.0,0.19999999996891862,0.19999999998091894,0.19999999992032527,0.19999999992529358,2.716035955740471e-10,0.19999999993293996
2012-09-30,0.0,0.0,0.0,0.1999999999798467,0.19999999998671072,0.19999999994033016,4.462461083191541e-10,0.19999999969210805,0.19999999995475823
2012-10-31,0.0,0.0,0.0,0.19999999999927184,0.19999999999972762,0.199999999997364,2.56169442596197e-11,0.19999999998049503,0.19999999999752446
2012-11-30,0.0,0.0,0.0,0.19999999999625728,0.19999999999789575,0.19999999998604018,2.863409399393925e-10,0.199999999746974,0.1999999999864919
2012-12-31,0.0,0.0,0.0,0.1999999999842261,0.1999999999893557,0.1999999998738118,0.19999999982287686,3.926200070004709e-10,0.19999999993710957
2013-01-31,0.0,0.0,0.0,0.19999999995681023,0.1999999999773901,0.19999999933022616,9.751818406429663e-10,0.19999999987418596,0.19999999988620576
2013-02-28,0.0,0.0,0.0,0.20000000000103238,0.20000000000103238,4.840679370381961e-10,0.19999999953301242,0.19999999998412052,0.19999999999673432
2013-03-31,0.0,0.0,0.0,0.19999999998812681,0.19999999999564785,0.19999999989976883,4.227573376441569e-10,0.19999999975916655,0.19999999993453257
2013-04-30,0.0,0.0,0.0,0.19999999998494225,0.19999999999132798,0.19999999990977715,0.19999999986560535,0.19999999967722765,5.711195587413235e-10
2013-05-31,0.0,0.0,0.0,0.19999999997512832,0.19999999998675128,0.19999999993940712,0.19999999995600115,4.410466394158166e-10,0.19999999970166546
2013-06-30,0.0,0.0,0.0,0.19999999998841694,0.19999999999538323,0.19999999995412443,0.19999999997304901,1.2493702786359952e-10,0.1999999999640893
2013-07-31,0.0,0.0,0.0,0.19999999999153478,0.19999999999572143,0.1999999999584132,0.19999999997376208,1.0446876302538684e-10,0.19999999997609977
2013-08-31,0.0,0.0,0.0,0.19999999999768883,0.19999999999864668,0.1999999999866256,0.199999999991196,3.452232757997015e-11,0.19999999999132062
2013-09-30,0.0,0.0,0.0,0.19999999998786622,0.19999999999466417,0.19999999997238643,0.19999999998784823,1.2024600048275611e-10,0.1999999999369889
2013-10-31,0.0,0.0,0.0,0.19999999999062387,0.19999999999576465,0.19999999997845064,0.19999999999244394,9.475723940961455e-11,0.19999999994795964
2013-11-30,0.0,0.0,0.0,0.1999999999853837,0.19999999999537318,0.19999999996618503,0.199999999993918,3.639466584901458e-10,0.19999999969519344
2013-12-31,0.0,0.0,0.0,0.19999999996914203,0.19999999998384377,0.19999999996190232,0.1999999999781362,0.19999999965458246,4.523932805948081e-10
2014-01-31,0.0,0.0,0.0,0.19999999996942022,0.19999999998874635,0.1999999999535195,0.19999999998689053,0.19999999998924664,1.1217675755277896e-10
2014-02-28,0.0,0.0,0.0,0.1999999999972059,0.19999999999862575,0.19999999999740967,0.19999999999937648,0.1999999999986827,8.699491211177616e-12
2014-03-31,0.0,0.0,0.0,0.19999999998114926,0.1999999999904061,0.199999999970216,0.19999999998838566,0.19999999997752707,9.231591133714478e-11
2014-04-30,0.0,0.0,0.0,0.19999999998068776,0.19999999999058385,0.19999999996266665,0.19999999998586246,0.19999999998403625,9.61631588836847e-11
2014-05-31,0.0,0.0,0.0,0.19999999998023496,0.1999999999910294,0.19999999997935597,0.19999999999335336,0.19999999996007375,9.595248751047741e-11
2014-06-30,0.0,0.0,0.0,0.1999999999817527,0.1999999999910153,0.1999999999791773,0.19999999999436432,0.19999999997402465,7.966561153967714e-11
2014-07-31,0.0,0.0,0.0,0.19999999998233137,0.19999999999377785,0.19999999998641477,0.19999999999543316,0.19999999970868843,3.333543221702654e-10
2014-08-31,0.0,0.0,0.0,0.19999999998985485,0.19999999999556342,0.19999999999297177,0.1999999999966691,0.19999999994208623,8.285477052087798e-11
2014-09-30,0.0,0.0,0.0,0.199999999991835,0.19999999999593002,0.1999999999926472,0.1999999999963256,0.19999999996468817,5.857398719881228e-11
2014-10-31,0.0,0.0,0.0,0.1999999999988885,0.19999999999962123,0.19999999999894896,0.19999999999962048,0.19999999999268894,1.0231716830635554e-11
2014-11-30,0.0,0.0,0.0,0.1999999999853398,0.1999999999955169,0.1999999999855391,0.1999999999945972,0.19999999971995225,3.190546754139007e-10
2014-12-31,0.0,0.0,0.0,0.19999999998944853,0.1999999999937446,0.19999999998916684,0.19999999999316545,2.4616978925189127e-10,0.19999999978830477
2015-01-31,0.0,0.0,0.0,0.199999999996217,0.1999999999982721,0.19999999999627358,0.19999999999805823,9.034395264215117e-11,0.19999999992083523
2015-02-28,0.0,0.0,0.0,0.19999999999503937,0.1999999999972945,0.19999999999555265,0.19999999999732668,1.325513764153986e-10,0.19999999988223544
2015-03-31,0.0,0.0,0.0,0.19999999999505053,0.1999999999972846,0.19999999999590093,0.19999999999748994,1.482014811655972e-10,0.1999999998660725
2015-04-30,0.0,0.0,0.0,0.19999999999484688,0.19999999999726806,0.19999999999595655,0.1999999999975403,1.272889575004045e-10,0.1999999998870993
2015-05-31,0.0,0.0,0.0,0.19999999999806642,0.19999999999926674,0.19999999999859447,0.19999999999929974,4.2518435157236003e-11,0.19999999996225412
2015-06-30,0.0,0.0,0.0,0.1999999999976327,0.19999999999903,0.19999999999805496,0.19999999999897494,5.4285807630707637e-11,0.19999999995202153
2015-07-31,0.0,0.0,0.0,0.19999999999783707,0.1999999999992976,0.19999999999816617,0.19999999999910836,4.4473643733016497e-11,0.19999999996111703
2015-08-31,0.0,0.0,0.0,0.19999999999848506,0.19999999999948231,0.19999999999852863,0.19999999999923448,2.724894057374076e-11,0.1999999999770203
2015-09-30,0.0,0.0,0.0,0.19999999999922213,0.1999999999996689,0.1999999999992125,0.19999999999949777,1.1888123165642411e-11,0.19999999999051055
2015-10-31,0.0,0.0,0.0,0.1999999999969833,0.19999999999859214,0.1999999999971548,0.19999999999817003,3.3895477198987984e-11,0.19999999997520423
2015-11-30,0.0,0.0,0.0,0.199999999996164,0.19999999999827542,0.19999999999628337,0.19999999999749218,4.3901335390390456e-11,0.19999999996788362
2015-12-31,0.0,0.1999999991144844,0.0,0.19999999999705584,0.19999999999936743,0.1999999999973875,0.19999999999882975,1.9285319875902053e-11,8.73589706248334e-10
2016-01-31,0.0,0.1999999999554365,0.0,0.19999999999909018,0.1999999999999044,0.1999999999990737,0.19999999999968524,6.478870211003161e-12,4.033127807495156e-11
2016-02-29,0.0,0.19999999992404488,0.0,0.1999999999948928,0.19999999999732265,0.1999999999947169,0.19999999999637022,1.1056203669313001e-11,8.159635354778245e-11
2016-03-31,0.0,0.19999999967127596,0.0,0.1999999999707943,0.19999999998571336,0.19999999997213588,0.19999999997923362,8.547638353636784e-11,3.3537061268056514e-10
2016-04-30,0.0,0.19999999971495858,0.0,0.19999999997149379,0.19999999998663676,0.1999999999722504,0.1999999999806201,6.913613315226502e-11,3.049042588316765e-10
2016-05-31,0.0,0.19999999997639797,0.0,0.19999999999910376,0.19999999999964127,0.19999999999908663,0.1999999999994172,5.21953531768109e-12,2.113376034747514e-11
2016-06-30,0.0,0.1999999996841658,0.0,0.1999999999612326,0.19999999998416637,0.1999999999613638,0.19999999997469448,2.390784289608732e-10,1.9529839845796933e-10
2016-07-31,0.0,0.19999999998257884,0.0,0.19999999999655957,0.1999999999983648,0.19999999999670287,0.1999999999976,1.125367451625893e-11,1.6940180891637714e-11
2016-08-31,0.0,0.19999999960660225,0.0,0.19999999997591972,0.1999999999888272,0.19999999997695492,0.19999999998215878,1.0863471046595332e-10,3.609026067248142e-10
2016-09-30,0.0,0.19999999971862212,0.0,0.19999999996474016,0.19999999998479515,0.1999999999665772,0.19999999997543863,1.5558790713455467e-10,2.3423888393372134e-10
2016-10-31,0.0,0.19999999975064692,0.0,0.19999999997681558,0.19999999998957094,0.19999999997716866,0.19999999998171306,9.003614919122133e-11,2.340486734898934e-10
2016-11-30,0.0,0.1999999999879837,0.0,0.19999999999670665,0.19999999999857093,0.19999999999646542,0.19999999999732596,1.3735321673614292e-11,9.21188914174814e-12
2016-12-31,0.0,0.19999999974290616,0.0,0.1999999999567279,0.19999999998268955,0.19999999995351175,0.19999999996401385,3.1113675327807393e-10,8.901401594887514e-11
2017-01-31,0.0,0.19999999998635953,0.0,0.1999999999968575,0.1999999999986737,0.1999999999967391,0.19999999999759077,1.1053422164337342e-11,1.2725985569436525e-11
2017-02-28,0.0,0.19999999972950896,0.0,0.1999999999440886,0.19999999997316475,0.1999999999446358,0.19999999995623363,1.5093110684980071e-10,3.0143712656667244e-10
2017-03-31,0.0,0.19999999998111312,0.0,0.19999999999742654,0.1999999999990408,0.19999999999745696,0.199999999998073,1.3582477824167121e-11,1.3307263127382264e-11
2017-04-30,0.0,0.1999999996905213,0.0,0.19999999996667567,0.19999999998571205,0.19999999996680132,0.19999999997391357,2.4046780028550937e-10,1.7590842973128268e-10
2017-05-31,0.0,0.19999999973192997,0.0,0.19999999998041948,0.19999999999138315,0.19999999998077114,0.1999999999841662,7.835778236194221e-11,2.529723307761894e-10
