Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-10-31,,,,ALL,LASSO_longonly,isotonic
2008-11-30,,,,ALL,LASSO_longonly,isotonic
2008-12-31,,,,ALL,LASSO_longonly,isotonic
2009-01-31,,,,ALL,LASSO_longonly,isotonic
2009-02-28,,,,ALL,LASSO_longonly,isotonic
2009-03-31,,,,ALL,LASSO_longonly,isotonic
2009-04-30,,,,ALL,LASSO_longonly,isotonic
2009-05-31,,,,ALL,LASSO_longonly,isotonic
2009-06-30,,,,ALL,LASSO_longonly,isotonic
2009-07-31,,,,ALL,LASSO_longonly,isotonic
2009-08-31,,,,ALL,LASSO_longonly,isotonic
2009-09-30,,,,ALL,LASSO_longonly,isotonic
2009-10-31,0.07507815313089496,-0.00025,0.07482815313089496,ALL,LASSO_longonly,isotonic
2009-11-30,-0.01902169282058721,-1.5974109503057632e-13,-0.01902169282074695,ALL,LASSO_longonly,isotonic
2009-12-31,-0.05044319029416512,-0.00010000000006314703,-0.05054319029422827,ALL,LASSO_longonly,isotonic
2010-01-31,-0.005295107273847712,-0.00020000000095202926,-0.005495107274799741,ALL,LASSO_longonly,isotonic
2010-02-28,0.051785838014520594,-0.00039999999745926547,0.05138583801706133,ALL,LASSO_longonly,isotonic
2010-03-31,0.03218574347707571,-0.00019999999994797001,0.03198574347712774,ALL,LASSO_longonly,isotonic
2010-04-30,-0.0730666130988508,-0.00020000000001184424,-0.07326661309886265,ALL,LASSO_longonly,isotonic
2010-05-31,-0.0275668999059867,-0.0002999999999023227,-0.027866899905889024,ALL,LASSO_longonly,isotonic
2010-06-30,0.061904489970491104,-1.3369238129449223e-13,0.06190448997035741,ALL,LASSO_longonly,isotonic
2010-07-31,-0.05193130531434332,-0.0002999999999584151,-0.052231305314301736,ALL,LASSO_longonly,isotonic
2010-08-31,0.09684845603276633,-0.000399999999975498,0.09644845603279083,ALL,LASSO_longonly,isotonic
2010-09-30,0.026408584600834915,-0.00020000000002200907,0.026208584600812906,ALL,LASSO_longonly,isotonic
2010-10-31,0.004046149877903051,-0.00020000000001309346,0.003846149877889958,ALL,LASSO_longonly,isotonic
2010-11-30,0.07041429751509519,-0.0003000000000515815,0.07011429751504361,ALL,LASSO_longonly,isotonic
2010-12-31,0.059915190104187964,-0.0004999999999729481,0.05941519010421502,ALL,LASSO_longonly,isotonic
2011-01-31,0.04452893345647693,-0.0004999999999809079,0.04402893345649603,ALL,LASSO_longonly,isotonic
2011-02-28,0.013352730252719873,-0.0004999999999378434,0.01285273025278203,ALL,LASSO_longonly,isotonic
2011-03-31,0.05318278371571646,-9.999999995809699e-05,0.053082783715758364,ALL,LASSO_longonly,isotonic
2011-04-30,-0.023942392473426395,-0.0001999999996456134,-0.024142392473072007,ALL,LASSO_longonly,isotonic
2011-05-31,-0.027518911975202683,-0.0001999999998384897,-0.02771891197504117,ALL,LASSO_longonly,isotonic
2011-06-30,-0.016145469122758584,-0.00019999999991915965,-0.016345469122677744,ALL,LASSO_longonly,isotonic
2011-07-31,-0.05699886332229404,-9.999999923283186e-05,-0.057098863321526874,ALL,LASSO_longonly,isotonic
2011-08-31,-0.10531846275343285,-0.00010000000012351473,-0.10541846275355636,ALL,LASSO_longonly,isotonic
2011-09-30,0.11538931991017158,-9.999999948871987e-05,0.11528931991068286,ALL,LASSO_longonly,isotonic
2011-10-31,-0.017675535355918124,-0.0001999999943714755,-0.0178755353502896,ALL,LASSO_longonly,isotonic
2011-11-30,-0.01780691228914057,-0.00019999999999360303,-0.018006912289134175,ALL,LASSO_longonly,isotonic
2011-12-31,0.06970598940590807,-1.116737931431367e-13,0.06970598940579639,ALL,LASSO_longonly,isotonic
2012-01-31,0.02582376898686831,-0.00010000000001565462,0.025723768986852656,ALL,LASSO_longonly,isotonic
2012-02-29,0.018980349988487254,-0.00019999999996445138,0.018780349988522804,ALL,LASSO_longonly,isotonic
2012-03-31,-0.004516835009826475,-0.00010000000005018034,-0.004616835009876656,ALL,LASSO_longonly,isotonic
2012-04-30,-0.08487960194931249,-0.00010000000004043908,-0.08497960194935293,ALL,LASSO_longonly,isotonic
2012-05-31,0.04639500072933819,-0.00010000000002207482,0.04629500072931612,ALL,LASSO_longonly,isotonic
2012-06-30,0.005779367938085888,-0.000499999999981189,0.005279367938104699,ALL,LASSO_longonly,isotonic
2012-07-31,0.0368219959017235,-0.0003999999999593164,0.03642199590176418,ALL,LASSO_longonly,isotonic
2012-08-31,0.018498185685868335,-0.00020000000021205673,0.018298185685656276,ALL,LASSO_longonly,isotonic
2012-09-30,-0.02863465202210707,-0.00010000000004249138,-0.02873465202214956,ALL,LASSO_longonly,isotonic
2012-10-31,0.01350673111558831,-0.00019999999999933195,0.013306731115588978,ALL,LASSO_longonly,isotonic
2012-11-30,0.014818650772504575,-9.894853884617868e-15,0.01481865077249468,ALL,LASSO_longonly,isotonic
2012-12-31,0.038801091655478695,-0.00020000000000685737,0.03860109165547184,ALL,LASSO_longonly,isotonic
2013-01-31,-0.03839863604019542,-0.00010000000000064394,-0.038498636040196065,ALL,LASSO_longonly,isotonic
2013-02-28,0.014826711945415991,-0.00029999999998354623,0.014526711945432445,ALL,LASSO_longonly,isotonic
2013-03-31,0.02958171529074047,-0.00020000000022290309,0.029381715290517568,ALL,LASSO_longonly,isotonic
2013-04-30,0.0007655430672626379,-0.00010000000000557954,0.0006655430672570583,ALL,LASSO_longonly,isotonic
2013-05-31,-0.016775702793138295,-0.00010000000000505629,-0.016875702793143352,ALL,LASSO_longonly,isotonic
2013-06-30,0.047929603587691424,-0.000399999999964419,0.047529603587727,ALL,LASSO_longonly,isotonic
2013-07-31,-0.0277135614231313,-0.0002999999999549294,-0.02801356142308623,ALL,LASSO_longonly,isotonic
2013-08-31,0.04174857592292513,-0.0001999999999268006,0.04154857592299833,ALL,LASSO_longonly,isotonic
2013-09-30,0.04291364721358085,-0.00039999999990879596,0.042513647213672054,ALL,LASSO_longonly,isotonic
2013-10-31,0.022794146304452055,-0.0002999999999759705,0.022494146304476086,ALL,LASSO_longonly,isotonic
2013-11-30,0.023721273185978338,-0.00019999999998330983,0.023521273185995027,ALL,LASSO_longonly,isotonic
2013-12-31,-0.023310669639074768,-0.00020000000001141143,-0.023510669639086178,ALL,LASSO_longonly,isotonic
2014-01-31,0.08230830641710302,-0.00029999999998953563,0.08200830641711349,ALL,LASSO_longonly,isotonic
2014-02-28,-0.0182227765204116,-0.00010000001885871287,-0.01832277653927031,ALL,LASSO_longonly,isotonic
2014-03-31,-0.01619790256032177,-0.00019999998114526003,-0.01639790254146703,ALL,LASSO_longonly,isotonic
2014-04-30,0.016586065503280577,-0.0001999999999981133,0.016386065503282463,ALL,LASSO_longonly,isotonic
2014-05-31,0.04743587712246926,-0.00019999999999794293,0.04723587712247131,ALL,LASSO_longonly,isotonic
2014-06-30,-0.010331622808233755,-0.0003000000000126411,-0.010631622808246395,ALL,LASSO_longonly,isotonic
2014-07-31,0.03928515986639502,-0.00019999999997099,0.03908515986642403,ALL,LASSO_longonly,isotonic
2014-08-31,-0.02342175712086237,-0.0001999999999399213,-0.023621757120802292,ALL,LASSO_longonly,isotonic
2014-09-30,-0.0041670106790142655,-0.00020000000001807317,-0.004367010679032338,ALL,LASSO_longonly,isotonic
2014-10-31,0.0005238000678065681,-0.00020000000000716022,0.0003238000677994079,ALL,LASSO_longonly,isotonic
2014-11-30,-0.004234573140043137,-0.000399999999982014,-0.004634573140025151,ALL,LASSO_longonly,isotonic
2014-12-31,-0.009688126558436089,-9.99999999753822e-05,-0.009788126558411471,ALL,LASSO_longonly,isotonic
2015-01-31,0.045019448603025355,-0.00010000000000955814,0.0449194486030158,ALL,LASSO_longonly,isotonic
2015-02-28,-0.0028487178756997043,-9.99999998047513e-05,-0.002948717875504456,ALL,LASSO_longonly,isotonic
2015-03-31,0.015263523996992788,-0.00010000000022429387,0.015163523996768494,ALL,LASSO_longonly,isotonic
2015-04-30,0.011623250927279954,-0.0001999999997095913,0.011423250927570364,ALL,LASSO_longonly,isotonic
2015-05-31,-0.042466966029167656,-0.0002999999996571861,-0.04276696602882484,ALL,LASSO_longonly,isotonic
2015-06-30,0.0035548289101799634,-9.999999993892234e-05,0.003454828910241041,ALL,LASSO_longonly,isotonic
2015-07-31,-0.08342659201951022,-8.726005042721023e-14,-0.08342659201959748,ALL,LASSO_longonly,isotonic
2015-08-31,-0.017156834373578483,-0.00010000000003567837,-0.017256834373614163,ALL,LASSO_longonly,isotonic
2015-09-30,0.09261022224253901,-0.00010000000005518686,0.09251022224248383,ALL,LASSO_longonly,isotonic
2015-10-31,-0.01877522089057325,-4.17475051809976e-13,-0.018775220890990724,ALL,LASSO_longonly,isotonic
2015-11-30,0.03285691449751168,-0.00010000000001402519,0.03275691449749765,ALL,LASSO_longonly,isotonic
2015-12-31,-0.09543710821168858,-9.999999990129108e-05,-0.09553710821158987,ALL,LASSO_longonly,isotonic
2016-01-31,-0.02638800924498807,-1.2289413899797359e-13,-0.026388009245110963,ALL,LASSO_longonly,isotonic
2016-02-29,0.06399255988757868,-4.361338755016219e-14,0.06399255988753506,ALL,LASSO_longonly,isotonic
2016-03-31,-0.007596314842506833,-6.073117685846914e-12,-0.007596314848579951,ALL,LASSO_longonly,isotonic
2016-04-30,-0.004634720862164444,-6.004205894892834e-12,-0.00463472086816865,ALL,LASSO_longonly,isotonic
2016-05-31,0.01911446027602514,-9.999999998588223e-05,0.019014460276039258,ALL,LASSO_longonly,isotonic
2016-06-30,0.04672145993518155,-3.788535211979342e-13,0.046721459934802693,ALL,LASSO_longonly,isotonic
2016-07-31,-0.004846429323606615,-1.7187450526106898e-13,-0.0048464293237784895,ALL,LASSO_longonly,isotonic
2016-08-31,0.0025946524397188176,-1.2134678526748082e-13,0.0025946524395974706,ALL,LASSO_longonly,isotonic
2016-09-30,-0.03384790702699601,-9.999999972316161e-05,-0.033947907026719175,ALL,LASSO_longonly,isotonic
2016-10-31,-0.014459593638068221,-9.999999972993869e-05,-0.01455959363779816,ALL,LASSO_longonly,isotonic
