Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-10-31,,,,B,RF_longonly,isotonic
2008-11-30,,,,B,RF_longonly,isotonic
2008-12-31,,,,B,RF_longonly,isotonic
2009-01-31,,,,B,RF_longonly,isotonic
2009-02-28,,,,B,RF_longonly,isotonic
2009-03-31,,,,B,RF_longonly,isotonic
2009-04-30,,,,B,RF_longonly,isotonic
2009-05-31,,,,B,RF_longonly,isotonic
2009-06-30,,,,B,RF_longonly,isotonic
2009-07-31,,,,B,RF_longonly,isotonic
2009-08-31,,,,B,RF_longonly,isotonic
2009-09-30,,,,B,RF_longonly,isotonic
2009-10-31,0.04114748190841732,-0.00025,0.04089748190841732,B,RF_longonly,isotonic
2009-11-30,-0.009502609512566727,-0.0001999999997095485,-0.009702609512276276,B,RF_longonly,isotonic
2009-12-31,-0.06951599555614014,-9.999999977219507e-05,-0.06961599555591234,B,RF_longonly,isotonic
2010-01-31,-0.005734112991717024,-9.999999994751288e-05,-0.005834112991664537,B,RF_longonly,isotonic
2010-02-28,0.0634785027018273,-0.00019999999985562749,0.06327850270197168,B,RF_longonly,isotonic
2010-03-31,-0.015875950053165465,-0.00010000001477452658,-0.015975950067939993,B,RF_longonly,isotonic
2010-04-30,-0.11896114238569422,-0.00010000001068105378,-0.11906114239637527,B,RF_longonly,isotonic
2010-05-31,-0.00019002115035696485,-9.999999598967493e-05,-0.0002900211463466398,B,RF_longonly,isotonic
2010-06-30,0.11737623608336602,-9.99999999343757e-05,0.11727623608343164,B,RF_longonly,isotonic
2010-07-31,-0.07282942930622331,-0.00019999999998696757,-0.07302942930621029,B,RF_longonly,isotonic
2010-08-31,0.1188268390894664,-0.00019999999931686428,0.11862683909014954,B,RF_longonly,isotonic
2010-09-30,0.036276167495691375,-0.00010000000082343632,0.03617616749486794,B,RF_longonly,isotonic
2010-10-31,-0.05282073465817995,-0.0001999999997996078,-0.05302073465797956,B,RF_longonly,isotonic
