,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,
2009-10-31,0.0,0.0,0.1999999999620766,8.762301984442863e-10,1.4174907327184461e-10,0.1999999992048932,0.1999999991286668,0.1999999999101574,1.7293838996454093e-10,3.118329235203384e-10,4.736083850317915e-10,4.417458773813167e-10,0.0,0.19999999937610108
2009-11-30,0.0,0.0,0.19999999998932005,0.19999999996708104,9.944082685670727e-12,7.61184438704021e-11,0.19999999997251153,0.19999999999279564,4.2161982294935345e-11,2.1545267668155018e-11,3.930075891604582e-11,0.19999999981626565,0.0,7.295553223881126e-11
2009-12-31,0.0,0.0,0.19999999996264398,0.19999999994275536,3.288171761748255e-11,8.104002058317343e-11,0.19999999986113304,0.19999999997020623,1.367873282239298e-10,8.90854385996159e-11,0.1999999993352253,4.568451514660211e-10,0.0,1.3139640655886223e-10
2010-01-31,0.0,0.0,0.19999999994199064,0.1999999992987335,2.805302975295036e-11,0.19999999987027683,0.19999999990798542,0.199999999915038,1.3773714758776859e-10,9.312287090287899e-11,1.8173441993741724e-10,4.3998248953221e-10,0.0,1.853457776699749e-10
2010-02-28,0.0,0.0,0.19999999999610396,5.0990335890229155e-11,1.9148147469930527e-11,0.19999999997212897,0.19999999997114845,5.1309735970666144e-11,0.1999999999083596,4.286576522926671e-11,3.901841421138624e-11,4.207697581232902e-11,0.0,0.19999999990684972
2010-03-31,0.0,0.0,0.19999999996831686,0.19999999908625865,9.122336429969104e-11,0.19999999984357938,0.199999999801603,7.147157901746214e-11,3.940202415910144e-10,9.645428037780589e-10,1.2993666277591226e-10,2.945102953135391e-08,0.0,0.19999997019801807
2010-04-30,0.0,0.0,0.19999999999000045,0.19999999986531758,4.827714226582301e-11,8.07477088084792e-09,0.19999999990142586,5.473085490221129e-11,1.3943115199507494e-10,0.19999999977813268,1.7984828482089313e-10,1.7200653867122743e-10,0.0,0.19999999179605876
2010-05-31,0.0,0.0,0.19999999999362542,0.19999999996738754,6.509661395868818e-12,0.19999999966020024,0.19999999998459744,1.3018716002164896e-11,8.58636988293801e-12,0.19999999998318663,1.604321040215656e-11,3.1235120446158644e-11,0.0,3.3560976381209826e-10
2010-06-30,0.0,0.0,0.19999999998638307,0.19999999994820958,1.5972241241765695e-11,0.19999999995748827,0.19999999995044873,3.697541715494813e-11,3.2766697350621357e-11,1.7500420722554788e-10,6.07448775332697e-11,4.744035315188228e-11,0.0,0.19999999978856653
2010-07-31,0.0,0.0,0.19999999999625492,0.19999999999525842,5.9353965284006925e-12,1.3987847368894908e-11,0.1999999999961406,0.19999999998965667,5.840113114016547e-12,7.176882714962477e-12,8.185171676180355e-12,0.1999999999660818,0.0,1.5482279483927372e-11
2010-08-31,0.0,0.0,0.19999999999648552,1.4668598162707528e-09,4.215828679361839e-12,0.19999999999512114,0.19999999985367684,0.1999999999779309,8.162805000428022e-12,0.19999999864336915,7.81815442484391e-12,1.7027911070801013e-11,0.0,2.9331910133689837e-11
2010-09-30,0.0,0.0,0.1999999999722979,1.294452481708618e-10,5.271890983871757e-11,3.574365937868628e-10,0.19999999993166145,0.19999999933034493,1.3474541342691338e-10,0.19999999966953094,1.110315756987147e-09,1.285087278487434e-10,0.0,0.19999999918299394
2010-10-31,0.0,0.0,0.19999999991180345,0.19999999987881897,2.980375263738992e-11,0.19999999993659703,0.19999999987982423,1.2230965526807862e-10,1.6601927539607642e-10,0.19999999768253712,9.869931026499846e-11,3.679164110247088e-10,0.0,1.9256709852566905e-09
2010-11-30,0.0,0.0,0.19999999999117854,0.19999999998239337,2.1094316949295227e-11,0.19999999994139214,2.6743344687564633e-10,3.015370030609348e-11,7.362509555983685e-11,0.19999999993676032,2.9433148760417285e-11,3.1657922611623917e-11,0.0,0.19999999969487797
2010-12-31,0.0,0.0,0.1999999999978221,0.19999999999119794,3.993593340208993e-12,0.19999999999121246,1.984386594957556e-10,4.271453254797425e-12,8.493303605150288e-12,0.19999999998224371,2.0998974311041893e-11,1.5424821209407924e-11,0.0,0.19999999978590313
2011-01-31,0.0,0.0,0.19999999998920778,0.19999999996419907,8.141155717945205e-11,1.2777547212124623e-09,1.0736852873367836e-10,7.5990319672248e-11,0.1999999982884387,0.1999999999276508,5.847276300833578e-11,2.949428969907222e-10,0.0,0.19999999993456297
2011-02-28,0.0,0.0,2.0785521589659505e-10,0.19999999974585134,5.282799059037203e-11,0.19999999990055875,1.0516708772891364e-10,7.987816562270302e-11,0.1999999998775496,0.1999999999632256,1.1428918776748059e-10,1.0631890092681148e-10,0.0,0.19999999984647818
2011-03-31,0.0,0.0,0.19999999998773296,2.3931000843987845e-10,6.01549094364405e-12,0.19999999999309426,0.19999999995037637,0.19999999969582036,2.6945371999292213e-11,0.19999999998437198,2.5262452192412724e-11,2.082360214966703e-11,0.0,7.024704688834335e-11
2011-04-30,0.0,0.0,0.19999999998703194,0.19999999994728174,1.0578044816899036e-11,0.19999999998354617,2.9751375025841607e-11,6.642235173554775e-11,1.7725282383573143e-11,0.1999999999781617,1.7083755260625512e-11,1.8367287100251975e-11,0.0,0.1999999999440504
2011-05-31,0.0,0.0,0.19999999992660772,0.19999999922588543,4.558565846244285e-11,0.19999999989191827,0.19999999946570862,6.854541979316936e-11,2.398220819627566e-10,1.8504483694573417e-09,1.9120547138938272e-10,2.0718444783444123e-10,0.0,0.19999999888708853
2011-06-30,0.0,0.0,2.1357702609147232e-10,0.19999999984124547,4.548649725229114e-11,0.1999999999200842,0.1999999996924027,0.19999999969668433,7.217888934241051e-10,6.686064545371278e-10,3.219258130590893e-10,0.1999999983420237,0.0,5.361746847332389e-10
2011-07-31,0.0,0.0,0.19999999993766113,0.19999999989724349,8.357165116291014e-11,0.19999999992087178,4.047125487454958e-10,4.5156274141611087e-10,3.7895984621770787e-10,0.19999999981380395,3.5474440393277404e-10,3.189388773044887e-10,0.0,0.1999999984379295
2011-08-31,0.0,0.0,0.19999999999724993,0.19999999998852389,7.281120748046859e-12,0.19999999998376367,0.1999999999260592,0.19999999998954637,2.9453044348821604e-11,1.786573470320866e-11,1.2823166966467277e-11,1.3719272734633143e-11,0.0,3.3714695276345974e-11
2011-09-30,0.0,0.0,0.19999999999596077,0.19999999993117873,1.4215905993405515e-11,1.5554442390694767e-11,0.1999999994470714,0.19999999999325715,4.652539217417438e-11,3.349704355903185e-11,0.19999999896214798,1.4902013827519588e-09,0.0,7.038968341302707e-11
2011-10-31,0.0,0.0,0.19999999995962417,0.19999999974686847,1.2849317042406657e-10,0.19999999850243114,0.19999999160231488,2.1405754009905644e-10,1.7762831197219264e-10,0.19999999956973397,1.7973721854266613e-09,2.5431485302384886e-10,0.0,8.04716128510989e-09
2011-11-30,0.0,0.0,0.1999999998533919,0.19999999971912083,6.158405893853807e-11,0.19999999972752522,5.509230428656714e-10,0.19999999967328796,8.61756944136529e-11,0.1999999994148728,1.5258788084702688e-10,1.2514574148143896e-10,0.0,6.353848494366623e-10
2011-12-31,0.0,0.0,0.19999999996362244,6.639059203696142e-11,1.507402466510711e-11,0.19999999997021553,0.1999999999026793,0.19999999993713907,1.4620186836375744e-11,0.19999999996841952,2.936390185698365e-11,2.8129971772667866e-11,2.122307628359434e-11,8.312230120329698e-11
2012-01-31,0.0,0.0,0.19999999996236129,0.19999999992556863,6.873214568159585e-11,3.369428210146209e-10,0.19999999986244754,1.6077749252794434e-09,5.542632455021174e-11,0.19999999989500444,1.0308231546077457e-10,7.25978620241111e-11,4.7389871877819615e-11,0.19999999806267188
2012-02-29,0.0,0.0,0.19999999996654486,0.1999999999108906,1.3211415857438333e-11,5.091536194770921e-11,3.283893259069945e-10,6.43598915426338e-11,5.204180140804881e-11,0.1999999999823862,3.9919568138960384e-11,3.8630880902870014e-11,0.199999999657287,0.1999999998954232
2012-03-31,0.0,0.0,0.19999999980179295,0.19999999994737758,1.4625046724359596e-11,0.19999999977961588,1.0055316246858296e-10,1.3422393647981372e-11,4.2287593183757575e-11,0.19999999979347433,1.2719281669579518e-08,3.936606444781261e-11,3.264635608224399e-11,0.19999998771555696
2012-04-30,0.0,0.0,0.1999999999281801,0.19999999991809347,1.0270346582138705e-10,3.6673449336806137e-10,0.19999999715612185,6.600964558443034e-11,1.3373746322018874e-09,0.19999999979291597,1.0124170795206645e-09,7.743190544259782e-10,1.1073176899474556e-10,0.19999999943439867
2012-05-31,0.0,0.0,0.19999999999138265,0.19999999997042806,1.3117546879044387e-11,5.263112921295333e-10,5.363390134331151e-10,7.73894104320254e-12,3.449196204445158e-11,0.19999999996759585,2.965090433919766e-11,3.3997700970262866e-11,0.1999999994187564,0.19999999947018965
2012-06-30,0.0,0.0,0.1999999999707653,0.19999999985255174,4.1783140978687375e-11,1.3302245978259865e-10,0.19999999946434371,3.396883353194436e-11,1.128663495546316e-10,0.19999999990488437,6.633137864160985e-11,6.583094493253976e-10,4.087107594754695e-11,0.19999999972030208
2012-07-31,0.0,0.0,0.19999999997156614,0.19999999991995646,3.756743832652538e-11,0.19999999988079742,0.1999999978606904,3.511023090466136e-11,1.836317947168516e-10,0.19999999973394608,1.1629483138629834e-10,8.256225945634416e-11,3.2085257767090817e-10,1.857024343548106e-09
2012-08-31,0.0,0.0,0.19999999999322832,0.1999999999940183,7.498964079820066e-12,0.19999999999430745,2.7387819846789252e-11,1.1164268817833666e-11,5.029658168735129e-11,0.199999999889304,5.535617538683775e-11,5.921673112161026e-11,7.426974847991234e-12,0.1999999999107945
2012-09-30,0.0,0.0,0.19999999998304127,0.19999999999192725,5.4910322105037114e-12,0.19999999998006532,3.002377649213078e-11,0.19999999971720614,1.2976223118538409e-11,0.19999999994145246,2.185504403550009e-11,2.1113107430520847e-11,9.79542734390752e-12,2.850528484150769e-10
2012-10-31,0.0,0.0,1.9014802769936222e-11,0.19999999997393061,5.049708826441262e-12,0.19999999999622636,0.1999999999152089,0.19999999999335077,1.1167025212980529e-11,0.19999999971615107,1.090025368679769e-11,7.719678510306354e-12,2.0562352595586696e-11,3.307183934878425e-10
2012-11-30,0.0,0.0,2.645437157654906e-11,0.19999999998942417,5.999888010071714e-12,0.19999999999421142,0.19999999964043372,5.603756203752112e-10,1.5290269847054383e-11,0.1999999999767356,2.0819787018671704e-11,1.8882090123050637e-11,6.74123144892906e-12,0.1999999997446318
2012-12-31,0.0,0.0,0.19999999963803472,0.19999999996313597,6.304409913657816e-12,0.1999999999930045,3.119274755786569e-11,0.19999999991584427,2.563739935922519e-11,4.0200064221084865e-10,3.4133955837431156e-11,1.3742507627475958e-11,2.4628586287935175e-11,0.19999999995234036
2013-01-31,0.0,0.0,0.19999999997852588,3.4095175262706735e-10,3.48345120410396e-11,0.19999999995574547,0.19999999963950155,0.1999999999806613,8.039642139237581e-11,3.9144775567943265e-11,4.876640944391698e-11,3.970157088919842e-11,2.062712803732306e-11,0.1999999998411431
2013-02-28,0.0,0.0,0.19999999988502598,0.1999999990251381,1.1712174187053575e-10,0.1999999998082661,3.458075894958412e-10,9.020160566703517e-11,0.19999999998350262,0.19999999877824418,2.1028751111668512e-10,1.306627179582215e-10,1.950735394453643e-10,1.4306682669906246e-09
2013-03-31,0.0,0.0,0.1999999999787342,0.1999999994960169,2.2853361694223774e-11,0.19999999997135937,6.627442685047468e-11,1.6113763089711448e-11,9.369853357843017e-11,0.19999999986882658,3.7707671810979554e-11,2.3916135199732357e-11,0.19999999994072812,4.837710467213039e-10
2013-04-30,0.0,0.0,0.19999999998545567,5.514767015967833e-10,7.976548671464548e-12,0.19999999998143997,2.3280453222555767e-11,7.587076254547014e-12,0.19999999999278897,0.19999999942362182,1.4332754385032929e-11,1.036780827471866e-11,0.1999999999518975,4.977471544783381e-11
2013-05-31,0.0,0.0,0.19999999999166176,0.19999999996670811,6.250130342759581e-12,0.19999999998827703,4.374017098220597e-11,6.463008714027445e-12,2.0555536899603693e-11,0.19999999997047133,2.0740809330414093e-11,1.0993764788611144e-11,5.5998041103337884e-12,0.19999999996853846
2013-06-30,0.0,0.0,1.1249660539917461e-11,0.19999999995975926,2.045001452632326e-12,0.1999999999762426,0.19999999987378933,2.9462129116358665e-11,1.3825389341014968e-10,0.1999999999515666,3.4304513220820454e-11,5.5039897864321665e-11,2.1035602788246834e-11,0.19999999994725168
