,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-06-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-07-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-08-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-09-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-10-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-11-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-12-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-01-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-02-28,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-03-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-04-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-05-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-06-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-07-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-08-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-09-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-10-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-11-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-12-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-01-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-02-29,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-03-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-04-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-05-31,0.0,0.0,0.0,0.20000000000014256,0.20000000000014256,0.0,0.19999999999991847,0.1999999999996539,0.20000000000014256
2012-06-30,0.0,0.0,0.0,0.20000000000456192,0.20000000000456192,0.0,0.19999999999028445,0.19999999999602974,0.20000000000456192
2012-07-31,0.0,0.0,0.0,0.19999999997575876,0.19999999998217088,0.1999999999064512,3.548832029075167e-10,0.19999999981823194,0.19999999996250414
2012-08-31,0.0,0.0,0.0,0.19999999995235185,0.19999999996074294,0.19999999991698023,0.19999999992212042,3.1197654459904866e-10,0.19999999993582807
2012-09-30,0.0,0.0,0.0,0.19999999997296672,0.19999999998310714,0.19999999994539208,4.354747755296799e-10,0.199999999716769,0.19999999994629034
2012-10-31,0.0,0.0,0.0,0.19999999999911877,0.19999999999947266,0.19999999999747256,2.509666054877596e-11,0.19999999998066248,0.1999999999981768
2012-11-30,0.0,0.0,0.0,0.19999999999679077,0.19999999999762927,0.19999999998800674,2.7632756792161224e-10,0.19999999975048213,0.19999999999076368
2012-12-31,0.0,0.0,0.0,0.1999999999811113,0.19999999998360182,0.1999999998697475,0.1999999998158898,3.7096636677337644e-10,0.19999999997868306
2013-01-31,0.0,0.0,0.0,0.1999999999990779,0.19999999999931078,0.19999999998639928,1.8106228943709277e-11,0.19999999999789575,0.19999999999921
2013-02-28,0.0,0.0,0.0,0.20000000000047163,0.20000000000047163,5.114327176893488e-10,0.19999999951003974,0.1999999999771126,0.20000000000047163
2013-03-31,0.0,0.0,0.0,0.19999999994692444,0.19999999995803683,0.1999999998029295,8.233307359554692e-10,0.19999999951838418,0.19999999995039436
2013-04-30,0.0,0.0,0.0,0.19999999998814047,0.19999999999069343,0.1999999998959775,1.6184640560733194e-08,0.1999999839539149,0.19999999998663323
2013-05-31,0.0,0.0,0.0,0.19999999991604647,0.1999999999414438,0.1999999998764975,0.19999999993427897,4.173027182347922e-10,0.19999999991443063
2013-06-30,0.0,0.0,0.0,0.19999999995354967,0.19999999991990353,4.3155561190903684e-10,0.19999999988660389,0.1999999998262825,0.19999999998210483
2013-07-31,0.0,0.0,0.0,0.19999999999057322,0.19999999999005644,3.4648238611802476e-10,0.19999999995265483,0.19999999972699714,0.19999999999323598
2013-08-31,0.0,0.0,0.0,0.19999999998615353,0.19999999998700305,2.3056165430518473e-09,0.19999999778032762,0.19999999995273862,0.19999999998816043
2013-09-30,0.0,0.0,0.0,0.1999999998992523,0.1999999998945812,0.19999999988974343,0.19999999994342274,4.751978936215195e-10,0.19999999989780243
2013-10-31,0.0,0.0,0.0,0.19999999995750758,0.19999999995474663,0.19999999993925718,0.19999999997924456,2.156639124069255e-10,0.19999999995358034
2013-11-30,0.0,0.0,0.0,0.19999999998709714,0.19999999998605184,0.19999999997815113,0.19999999999853663,6.992682410391044e-11,0.1999999999802364
2013-12-31,0.0,0.0,0.0,0.19999999999683654,0.19999999998565224,0.19999999999843027,0.1999999999992652,2.3433678609368768e-11,0.19999999999638188
2014-01-31,0.0,0.0,0.0,0.1999999998065951,6.012870850111588e-10,0.1999999999662183,0.19999999998830567,0.19999999993333953,0.19999999970425436
2014-02-28,0.0,0.0,0.0,0.19999999992520667,6.3022493862356e-10,0.1999999999898602,0.1999999999989206,0.1999999999818552,0.1999999994739324
2014-03-31,0.0,0.0,0.0,0.1999999998879014,4.218431291261272e-10,0.19999999995859874,0.19999999999292278,0.199999999963561,0.19999999977517277
2014-04-30,0.0,0.0,0.0,0.19999999992400716,3.840502692141723e-10,0.1999999999645802,0.19999999999407247,0.19999999997873585,0.19999999975455413
2014-05-31,0.0,0.0,0.0,0.19999999995006268,7.16597061738177e-08,0.19999999998876422,0.19999999999791376,0.19999992845232045,0.19999999995123274
2014-06-30,0.0,0.0,0.0,0.19999999988519543,2.4959548905294253e-10,0.19999999998492174,0.19999999999269988,0.1999999999722834,0.199999999915304
2014-07-31,0.0,0.0,0.0,0.19999999998166726,0.19999999994372947,0.19999999968909699,0.19999999999455176,4.0940148552922437e-10,0.199999999981553
2014-08-31,0.0,0.0,0.0,0.19999999997138498,0.19999999981572736,3.251829406088105e-10,0.19999999999434337,0.19999999992324866,0.19999999997011284
2014-09-30,0.0,0.0,0.0,0.19999999972364235,6.342336708201562e-10,0.199999999846276,0.1999999999879309,0.1999999999813155,0.1999999998266016
2014-10-31,0.0,0.0,0.0,0.19999999987825146,4.769147450473676e-10,0.19999999997440704,0.19999999999134419,0.1999999999613892,0.19999999971769333
2014-11-30,0.0,0.0,0.0,0.1999999999655231,0.19999999995866555,3.7965231655526494e-10,0.1999999997563722,0.19999999998215473,0.19999999995763215
2014-12-31,0.0,0.0,0.0,0.19999999992765702,0.1999999999279614,0.19999999990928483,0.19999999991600834,4.059315463137718e-10,0.1999999999131569
2015-01-31,0.0,0.0,0.0,0.19999999999385348,0.19999999999605667,0.1999999999769288,0.19999999999330623,4.925049058291248e-11,0.19999999999060417
2015-02-28,0.0,0.0,0.0,0.1999999999825617,0.19999999998539586,0.19999999992975037,0.19999999999044843,7.724631694573394e-10,0.19999999933938042
2015-03-31,0.0,0.0,0.0,0.19999999985983788,0.19999999990661374,0.1999999999332636,0.19999999998146387,0.19999999990839476,4.1042608867883757e-10
2015-04-30,0.0,0.0,0.0,0.1999999998984389,0.19999999990182382,0.19999999993787523,0.19999999996097825,4.0001074609107393e-10,0.19999999990087314
2015-05-31,0.0,0.0,0.0,0.19999999996570503,0.1999999999674155,0.1999999999701695,0.199999999969607,1.6583914660887853e-10,0.19999999996126383
2015-06-30,0.0,0.0,0.0,0.19999999998773774,0.19999999998793971,0.19999999998465637,0.1999999999819488,7.132218107549428e-11,0.19999999998639512
2015-07-31,0.0,0.0,0.0,0.19999999999178514,0.19999999999192145,0.1999999999926713,0.19999999999316653,4.050534250320812e-11,0.19999999998995027
2015-08-31,0.0,0.0,0.0,0.19999999998592802,0.19999999999119308,0.19999999997794804,0.19999999994191411,1.2068879892396508e-10,0.1999999999823281
2015-09-30,0.0,0.0,0.0,0.20000000000072163,0.20000000000072163,0.19999999999343585,7.029153043861095e-10,0.1999999993022326,0.19999999999997295
2015-10-31,0.0,0.0,0.0,0.19999999994290682,0.19999999996311268,0.19999999989324216,0.19999999990749548,3.6679819990717877e-10,0.19999999992644465
2015-11-30,0.0,0.0,0.0,0.19999999999667625,0.19999999999687548,0.19999999999825244,0.1999999999939177,1.8951433166334802e-11,0.19999999999532658
2015-12-31,0.0,0.19999999964521684,0.0,0.1999999999847266,0.19999999998704276,0.1999999999972835,0.20000000000003235,1.95831914741584e-10,1.8986605231914105e-10
2016-01-31,0.0,0.19999999988378303,0.0,0.19999999996237075,0.1999999999782729,0.19999999998375553,1.082946623325665e-10,0.19999999989251827,1.9100474022905167e-10
2016-02-29,0.0,0.19999999992712866,0.0,0.1999999999885288,0.199999999993943,0.19999999999557228,0.19999999999604937,7.41492013441498e-11,2.462859932385626e-11
2016-03-31,0.0,0.1999999999382932,0.0,0.19999999995060685,0.19999999996573634,0.19999999997971132,7.93825364651099e-11,0.19999999991646006,1.6980955340124174e-10
2016-04-30,0.0,0.1999999999458921,0.0,0.19999999996737552,0.1999999999835395,0.1999999999892195,0.1999999999915677,5.926550881754695e-11,6.314011190075697e-11
2016-05-31,0.0,8.284135189464401e-11,0.0,0.19999999994273737,0.19999999995886822,0.1999999999758996,0.1999999999840221,0.1999999998651257,1.905055834888389e-10
2016-06-30,0.0,1.1270666309504704e-09,0.0,0.19999999907847496,0.19999999992282935,0.1999999999548754,0.19999999997027054,0.19999999987869793,6.778500404173881e-11
2016-07-31,0.0,0.19999999997511436,0.0,5.712849595843772e-11,0.1999999999871008,0.19999999999410956,0.19999999999629675,0.1999999999804346,9.815331251472433e-12
2016-08-31,0.0,0.19999999988801248,0.0,0.19999999996993176,0.19999999997492152,0.19999999998417942,0.19999999998798113,9.424974257854101e-11,1.0072397124756674e-10
2016-09-30,0.0,0.19999999941338512,0.0,1.2259048368051006e-09,0.19999999984988837,0.19999999994368725,0.19999999996294807,0.19999999950011496,1.040713666044312e-10
2016-10-31,0.0,9.855207620780387e-11,0.0,0.19999999993651238,0.19999999998347173,0.1999999999913943,0.19999999999351292,0.19999999997689072,1.966584575142301e-11
2016-11-30,0.0,0.1999999999967386,0.0,1.918190142978139e-11,0.19999999999196844,0.19999999999760368,0.19999999999816992,0.1999999999918236,4.513819728112665e-12
2016-12-31,0.0,0.19999989707079632,0.0,1.0299153872234252e-07,0.19999999995814613,0.19999999999131887,0.19999999999424045,0.19999999998293314,1.1026308184144343e-11
2017-01-31,0.0,0.1999999999932212,0.0,1.1121434260671367e-10,0.1999999999849078,0.1999999999955646,0.19999999999632964,0.19999999991656478,2.197611594954102e-12
2017-02-28,0.0,0.19999999999366988,0.0,0.19999999998949278,0.19999999999662774,0.1999999999980794,0.1999999999985085,1.9215041428458228e-11,4.4065486427923065e-12
2017-03-31,0.0,0.19999999995364878,0.0,0.19999999993383188,0.1999999999600667,0.1999999999807608,5.551946877715315e-11,0.1999999999311206,1.8505171207850435e-10
2017-04-30,0.0,2.1625454565225583e-10,0.0,0.19999999986832412,0.19999999997907264,0.19999999998829596,0.19999999998507934,0.19999999992205672,4.091668469612429e-11
2017-05-31,0.0,3.463816765377847e-10,0.0,0.1999999998811815,0.199999999921631,0.1999999999568593,0.19999999996704068,0.19999999987642406,5.0481727867328455e-11
