Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-10-31,,,,ALL,LASSO_longonly,quantile
2008-11-30,,,,ALL,LASSO_longonly,quantile
2008-12-31,,,,ALL,LASSO_longonly,quantile
2009-01-31,,,,ALL,LASSO_longonly,quantile
2009-02-28,,,,ALL,LASSO_longonly,quantile
2009-03-31,,,,ALL,LASSO_longonly,quantile
2009-04-30,,,,ALL,LASSO_longonly,quantile
2009-05-31,,,,ALL,LASSO_longonly,quantile
2009-06-30,,,,ALL,LASSO_longonly,quantile
2009-07-31,,,,ALL,LASSO_longonly,quantile
2009-08-31,,,,ALL,LASSO_longonly,quantile
2009-09-30,,,,ALL,LASSO_longonly,quantile
2009-10-31,0.07507815313089496,-0.00025,0.07482815313089496,ALL,LASSO_longonly,quantile
2009-11-30,-0.01902169282058721,-1.5974109503057632e-13,-0.01902169282074695,ALL,LASSO_longonly,quantile
2009-12-31,-0.05044319029416512,-0.00010000000006314703,-0.05054319029422827,ALL,LASSO_longonly,quantile
2010-01-31,-0.005295107273847712,-0.00020000000095202926,-0.005495107274799741,ALL,LASSO_longonly,quantile
2010-02-28,0.051785838014520594,-0.00039999999745926547,0.05138583801706133,ALL,LASSO_longonly,quantile
2010-03-31,0.03218574347707571,-0.00019999999994797001,0.03198574347712774,ALL,LASSO_longonly,quantile
2010-04-30,-0.0730666130988508,-0.00020000000001184424,-0.07326661309886265,ALL,LASSO_longonly,quantile
2010-05-31,-0.0275668999059867,-0.0002999999999023227,-0.027866899905889024,ALL,LASSO_longonly,quantile
2010-06-30,0.061904489970491104,-1.3369238129449223e-13,0.06190448997035741,ALL,LASSO_longonly,quantile
2010-07-31,-0.05193130531434332,-0.0002999999999584151,-0.052231305314301736,ALL,LASSO_longonly,quantile
2010-08-31,0.09684845603276633,-0.000399999999975498,0.09644845603279083,ALL,LASSO_longonly,quantile
2010-09-30,0.026408584600834915,-0.00020000000002200907,0.026208584600812906,ALL,LASSO_longonly,quantile
2010-10-31,0.004046149877903051,-0.00020000000001309346,0.003846149877889958,ALL,LASSO_longonly,quantile
2010-11-30,0.07041429751509519,-0.0003000000000515815,0.07011429751504361,ALL,LASSO_longonly,quantile
2010-12-31,0.059915190104187964,-0.0004999999999729481,0.05941519010421502,ALL,LASSO_longonly,quantile
2011-01-31,0.04452893345647693,-0.0004999999999809079,0.04402893345649603,ALL,LASSO_longonly,quantile
2011-02-28,0.013352730252719873,-0.0004999999999378434,0.01285273025278203,ALL,LASSO_longonly,quantile
2011-03-31,0.05318278371571646,-9.999999995809699e-05,0.053082783715758364,ALL,LASSO_longonly,quantile
2011-04-30,-0.023942392473426395,-0.0001999999996456134,-0.024142392473072007,ALL,LASSO_longonly,quantile
2011-05-31,-0.027518911975202683,-0.0001999999998384897,-0.02771891197504117,ALL,LASSO_longonly,quantile
2011-06-30,-0.016145469122758584,-0.00019999999991915965,-0.016345469122677744,ALL,LASSO_longonly,quantile
2011-07-31,-0.05699886332229404,-9.999999923283186e-05,-0.057098863321526874,ALL,LASSO_longonly,quantile
2011-08-31,-0.10531846275343285,-0.00010000000012351473,-0.10541846275355636,ALL,LASSO_longonly,quantile
2011-09-30,0.11538931991017158,-9.999999948871987e-05,0.11528931991068286,ALL,LASSO_longonly,quantile
2011-10-31,-0.017675535355918124,-0.0001999999943714755,-0.0178755353502896,ALL,LASSO_longonly,quantile
2011-11-30,-0.01780691228914057,-0.00019999999999360303,-0.018006912289134175,ALL,LASSO_longonly,quantile
2011-12-31,0.06970598940590807,-1.116737931431367e-13,0.06970598940579639,ALL,LASSO_longonly,quantile
2012-01-31,0.02582376898686831,-0.00010000000001565462,0.025723768986852656,ALL,LASSO_longonly,quantile
2012-02-29,0.018980349988487254,-0.00019999999996445138,0.018780349988522804,ALL,LASSO_longonly,quantile
2012-03-31,-0.004516835009826475,-0.00010000000005018034,-0.004616835009876656,ALL,LASSO_longonly,quantile
2012-04-30,-0.08487960194931249,-0.00010000000004043908,-0.08497960194935293,ALL,LASSO_longonly,quantile
2012-05-31,0.04639500072933819,-0.00010000000002207482,0.04629500072931612,ALL,LASSO_longonly,quantile
2012-06-30,0.005779367938085888,-0.000499999999981189,0.005279367938104699,ALL,LASSO_longonly,quantile
2012-07-31,0.0368219959017235,-0.0003999999999593164,0.03642199590176418,ALL,LASSO_longonly,quantile
