,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,5.198331939096846e-13,5.198331939096846e-13,5.198331939096846e-13,5.198331939096846e-13,5.198331939096846e-13,1.558595415988246e-12,5.198331939096846e-13,0.1999999999992196,0.19999999998073162,1.7259489536755087e-12,3.1800170018322898e-12,0.1999999999935328,0.1999999999991093,2.3465902697170678e-12,2.7957982520140524e-12,3.1460602042723803e-12,6.1837529328103474e-12,0.19999999998096576,5.198331939096846e-13,5.198331939096846e-13,8.259745692200575e-13,1.489605307056075e-12,5.198331939096846e-13,2.551927646481643e-12,2.3967878122144715e-12,5.198331939096846e-13,1.5977040398334144e-12,1.1790343152612359e-12,5.198331939096846e-13,5.198331939096846e-13,5.198331939096846e-13,5.198331939096846e-13,3.5188052170927407e-12,1.2839465006796238e-12,1.1077019194577973e-12,2.275006616603143e-12
2009-11-30,1.2721050622243115e-13,1.2721050622243115e-13,1.2721050622243115e-13,1.2721050622243115e-13,1.2721050622243115e-13,2.998821399635852e-13,1.2721050622243115e-13,0.19999999998751722,0.1999999999970763,3.582727232064595e-13,1.8317283961943102e-12,0.19999999999332987,0.19999999999836626,7.807875478494067e-13,5.342725316309695e-13,9.785921682486647e-13,1.5489078211447578e-12,0.19999999999484355,1.2721050622243115e-13,1.2721050622243115e-13,2.5479534989259014e-13,3.191829690952652e-13,1.2721050622243115e-13,5.043015856345615e-13,6.600227387415032e-12,1.2721050622243115e-13,3.521478695631963e-13,3.080504808705159e-13,1.2721050622243115e-13,1.2721050622243115e-13,1.2721050622243115e-13,1.2721050622243115e-13,1.723286606329422e-12,9.979849485927185e-12,2.9536725540274735e-13,4.1640025244736875e-13
2009-12-31,4.229905734847648e-12,4.229905734847648e-12,4.229905734847648e-12,4.229905734847648e-12,4.229905734847648e-12,1.2225398780660164e-11,4.229905734847648e-12,3.8396455521924006e-11,4.8230461365277116e-11,1.0122507285326298e-11,2.431293640157871e-10,0.199999999972609,0.19999999998202378,3.424076120980572e-11,3.21992296387945e-11,2.0968471018721875e-11,9.628664993488588e-11,0.19999999997366008,4.229905734847648e-12,4.229905734847648e-12,1.3505348269719513e-11,1.592371200025346e-11,4.229905734847648e-12,1.5071247852070093e-10,0.19999999925120973,4.229905734847648e-12,2.478253017631385e-11,1.1808669514212795e-11,4.229905734847648e-12,4.229905734847648e-12,4.229905734847648e-12,4.229905734847648e-12,2.017098075056973e-11,0.19999999996503054,1.0029367238638551e-11,1.3515874489132115e-11
2010-01-31,2.6188902839123587e-12,2.6188902839123587e-12,2.6188902839123587e-12,2.6188902839123587e-12,2.6188902839123587e-12,1.9757262107175986e-12,2.6188902839123587e-12,0.19999999998851314,1.8277767063235383e-12,1.0280302148093832e-12,0.1999999999484926,0.1999999999857171,1.9948489022876983e-12,2.121640026141621e-12,1.460866558271771e-12,1.7974654685841382e-12,2.315227596378259e-12,0.19999999999891968,2.6188902839123587e-12,2.6188902839123587e-12,1.3792691897717802e-11,2.5606407616942763e-12,2.6188902839123587e-12,3.722160433385832e-12,3.5917315243079824e-12,2.6188902839123587e-12,3.693959286859075e-12,1.9373801315877016e-12,2.6188902839123587e-12,2.6188902839123587e-12,2.6188902839123587e-12,2.6188902839123587e-12,1.7964574954672604e-12,0.1999999999922263,1.9891993081699127e-12,1.8609161443728396e-12
2010-02-28,2.3820694937458362e-11,2.3820694937458362e-11,2.3820694937458362e-11,2.3820694937458362e-11,2.3820694937458362e-11,6.722135948460344e-12,2.3820694937458362e-11,2.956857332914136e-11,3.204041812724057e-12,2.0567148362215625e-12,6.500842169023219e-11,6.064060941772921e-12,4.398538079178038e-12,3.2926057084890065e-12,3.727964392232566e-12,2.441040979847234e-12,3.170294795743375e-12,0.19999999999423945,2.3820694937458362e-11,2.3820694937458362e-11,0.19999999977883046,0.1999999997987765,2.3820694937458362e-11,5.0371845608483314e-11,0.1999999998925229,2.3820694937458362e-11,2.3662482199475303e-11,7.362366071730587e-12,2.3820694937458362e-11,2.3820694937458362e-11,2.3820694937458362e-11,2.3820694937458362e-11,4.005695863555914e-12,0.1999999999636419,1.1286504719660006e-11,1.2155925348584537e-11
2010-03-31,1.8039803464673745e-12,1.8039803464673745e-12,1.8039803464673745e-12,1.8039803464673745e-12,9.786601898342454e-13,3.815936036593688e-12,1.8039803464673745e-12,0.19999999999220355,2.4032040025279132e-12,1.6208507220081777e-12,8.701871704364798e-11,2.5138470695208624e-12,1.9254518377012467e-12,1.7757334670858761e-12,2.0784719365762174e-12,1.6964561325885606e-12,1.859945235123554e-12,1.5483961086504678e-11,1.8039803464673745e-12,1.8039803464673745e-12,0.19999999998953977,0.19999999974849955,1.8039803464673745e-12,7.467756624992072e-12,1.1600690300451823e-10,1.8039803464673745e-12,0.19999999998763238,3.2352423634976816e-12,1.8039803464673745e-12,1.8039803464673745e-12,1.8039803464673745e-12,1.8039803464673745e-12,2.2376222583150853e-12,0.19999999999849963,3.6598918627304275e-12,4.394915146274672e-12
2010-04-30,2.621947956874345e-12,2.621947956874345e-12,2.621947956874345e-12,2.621947956874345e-12,1.2312540774601579e-12,4.072536203194761e-12,2.621947956874345e-12,0.19999999998357051,1.4247350826506482e-12,7.459601198520904e-13,2.631399226108772e-12,1.639513887706694e-12,1.2123592730373345e-12,9.30960603589989e-13,1.8068356662246163e-12,9.489869126844916e-13,1.0421028915675953e-12,0.19999999999368598,2.621947956874345e-12,2.621947956874345e-12,0.19999999999019358,0.19999999982299663,2.621947956874345e-12,1.412083986608091e-10,8.355937074248208e-12,2.621947956874345e-12,1.2345140121957649e-11,3.9590071795434605e-12,2.621947956874345e-12,2.621947956874345e-12,2.621947956874345e-12,2.621947956874345e-12,1.4237272876332573e-12,0.1999999999824678,3.3444937621135477e-12,4.676759794030745e-12
2010-05-31,8.796427423926856e-12,8.796427423926856e-12,8.796427423926856e-12,8.796427423926856e-12,6.450754130003988e-13,5.491479954104608e-12,8.796427423926856e-12,1.1119453274753946e-11,1.1784241802193499e-12,4.921014498095488e-13,2.033169727540379e-12,1.3521826859900322e-12,6.901943704483334e-13,7.059358004148116e-13,1.2294978996108547e-12,7.670061475933655e-13,7.723385091394174e-13,0.19999999999760767,8.796427423926856e-12,8.796427423926856e-12,0.19999999999133017,0.1999999998969415,8.796427423926856e-12,1.4222923688262934e-11,1.4024343282069051e-11,8.796427423926856e-12,0.19999999994091472,4.50022057109206e-12,8.796427423926856e-12,8.796427423926856e-12,8.796427423926856e-12,3.1188864209917885e-13,1.156033926088841e-12,0.19999999999666923,5.66130912509817e-12,4.625907082930731e-12
2010-06-30,0.03333333333149137,0.03333333333149137,0.03333333333149137,0.03333333333149137,6.56584728548442e-14,5.504757585085097e-13,0.03333333333149137,0.1999999999997046,1.7088398261632198e-13,6.811903868622657e-14,4.4637708785291587e-13,1.550386113769345e-13,8.498131177531183e-14,1.0735791852716951e-13,1.9031102673179072e-13,1.0259688807689545e-13,9.400160899502683e-14,0.19999999999978343,0.03333333333149137,0.03333333333149137,3.55885838479857e-13,2.1224925333917e-12,0.03333333333149137,4.734618619662563e-13,8.656346499142776e-13,0.03333333333149137,1.7092763489182993e-11,3.048216074748393e-13,0.03333333333149137,0.03333333333149137,0.03333333333149137,4.932487003473772e-14,1.4200980304052446e-13,0.1999999999985351,3.999160449485195e-13,2.3838757022191935e-13
2010-07-31,3.4815257700392744e-11,3.4815257700392744e-11,3.4815257700392744e-11,3.4815257700392744e-11,4.931148195505674e-12,0.19999999978670915,3.4815257700392744e-11,0.19999999998452625,4.6947486314286635e-12,4.0173755564744895e-12,1.672212359929123e-11,6.27987877718896e-12,6.405433021202702e-12,5.403635800684588e-12,6.89870255500379e-12,4.32076215319295e-12,4.369847587361106e-12,0.19999999999353524,3.4815257700392744e-11,3.4815257700392744e-11,3.1732012444087145e-11,2.4735506467341508e-11,3.4815257700392744e-11,1.0007588671951836e-11,1.2452181186772518e-11,3.4815257700392744e-11,0.19999999963954876,1.4365606699633252e-11,3.4815257700392744e-11,3.4815257700392744e-11,3.4815257700392744e-11,2.3376814127975772e-12,6.252571736953957e-12,0.19999999998687182,1.2863197897311707e-11,1.2235793564565584e-11
2010-08-31,2.2390297938552672e-11,2.2390297938552672e-11,2.2390297938552672e-11,2.2390297938552672e-11,2.5520628109398287e-12,0.19999999973489138,2.2390297938552672e-11,2.3778331512716006e-10,4.941168649209223e-12,4.3587622709792305e-12,0.19999999971201543,8.727052921194872e-12,1.5937295571046047e-11,5.7956383576750805e-12,1.849427996157387e-11,6.4846186853389114e-12,5.022211429749537e-12,0.19999999999724957,2.2390297938552672e-11,2.2390297938552672e-11,7.853861970883043e-12,2.1072713596305786e-11,2.2390297938552672e-11,1.9986845916207385e-11,2.3773963286417626e-11,2.2390297938552672e-11,0.1999999998630238,1.2049121503487642e-11,2.2390297938552672e-11,2.2390297938552672e-11,2.2390297938552672e-11,1.2174055526949173e-12,1.248582891012172e-11,0.19999999998839632,1.2703367405645098e-11,1.4500409735078407e-11
2010-09-30,5.677817792446964e-13,5.677817792446964e-13,5.677817792446964e-13,5.677817792446964e-13,5.995701735249788e-13,2.315155167227565e-12,5.677817792446964e-13,0.19999999999925633,2.6049013944186977e-12,1.8653462285535006e-12,5.962378351922075e-12,0.19999999999565152,0.1999999998586552,6.746474876072701e-11,3.549487600075684e-12,3.210367691562772e-12,2.9630581284665134e-12,1.1770242308670763e-10,5.677817792446964e-13,5.677817792446964e-13,2.071057118024263e-12,3.6503798343543476e-12,5.677817792446964e-13,2.22567313755673e-12,2.550716496427474e-12,5.677817792446964e-13,0.19999999991150116,1.5275085668866935e-12,5.677817792446964e-13,5.677817792446964e-13,5.677817792446964e-13,3.494712744342849e-13,7.038081201965199e-12,0.1999999999975609,1.2341605980026943e-12,1.6772109617916341e-12
2010-10-31,4.6193905894292575e-12,4.6193905894292575e-12,4.6193905894292575e-12,4.6193905894292575e-12,7.913257955922736e-12,1.5620531364477155e-11,4.6193905894292575e-12,0.1999999999783685,6.676828460743342e-11,1.6074070188524698e-11,2.6657982875144703e-11,1.790125342527817e-11,0.1999999998048535,0.19999999980319458,2.0227946345372616e-11,2.85904219317301e-11,2.002775122126059e-11,0.1999999999900242,4.6193905894292575e-12,4.6193905894292575e-12,1.4310676147239531e-11,2.8132467301013742e-11,4.6193905894292575e-12,1.525179181311528e-10,0.19999999983482497,4.6193905894292575e-12,1.6123719689999215e-11,1.4539687746084565e-11,4.6193905894292575e-12,4.6193905894292575e-12,4.6193905894292575e-12,4.031204697092382e-12,2.6973352396945572e-11,1.9302500828807056e-11,9.829975664342606e-12,2.7758653237677545e-11
2010-11-30,1.1394678248298427e-12,1.1394678248298427e-12,1.1394678248298427e-12,1.1394678248298427e-12,7.518784139619992e-13,3.3040958018827043e-12,1.1394678248298427e-12,0.19999999999655715,2.2249169700972493e-12,7.864787835300852e-13,4.415574452842562e-12,1.1876578927842634e-12,9.048368505533493e-13,1.2490522315781933e-12,2.072224879022777e-12,1.0459656709640414e-12,8.796832020111641e-13,0.19999999999737902,1.1394678248298427e-12,1.1394678248298427e-12,0.1999999999902587,0.1999999999968277,1.1394678248298427e-12,1.649631599383716e-11,3.22054224557052e-11,1.1394678248298427e-12,2.402183368300381e-11,3.9668858831795536e-12,1.1394678248298427e-12,1.1394678248298427e-12,1.1394678248298427e-12,7.085564698802821e-13,1.8143207610086187e-12,0.19999999989347408,2.229133108793391e-12,1.1564983556394697e-11
