Date,Universe,Model,Calib,Ticker,Weight
2008-10-31,ALL,RF_longonly,quantile,BITW,
2008-11-30,ALL,RF_longonly,quantile,BITW,
2008-12-31,ALL,RF_longonly,quantile,BITW,
2009-01-31,ALL,RF_longonly,quantile,BITW,
2009-02-28,ALL,RF_longonly,quantile,BITW,
2009-03-31,ALL,RF_longonly,quantile,BITW,
2009-04-30,ALL,RF_longonly,quantile,BITW,
2009-05-31,ALL,RF_longonly,quantile,BITW,
2009-06-30,ALL,RF_longonly,quantile,BITW,
2009-07-31,ALL,RF_longonly,quantile,BITW,
2009-08-31,ALL,RF_longonly,quantile,BITW,
2009-09-30,ALL,RF_longonly,quantile,BITW,
2009-10-31,ALL,RF_longonly,quantile,BITW,5.198331939096846e-13
2009-11-30,ALL,RF_longonly,quantile,BITW,1.2721050622243115e-13
2009-12-31,ALL,RF_longonly,quantile,BITW,4.229905734847648e-12
2010-01-31,ALL,RF_longonly,quantile,BITW,2.6188902839123587e-12
2010-02-28,ALL,RF_longonly,quantile,BITW,2.3820694937458362e-11
2010-03-31,ALL,RF_longonly,quantile,BITW,1.8039803464673745e-12
2010-04-30,ALL,RF_longonly,quantile,BITW,2.621947956874345e-12
2010-05-31,ALL,RF_longonly,quantile,BITW,8.796427423926856e-12
2010-06-30,ALL,RF_longonly,quantile,BITW,0.03333333333149137
2010-07-31,ALL,RF_longonly,quantile,BITW,3.4815257700392744e-11
2010-08-31,ALL,RF_longonly,quantile,BITW,2.2390297938552672e-11
2010-09-30,ALL,RF_longonly,quantile,BITW,5.677817792446964e-13
2010-10-31,ALL,RF_longonly,quantile,BITW,4.6193905894292575e-12
2010-11-30,ALL,RF_longonly,quantile,BITW,1.1394678248298427e-12
2010-12-31,ALL,RF_longonly,quantile,BITW,1.0806566637974966e-13
2011-01-31,ALL,RF_longonly,quantile,BITW,5.740738320645037e-13
2011-02-28,ALL,RF_longonly,quantile,BITW,8.181742565297983e-13
2011-03-31,ALL,RF_longonly,quantile,BITW,1.3029506353981934e-12
2011-04-30,ALL,RF_longonly,quantile,BITW,1.5154096711671002e-12
2011-05-31,ALL,RF_longonly,quantile,BITW,5.027086440280831e-12
