,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,
2009-10-31,1.3955207746020488e-10,1.536525138603662e-10,1.5214809492526762e-10,0.0,0.19999999990174583,0.1999999999249959,0.0,0.19999999978640154,8.502228884367949e-11,0.0,0.19999999997662413,8.128492529973692e-11,0.1999999997985726
2009-11-30,1.151519665401649e-09,6.963150526722492e-11,9.77181007449414e-11,0.0,0.19999999980618482,0.19999999995028456,0.0,0.1999999989967431,9.400811665592087e-11,0.0,0.19999999994190792,9.469742058376955e-11,0.1999999997973047
2009-12-31,2.0519789435185457e-11,0.19999999957643902,1.5898672462673043e-11,0.0,0.19999999998719759,0.19999999998760912,0.0,4.5743472672205184e-10,1.4114931905833217e-11,0.0,0.19999999998920667,1.1788536147945466e-11,0.19999999993979092
2010-01-31,0.1999999990483747,0.19999999520331496,1.0336137393569176e-09,0.0,1.0883009837152382e-09,3.36030689528348e-09,0.0,1.1088368865026621e-07,1.3885874725943976e-09,0.0,0.19999999971140514,0.19999999128974402,0.19999989699266346
2010-02-28,0.19999999968663124,0.19999999604632676,0.1999999989203705,0.0,1.032252981394805e-09,1.0260216552374489e-07,0.0,0.19999999894708373,3.553905985641786e-09,0.0,1.496045195794532e-10,3.6997900712235273e-09,0.1999998953618688
2010-03-31,0.19999999978816022,2.665340055782779e-10,0.19999999800599486,0.0,2.0922512868118096e-09,0.19999999956642095,0.0,0.1999999995783248,1.3858029180834196e-10,0.0,0.19999999978363162,4.167087704350783e-10,3.6339329700734305e-10
2010-04-30,0.19999999925191492,0.1999999998633732,0.19999999966821408,0.0,0.1999999985711844,7.111663732248814e-10,0.0,7.285521377606308e-10,4.086936219343144e-10,0.0,0.19999999981616798,3.9478640690819075e-10,5.859469833716757e-10
2010-05-31,0.19999999996809953,0.19999999997760917,0.199999999949723,0.0,5.074884168012501e-11,5.867496562956073e-11,0.0,9.341065656571072e-10,9.07669032278694e-11,0.0,0.19999999998651447,0.19999999894016718,4.358939857420949e-11
2010-06-30,0.19999999998573076,6.814442409369222e-11,8.655582286353735e-11,0.0,5.998287036317565e-11,0.19999999991687425,0.0,2.956156023924397e-11,0.19999999990255204,0.0,0.19999999995370482,0.19999999994969006,4.7203301450326355e-11
2010-07-31,0.1999999997663875,3.5716845887146315e-10,0.19999999881667177,0.0,4.3195196684737287e-10,0.19999999951967976,0.0,0.19999999401345475,2.1696913132469747e-09,0.0,0.199999999836925,4.635060603205038e-09,4.530089178800236e-10
2010-08-31,0.19999999942646132,3.4436494760058367e-10,0.1999999999129485,0.0,0.19999999935998358,0.19999999992598294,0.0,7.386311695596829e-10,9.50489348007099e-11,0.0,0.19999999997091886,6.41255167759456e-11,1.61534209730402e-10
2010-09-30,9.68160317730132e-08,0.19999999924036743,0.19999999978847502,0.0,0.19999999914040625,0.1999999998714361,0.0,5.940952994315929e-10,4.538581172413857e-10,0.0,5.653890166848071e-10,2.3455795989572104e-10,0.19999990329538322
2010-10-31,6.180105886018385e-11,0.19999999990688516,0.19999996899336678,0.0,0.19999999948102767,0.1999999997347541,0.0,3.174493901458185e-08,2.5972961749277084e-11,0.0,0.19999999997555587,1.7405115380763617e-11,5.82922164354045e-11
2010-11-30,1.7385917549379152e-10,0.19999999992876724,0.1999999998772329,0.0,4.113589950559743e-10,0.19999999890757883,0.0,0.19999999977359173,1.1723447391467012e-10,0.0,0.1999999997650553,7.46287002290993e-11,9.706924177652625e-10
2010-12-31,0.19999999996862836,0.19999999998772744,0.19999999998406334,0.0,1.8056322157888325e-11,4.84608333524475e-11,0.0,0.19999999998458645,1.790001728579652e-11,0.0,4.210115034645982e-11,0.1999999999259129,2.256317522263732e-11
2011-01-31,0.19999999996218829,0.19999999994741782,0.19999999903878313,0.0,3.7195665885548386e-11,6.585570448748869e-11,0.0,0.19999999995823545,3.156034653607156e-11,0.0,9.725577254869049e-10,0.1999999999587849,2.7421095745479657e-11
2011-02-28,0.19999999996831455,3.622217219786e-10,2.2499116053254486e-10,0.0,2.304297519958156e-11,2.8487392775099273e-11,0.0,0.19999999993243256,0.19999999948070438,0.0,0.19999999999165988,0.19999999996402507,2.412042492563886e-11
2011-03-31,0.19999999998741755,0.1999999999065283,0.19999999970540247,0.0,2.011768114368921e-11,9.854332134368615e-09,0.0,0.199999990432822,1.024813951286178e-10,0.0,3.624537871707783e-11,0.1999999999352007,1.9452496688346225e-11
2011-04-30,0.1999999999254334,6.671646195007906e-11,0.1999999996878904,0.0,9.263697213423682e-11,0.19999999968854332,0.0,0.19999999173516192,2.2245289921673543e-10,0.0,0.1999999999673498,8.446153804241317e-09,1.67661062068313e-10
2011-05-31,0.1999999996515221,1.2179982438394414e-10,0.19999999939795945,0.0,6.976205415407606e-08,0.19999999987157852,0.0,0.1999999964569599,4.5903551776545274e-10,0.0,0.1999999325358997,5.102322543689921e-10,1.2329584909089145e-09
2011-06-30,0.19999999958909553,1.0398936080883831e-10,0.19999999992952322,0.0,6.716489005404992e-08,0.19999999987957864,0.0,0.19999999956257689,1.145718250974071e-09,0.0,4.398099663615863e-11,9.575207967525806e-11,0.1999999324848949
2011-07-31,0.1999999999421245,4.9543332411225076e-11,0.1999999999752882,0.0,0.19999999974436086,0.1999999999791996,0.0,1.3196949722695975e-10,8.205042506035935e-11,0.0,1.33265443538755e-10,2.1474168493779163e-11,0.19999999994072393
2011-08-31,1.3482970839273258e-11,1.2499467038951245e-11,0.19999999999517218,0.0,0.19999999999355753,0.19999999999765491,0.0,0.19999999996827242,6.744169113795991e-12,0.0,1.4150650029095708e-11,4.50489652220738e-12,0.19999999999396065
2011-09-30,1.3361911405004142e-10,1.0637614553766896e-10,0.1999999998287921,0.0,0.19999999986432132,0.19999999996783638,0.0,0.19999999987289757,1.922458753396501e-10,0.0,9.10528986599245e-11,8.789523354641416e-11,0.19999999985496328
2011-10-31,3.787678069363745e-12,6.705756054979747e-12,0.19999999999580403,0.0,0.19999999999151735,0.1999999999959393,0.0,0.19999999999358664,8.882450051748847e-12,0.0,1.043682317602987e-11,2.1818321977168784e-12,0.1999999999911581
2011-11-30,6.203797638790957e-11,3.424530967780112e-11,0.1999999999423307,0.0,0.1999999999375914,0.1999999999746306,0.0,0.19999999993167503,6.309997117915835e-11,0.0,8.9417628137903e-11,2.0456247388230165e-11,0.19999999994451526
2011-12-31,4.4530358659891024e-11,6.352862332851394e-11,0.1999999999554238,0.0,0.19999999994489837,0.1999999999831929,0.0,0.1999999999417203,4.679502154585765e-11,0.0,4.6231353012457454e-11,1.70915981654561e-11,0.1999999999565877
2012-01-31,0.19999999656456663,1.1287915848022425e-10,0.19999999968667412,0.0,0.19999999972477653,0.19999999992854364,0.0,3.4842386799521078e-09,3.8525779365967104e-10,0.0,1.9351396425473324e-10,9.205681012167962e-11,0.19999999982749267
2012-02-29,6.035018007392382e-11,4.091081831433621e-10,0.19999999995737672,0.0,0.1999999999757989,0.19999999998290482,0.0,0.1999999995867448,2.825041239885573e-11,0.0,2.1728445678482373e-11,2.073213522584074e-11,0.1999999999570055
2012-03-31,6.773778052445783e-11,3.5210578376253664e-10,0.19999999980182953,0.0,0.19999999993004655,0.19999999996101517,0.0,0.19999999990088835,4.421566987687925e-11,0.0,6.461672178746715e-11,6.023741388127259e-11,0.19999999981730718
2012-04-30,7.698973208700286e-12,0.1999999999780686,0.1999999999845607,0.0,0.1999999999848748,0.1999999999904003,0.0,4.376130257427085e-11,9.945872884811317e-12,0.0,2.1223639563576064e-11,4.934861197331046e-12,0.19999999997453105
2012-05-31,1.841825961829401e-11,7.616667656185822e-11,0.19999999998245258,0.0,0.1999999999849975,0.19999999999258777,0.0,1.9152029755887775e-11,1.871740408887617e-11,0.0,0.19999999991204664,9.21518811375797e-12,0.19999999998624607
2012-06-30,0.1999999835969415,3.1548899869413406e-10,2.16518768072235e-09,0.0,0.19999999980317743,0.19999999990395587,0.0,1.9230349448745566e-10,1.4215331624179376e-08,0.0,0.19999999969638438,3.370360088303983e-10,0.19999999977419292
2012-07-31,2.643843503299268e-10,8.093531893702007e-11,1.1825575944384583e-10,0.0,0.19999999995753795,0.19999999997780799,0.0,1.8353582713436796e-10,0.19999999954187653,0.0,0.1999999999134038,4.8238725459237674e-11,0.19999999991402376
2012-08-31,7.142333391377756e-11,1.5461918421092162e-09,0.19999999952613506,0.0,0.19999999929690404,0.19999999987403408,0.0,0.19999999936906157,6.042093262257465e-10,0.0,2.070712594550569e-10,9.589909988426179e-11,0.1999999994090704
2012-09-30,0.19999996552475213,2.3067161812652333e-10,3.4534171633356785e-08,0.0,0.19999999981906516,0.19999999992217848,0.0,0.19999999988066167,8.932536235307628e-11,0.0,0.19999999966132023,7.029489955363196e-11,2.6755872729505507e-10
2012-10-31,0.19999999937114374,1.7827142942142393e-08,0.19999999942113397,0.0,1.4299484854046026e-09,0.19999999944195976,0.0,0.1999999981720362,8.345587932755163e-10,0.0,0.19999998138641123,1.6689605473404116e-09,4.4670438582378096e-10
2012-11-30,0.19999999993780357,0.1999999998507579,0.199999999731282,0.0,2.0114504942228853e-10,0.19999999766161264,0.0,0.19999999983447322,2.209818164894527e-09,0.0,1.5318535706679816e-10,2.252405453285278e-10,1.946816757090399e-10
2012-12-31,0.19999999993064957,0.19999999987545022,0.19999999992567763,0.0,4.798466098880768e-11,2.28352042935451e-10,0.0,0.19999999993848022,1.0140885994170027e-10,0.0,0.1999999996820202,1.994838290429477e-10,7.049279454732969e-11
2013-01-31,0.19999999998295662,1.4725976981165806e-10,0.1999999999806492,0.0,2.0133972287776424e-11,1.574041407899878e-11,0.0,0.1999999999824737,2.736067348357304e-11,0.0,0.19999999998717286,0.19999999983896075,1.729212881491905e-11
2013-02-28,0.19999999999440565,0.19999999997824977,0.19999999998278745,0.0,3.9464473463272455e-12,3.541359544785698e-12,0.0,0.19999999992268314,5.4491945759536085e-11,0.0,7.699030020637089e-11,0.1999999999791583,3.745715815296145e-12
2013-03-31,0.19999999999172216,3.901181145933372e-11,0.19999999998340515,0.0,6.4458292719558725e-12,2.633278637445765e-12,0.0,0.19999999999106874,7.907058413746988e-11,0.0,0.19999999991155282,0.19999999999060467,4.485063634529629e-12
2013-04-30,0.19999999998478565,1.4385804218712452e-11,6.801142550673244e-12,0.0,3.745846256340218e-11,0.19999999985618752,0.0,0.1999999999866285,1.0356196368505814e-10,0.0,0.19999999999765775,0.19999999998704174,2.5491693316380143e-11
2013-05-31,0.19999999999399976,1.3671095856138589e-11,1.364613223112743e-11,0.0,2.411778983975561e-11,7.420720089505158e-10,0.0,5.121092705760772e-11,0.19999999961481088,0.0,0.19999999998514711,0.19999999999354465,0.1999999995677796
2013-06-30,0.19999999998429668,0.19999999998957388,1.3897164905959051e-11,0.0,1.782044923591269e-11,1.607562796306128e-11,0.0,5.280371237484495e-11,0.19999999992570566,0.0,0.19999999999269258,0.19999999999388104,1.3253141760609404e-11
2013-07-31,0.1999999999816729,0.1999999999454687,8.221017518474849e-12,0.0,1.3196775457624631e-11,1.459176833130856e-11,0.0,8.541796834370289e-11,0.1999999999691997,0.0,0.19999999997349585,0.19999999998628123,2.24541486085477e-11
2013-08-31,0.19999999999836843,0.19999999999950016,6.235410671992167e-13,0.0,0.199999999986955,6.589109596863938e-13,0.0,0.19999999999797963,1.4874427947510036e-11,0.0,6.66364869165492e-13,0.1999999999994914,8.821263100799056e-13
2013-09-30,1.2871474295465887e-11,0.19999999999557141,0.19999999994898665,0.0,5.893012428291203e-11,1.0968027237984927e-11,0.0,0.19999999997652276,1.467208402032996e-11,0.0,0.19999999998884813,0.19999999997794773,1.468163926270903e-11
2013-10-31,4.018348111386681e-11,0.19999999996950496,2.706971018014436e-09,0.0,0.19999999883850003,0.19999999752363698,0.0,1.6674220935988833e-10,6.022294934340405e-10,0.0,0.19999999997033233,0.19999999993030487,2.51594813209738e-10
2013-11-30,2.002512869532763e-11,0.1999999999855341,1.3470490849522575e-11,0.0,0.19999999997259996,0.19999999998051388,0.0,5.5101605031111825e-11,5.543938770837997e-10,0.0,6.850665062168707e-12,0.19999999977851765,0.1999999996329926
2013-12-31,4.0852187932518266e-12,0.1999999999952045,0.19999999999798587,0.0,3.041620977811339e-11,0.19999999999534693,0.0,0.19999999996047102,2.3676330511694994e-11,0.0,1.6382784062437554e-12,1.8705499811191123e-11,0.19999999997247023
