,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,
2009-10-31,0.0,0.0,0.19999999998213372,3.2320286417569874e-11,1.811504472778127e-11,2.6028113618102967e-11,0.19999999999182994,2.0395990275722386e-11,8.126177566395045e-11,2.5264771263730153e-11,0.19999999993471276,0.1999999999142926,0.0,0.1999999999736449
2009-11-30,0.0,0.0,0.19999999989619685,0.19999999943089777,1.769374541522004e-11,5.821970700016194e-10,0.19999999998258575,0.19999999988149592,2.460569575842294e-11,2.5184943076934422e-11,4.3369467050766866e-10,0.19999999969356008,0.0,3.188755885019788e-11
2009-12-31,0.0,0.0,0.19999999999670862,2.554672894079534e-10,2.31469503356277e-11,2.5926318447604476e-11,0.1999999999877677,1.9676059083777195e-10,0.19999999993268844,0.1999999998515953,2.5508764653791953e-10,4.184269873088127e-09,0.0,0.19999999529058127
2010-01-31,0.0,0.0,0.19999999993615392,1.4992621920548845e-10,1.1572711648832868e-11,2.4038184212905756e-11,0.1999999999605391,0.19999999982260536,0.1999999999829541,9.677835712078903e-11,9.898245460537846e-12,0.19999999997374662,0.0,3.178725481938113e-11
2010-02-28,0.0,0.0,0.19999999998610857,0.1999999999554364,9.756858461326954e-12,3.4744149301072913e-11,3.522831936597785e-10,5.613238019930334e-11,0.19999999993554604,1.938920938133609e-10,2.90615463697394e-11,0.19999999950082198,0.0,0.19999999994621667
2010-03-31,0.0,0.0,0.19999999998918763,6.488449066864143e-12,4.56139965250486e-12,0.19999999999152857,0.19999999999080717,5.516656266102313e-12,0.19999999999628068,6.948488382153075e-12,0.1999999999983108,4.207655355299209e-12,0.0,6.162567180056839e-12
2010-04-30,0.0,0.0,0.19999999999478302,1.3972105525155217e-11,9.52070761651979e-12,0.1999999999928716,0.19999999998541856,1.2365314343799688e-11,0.19999999996157694,1.548944692174847e-11,1.450681666896425e-11,1.4485370319407498e-11,0.0,0.19999999998501009
2010-05-31,0.0,0.0,0.19999999995625498,5.77651022518674e-11,1.2295286002299492e-10,0.19999999978859131,0.1999999998444306,0.19999999968376525,0.1999998599806372,4.1113864635693365e-10,1.3193833076616975e-11,1.4012320721541485e-07,0.0,1.806299234740206e-11
2010-06-30,0.0,0.0,0.19999999999382173,3.902847601228158e-12,7.800665949414614e-12,0.19999999998648646,0.1999999999860462,0.19999999998383625,0.1999998366705277,2.9732747985928566e-11,7.60859256225726e-10,1.4053083698094472e-07,0.0,2.2046149310927467e-08
2010-07-31,0.0,0.0,2.73495358678847e-11,5.78944730019796e-13,9.05221005919384e-11,0.19999999974508087,0.19999999994217102,0.19999999990330486,0.19999859320682475,0.1999999999705098,1.8141467074838544e-08,1.3604390396803095e-06,0.0,2.853315155829304e-08
2010-08-31,0.0,0.0,0.19999999975065433,0.19999999996740514,3.646019593724744e-11,0.1999999999697552,0.19999999980996824,3.0752857348356637e-10,6.5146851623475e-11,7.613996234271287e-11,1.8787309392466544e-10,0.19999999975838179,0.0,7.068645873155008e-11
2010-09-30,0.0,0.0,0.19999999999955612,0.1999999999998119,1.1496325235591827e-12,3.4340540435255812e-12,0.19999999999767681,5.017101402421076e-12,1.9959281589810498e-12,0.19999999998817866,0.1999999999984699,2.6587972874052935e-12,0.0,2.0512136764980917e-12
2010-10-31,0.0,0.0,0.19999999999846366,0.2000000000000171,8.448215497559976e-13,2.030939833339831e-12,0.19999999999975962,8.628188922996578e-11,1.2378166667991258e-12,0.19999999999971854,1.984878417046013e-12,1.270478986061203e-12,0.0,0.1999999999083902
2010-11-30,0.0,0.0,0.20000000000023382,0.19999999993912454,2.095716600867903e-11,0.19999999981051306,0.19999999892323975,1.1620912424599485e-09,3.9198335586706736e-11,0.19999999995387346,4.227285133288696e-11,3.786621845932385e-11,0.0,7.062960535030479e-11
2010-12-31,0.0,0.0,0.19999999998594625,0.19999999998698087,8.205290297228486e-12,9.738042226244144e-12,0.1999999999712248,1.0278780517772682e-10,9.378996252778496e-12,9.038580037499543e-12,0.19999999994269269,9.32787133308291e-12,0.0,0.19999999996467893
2011-01-31,0.0,0.0,0.19999999999564783,3.7423962858156715e-11,3.1973711245400246e-12,1.2285790292038844e-11,0.19999999995975395,0.1999999999995023,1.1047669134838555e-11,0.19999999999412404,5.151075861273572e-12,5.8039847063676105e-12,0.0,0.19999999997606188
2011-02-28,0.0,0.0,6.542066529468677e-12,0.1999999999897177,8.532894922542766e-12,0.1999999999928993,0.19999999999177162,0.1999999999812124,7.40359045703947e-12,6.758879701253244e-12,0.199999998621021,1.3847379053888741e-09,0.0,9.402644949834958e-12
2011-03-31,0.0,0.0,0.19999999769114182,0.19999999995138196,2.136890119195626e-11,0.19999999995191028,0.19999999998143808,0.19999999993057427,3.384646760335873e-11,3.0077174232477823e-11,2.147653410890563e-09,2.1915953936147611e-10,0.0,4.144799694157969e-11
2011-04-30,0.0,0.0,0.19999999993693354,0.19999999995794712,2.3588199238752624e-11,0.19999999986016345,0.19999999996576512,1.0883753725302555e-09,7.143217325490216e-11,1.795654886903615e-10,8.559135970668527e-11,4.8175968501261474e-11,0.0,0.19999999878246208
2011-05-31,0.0,0.0,0.19999999998885304,0.19999999989342046,1.1876325458984875e-11,0.19999999994608525,4.5180832836489575e-11,3.945378736980497e-11,5.8099607971096e-11,0.19999999997203752,4.359475967610991e-11,2.959569928540749e-11,0.0,0.19999999997180262
2011-06-30,0.0,0.0,0.19999999995762163,0.19999999994885684,2.741033555297308e-11,0.19999999994604034,0.1999999999290889,0.19999999993099787,6.966064838025638e-11,2.4284958950657002e-11,4.837156283507088e-11,7.399368303890646e-11,0.0,4.367326053826389e-11
2011-07-31,0.0,0.0,0.1999999999426668,0.19999999994457507,1.6174755582160182e-11,0.19999999994520584,0.19999999994657353,0.1999999999412054,5.6043039303356913e-11,4.715892062600603e-11,5.6088489065590444e-11,4.837429735123678e-11,0.0,5.593390259451633e-11
2011-08-31,0.0,0.0,0.19999999995038498,3.0119749290158947e-10,3.2496975668272544e-11,0.19999999992886552,0.19999999983238131,0.19999999992005177,0.1999999994927236,5.308731733078048e-11,6.420885657492147e-11,3.6432362061498044e-10,0.0,6.027850918305716e-11
2011-09-30,0.0,0.0,0.19999999989966155,0.19999999999343934,1.0812761922810316e-11,5.073839232587908e-11,0.19999999999480167,0.19999999998797333,2.959767123668322e-11,1.2509468453297345e-11,1.8198568871880167e-11,0.199999999983395,0.0,1.8872324389513808e-11
2011-10-31,0.0,0.0,0.19999999997476198,0.1999999999990084,3.735361237606364e-12,5.945191373257202e-12,0.19999999999921117,0.19999999999311538,7.051917473484507e-12,7.077869851103936e-12,7.181422263247063e-12,0.19999999999497683,0.0,7.934393004281811e-12
2011-11-30,0.0,0.0,0.19999999999619952,3.377594215306375e-13,7.620852073535903e-12,0.19999999999455537,4.634844870293003e-13,0.199999999996649,3.025733665601465e-11,0.19999999999031748,3.179450864956259e-11,3.6629455139038766e-13,0.0,0.1999999999514385
2011-12-31,0.0,0.0,0.19999999999913468,0.19999999998310736,0.19999999999816065,0.1999999999989015,1.606695138306562e-12,9.022612395325853e-13,6.446016256909534e-13,0.19999999999896717,1.4623107500369645e-12,7.560711623461219e-13,1.0139763515026061e-11,6.217099948056334e-12
2012-01-31,0.0,0.0,0.19999999998906043,0.19999999991370687,2.3197745894856554e-11,9.340848266449233e-11,0.19999999999602316,0.199999999980158,4.011199364513133e-12,3.279544074645192e-11,5.289814427161472e-12,5.919362131515359e-12,0.1999999999077942,4.863552543486201e-11
2012-02-29,0.0,0.0,0.1999999998757005,5.238362073062853e-11,1.1099613279090498e-10,2.7980881991204455e-10,9.455990961207516e-11,1.9124574134249023e-10,0.19999999949066227,0.19999999994780998,0.19999999963110873,2.399987616564269e-11,0.1999999999625456,3.3917897495265807e-10
2012-03-31,0.0,0.0,0.19999999998094303,2.14520436518797e-11,2.6236092074902675e-11,0.19999999996431408,4.064279590664256e-11,0.19999999994261897,8.333161284083657e-11,0.19999999981838998,6.659403350863004e-11,3.570250309354126e-11,0.19999999998048512,3.9289683124833554e-11
2012-04-30,0.0,0.0,1.2473967819030746e-10,2.3268123836289804e-10,8.447377523222997e-10,6.461734615579832e-11,0.1999999999151607,5.016621878690432e-10,0.19999999930931867,5.779812656191753e-11,0.19999999898331708,0.19999999992452738,8.193682980229684e-11,0.19999999995950293
2012-05-31,0.0,0.0,0.19999999999113266,1.4608665496418383e-11,8.089463795104396e-12,0.19999999998777834,8.968191065075244e-12,0.19999999998162024,8.89612120697953e-12,0.1999999999841737,8.262462303552518e-12,1.1422236728378497e-11,1.0019653172422611e-11,0.1999999999850283
2012-06-30,0.0,0.0,6.152131110842303e-12,0.19999999999761964,0.19999999999638302,4.490514355706784e-12,6.431305012307254e-12,3.562134497224555e-12,0.19999999998288617,3.696469679824099e-12,0.19999999999524098,0.19999999999627857,3.5357031826204872e-12,3.723364628089345e-12
2012-07-31,0.0,0.0,0.19999999999374946,0.1999999999998458,7.96753731240177e-13,3.07384391521205e-12,1.8794042239056605e-12,1.1923477345864473e-12,0.19999999999729196,3.858940893101143e-12,0.19999999999888485,0.19999999999573428,1.2470015011584112e-12,2.445161085370824e-12
2012-08-31,0.0,0.0,0.19999999998407705,0.19999999999965443,8.867458902021018e-12,0.19999999994326126,0.1999999999534849,1.2853280431395939e-11,3.482535890323115e-11,1.4621850713885964e-11,3.32170525910154e-11,0.1999999999977741,4.493805471199852e-12,1.2869396018521372e-11
2012-09-30,0.0,0.0,0.1999999999049629,0.19999999999629448,5.315769910011763e-11,0.19999999947772856,5.520471633547031e-08,3.5395051911087617e-10,4.08641609562271e-10,2.5859035833817267e-09,3.2401268117388147e-10,0.19999999995137666,2.3794494605720713e-11,0.19999994171546043
2012-10-31,0.0,0.0,0.1999999999703882,0.19999999986135353,4.220780672641883e-11,0.19999999996168583,0.19999999989692474,0.19999999983495678,7.068850768807474e-11,8.435032321807279e-11,6.632413417323905e-11,2.1118272733929532e-11,4.76022800199796e-13,1.8952590934821652e-10
2012-11-30,0.0,0.0,0.19999999996043547,0.19999999995818643,3.571939132622415e-11,0.19999999995268586,0.1999999999439622,0.19999999992090864,4.7105580144948094e-11,5.1153488665246814e-11,7.234450932021105e-11,2.95569820531433e-11,1.862978574629199e-12,2.6078482510428743e-11
2012-12-31,0.0,0.0,0.19999999999899606,0.19999999999803245,0.19999999999096232,0.19999999999870627,5.425725741952088e-13,0.1999999999983918,2.8521954762261415e-12,3.1503509909888527e-12,3.0720039252606096e-12,3.1232071371398868e-12,4.136943238559873e-13,1.757190627985789e-12
2013-01-31,0.0,0.0,2.96844898559084e-11,0.19999999993754322,1.5813316800473173e-11,1.0835693775230586e-11,0.1999999997349058,1.0708425666004573e-11,0.19999999979772526,2.8477461240757106e-10,0.1999999999345285,0.1999999997533666,3.765039217110128e-11,4.524636229901904e-10
2013-02-28,0.0,0.0,3.645545406291759e-11,0.19999999999180723,1.66853035550085e-11,0.1999999999063052,1.800964021299531e-11,4.3640156097334525e-12,4.575004805654218e-11,3.4708902430075746e-11,0.19999999999167772,0.19999999999800092,4.516747471401087e-11,0.19999999991106798
2013-03-31,0.0,0.0,0.19999999997376078,0.20000000000002696,7.178120648962382e-13,0.19999999999717966,3.842774382815416e-12,1.2946299631694114e-13,1.6529669521328206e-11,1.2591975634395983e-11,4.4944536384608565e-12,5.244334525089034e-13,0.19999999999232046,0.19999999999788146
2013-04-30,0.0,0.0,1.9231998557320554e-11,0.19999999999882467,4.07771249738483e-11,0.1999999999838651,2.2777614053962494e-11,1.7116324489971466e-12,0.1999999999604801,1.2449233043004042e-11,0.19999999995737303,5.4632532525859544e-12,1.3356009010150204e-11,0.19999999998369025
2013-05-31,0.0,0.0,1.6952954906457306e-12,0.1999999999951769,1.5321787537251733e-11,0.19999999999920523,4.188409454831134e-12,2.0988634441030515e-14,0.19999999999888274,1.6613430965848102e-13,0.19999999998545948,5.349252043603703e-13,4.458284430315278e-13,0.19999999999890228
2013-06-30,0.0,0.0,8.943550323523895e-10,4.2811779585294853e-11,3.13090926102294e-11,0.19999999998641196,5.589066102976168e-12,2.522072228496422e-12,0.19999999992479933,0.0,0.19999999998997003,0.19999999999806528,0.19999999912039645,3.769948227486382e-12
