,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,
2009-10-31,0.0,0.0,0.19999999996207657,8.762302824074735e-10,1.417490740881691e-10,0.19999999920489325,0.19999999912866678,0.19999999991015735,1.7293839098997422e-10,3.118329258869934e-10,4.736083918934802e-10,4.4174588253631257e-10,0.0,0.19999999937610108
2009-11-30,0.0,0.0,0.19999999998932003,0.19999999996708107,9.944081835315131e-12,7.611843682313715e-11,0.19999999997251156,0.19999999999279564,4.216197767477461e-11,2.1545266200600058e-11,3.930073732664536e-11,0.1999999998162655,0.0,7.29555255980639e-11
2009-12-31,0.0,0.0,0.19999999996264398,0.19999999994275536,3.2881717713377016e-11,8.104002055344589e-11,0.19999999986113304,0.19999999997020623,1.3678732801587205e-10,8.908543859640875e-11,0.1999999993352253,4.568451500930895e-10,0.0,1.313964063354179e-10
2010-01-31,0.0,0.0,0.1999999999419906,0.19999999929873347,2.805302990687408e-11,0.19999999987027683,0.1999999999079854,0.199999999915038,1.3773714796605332e-10,9.312287119062767e-11,1.81734420302805e-10,4.3998248593655464e-10,0.0,1.8534577812894765e-10
2010-02-28,0.0,0.0,0.19999999999610396,5.0990336041425964e-11,1.914814749226689e-11,0.19999999997212897,0.19999999997114845,5.130973613514388e-11,0.19999999990835954,4.286576550684608e-11,3.9018414630120645e-11,4.207697621347601e-11,0.0,0.19999999990684975
2010-03-31,0.0,0.0,0.19999999996831683,0.1999999990862586,9.122336507662195e-11,0.1999999998435793,0.1999999998016029,7.147157970132071e-11,3.9402024474074904e-10,9.645428116746877e-10,1.2993666377725203e-10,2.9451029860115294e-08,0.0,0.19999997019801796
2010-04-30,0.0,0.0,0.19999999999000043,0.19999999986531752,4.827714288862888e-11,8.074770729221271e-09,0.1999999999014258,5.47308555543155e-11,1.394311532907574e-10,0.19999999977813265,1.798482866147447e-10,1.720065405201189e-10,0.0,0.19999999179605885
2010-05-31,0.0,0.0,0.19999999999362542,0.19999999996738754,6.50966220058788e-12,0.19999999966020018,0.19999999998459742,1.3018717650015177e-11,8.586370940746602e-12,0.19999999998318663,1.6043212382508442e-11,3.1235124186198255e-11,0.0,3.356097963446615e-10
2010-06-30,0.0,0.0,0.19999999998638301,0.1999999999482096,1.5972241762096328e-11,0.1999999999574882,0.19999999995044873,3.697541884400032e-11,3.276669870722085e-11,1.750043051293136e-10,6.0744882315851e-11,4.744035593688795e-11,0.0,0.19999999978856656
2010-07-31,0.0,0.0,0.1999999999962549,0.1999999999952584,5.935398763280702e-12,1.398785310121185e-11,0.19999999999614057,0.19999999998965662,5.840115305745663e-12,7.1768854950437575e-12,8.185174788246175e-12,0.19999999996608178,0.0,1.5482286055057842e-11
2010-08-31,0.0,0.0,0.19999999999648554,1.4668598258498507e-09,4.2158286921204135e-12,0.1999999999951212,0.19999999985367684,0.19999999997793091,8.162805014438494e-12,0.19999999864336918,7.81815443976726e-12,1.702791108812415e-11,0.0,2.933191023272249e-11
2010-09-30,0.0,0.0,0.19999999997229792,1.294452470966343e-10,5.271890907423124e-11,3.574365901126119e-10,0.1999999999316615,0.19999999933034499,1.3474541186216973e-10,0.19999999966953094,1.1103157535464323e-09,1.2850872682212202e-10,0.0,0.19999999918299396
2010-10-31,0.0,0.0,0.19999999991180348,0.19999999987881895,2.9803752547788674e-11,0.19999999993659703,0.19999999987982425,1.2230965501532567e-10,1.6601927493056642e-10,0.1999999976825371,9.86993100548387e-11,3.6791640964332e-10,0.0,1.9256709172581527e-09
2010-11-30,0.0,0.0,0.19999999999117854,0.19999999998239337,2.1094317333397934e-11,0.1999999999413922,2.6743345262560614e-10,3.0153700796575095e-11,7.362509933069725e-11,0.19999999993676032,2.9433149885945634e-11,3.165792346990417e-11,0.0,0.19999999969487803
2010-12-31,0.0,0.0,0.1999999999978221,0.19999999999119794,3.9935927289306824e-12,0.19999999999121246,1.9843862236667268e-10,4.271452587365226e-12,8.493302079786662e-12,0.19999999998224371,2.0998970407131368e-11,1.5424818340343495e-11,0.0,0.19999999978590316
2011-01-31,0.0,0.0,0.19999999998920776,0.199999999964199,8.141155378915109e-11,1.2777546795695224e-09,1.0736852393643584e-10,7.599031649880259e-11,0.1999999982884388,0.1999999999276508,5.847276053450797e-11,2.949428871519342e-10,0.0,0.1999999999345629
2011-02-28,0.0,0.0,2.078551865713175e-10,0.19999999974585136,5.2827988819429176e-11,0.19999999990055878,1.0516707875574659e-10,7.98781626125231e-11,0.19999999987754963,0.19999999996322562,1.1428917860284145e-10,1.0631889622828638e-10,0.0,0.1999999998464782
2011-03-31,0.0,0.0,0.19999999998773296,2.393099895314876e-10,6.015490877863197e-12,0.19999999999309426,0.1999999999503764,0.19999999969582039,2.694537162400617e-11,0.199999999984372,2.5262451797219208e-11,2.0823601854587426e-11,0.0,7.024704546718492e-11
2011-04-30,0.0,0.0,0.19999999998703194,0.19999999994728168,1.0578042091246694e-11,0.1999999999835462,2.9751361202186786e-11,6.642233300843018e-11,1.772527524985044e-11,0.1999999999781617,1.7083749149012067e-11,1.8367277943797e-11,0.0,0.19999999994405035
2011-05-31,0.0,0.0,0.19999999992660766,0.19999999922588543,4.558565848076813e-11,0.19999999989191825,0.19999999946570854,6.854541998085163e-11,2.3982209734442195e-10,1.850448432923423e-09,1.9120547298023472e-10,2.0718444967816558e-10,0.0,0.19999999888708855
2011-06-30,0.0,0.0,2.1357702792686508e-10,0.19999999984124547,4.5486497636929514e-11,0.19999999992008421,0.19999999969240276,0.19999999969668433,7.217888996910872e-10,6.686064608617646e-10,3.219258155308528e-10,0.19999999834202373,0.0,5.36174689284695e-10
2011-07-31,0.0,0.0,0.19999999993766118,0.1999999998972435,8.357165100669826e-11,0.19999999992087183,4.0471254655952285e-10,4.5156273861806486e-10,3.789598429219614e-10,0.199999999813804,3.547444012966096e-10,3.1893887588286294e-10,0.0,0.1999999984379295
2011-08-31,0.0,0.0,0.1999999999972499,0.19999999998852383,7.281121932001675e-12,0.19999999998376364,0.1999999999260592,0.19999999998954635,2.9453053150911785e-11,1.786573903684713e-11,1.282316951351265e-11,1.3719275608411195e-11,0.0,3.3714705268870865e-11
2011-09-30,0.0,0.0,0.19999999999596077,0.19999999993117876,1.4215906005876948e-11,1.555444240216353e-11,0.19999999944707142,0.19999999999325715,4.652539256199893e-11,3.349704359708791e-11,0.199999998962148,1.4902013765859934e-09,0.0,7.038968361294919e-11
2011-10-31,0.0,0.0,0.1999999999596242,0.19999999974686852,1.2849317016756637e-10,0.19999999850243116,0.19999999160231482,2.1405753962814164e-10,1.7762831161881053e-10,0.199999999569734,1.7973721794744818e-09,2.5431485226084283e-10,0.0,8.047161162321284e-09
2011-11-30,0.0,0.0,0.19999999985339195,0.19999999971912089,6.158405803606767e-11,0.19999999972752522,5.509230299167944e-10,0.19999999967328796,8.617569318579427e-11,0.19999999941487287,1.5258787848622213e-10,1.25145739568358e-10,0.0,6.35384835548451e-10
2011-12-31,0.0,0.0,0.19999999996362244,6.639060568902775e-11,1.5074026839841103e-11,0.19999999997021553,0.1999999999026793,0.1999999999371391,1.4620188965929357e-11,0.1999999999684195,2.9363906632950225e-11,2.812997623145914e-11,2.1223079285755784e-11,8.3122330439458e-11
2012-01-31,0.0,0.0,0.19999999996236129,0.19999999992556863,6.873214603414465e-11,3.3694282548164437e-10,0.19999999986244754,1.6077749813634252e-09,5.542632484907618e-11,0.19999999989500444,1.030823162595793e-10,7.259786278268376e-11,4.7389872157759416e-11,0.199999998062672
2012-02-29,0.0,0.0,0.19999999996654483,0.19999999991089062,1.3211415696622034e-11,5.091536073456417e-11,3.2838932401875884e-10,6.435988980440746e-11,5.2041799502500545e-11,0.19999999998238618,3.991956739486858e-11,3.863087951542429e-11,0.19999999965728707,0.1999999998954232
2012-03-31,0.0,0.0,0.199999999801793,0.19999999994737763,1.4625046642969447e-11,0.1999999997796159,1.005531622223757e-10,1.3422393562749765e-11,4.2287593085377676e-11,0.19999999979347438,1.2719281518795997e-08,3.9366064355414686e-11,3.264635599731948e-11,0.19999998771555694
2012-04-30,0.0,0.0,0.19999999992818004,0.19999999991809345,1.0270346612672799e-10,3.667344930526686e-10,0.19999999715612188,6.600964611522997e-11,1.3373746374892456e-09,0.1999999997929159,1.0124170889635249e-09,7.743190550944957e-10,1.107317692566938e-10,0.19999999943439867
2012-05-31,0.0,0.0,0.19999999999138268,0.19999999997042803,1.3117546903779863e-11,5.26311294658034e-10,5.36339017340048e-10,7.738941035075867e-12,3.4491962157901835e-11,0.19999999996759588,2.9650904449546905e-11,3.399770107451896e-11,0.19999999941875637,0.19999999947018968
2012-06-30,0.0,0.0,0.19999999997076537,0.19999999985255176,4.178313973902688e-11,1.3302244779747e-10,0.19999999946434377,3.396883256278671e-11,1.1286634152463618e-10,0.19999999990488443,6.633137628781725e-11,6.583093562243965e-10,4.087107480039895e-11,0.19999999972030202
2012-07-31,0.0,0.0,0.19999999997156612,0.19999999991995643,3.756743781504552e-11,0.19999999988079742,0.19999999786069045,3.511023044225928e-11,1.8363179190764698e-10,0.19999999973394605,1.1629482949581023e-10,8.256225808760862e-11,3.208525757458269e-10,1.857024318790855e-09
2012-08-31,0.0,0.0,0.1999999999932283,0.19999999999401827,7.498965002198703e-12,0.19999999999430743,2.738782277188474e-11,1.116427004294199e-11,5.029659574860419e-11,0.1999999998893041,5.5356194527052645e-11,5.921675697092389e-11,7.426975753735434e-12,0.19999999991079448
2012-09-30,0.0,0.0,0.19999999998304133,0.19999999999192725,5.491031530632995e-12,0.19999999998006532,3.0023772611487216e-11,0.19999999971720617,1.2976221447129806e-11,0.1999999999414525,2.1855041247419472e-11,2.1113104755344268e-11,9.795426072121581e-12,2.850528167303473e-10
2012-10-31,0.0,0.0,1.901480156192556e-11,0.19999999997393061,5.049708229383221e-12,0.19999999999622636,0.19999999991520886,0.19999999999335075,1.1167024002293213e-11,0.19999999971615112,1.0900252499464518e-11,7.719677637863729e-12,2.0562350576266968e-11,3.3071836827579216e-10
2012-11-30,0.0,0.0,2.645436868648462e-11,0.19999999998942414,5.999887330872034e-12,0.1999999999942114,0.19999999964043372,5.603756573768192e-10,1.529026812968824e-11,0.19999999997673557,2.0819784703503796e-11,1.8882088014787434e-11,6.741230686840083e-12,0.19999999974463184
2012-12-31,0.0,0.0,0.19999999963803475,0.19999999996313597,6.304409721596186e-12,0.19999999999300447,3.119274652320946e-11,0.19999999991584425,2.5637398497246715e-11,4.020006449819481e-10,3.413395471960643e-11,1.3742507158996317e-11,2.4628585458982854e-11,0.19999999995234033
2013-01-31,0.0,0.0,0.19999999997852586,3.4095173484488815e-10,3.48345115161586e-11,0.1999999999557455,0.19999999963950152,0.1999999999806613,8.039641870727551e-11,3.91447749450016e-11,4.876640851163816e-11,3.9701570241277196e-11,2.062712776617658e-11,0.1999999998411431
2013-02-28,0.0,0.0,2.5257176316724785e-11,0.19999999998274265,0.19999999999301904,5.350140567345398e-12,4.385222265799605e-12,0.19999999999794132,0.19999999999678783,5.8341554921375114e-12,0.19999999987117745,1.0706164529328954e-10,9.80052007886425e-13,9.463310110640118e-12
2013-03-31,0.0,0.0,0.19999999996755663,0.19999999983647213,0.19999999999725127,1.3782434494872081e-11,4.360780102869832e-12,0.19999999998362056,9.10580837761674e-11,6.623446715501331e-12,1.7335964617608473e-10,0.1999999999130356,0.0,1.287926583058771e-11
2013-04-30,0.0,0.0,3.0137391166757645e-11,0.19999999978211605,0.19999999999496174,4.8943877187508813e-11,1.110805275354295e-11,0.199999999993753,0.1999999999853592,1.086821252634288e-11,2.3785061952767484e-10,0.1999999998781691,2.5739937533275276e-12,2.4158758560269172e-11
2013-05-31,0.0,0.0,1.1235037718353227e-12,1.472713688281447e-12,1.610285920735272e-12,0.19999999999706278,0.199999999998686,0.19999999999956605,0.19999999998705695,1.3709656405870992e-10,0.19999999986109887,3.1676362622805397e-12,9.505721982066784e-12,2.552770832514993e-12
2013-06-30,0.0,0.0,5.516772819486779e-12,0.19999999995590834,3.3194135942986043e-12,0.1999999999850631,8.168548730322936e-11,2.355748364070212e-11,1.5218661391139254e-11,0.19999999999181514,7.062946285245136e-12,0.19999999990510534,0.1999999999928003,3.294701456743288e-11
