,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-06-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-07-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-08-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-09-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-10-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-11-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-12-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-01-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-02-28,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-03-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-04-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-05-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-06-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-07-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-08-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-09-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-10-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-11-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-12-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-01-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-02-29,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-03-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-04-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-05-31,0.0,0.0,0.0,0.20000000000010695,0.20000000000010695,0.0,0.20000000000008394,0.19999999999961338,0.20000000000008877
2012-06-30,0.0,0.0,0.0,0.20000000000497722,0.20000000000497722,0.0,0.19999999999467477,0.19999999999039367,0.20000000000497722
2012-07-31,0.0,0.0,0.0,0.1999999999805002,0.19999999998418347,0.19999999985828765,3.481426496666922e-10,0.1999999998578608,0.19999999997102513
2012-08-31,0.0,0.0,0.0,0.20000000000187806,0.20000000000187806,0.19999999999072166,0.19999999955983594,4.438081889316627e-10,0.20000000000187806
2012-09-30,0.0,0.0,0.0,0.19999999998307788,0.1999999999888473,0.19999999986818856,3.761833972122696e-10,0.19999999980471633,0.19999999997898654
2012-10-31,0.0,0.0,0.0,0.19999999999895396,0.19999999999946172,0.19999999998861037,2.7498919440695886e-11,0.1999999999869236,0.19999999999855145
2012-11-30,0.0,0.0,0.0,0.19999999999840398,0.19999999999913531,0.19999999999026408,1.1764204431410223e-10,0.19999999989710301,0.1999999999974516
2012-12-31,0.0,0.0,0.0,0.19999999998605367,0.19999999999000065,0.19999999995081605,0.19999999960779583,4.829595202683127e-10,0.19999999998237422
2013-01-31,0.0,0.0,0.0,0.1999999999850189,0.19999999998905751,0.19999999985183908,3.9223853421366884e-10,0.1999999998000615,0.19999999998178428
2013-02-28,0.0,0.0,0.0,0.19999999996973344,2.8855553091440404e-10,0.19999999992869633,0.19999999992939857,0.19999999992139084,0.19999999996222534
2013-03-31,0.0,0.0,0.0,0.19999999998454104,0.1999999999352147,0.19999999975459617,0.1999999998830342,4.6164597248546266e-10,0.19999999998096782
2013-04-30,0.0,0.0,0.0,0.1999999999991708,4.649895837276266e-12,0.19999999999897308,0.20000000000008122,0.19999999999803092,0.1999999999990941
2013-05-31,0.0,0.0,0.0,0.19999999999965162,1.1781746888990945e-12,0.19999999999993756,0.2000000000001351,0.19999999999924323,0.1999999999998543
2013-06-30,0.0,0.0,0.0,0.1999999999905469,0.19999999976243818,0.19999999996665316,3.164815811810326e-10,0.19999999997065931,0.19999999999322085
2013-07-31,0.0,0.0,0.0,0.19999999988787287,2.514981023928521e-10,0.19999999995471035,0.1999999999770942,0.19999999994899115,0.1999999999798332
2013-08-31,0.0,0.0,0.0,0.19999999996062134,0.19999999988943487,0.19999999995033965,2.5126326924976415e-10,0.19999999996577328,0.19999999998256757
2013-09-30,0.0,0.0,0.0,0.19999999998339751,8.660158303259471e-11,0.19999999999226808,0.20000000000010848,0.19999999993887316,0.1999999999987512
2013-10-31,0.0,0.0,0.0,0.19999999997091086,0.19999999996613252,0.19999999998735316,1.6390390005075156e-10,0.19999999991085246,0.20000000000084725
2013-11-30,0.0,0.0,0.0,0.19999999978705169,5.26218726635543e-10,0.19999999994899603,0.19999999993420495,0.19999999982247152,0.19999999998105705
2013-12-31,0.0,0.0,0.0,0.19999999997122428,7.835466428264359e-11,0.1999999999974672,0.19999999998589038,0.19999999996879378,0.19999999999826965
2014-01-31,0.0,0.0,0.0,0.19999999999582688,8.412578300879818e-12,0.1999999999997131,0.2000000000000285,0.19999999999605467,0.1999999999999642
2014-02-28,0.0,0.0,0.0,0.199999999981201,3.988718845185289e-11,0.19999999999710016,0.19999999999982093,0.19999999998273243,0.1999999999992583
2014-03-31,0.0,0.0,0.0,0.19999999997663084,0.1999999994913446,0.19999999998269297,6.261906587769475e-10,0.1999999999229222,0.20000000000021867
2014-04-30,0.0,0.0,0.0,0.1999999999148274,2.6809504983742955e-10,0.1999999999712997,0.19999999998659548,0.19999999986784506,0.1999999999913373
2014-05-31,0.0,0.0,0.0,0.19999999993670767,4.700055337417081e-10,0.19999999999119514,0.19999999999638748,0.19999999975737406,0.19999999984833017
2014-06-30,0.0,0.0,0.0,0.19999999995057546,6.773470304944559e-10,0.1999999998358923,0.1999999999083481,0.19999999963705006,0.1999999999907872
2014-07-31,0.0,0.0,0.0,0.1999999999693946,4.666167287174327e-10,0.19999999988208134,0.19999999993770953,0.19999999974896893,0.1999999999952289
2014-08-31,0.0,0.0,0.0,0.19999999997386375,0.19999999987762154,6.771406595889016e-10,0.19999999954355638,0.1999999999358798,0.19999999999193782
2014-09-30,0.0,0.0,0.0,0.19999999988431869,1.497273685504326e-10,0.1999999999875917,0.19999999998990153,0.19999999999965865,0.19999999998880197
2014-10-31,0.0,0.0,0.0,2.3118043599663479e-10,0.19999999978238495,0.19999999999673262,0.19999999999960164,0.20000000000005347,0.1999999999900469
2014-11-30,0.0,0.0,0.0,0.19999999996745713,0.1999999999853833,0.1999999998769614,0.19999999985914166,0.19999999999947424,3.1158232779477967e-10
2014-12-31,0.0,0.0,0.0,0.1999999999435275,0.19999999997930845,0.19999999997373902,0.19999999996813475,0.19999999995492995,1.803600966965615e-10
2015-01-31,0.0,0.0,0.0,0.19999999997144663,0.19999999999389226,0.19999999991600098,7.536963810816081e-10,0.19999999997259907,0.1999999993923647
2015-02-28,0.0,0.0,0.0,0.19999999989273273,0.19999999998984913,0.19999999992294343,0.19999999993258377,0.1999999997599368,5.019541976336266e-10
2015-03-31,0.0,0.0,0.0,0.1999999999663086,0.1999999999800853,0.19999999997211548,0.19999999997519016,0.19999999991683198,1.894684478487269e-10
2015-04-30,0.0,0.0,0.0,0.1999999999252314,0.19999999997378234,0.19999999998910578,0.19999999999289833,0.19999999967212834,4.468537359743869e-10
2015-05-31,0.0,0.0,0.0,0.19999999986874495,0.19999999997106763,0.19999999997326104,0.1999999999638061,3.760743324625347e-10,0.19999999984704595
2015-06-30,0.0,0.0,0.0,0.1999999999670385,0.1999999999878199,0.19999999998811166,0.1999999999825617,5.167957623269595e-10,0.19999999955767248
2015-07-31,0.0,0.0,0.0,0.19999999997904713,0.19999999998092186,0.1999999999885139,0.19999999998324888,5.100071110971153e-10,0.19999999955826098
2015-08-31,0.0,0.0,0.0,0.19999999998441978,0.19999999999092066,0.19999999998703175,8.357423008848435e-10,0.19999999926339382,0.1999999999384919
2015-09-30,0.0,0.0,0.0,0.20000000000001938,0.20000000000001938,0.19999999999993792,0.1999999999984548,2.2859123453356348e-12,0.19999999999928245
2015-10-31,0.0,0.0,0.0,0.19999999999985113,0.19999999999993726,0.19999999999982931,0.2000000000000377,1.2348998734589624e-12,0.19999999999910958
2015-11-30,0.0,0.0,0.0,0.19999999999933551,0.19999999999952287,0.19999999999975887,0.20000000000004528,2.4196000857263204e-12,0.19999999999891782
2015-12-31,0.0,0.19999999948107716,0.0,6.214710646474758e-10,0.1999999998895888,0.19999999999379053,0.20000000000032292,2.3221967263643732e-11,0.1999999999905277
2016-01-31,0.0,0.1999999999874058,0.0,0.19999999998285534,0.19999999999284176,0.1999999999979423,0.1999999999978492,3.461541883990797e-11,6.490109922546672e-12
2016-02-29,0.0,0.1999999999980498,0.0,0.19999999999776916,0.1999999999985582,0.19999999999951304,0.19999999999895368,4.620700324264666e-12,2.5353882194123634e-12
2016-03-31,0.0,0.19999999999835502,0.0,0.19999999999758622,0.19999999999931162,0.19999999999997645,0.19999999999956475,5.206033570706171e-12,0.0
2016-04-30,0.0,0.19999999986680186,0.0,1.8260059613310515e-10,0.1999999999613957,0.19999999999600876,0.19999999997926732,0.20000000000034907,1.3576681855190651e-11
2016-05-31,0.0,8.67904832795468e-10,0.0,0.19999999967781845,0.1999999996781328,0.1999999998900112,0.19999999954971487,0.20000000000159632,3.348216577831139e-10
2016-06-30,0.0,0.19999999997351953,0.0,0.19999999998798657,0.19999999998849796,0.19999999999652276,1.3958521579731399e-11,0.20000000000004567,3.9469115822741865e-11
2016-07-31,0.0,1.6836027633318538e-10,0.0,0.19999999999203863,0.19999999999486104,0.19999999999894708,0.19999999984276084,0.20000000000005239,2.9796771765672448e-12
2016-08-31,0.0,0.19999999991574252,0.0,0.19999999994482878,0.1999999999519611,0.19999999997667714,5.770452088117152e-11,0.19999999996831422,1.847718203712576e-10
2016-09-30,0.0,0.1999999999500931,0.0,0.19999999996128837,0.19999999996427703,0.19999999997719625,1.832501473374755e-10,7.638069179174438e-11,0.1999999998875145
2016-10-31,0.0,0.19999999991290335,0.0,0.1999999999447064,0.1999999999508732,0.1999999999222884,7.48150554567997e-11,0.1999999999043423,2.9007120923410946e-10
2016-11-30,0.0,0.19999999993211068,0.0,0.19999999995262469,0.19999999996057827,0.1999999998497461,4.5096582654862763e-11,0.19999999999248208,2.673614951071613e-10
2016-12-31,0.0,0.19999999988663414,0.0,0.199999999900736,0.1999999999112921,0.19999999997197662,5.194827844057746e-11,0.1999999999833533,2.9405933935583545e-10
2017-01-31,0.0,0.19999999988299824,0.0,0.19999999988473624,0.19999999992269207,0.19999999995607676,3.311029320570629e-10,0.19999999999583118,2.656257620497324e-11
2017-02-28,0.0,0.19999999997149032,0.0,0.19999999996904888,0.19999999998765752,1.7760013884322385e-11,0.19999999951859615,0.2000000000003243,5.351227344752753e-10
2017-03-31,0.0,0.19999999993375164,0.0,0.1999999999352122,0.19999999995597031,7.609460942755459e-11,0.19999999930742984,0.19999999999404758,7.974938059711661e-10
2017-04-30,0.0,0.19999999994580128,0.0,0.19999999994293882,0.19999999999067808,0.19999999999206478,7.44557338676784e-11,0.19999999999775764,5.630367551628873e-11
2017-05-31,0.0,0.1999999998528936,0.0,0.19999999988724645,0.1999999999487378,0.199999999945224,3.586118358729917e-10,0.1999999999957022,1.1584254333813843e-11
