,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-06-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-07-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-08-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-09-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-10-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-11-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-12-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-01-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-02-28,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-03-31,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-04-30,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2011-05-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-06-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-07-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-08-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-09-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-10-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-11-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2011-12-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-01-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-02-29,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-03-31,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-04-30,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
2012-05-31,0.0,0.0,0.0,0.20000000000014256,0.20000000000014256,0.0,0.19999999999991844,0.19999999999965387,0.20000000000014256
2012-06-30,0.0,0.0,0.0,0.20000000000456192,0.20000000000456192,0.0,0.19999999999028442,0.19999999999602977,0.20000000000456192
2012-07-31,0.0,0.0,0.0,0.19999999997575874,0.19999999998217088,0.19999999990645118,3.548832017023585e-10,0.19999999981823194,0.19999999996250414
2012-08-31,0.0,0.0,0.0,0.19999999995235188,0.19999999996074294,0.19999999991698023,0.19999999992212042,3.1197648553817663e-10,0.1999999999358281
2012-09-30,0.0,0.0,0.0,0.19999999997296675,0.19999999998310716,0.1999999999453921,4.3547470355821826e-10,0.19999999971676896,0.1999999999462904
2012-10-31,0.0,0.0,0.0,0.1999999999991188,0.19999999999947268,0.1999999999974726,2.5096656507116643e-11,0.19999999998066242,0.1999999999981768
2012-11-30,0.0,0.0,0.0,0.1999999999967907,0.1999999999976292,0.1999999999880067,2.763276886447102e-10,0.19999999975048213,0.1999999999907636
2012-12-31,0.0,0.0,0.0,0.19999999998111131,0.19999999998360185,0.19999999986974754,0.19999999981588987,3.709663869977057e-10,0.19999999997868312
2013-01-31,0.0,0.0,0.0,0.19999999999907792,0.19999999999931078,0.1999999999863993,1.8106244410295303e-11,0.19999999999789578,0.19999999999921
2013-02-28,0.0,0.0,0.0,0.19999999997334827,2.7483468614228024e-10,0.19999999990914163,0.19999999993184941,0.1999999999368404,0.1999999999739856
2013-03-31,0.0,0.0,0.0,0.1999999999986208,1.3085223794872741e-11,0.19999999999698903,0.19999999999617427,0.19999999999642618,0.1999999999987047
2013-04-30,0.0,0.0,0.0,0.20000000000209672,0.0,0.19999999999790838,0.19999999999972148,0.19999999999817655,0.20000000000209672
2013-05-31,0.0,0.0,0.0,0.20000000000217116,6.367450410213894e-12,0.20000000000217116,0.20000000000217116,0.19999999998494786,0.20000000000217116
2013-06-30,0.0,0.0,0.0,0.20000000000130297,3.2638174966923676e-12,0.19999999999152446,0.20000000000130297,0.20000000000130297,0.20000000000130297
2013-07-31,0.0,0.0,0.0,0.1999999999996446,5.653972896564507e-12,0.1999999999982218,0.19999999999857843,0.19999999999841642,0.1999999999994848
2013-08-31,0.0,0.0,0.0,0.1999999999996544,5.218825556465335e-12,0.19999999999842222,0.19999999999841322,0.19999999999885013,0.19999999999944112
2013-09-30,0.0,0.0,0.0,0.19999999999796964,7.0418283970930155e-12,0.19999999999885468,0.1999999999994202,0.19999999999670962,0.200000000000004
2013-10-31,0.0,0.0,0.0,0.19999999999860987,4.490557388387567e-12,0.19999999999906418,0.19999999999958804,0.1999999999983716,0.19999999999987564
2013-11-30,0.0,0.0,0.0,0.1999999999986437,3.586779122017516e-12,0.19999999999932272,0.19999999999981297,0.19999999999891005,0.19999999999972384
2013-12-31,0.0,0.0,0.0,0.1999999999976339,5.55809852993828e-12,0.19999999999923682,0.19999999999959195,0.19999999999800286,0.19999999999997642
2014-01-31,0.0,0.0,0.0,0.19999999999760926,5.075834766523447e-12,0.19999999999916407,0.1999999999996727,0.1999999999989372,0.19999999999954088
2014-02-28,0.0,0.0,0.0,0.19999999999597334,7.276323369661553e-12,0.1999999999988872,0.19999999999972348,0.19999999999834386,0.19999999999979576
2014-03-31,0.0,0.0,0.0,0.19999999991497253,1.7096634011400248e-10,0.19999999996835652,0.19999999998922077,0.19999999997074497,0.19999999998573895
2014-04-30,0.0,0.0,0.0,0.199999999986161,7.292233258399926e-11,0.1999999999839191,0.19999999999208692,0.19999999998645301,0.19999999997845763
2014-05-31,0.0,0.0,0.0,0.1999999999902618,3.496374819925538e-11,0.19999999999411308,0.19999999999770324,0.19999999998721069,0.1999999999957474
2014-06-30,0.0,0.0,0.0,0.19999999999911494,5.296513562990022e-12,0.19999999999851711,0.19999999999938636,0.1999999999982883,0.1999999999993969
2014-07-31,0.0,0.0,0.0,0.19999999991919332,1.7887179174293408e-10,0.19999999997433573,0.19999999998627496,0.19999999997294696,0.19999999996837708
2014-08-31,0.0,0.0,0.0,0.19999999996977183,1.2057317588580188e-10,0.19999999996654472,0.1999999999853592,0.19999999997024206,0.199999999987509
2014-09-30,0.0,0.0,0.0,0.19999999982931776,1.9993740382090052e-10,0.19999999998579357,0.19999999999393664,0.2000000000001566,0.199999999990858
2014-10-31,0.0,0.0,0.0,0.1999999999792157,2.813205758850135e-11,0.19999999999646514,0.19999999999838586,0.19999999999983112,0.19999999999797013
2014-11-30,0.0,0.0,0.0,0.19999999989238185,0.19999999993530299,0.1999999999425807,0.19999999994560086,0.19999999998057522,3.035583503900442e-10
2014-12-31,0.0,0.0,0.0,0.19999999999965126,0.200000000000027,0.200000000000027,0.200000000000027,0.1999999999981628,2.1049304829459954e-12
2015-01-31,0.0,0.0,0.0,0.19999999999944446,0.20000000000003063,0.19999999999994406,0.19999999999993143,0.19999999999964535,1.00408372596842e-12
2015-02-28,0.0,0.0,0.0,0.19999999999903947,0.19999999999963886,0.1999999999995643,0.19999999999974552,0.19999999999911638,2.8955690952093256e-12
2015-03-31,0.0,0.0,0.0,0.1999999999865764,0.20000000000300078,0.20000000000300078,0.20000000000300078,0.20000000000300078,1.4206489688865266e-12
2015-04-30,0.0,0.0,0.0,0.19999999981524286,0.19999999989011133,0.1999999999293835,0.19999999995491793,4.712869712120811e-10,0.19999999993905732
2015-05-31,0.0,0.0,0.0,0.1999999999540108,0.19999999998832418,0.19999999999016047,0.1999999999899856,8.444490311726542e-11,0.19999999999307408
2015-06-30,0.0,0.0,0.0,0.20000000000799278,0.20000000000799278,0.20000000000799278,0.20000000000799278,2.7174624178134216e-11,0.1999999999408543
2015-07-31,0.0,0.0,0.0,0.20000000000003387,0.20000000000005685,0.20000000000005685,0.20000000000005685,1.2398807398940616e-12,0.19999999999855572
2015-08-31,0.0,0.0,0.0,0.20000000000012141,0.20000000000012141,0.20000000000012141,0.20000000000012141,1.025067366053109e-12,0.19999999999848933
2015-09-30,0.0,0.0,0.0,0.20000000000167747,0.20000000000167747,0.20000000000167747,0.19999999999169898,1.591220146721584e-12,0.20000000000167747
2015-10-31,0.0,0.0,0.0,0.20000000000308826,0.20000000000308826,0.20000000000308826,0.19999999998612888,1.5180873455889709e-12,0.20000000000308826
2015-11-30,0.0,0.0,0.0,0.19999999999970708,0.19999999999976775,0.19999999999858423,0.19999999997829934,2.5354048001413806e-11,0.19999999999828746
2015-12-31,0.0,0.19999999995515721,0.0,0.1999999998966722,0.19999999997427148,0.1999999999966438,0.1999999999990491,1.7030027772681046e-10,7.905940306693625e-12
2016-01-31,0.0,0.19999999999967089,0.0,0.19999999999923787,0.1999999999998752,0.1999999999978402,9.72730672472773e-13,0.19999999999956472,2.8383339541478745e-12
2016-02-29,0.0,0.19999999999961282,0.0,0.19999999999957788,0.19999999999973436,0.19999999999839677,2.3086112770008434e-12,0.19999999999873516,1.6343889427188477e-12
2016-03-31,0.0,0.19999999999939028,0.0,0.19999999999924167,0.19999999999949805,0.19999999999952933,7.161173889139299e-13,0.19999999999947296,2.1515922451447533e-12
2016-04-30,0.0,0.19999999994073886,0.0,0.19999999991536224,0.19999999995866746,0.1999999999778286,0.19999999996355056,2.1572116344020653e-10,2.813109778346077e-11
2016-05-31,0.0,0.1999999999664559,0.0,0.19999999998688256,0.19999999998628215,1.6260883122893288e-10,9.26712217853043e-12,0.19999999998139134,0.1999999999071121
2016-06-30,0.0,0.19999999998685372,0.0,3.6832535864239306e-11,0.19999999998983675,0.19999999999907392,0.19999999998720452,0.19999999999905022,1.1483169365059813e-12
2016-07-31,0.0,0.19999999999810242,0.0,5.719501937512534e-12,0.19999999999797693,0.1999999999999342,0.19999999999984697,0.1999999999976893,7.306416166614378e-13
2016-08-31,0.0,0.19999999998631932,0.0,1.2625158114395523e-10,0.1999999999905352,0.19999999999841764,0.19999999999048923,0.19999999989829273,9.694331337701277e-12
2016-09-30,0.0,0.19999999983149386,0.0,0.19999999907070104,1.095316460982443e-09,0.19999999999967782,0.19999999999529447,0.19999999999770748,9.808811357251781e-12
2016-10-31,0.0,0.19999999994686493,0.0,0.19999999994205614,0.19999999995991874,0.19999999998631662,1.931927480620864e-10,0.19999999995346243,1.8188188971119004e-11
2016-11-30,0.0,0.19999999999774978,0.0,0.1999999999945479,0.199999999989176,0.1999999999968295,2.3913166557649263e-12,0.19999999999948898,1.9816535364437863e-11
2016-12-31,0.0,0.1999999999895266,0.0,0.19999999999004855,0.19999999998915455,0.19999999999501225,6.185761435255128e-13,0.19999999999882476,3.6814567426357516e-11
2017-01-31,0.0,0.19999999998139625,0.0,0.19999999998424692,0.19999999996258563,0.19999999957226247,7.99639468814136e-13,5.224789548960032e-10,0.19999999997623014
2017-02-28,0.0,0.199999999993882,0.0,0.1999999999945943,0.19999999999739929,1.1631652669841645e-10,5.999046915157549e-13,0.199999999899079,0.19999999999812915
2017-03-31,0.0,0.1999999999479393,0.0,0.1999999999253936,0.1999999999515469,0.199999999907303,3.076739472475632e-11,0.19999999993889028,2.9815964063505714e-10
2017-04-30,0.0,0.19999999979886116,0.0,0.19999999998427292,0.1999999999988653,0.19999999999964083,2.215641701217465e-10,0.1999999999899163,6.879251658380735e-12
2017-05-31,0.0,0.19999999995178017,0.0,0.19999999982982328,0.19999999999655393,0.2000000000003385,0.19999999997360457,2.3863181277716024e-10,9.26776348275248e-12
