Date,Ret_gross,Cost,Ret_net,Universe,Model
2008-10-31,,,,ALL,Ridge
2008-11-30,,,,ALL,Ridge
2008-12-31,,,,ALL,Ridge
2009-01-31,,,,ALL,Ridge
2009-02-28,,,,ALL,Ridge
2009-03-31,,,,ALL,Ridge
2009-04-30,,,,ALL,Ridge
2009-05-31,,,,ALL,Ridge
2009-06-30,,,,ALL,Ridge
2009-07-31,,,,ALL,Ridge
2009-08-31,,,,ALL,Ridge
2009-09-30,,,,ALL,Ridge
2009-10-31,0.047896204436438196,-0.00024999999999999995,0.047646204436438196,ALL,Ridge
2009-11-30,0.0041838627737445025,-0.0001000000006805058,0.004083862773063997,ALL,Ridge
2009-12-31,-0.03837135652170711,-0.0003000000026936382,-0.03867135652440075,ALL,Ridge
2010-01-31,-0.001248827622466973,-0.0003999999998967231,-0.001648827622363696,ALL,Ridge
2010-02-28,0.05066667620480595,-0.0002999999999650792,0.05036667620484087,ALL,Ridge
2010-03-31,0.04856950071658122,-0.0002000000000077502,0.04836950071657347,ALL,Ridge
2010-04-30,-0.04966130238162645,-0.00020000000001029996,-0.04986130238163675,ALL,Ridge
2010-05-31,-0.027970571909065718,-0.00019999999999052796,-0.028170571909056245,ALL,Ridge
2010-06-30,0.07632446554119404,-0.0002000000000272478,0.0761244655411668,ALL,Ridge
2010-07-31,-0.05662099866275555,-0.00019999999986158916,-0.05682099866261714,ALL,Ridge
2010-08-31,0.034916395418150385,-0.0004999999998513944,0.03441639541829899,ALL,Ridge
2010-09-30,0.036702430948893444,-0.0004999999999928013,0.036202430948900646,ALL,Ridge
2010-10-31,-0.01836599906054264,-0.0003999999999443768,-0.018765999060487017,ALL,Ridge
2010-11-30,0.06236543659368605,-0.0003999999999575546,0.061965436593728496,ALL,Ridge
2010-12-31,0.029294867905646078,-0.00020000005210800558,0.029094867853538074,ALL,Ridge
2011-01-31,0.025557348499767294,-0.00020000000051130257,0.025357348499255992,ALL,Ridge
2011-02-28,0.017820204373363027,-0.0004999999999066291,0.017320204373456397,ALL,Ridge
2011-03-31,0.07395269080751518,-0.0002999999998695128,0.07365269080764567,ALL,Ridge
2011-04-30,-0.050614042965782875,-0.00029999999989693826,-0.050914042965679814,ALL,Ridge
2011-05-31,-0.03312829673426912,-0.00040000000003272216,-0.03352829673430184,ALL,Ridge
2011-06-30,0.00358073191864152,-0.0004999999999146898,0.00308073191872683,ALL,Ridge
2011-07-31,0.0008003846861226579,-0.0002000000000183176,0.0006003846861043404,ALL,Ridge
2011-08-31,-0.10095506730764725,-0.0003999999999927294,-0.10135506730763998,ALL,Ridge
2011-09-30,0.1235827873783118,-0.00010000000001540987,0.12348278737829639,ALL,Ridge
2011-10-31,-0.030895210527969303,-0.00010000000001518706,-0.03099521052798449,ALL,Ridge
2011-11-30,-0.035778930848022875,-0.00039999999999734627,-0.03617893084802022,ALL,Ridge
2011-12-31,0.04615641711429049,-0.0002000000006053852,0.04595641711368511,ALL,Ridge
2012-01-31,0.019574310140637596,-0.0003999999984483439,0.019174310142189253,ALL,Ridge
2012-02-29,0.0007641339070613207,-0.0002999999984293851,0.00046413390863193557,ALL,Ridge
2012-03-31,-0.008700909766505126,-0.00039999999994096315,-0.00910090976644609,ALL,Ridge
2012-04-30,-0.06322036084453507,-0.00010000000007945339,-0.06332036084461452,ALL,Ridge
2012-05-31,0.04822688848197358,-0.00010000000163144994,0.048126888480342134,ALL,Ridge
2012-06-30,-0.019676051300102772,-0.000399999999945947,-0.02007605130004872,ALL,Ridge
2012-07-31,0.029194334572233083,-0.0003999999999379142,0.028794334572295167,ALL,Ridge
2012-08-31,0.027837020913811985,-0.0002000000001299654,0.02763702091368202,ALL,Ridge
2012-09-30,-0.025647039849676548,-0.0003000000000971829,-0.025947039849773732,ALL,Ridge
2012-10-31,0.02455040824266507,-0.0004999999999591395,0.02405040824270593,ALL,Ridge
2012-11-30,0.02600483731052205,-0.0002000000000989281,0.025804837310423122,ALL,Ridge
2012-12-31,0.06394170121441213,-0.0003000000000447917,0.06364170121436734,ALL,Ridge
2013-01-31,-0.006965464954266774,-0.00039999999997753015,-0.007365464954244305,ALL,Ridge
2013-02-28,0.025930090829588127,-0.00029999999994794304,0.025630090829640184,ALL,Ridge
2013-03-31,0.027502376224187688,-0.00029999999995741067,0.027202376224230277,ALL,Ridge
2013-04-30,0.03838119738610036,-0.0004999999999080877,0.03788119738619227,ALL,Ridge
2013-05-31,-0.01677398331824016,-0.00040000000938909705,-0.017173983327629257,ALL,Ridge
2013-06-30,0.055094723620871235,-9.999999999568136e-05,0.054994723620875555,ALL,Ridge
2013-07-31,-0.026049094776529922,-0.0003999999999645993,-0.02644909477649452,ALL,Ridge
2013-08-31,0.054270058982111846,-0.0002999999999917409,0.05397005898212011,ALL,Ridge
2013-09-30,0.05009168474821065,-0.0003000000000279322,0.04979168474818272,ALL,Ridge
