,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,
2009-10-31,8.864130774285696e-11,1.4116949371857208e-09,6.405233858153128e-10,1.906029862414078e-11,0.19999999985003736,0.19999999990031447,1.906029862414078e-11,0.19999999973205368,1.1298598505191237e-10,1.906029862414078e-11,0.19999999998095985,9.1565701102944e-11,0.19999999813404243
2009-11-30,0.1999999997855762,2.1636011718188345e-11,4.3209350274315733e-11,4.760491963281677e-12,1.666448037793987e-10,0.19999999991450002,4.760491963281677e-12,0.19999999990840817,1.8698493035654984e-10,4.760491963281677e-12,0.1999999999930379,0.19999999906974106,8.959797937579537e-10
2009-12-31,2.8447153563803918e-11,0.1999999999578526,5.769145860071548e-11,5.754699814569866e-12,0.19999999995226989,0.19999999996172638,5.754699814569866e-12,0.19999999993648698,1.9891645792007776e-11,5.754699814569866e-12,0.19999999999360626,2.344946473337006e-11,5.131422698670625e-11
2010-01-31,0.19999999953847447,0.19999999996018916,5.21976523190674e-11,3.697174148788198e-11,0.19999999979569413,0.19999999989803682,3.697174148788198e-11,1.3713299816003976e-10,4.83464706439872e-11,3.697174148788198e-11,0.19999999998125725,4.2708460568379565e-10,5.0671290810586406e-11
2010-02-28,0.19999999989048833,0.19999999989100894,1.3694703283022277e-10,3.116670520481985e-10,9.362105894750901e-11,2.3671658326911408e-11,3.116670520481985e-10,0.19999999913341743,2.2350508191886305e-10,3.116670520481985e-10,0.19999999988978984,0.1999999996979367,8.461270902126595e-11
2010-03-31,0.1999999939224735,0.1999999999575267,0.19999999996624468,6.832294630607199e-12,6.244842518290441e-09,5.438271910642695e-11,6.832294630607199e-12,1.1032775472973724e-10,4.772225176507439e-11,6.832294630607199e-12,1.396182531074111e-10,0.19999999972517193,0.19999999981119287
2010-04-30,0.19999999989694087,0.1999999999794287,1.615145428453323e-10,0.06666665712040658,1.5436395401849666e-10,2.8399258307112466e-11,0.06666665712040658,1.419347332625888e-10,2.837495708822893e-08,0.06666665712040658,0.19999999993605652,0.19999999991883688,4.6347943984533257e-11
2010-05-31,1.3343744293511788e-10,0.19999999993909287,6.4920972210508634e-12,0.1999999999709795,6.9782153727671385e-12,6.812000996935947e-12,0.1999999999709795,2.022689996638971e-11,3.403830690227245e-11,0.1999999999709795,0.19999999988652825,4.844710676837639e-11,5.008533998621681e-12
2010-06-30,0.19999999998127552,2.7624720980480094e-11,4.692796145815774e-10,0.19999999999437915,9.580384551963814e-12,2.790589136260282e-11,0.19999999999437915,1.4383305993858675e-11,6.298004777014072e-10,0.19999999999437915,1.1791046327463141e-11,0.19999999877199773,7.322396835271283e-11
2010-07-31,0.1999999996765033,3.475234705915732e-11,2.391337216768766e-11,0.1999999999692355,1.6028902698528005e-11,1.7713096379694632e-11,0.1999999999692355,3.943426531392596e-11,4.159283138067772e-11,0.1999999999692355,0.19999999995926138,2.6437055884004726e-10,1.8723425876054948e-11
2010-08-31,1.106488847136546e-10,1.445138204704222e-11,1.771661687980735e-11,0.19999999998283863,1.717344233688071e-11,0.19999999984445183,0.19999999998283863,1.642306132706061e-11,1.3187933251228703e-11,0.19999999998283863,0.19999999998501578,1.4229979829860096e-11,1.818511698534918e-11
2010-09-30,3.401397019371879e-11,0.1999999998119602,3.001118889738024e-11,0.1999999999837103,4.201487521960302e-11,0.1999999999633918,0.1999999999837103,4.4122858878685576e-11,2.3005162135381263e-11,0.1999999999837103,6.446934400694303e-11,2.198963661183866e-11,1.3890076221093825e-11
2010-10-31,9.674508447010235e-11,0.19999999990682624,2.135238658532909e-10,2.4588471964939997e-11,0.1999999997012006,0.1999999998135749,2.4588471964939997e-11,0.1999999997791,1.0799918389081462e-10,2.4588471964939997e-11,0.19999999993539852,9.05350693601057e-11,2.81331353822358e-10
2010-11-30,7.715513045181001e-11,0.19999999997383214,2.992760785453318e-10,0.19999999974207494,5.641551438768945e-11,2.5507213007008738e-11,0.19999999974207494,1.8182088635049409e-10,5.334750425877745e-11,0.19999999974207494,0.19999999998269913,7.485950057440525e-11,4.886208426252824e-11
2010-12-31,0.19999999989075265,0.19999999997007636,1.821613135021111e-10,9.998028367404984e-12,2.957502707194381e-11,2.2518173474505207e-11,9.998028367404984e-12,0.19999999994404977,3.61118770311647e-11,9.998028367404984e-12,0.19999999992114809,0.19999999994418827,2.9424241682028334e-11
2011-01-31,0.19999999999501822,0.19999999999543522,7.1671905519613185e-12,1.347594867882265e-12,2.40893717205525e-12,2.789267391278153e-12,1.347594867882265e-12,0.1999999999832454,1.3959904080477572e-11,1.347594867882265e-12,0.19999999999825913,0.19999999999548695,2.1869968691118898e-12
2011-02-28,0.19999999999259158,0.19999999996693765,4.0252191530764244e-12,3.818558849168256e-12,3.1631790029845946e-12,2.830335828820503e-12,3.818558849168256e-12,1.2763434910411244e-10,0.199999999895666,3.818558849168256e-12,0.19999999999643736,0.19999999999538015,3.878400103281069e-12
2011-03-31,0.19999999997858034,0.19999999920782943,9.565609689417504e-10,0.06666665825738159,3.505444459555866e-11,4.186696862908824e-10,0.06666665825738159,2.4200403261633973e-08,0.19999999989983167,0.06666665825738159,3.161525404213032e-10,0.1999999999517384,2.6303440886862534e-10
2011-04-30,0.1999999999646532,6.74071091708985e-11,2.3277890372216496e-10,9.950597290284262e-12,1.1464832012965361e-10,0.19999999978684646,9.950597290284262e-12,0.19999999905981528,8.063602614447678e-10,9.950597290284262e-12,0.1999999999392954,0.19999999985322525,1.451181034632374e-10
2011-05-31,0.19999999997400977,1.0353190499872592e-11,7.162973548393226e-11,6.3639702244300755e-12,5.277230024653072e-11,0.19999999997746212,6.3639702244300755e-12,2.4821580501423516e-11,0.19999999997473172,6.3639702244300755e-12,1.4343207750533316e-11,0.19999999995230724,0.19999999992847717
2011-06-30,0.19999999999086937,5.20089057204126e-12,7.192950792229791e-12,5.302441352705046e-11,0.1999999999922562,0.1999999999963465,5.302441352705046e-11,1.0873679712996376e-11,0.19999999983282074,5.302441352705046e-11,2.9261676617829113e-12,9.590896280700643e-12,0.19999999999284926
2011-07-31,4.660351778687904e-12,4.9573100577816956e-12,4.1276716310475114e-12,0.1999999999873752,4.508976931193919e-12,0.19999999999547505,0.1999999999873752,4.5594597053516266e-12,4.931863378572913e-12,0.1999999999873752,0.19999999999653753,3.1776640930162825e-12,1.4938601780079316e-11
2011-08-31,3.727142841183799e-11,6.669682886551657e-11,9.31419076952361e-10,0.06666666690757851,0.199999999857346,0.19999999993637463,0.06666666690757851,1.0598201754278399e-10,5.968521373755302e-11,0.06666666690757851,0.19999999992953754,2.941835074908561e-11,0.1999999983235333
2011-09-30,1.8887688413164795e-11,1.990157013130066e-11,0.19999999941151944,0.06666666677597395,0.1999999999717326,0.19999999998572823,0.06666666677597395,2.8185250059419727e-10,2.4920208949301536e-11,0.06666666677597395,2.691696765306486e-11,1.6009511471581047e-11,0.1999999999146094
2011-10-31,1.1590355177289503e-11,1.2395233403077553e-10,0.19999999989203052,1.0594535142348954e-11,0.1999999999141118,0.19999999997123763,1.0594535142348954e-11,0.19999999951521744,1.6693605996582442e-11,1.0594535142348954e-11,0.19999999991127232,1.2442511392985253e-11,5.996678901373031e-10
2011-11-30,0.19999999989704023,1.807223380641188e-11,0.19999999998069126,8.891727837818988e-12,0.19999999999086376,0.19999999999589832,8.891727837818988e-12,8.04554627660072e-11,1.451288362606057e-11,8.891727837818988e-12,4.724592705640077e-12,8.070001364346795e-12,0.19999999998299609
2011-12-31,0.1999999995917427,1.0234719639876511e-08,0.1999999998930254,2.003117429935182e-11,1.5578688853126404e-09,0.1999999999087401,2.003117429935182e-11,0.19999998767007648,1.7759977858522162e-10,2.003117429935182e-11,0.19999999993419704,1.3342989690090827e-10,8.385065859527356e-10
2012-01-31,0.19999999945411162,1.9090568419644478e-10,2.632177469225751e-10,0.19999999964829682,4.047954822276002e-10,0.1999999997604134,0.19999999964829682,1.509061780304997e-10,2.387339777860224e-10,0.19999999964829682,7.094844848345282e-11,1.587467132808475e-10,3.623302673561988e-10
2012-02-29,2.964011733715451e-11,0.19999999996203605,0.19999999994245118,1.2269971314991115e-11,0.19999999998103835,0.19999999998030898,1.2269971314991115e-11,0.19999999995871526,2.940623356575081e-11,1.2269971314991115e-11,2.0818817828012605e-11,2.5302137812706178e-11,3.347299467282118e-11
2012-03-31,4.648933324034484e-11,0.19999999994247508,1.2670512249382669e-06,1.04329289899541e-11,0.19999999958780085,0.19999999982263247,1.04329289899541e-11,0.1999999999188144,8.23489830412344e-11,1.04329289899541e-11,0.19999873333113696,9.279944584151396e-11,9.297889879495129e-11
2012-04-30,8.146889752009603e-12,0.19999999999744755,0.19999999998248774,5.2477226279898864e-12,0.19999999999725543,0.1999999999974448,5.2477226279898864e-12,4.110965797180524e-11,1.1683016435362016e-11,5.2477226279898864e-12,3.675198407060692e-12,6.322351022158106e-12,0.19999999993868423
2012-05-31,8.157696888733492e-11,5.1679051333111104e-11,7.268057972637848e-11,0.19999999991903938,1.0231608527452752e-10,0.19999999995308024,0.19999999991903938,2.812703545325924e-11,4.849536647526143e-11,0.19999999991903938,1.2212744214572963e-11,2.709131210308241e-11,0.19999999986562253
2012-06-30,0.19999999987139788,5.144855738570035e-11,4.100942577013569e-11,0.19999999969430413,5.394024961950341e-11,2.657770491369794e-10,0.19999999969430413,4.525371765785447e-11,3.196410513441143e-09,0.19999999969430413,2.0105980051636247e-11,0.19999999720713477,1.6460944203969168e-10
2012-07-31,0.19999999997564286,3.3384528606352756e-11,2.6376119819424624e-11,5.153763310679345e-11,0.199999999873389,0.1999999999653503,5.153763310679345e-11,2.5802670281607236e-11,0.19999999991281867,5.153763310679345e-11,1.5273828874175114e-11,7.284060415068646e-11,0.19999999994450865
2012-08-31,2.482574182364574e-10,0.19999997764796976,2.1330819482658783e-09,4.397134265802683e-11,0.19999999962537887,0.19999999984162445,4.397134265802683e-11,0.19999999962008308,2.088575889145222e-08,4.397134265802683e-11,1.808388948642166e-10,2.4999396259929027e-10,0.19999999943509864
2012-09-30,2.0469127860587334e-11,0.19999999986620084,6.342985348426235e-10,2.6358673934682635e-12,0.19999999952410671,0.19999999994621667,2.6358673934682635e-12,0.19999999992729298,3.826152932351451e-11,2.6358673934682635e-12,0.1999999999470099,2.084121247961325e-11,6.739481033616381e-11
2012-10-31,0.19999999993456474,5.223327299151398e-11,0.19999999998254214,2.5775378511737183e-12,6.263877823148161e-12,1.1904039015022468e-11,2.5775378511737183e-12,0.19999999999452556,1.4480892872102414e-11,2.5775378511737183e-12,0.19999999999331244,0.19999999999227336,1.016714435904053e-11
2012-11-30,0.19999999994642412,9.929326666904693e-11,5.6717821009182154e-09,1.4377505148119695e-11,6.906433436983452e-11,7.371681375264979e-11,1.4377505148119695e-11,0.19999999991927153,0.1999999942508479,1.4377505148119695e-11,0.19999999994500664,0.19999999988290743,9.855338488484368e-11
2012-12-31,1.7890988523779758e-10,0.19999999997463597,0.19999999992956705,1.0043955412309647e-11,2.708721482226047e-11,3.446566613660546e-11,1.0043955412309647e-11,0.19999999997722875,6.619363669814754e-11,1.0043955412309647e-11,0.1999999999937276,0.19999999974942237,3.8629935795091926e-11
2013-01-31,0.19999999999132323,2.7242062899078485e-11,0.19999999994661047,3.4159719600299725e-11,1.7912351182337742e-11,2.0545307921431702e-11,3.4159719600299725e-11,0.19999999991473943,0.1999999999500781,3.4159719600299725e-11,2.2916008745851603e-11,0.19999999998441795,2.1736046088766693e-11
2013-02-28,0.19999999997769136,0.1999999999987655,0.1999999999791054,1.0247791184736374e-12,2.282038778145659e-11,0.19999999972711363,1.0247791184736374e-12,0.19999999999115997,1.0790514419417595e-11,1.0247791184736374e-12,1.2015272664383788e-11,2.531764767474857e-10,2.4287222427568143e-11
2013-03-31,1.3708952897705157e-10,0.19999999989817624,0.1999999998888192,2.7504516381117704e-11,0.19999999971230845,0.19999999980229827,2.7504516381117704e-11,3.28239510943216e-11,2.731420957689275e-10,2.7504516381117704e-11,4.125915508816339e-10,4.727208889856252e-11,0.19999999971296506
2013-04-30,9.498969106238485e-10,0.19999999998963897,6.076889227366629e-11,3.0134900821029474e-12,0.19999999960845413,0.19999999997491844,3.0134900821029474e-12,0.19999999998699716,1.7956369577386436e-11,3.0134900821029474e-12,2.581239687115152e-11,5.1465626772512296e-12,0.19999999937136984
