,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,
2009-10-31,2.6592901085331787e-11,2.6592901085331787e-11,0.19999999997730525,0.1999999994336243,9.22834058846191e-11,3.43036628607989e-10,0.19999999961265083,0.19999999993633105,2.9849633841437137e-10,2.1727539896038266e-10,7.537312303891484e-10,0.1999999985010399,2.6592901085331205e-11,7.544468889550406e-10
2009-11-30,5.629592791057718e-13,5.629592791057718e-13,0.19999999995529857,0.19999999996532386,1.639971970182483e-11,1.1634106842463207e-11,0.19999999998462187,0.19999999998066756,3.5155302736309084e-11,1.0068252777885144e-11,1.2920517250952218e-10,0.19999999988918282,5.629592791056129e-13,2.075362473612479e-11
2009-12-31,2.375530374024788e-12,2.375530374024788e-12,7.944380213488737e-11,0.19999999998549609,1.40420057184481e-11,1.1697682709984536e-11,0.19999999996587917,0.19999999998879625,0.19999999992444928,1.1432501878596876e-11,3.59039789903982e-11,0.19999999995339035,2.3755303740247067e-12,2.2342244357814507e-11
2010-01-31,4.827953675633087e-11,4.827953675633087e-11,0.19999999996381404,0.19999999987763661,4.527293472686213e-11,0.19999999973564106,0.1999999986608177,2.769111990602434e-10,9.854477038434275e-10,1.0083018882416562e-10,2.7732990178526776e-10,0.1999999995475335,4.827953675633034e-11,3.8392646815466746e-10
2010-02-28,2.2092957561102918e-12,2.2092957561102918e-12,0.19999999999878756,0.1999999999800403,5.966259054275457e-12,0.19999999997794835,1.0166343631850568e-10,7.137070843632053e-12,0.19999999983514102,1.561345585334822e-11,1.9000233737798727e-11,4.710960704418913e-10,2.2092957561101916e-12,0.19999999958097817
2010-03-31,7.624986158066736e-13,7.624986158066736e-13,0.1999999999966224,0.1999999999943287,1.1836394436528062e-11,2.551654481437997e-11,0.19999999999600762,4.237075870414041e-12,0.19999999994729747,7.736547937134343e-12,0.1999999981970538,1.7008468357063995e-09,7.624986158066905e-13,1.1622905855645397e-10
2010-04-30,5.844332342994255e-12,5.844332342994255e-12,0.19999999999350904,0.19999999998217816,1.2204074407770084e-11,1.0733834921317956e-10,0.19999999997317763,2.3277292385739387e-11,2.8068496320767776e-11,0.1999999999768869,8.485595679116383e-11,4.003395114877953e-11,5.844332342994004e-12,0.19999999976093685
2010-05-31,5.3623285308723955e-11,5.3623285308723955e-11,0.19999999998509127,0.19999999998491583,2.6555075640006898e-11,0.19999999966138204,2.9947424188608374e-10,3.600888828206275e-11,8.747933243776284e-11,2.2745668023400514e-10,1.4711326919720396e-10,0.19999999959252554,5.362328530872501e-11,0.19999999979112784
2010-06-30,0.1333333330472626,0.1333333330472626,0.1999999999957341,0.19999999996192405,2.0686655996165113e-11,0.19999999997957865,1.3666090041098952e-10,5.6433230958980537e-11,5.756814130794008e-11,5.6560152654404775e-11,6.284353214935887e-11,7.109756548226124e-11,0.1333333330471718,4.592159994253086e-10
2010-07-31,3.888720613695814e-11,3.888720613695814e-11,0.1999999999787414,0.1999999996037822,3.203567206934478e-11,0.1999999999818119,3.4675058474779153e-10,0.19999999997130444,3.104239309929142e-11,2.378547314975146e-11,2.8938559724921344e-11,0.19999999987276304,3.8887206136955496e-11,1.2382654738539798e-11
2010-08-31,0.13333333331469552,0.13333333331469552,0.19999999999441123,1.0990463552700331e-11,8.054961789756981e-12,0.19999999999632678,2.1235874351465254e-11,0.19999999994341952,1.1875482188658804e-11,1.6391767340459805e-11,1.53247937422047e-11,1.0115759280396289e-11,0.13333333331465433,2.780796896902073e-11
2010-09-30,7.175850478864014e-12,7.175850478864014e-12,0.19999999999331,0.19999999987061542,4.313912886645231e-11,0.19999999997421133,0.19999999995804849,6.108353484969937e-11,2.1602854303437392e-08,4.656674251864246e-11,2.2953998559119059e-10,2.3592852926814056e-09,7.175850478864332e-12,0.19999997583981827
2010-10-31,7.732089634875837e-11,7.732089634875837e-11,0.19999999893781922,0.19999999987369022,2.068155317871344e-10,0.19999999985704836,7.379170797619549e-10,0.19999999967714704,2.0912211084042288e-08,5.526599600302127e-09,4.772595928846034e-10,3.065891808534271e-08,7.732089634875542e-11,0.19999994290261155
2010-11-30,1.0321826062077984e-11,1.0321826062077984e-11,0.1999999999963406,0.19999999998998771,6.22506878917676e-12,0.19999999997224033,1.4016626091287767e-10,1.2245535665690136e-11,3.7649302828811016e-11,0.19999999991644887,3.174207729539774e-11,2.239310728726471e-11,1.0321826062077782e-11,0.19999999984359557
2010-12-31,3.379860050992234e-13,3.379860050992234e-13,0.19999999999984872,0.19999999999871704,1.6786061201677361e-12,0.1999999999962991,0.19999999999660373,1.8871020677981947e-12,7.557293011254762e-12,2.8732053945120018e-12,1.6104909608703842e-10,0.1999999997940991,3.379860050992108e-13,3.837310025415365e-11
2011-01-31,1.7745223795118923e-11,1.7745223795118923e-11,0.19999999998744453,0.19999999990194575,3.1841790291099574e-10,2.805154242114842e-10,1.8295559979461806e-09,0.19999999977444813,0.19999999746390829,1.525011037626013e-10,3.23447006017365e-10,0.19999999961128895,1.774522379511759e-11,3.0329112390156406e-10
2011-02-28,0.19999999995480067,0.19999999995480067,1.1320989759294772e-11,1.9472194377123963e-11,1.3996761147097337e-11,0.19999999997071535,3.597678283563926e-11,1.0620963267775917e-11,4.063641072955812e-11,0.19999999995245257,2.62791451339042e-11,1.1565998513353239e-11,0.19999999995480067,4.2560992429636606e-11
2011-03-31,0.19999999999718315,0.19999999999718315,2.8582189884945326e-12,0.19999999997533965,1.4484846507418649e-12,0.1999999999989985,4.383617144734277e-12,3.0166564550794816e-12,4.717670682609522e-12,7.240938047367227e-12,2.949757668896755e-12,3.2755735274661158e-12,0.19999999999718315,4.221478965023337e-12
2011-04-30,0.19999999995606582,0.19999999995606582,2.352141321644627e-10,8.948277475403007e-11,2.910880699049108e-11,0.199999999928272,8.676034224017693e-11,4.602755474354464e-11,5.041075923639528e-11,0.19999999947846592,4.345108137050468e-11,3.6847511897251947e-11,0.19999999995606582,1.077615864355076e-10
2011-05-31,0.06666666696614698,0.06666666696614698,0.19999999997569706,1.5184883519784484e-11,8.189121072403626e-12,0.19999999990577436,0.1999999998839598,2.3259022507278983e-11,2.5106844615798276e-11,0.1999999992110618,1.652999411957005e-11,1.0472484276325212e-11,0.0666666669661425,2.632816171565373e-11
2011-06-30,0.19999999999810608,0.19999999999810608,1.5272568503739413e-12,1.0274343261878227e-11,4.085806039839721e-13,0.19999999999118137,0.19999999999634535,4.34609836836782e-13,8.427539957709335e-13,1.983642087838676e-12,7.306849018299174e-13,6.218502901063146e-13,0.19999999999810608,1.3315242949011553e-12
2011-07-31,0.19999999999658596,0.19999999999658596,0.19999999999633736,4.908886023175515e-12,1.8231758612977244e-12,0.19999999996473075,1.3332490801628262e-11,3.108235284332903e-12,4.028238967902084e-12,1.0703594901233903e-11,3.0524401356509068e-12,2.854799658762952e-12,0.19999999999658596,5.3621310654456775e-12
2011-08-31,1.63203585031363e-12,1.63203585031363e-12,0.19999999999813337,0.19999999998433415,3.974258480529445e-12,9.631568095010277e-12,0.1999999999861803,0.19999999998902526,1.073657073376125e-11,7.234956321583253e-12,5.7157215308583955e-12,0.1999999999873585,1.632035850313584e-12,1.277936414691109e-11
2011-09-30,4.6123410721319725e-12,4.6123410721319725e-12,0.1999999999937335,0.19999999986753483,1.3367786549150447e-11,9.085806910707892e-12,0.19999999998372506,0.19999999999073179,1.2101626219458022e-11,1.3016234771464324e-11,1.5258140833547066e-10,0.19999999992875114,4.612341072132137e-12,2.1533758257027383e-11
2011-10-31,3.1616879332873506e-13,3.1616879332873506e-13,0.19999999999901294,0.1999999999961826,3.475877067279605e-12,1.542594459409683e-12,0.1999999999958611,0.19999999999650117,2.7393588669675955e-12,3.789691968636636e-12,3.0479999722405856e-12,0.19999999999107376,3.1616879332874683e-13,5.8242403418205e-12
2011-11-30,0.19999999993789666,0.19999999993789666,3.3864787017084804e-10,5.482470061443152e-10,4.237953855230006e-11,0.1999999990519726,9.835458478647323e-11,0.19999999767304827,6.568641973491703e-11,1.922517439772132e-09,9.036718999905234e-11,1.3147032247929076e-10,0.19999999993789666,2.2361879451081984e-10
2011-12-31,0.19999999998458093,0.19999999998458093,3.679538422921278e-09,2.6789720170707168e-11,8.538191567951936e-12,0.19999999995255013,2.961154513088079e-11,0.19999999627351642,1.0848468926037587e-11,0.1999999999611381,1.5540872798756375e-11,2.248160293297494e-11,3.283868588638214e-12,4.7000809952975094e-11
2012-01-31,3.8440065555093265e-12,3.8440065555093265e-12,0.19999999998614335,0.1999999999786221,1.8564305437778766e-11,1.1867329933931251e-11,0.1999999998750967,2.9041377883848127e-11,1.5051919238553036e-11,0.19999999796670143,8.95045300841177e-11,1.925860790392443e-09,0.1999999999896898,1.0616809621098113e-10
2012-02-29,8.434119522315334e-11,8.434119522315334e-11,0.1999999999733671,0.1999999999351045,1.2283457673725625e-11,4.754855072345923e-11,0.19999999976446856,7.051074282734673e-11,2.2731887554326194e-11,0.19999999998301374,4.153400208096773e-11,3.3560633125921875e-11,2.7288535563454734e-12,0.19999999994446555
2012-03-31,0.19999999999893023,0.19999999999893023,1.5258936655667253e-11,0.199999999987584,6.711692725088528e-13,0.19999999979052555,9.796970703315592e-12,6.701506025231481e-13,1.3827418509791275e-12,0.19999999999725726,2.074888680374161e-12,1.4755894570615717e-12,4.1323237347374287e-13,1.950289529038533e-10
2012-04-30,3.518053773351038e-11,3.518053773351038e-11,0.19999999970984292,0.19999999993801995,6.827941886034829e-11,9.94798034551347e-11,1.8587722256451114e-10,6.372178488402297e-11,1.4542796865927887e-10,0.19999999966731635,1.8457910709878023e-10,1.651580105934458e-10,0.19999999996257362,0.19999999973936286
2012-05-31,0.1999999999817673,0.1999999999817673,0.19999999999594936,0.1999999999925021,2.1452165531386234e-12,8.465516231715645e-12,7.71651502820122e-12,1.5243109503111404e-12,3.6093537746502104e-12,0.1999999999853073,4.7835394005457975e-12,5.152337589559346e-12,4.704084069376237e-12,2.460592421575637e-11
2012-06-30,3.036015274117256e-11,3.036015274117256e-11,0.1999999999640236,0.19999999986719347,2.5463689903459446e-10,1.0432154629802076e-10,0.19999999944114152,9.211172241585773e-11,2.2292628487787365e-10,0.19999998920463757,1.1702568440342886e-10,9.337072409607581e-09,0.19999999993947537,1.3947137848284157e-09
2012-07-31,3.045611316423606e-11,3.045611316423606e-11,0.20000000000101142,0.19999999996872608,1.3032976545444844e-11,7.44206671601087e-11,0.19999999997104978,1.2152595208485279e-11,5.28707763302251e-11,0.1999999999416169,5.865487373697361e-11,4.039496841068457e-11,7.465897043830473e-11,0.1999999997304978
2012-08-31,3.526951335260893e-11,3.526951335260893e-11,0.19999999994343268,0.19999999997980591,7.278653754882656e-11,0.19999999993185288,5.2280894492560546e-11,6.198750050882277e-11,7.88432602988327e-11,5.1160570506896345e-08,6.632230284809994e-10,0.19999994887182887,3.052921579463677e-11,0.19999999908231958
2012-09-30,3.644986617075368e-11,3.644986617075368e-11,0.19999999996319562,0.19999999987686295,3.459977309273492e-11,0.19999999989976766,0.1999999998638195,5.035852568610225e-11,7.40685029974052e-11,0.19999999836804566,1.2198030812176613e-10,6.509834123930836e-11,2.942361492847249e-11,1.5798796436184586e-09
2012-10-31,0.1999999999889599,0.1999999999889599,8.119899946226369e-12,0.19999999992161754,2.3606964452193474e-12,0.19999999998583884,0.19999999993692638,4.565187191680517e-12,3.240098409103451e-12,1.4280262297955727e-10,4.6795672972031594e-12,3.913466329503746e-12,2.29081413401368e-12,5.725189396009714e-12
2012-11-30,0.1999999998802322,0.1999999998802322,4.974803886188066e-11,0.19999999987428593,1.3624468234375316e-11,0.1999999999759451,0.19999999996421355,2.1149563215636795e-11,5.910104156033576e-11,9.355281390690263e-11,5.591785761512658e-11,3.7736813457670224e-11,1.2904546580566422e-11,8.135582552426214e-11
2012-12-31,0.1999999999886242,0.1999999999886242,6.868517218085694e-12,0.1999999999916873,3.12142297545265e-12,0.19999999999283563,1.726710351898511e-11,8.933812126099946e-12,8.534309586134181e-12,0.19999999994416112,1.1625791343918654e-11,8.774045785473684e-12,9.319261616617774e-12,1.9623405114479483e-11
2013-01-31,1.7507232266232986e-11,1.7507232266232986e-11,0.19999999986179154,0.1999999999451681,7.499897478560131e-11,1.21225521701343e-10,0.19999999989291695,0.19999999986664102,2.8624505002854077e-10,2.2525823693514022e-10,0.19999999926557924,1.538012267796794e-10,8.709926161378923e-11,1.8426047597824038e-10
