,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,0.10000000000047302,0.10000000000047302,0.10000000000047302,0.10000000000047302,0.19999999999654752,0.10000000000047302,0.10000000000047302,0.1000000000005064,0.100000000000108
2009-11-30,0.10000000000094048,0.10000000000094048,0.10000000000094048,0.10000000000094048,0.19999999999280776,0.10000000000094048,0.10000000000094048,0.10000000000097385,0.10000000000057548
2009-12-31,0.10000000000208223,0.10000000000208223,0.10000000000208223,0.10000000000208223,0.19999999998367377,0.10000000000208223,0.10000000000208223,0.1000000000021156,0.10000000000171724
2010-01-31,0.10000000002319932,0.10000000002319932,0.10000000002319932,0.10000000002319932,0.19999999981473693,0.10000000002319932,0.10000000002319932,0.1000000000232327,0.10000000002283434
2010-02-28,0.10000000000209752,0.10000000000209752,0.10000000000209752,0.10000000000209752,0.1999999999835515,0.10000000000209752,0.10000000000209752,0.1000000000021309,0.10000000000173254
2010-03-31,0.11428571428333639,0.11428571428333639,0.11428571428333639,2.416802786287387e-11,0.1999999999928909,0.11428571428333639,0.11428571428333639,0.11428571428334243,0.11428571428291673
2010-04-30,0.11428571422179809,0.11428571422179809,0.11428571422179809,4.807745153644569e-10,0.19999999996705237,0.11428571422179809,0.11428571422179809,0.11428571422180411,0.11428571422137843
2010-05-31,0.13333333333310984,0.13333333333310984,0.13333333333310984,2.052371259084976e-12,0.1999999999988879,0.13333333333310984,0.13333333333310984,0.13333333333318795,3.2252436742293615e-13
2010-06-30,0.13333333332800354,0.13333333332800354,0.13333333332800354,4.2933449033722494e-11,0.19999999994697898,0.13333333332800354,0.13333333332800354,0.13333333332808164,4.198818008157428e-11
2010-07-31,0.13333333331259864,0.13333333331259864,0.13333333331259864,1.2561477283711105e-10,0.19999999998333098,0.13333333331259864,0.13333333331259864,0.13333333331267672,1.538438131572772e-11
2010-08-31,0.13333333328401367,0.13333333328401367,0.13333333328401367,2.937927547198796e-10,0.19999999992953651,0.13333333328401367,0.13333333328401367,0.13333333328409175,7.251055886187276e-11
2010-09-30,0.13333333330408337,0.13333333330408337,0.13333333330408337,1.097879390449488e-10,0.1999999999717058,0.13333333330408337,0.13333333330408337,0.13333333330416147,9.392796923224281e-11
2010-10-31,0.13333333331736724,0.13333333331736724,0.13333333331736724,9.616076649570336e-11,0.19999999998316653,0.13333333331736724,0.13333333331736724,0.13333333331744535,1.6391143348239834e-11
2010-11-30,0.13333333332275732,0.13333333332275732,0.13333333332275732,6.699111613209028e-11,0.19999999996443643,0.13333333332275732,0.13333333332275732,0.13333333332283542,3.1950315516185444e-11
2010-12-31,0.13333333332892783,0.13333333332892783,0.13333333332892783,2.613557207720026e-11,0.19999999999900828,0.13333333332892783,0.13333333332892783,0.1333333333290059,1.2110867988581382e-12
2011-01-31,0.10000000002013232,0.10000000002013232,0.10000000002013232,0.19999999987907072,0.19999999999694287,0.10000000002013232,0.10000000002013232,0.10000000002046426,2.8605867907289922e-12
2011-02-28,0.06666666666957052,0.06666666666957052,0.06666666666957052,0.1999999999950912,0.19999999999772064,0.06666666666957052,0.06666666666957052,0.06666666666960105,0.19999999998973447
2011-03-31,0.06666666669177612,0.06666666669177612,0.06666666669177612,0.19999999992238798,0.19999999996497186,0.06666666669177612,0.06666666669177612,0.06666666669180665,0.19999999996195286
2011-04-30,0.09999999999882173,0.09999999999882173,0.09999999999882173,0.19999999999708648,0.19999999999914936,0.09999999999882173,0.09999999999882173,0.09999999999860577,1.1049581139475827e-11
2011-05-31,0.15999999993530742,0.15999999993530742,0.15999999993530742,3.172886963790864e-10,0.19999999999843013,0.15999999993530742,0.15999999993530742,2.117093322886052e-12,5.627062074368216e-12
2011-06-30,0.15999999994012193,0.15999999994012193,0.15999999994012193,2.849775246573361e-10,0.19999999998744047,0.15999999994012193,0.15999999994012193,2.219169035037696e-12,2.475316968365755e-11
2011-07-31,0.1599999999780906,0.1599999999780906,0.1599999999780906,9.574700046927248e-11,0.19999999998941825,0.1599999999780906,0.1599999999780906,1.0805633503150106e-11,1.3576079228699426e-11
2011-08-31,0.12000000002345339,0.12000000002345339,0.12000000002345339,0.19999999985322672,0.19999999998048154,0.12000000002345339,0.12000000002345339,6.186749324491903e-12,4.283789609442336e-11
2011-09-30,0.15999999999806075,0.15999999999806075,0.15999999999806075,9.628724463986628e-12,0.19999999999912457,0.15999999999806075,0.15999999999806075,0.0,9.429369535949195e-13
2011-10-31,0.12000000000478916,0.12000000000478916,0.12000000000478916,0.19999999997025544,0.19999999999881504,0.12000000000478916,0.12000000000478916,0.0,6.983694208670654e-12
2011-11-30,0.08000000000460447,0.08000000000460447,0.08000000000460447,0.19999999998486612,0.19999999999672402,0.08000000000460447,0.08000000000460447,0.0,0.19999999999538745
2011-12-31,0.08000000009766993,0.08000000009766993,0.08000000009766993,0.1999999996366329,0.19999999993385698,0.08000000009766993,0.08000000009766993,0.0,0.1999999999411606
2012-01-31,0.08000000005676007,0.08000000005676007,0.08000000005676007,0.19999999990850084,0.19999999989357328,0.08000000005676007,0.08000000005676007,1.496815026894245e-11,0.19999999989915745
2012-02-29,0.08000000004376952,0.08000000004376952,0.08000000004376952,0.19999999991206197,0.19999999991912273,0.08000000004376952,0.08000000004376952,1.1908031302641302e-11,0.1999999999380598
2012-03-31,0.08000000006195311,0.08000000006195311,0.08000000006195311,0.1999999998773,0.1999999999255299,0.08000000006195311,0.08000000006195311,1.3916464276996558e-11,0.19999999987348804
2012-04-30,0.08000000003657325,0.08000000003657325,0.08000000003657325,0.1999999999245283,0.1999999999657785,0.08000000003657325,0.08000000003657325,2.234768182933916e-12,0.19999999992459222
2012-05-31,0.199999999971475,0.199999999971475,0.199999999971475,9.769287055257281e-11,0.19999999996912504,0.199999999971475,5.943950996728604e-12,4.062111906848828e-12,3.727611807302419e-11
2012-06-30,0.199999999993691,0.199999999993691,0.199999999993691,2.3571341143633055e-11,0.1999999999970098,0.199999999993691,1.2764919492357472e-12,5.939323624613589e-13,2.7843950797492043e-12
2012-07-31,0.19999999998090892,0.19999999998090892,0.19999999998090892,0.19999999996587453,0.19999999998737997,1.3232519612750822e-11,3.58504441747296e-12,1.1201891262019885e-11,7.59992208152233e-11
2012-08-31,0.1333333333292706,0.1333333333292706,0.1333333333292706,0.19999999998956297,0.1999999999902727,2.9682057646990386e-11,0.199999999999218,7.613266658901924e-13,2.6910772101051165e-12
2012-09-30,0.19999999999212384,0.19999999999212384,0.19999999999212384,0.1999999999925501,0.19999999999747373,6.677323486699697e-12,3.3123530812280394e-12,2.74286236373002e-12,2.087217534031878e-11
2012-10-31,0.1999999999476005,0.1999999999476005,0.1999999999476005,0.1999999999528017,0.19999999998386606,1.2084516281653318e-10,3.51611579650546e-11,1.103954579431084e-11,5.348470818783125e-11
2012-11-30,0.19999999995024584,0.19999999995024584,0.19999999995024584,0.19999999996484313,0.19999999998987142,1.6943432700705769e-10,1.656423370694543e-11,2.611615211348275e-12,5.937724965848445e-12
2012-12-31,0.13333333333138925,0.13333333333138925,0.13333333333138925,0.19999999999870635,0.19999999999914386,5.06727282957791e-12,4.353604391529264e-12,2.0858351119921372e-13,0.1999999999983526
2013-01-31,0.13333333336926728,0.13333333336926728,0.13333333336926728,0.19999999992800938,0.19999999997214143,1.533519529187184e-11,1.6389157500300298e-11,2.434559189271717e-11,0.19999999993597736
2013-02-28,0.13333333337719716,0.13333333337719716,0.13333333337719716,0.19999999993577458,0.199999999881722,3.9665104485945e-11,3.654290802995796e-11,4.2188181547071054e-11,0.19999999993251558
2013-03-31,0.13333333336536782,0.13333333336536782,0.13333333336536782,0.19999999995081102,0.19999999996708917,2.484564204828809e-11,9.040013013365106e-12,1.3334667180067464e-11,0.19999999993877593
2013-04-30,7.378737612798178e-11,7.378737612798178e-11,7.378737612798178e-11,0.19999999996873802,0.19999999996178242,0.19999999997366424,0.20000000000053025,7.036132939186283e-12,0.19999999986688688
2013-05-31,0.06666666666587716,0.06666666666587716,0.06666666666587716,0.19999999999881685,0.19999999999909343,3.0315742383799495e-12,0.1999999999997769,1.9158594490838498e-12,0.199999999999734
2013-06-30,0.19999998476606612,0.19999998476606612,0.19999998476606612,0.1999999994723943,4.619515916976415e-08,2.398064337216478e-11,1.69416136090474e-11,5.216760206078307e-11,0.19999999994115825
2013-07-31,0.06666666679481233,0.06666666679481233,0.06666666679481233,0.1999999997631478,0.1999999998794649,1.1775869200838253e-11,0.19999999998187262,1.323929030804704e-11,0.19999999996606255
2013-08-31,0.13333333365806269,0.13333333365806269,0.13333333365806269,0.1999999991589376,0.19999999981203503,2.0554576859115433e-11,3.982446418258115e-12,8.393363020371772e-11,0.1999999999463687
2013-09-30,3.937648222017416e-11,3.937648222017416e-11,3.937648222017416e-11,0.1999999999858529,0.1999999999295249,0.19999999996734102,0.20000000000053744,1.8006109580790796e-12,0.19999999999681373
2013-10-31,0.13333333333423933,0.13333333333423933,0.13333333333423933,0.1999999999990708,0.1999999999981384,7.166133871906034e-13,0.0,5.844496258477357e-13,0.19999999999877166
2013-11-30,0.06666666676249756,0.06666666676249756,0.06666666676249756,0.19999999984457714,0.1999999999256519,1.1732033122290626e-11,0.19999999999438636,7.284761166874249e-12,0.1999999999288751
2013-12-31,0.0666666666730877,0.0666666666730877,0.0666666666730877,0.19999999993875614,5.629388567806568e-11,0.19999999999683932,0.19999999999890558,7.907700086011491e-12,0.19999999998203433
2014-01-31,2.6042897783827194e-11,2.6042897783827194e-11,2.6042897783827194e-11,0.19999999996401222,1.1251470677925683e-11,0.19999999999864038,0.20000000000005383,0.1999999999560532,0.19999999999186027
2014-02-28,7.063014889215506e-11,7.063014889215506e-11,7.063014889215506e-11,0.1999999998803534,0.19999999992926118,0.19999999999537194,0.19999999999909218,2.7888857028021647e-11,0.19999999995614193
2014-03-31,1.0527605750727769e-10,1.0527605750727769e-10,1.0527605750727769e-10,0.19999999990728226,0.1999999998002055,0.19999999998135326,0.19999999999853818,2.0892424018574317e-11,0.19999999997590007
2014-04-30,8.811506494138419e-12,8.811506494138419e-12,8.811506494138419e-12,6.147479219101091e-10,0.19999999939643537,0.19999999999880125,0.19999999999957865,0.19999999997770757,0.1999999999862946
2014-05-31,2.9499770159749267e-10,2.9499770159749267e-10,2.9499770159749267e-10,0.19999999959961504,0.19999999966879098,0.1999999999894635,0.19999999999657675,4.0537991411466436e-11,0.1999999998200225
2014-06-30,2.6698876867771195e-11,2.6698876867771195e-11,2.6698876867771195e-11,0.1999999999744234,3.169938053311415e-09,0.19999999998749787,0.19999999999847382,0.19999999681669328,0.1999999999728771
2014-07-31,0.1333333333389281,0.1333333333389281,0.1333333333389281,0.19999999997231854,0.1999999999929456,2.2532277894393847e-12,6.9431925608696834e-12,1.2981533973304303e-11,0.19999999999577345
2014-08-31,6.632738197035409e-11,6.632738197035409e-11,6.632738197035409e-11,0.1999999999670326,0.1999999999874166,1.7140676289297974e-12,0.19999999999081336,0.19999999986815797,0.1999999999858831
2014-09-30,0.06666666669854025,0.06666666669854025,0.06666666669854025,0.1999999999075961,2.2534143009016184e-11,5.186135659863898e-12,0.19999999998629817,0.1999999999954176,0.1999999999873472
2014-10-31,0.1333333332103875,0.1333333332103875,0.1333333332103875,2.4115507667573863e-10,7.296113446714602e-11,0.19999999999522153,0.1999999999965683,0.1999999999869663,7.596500903949178e-11
2014-11-30,0.19999999986700642,0.19999999986700642,0.19999999986700642,3.2172486978503187e-10,0.19999999991696144,6.271743650060951e-11,7.334909848487974e-11,0.19999999997921664,4.5011305683432945e-11
2014-12-31,0.19999999997132817,0.19999999997132817,0.19999999997132817,0.1999999998775153,0.1999999999856098,3.5584983239433945e-11,1.4866696955769416e-10,1.5192920199157986e-12,3.711930242381851e-11
2015-01-31,0.199999999966921,0.199999999966921,0.199999999966921,0.199999999945784,0.19999999997940007,2.039166185763259e-11,1.3385875614821591e-11,1.1283164626690845e-11,1.2899226096456458e-10
2015-02-28,0.19999999992564524,0.19999999992564524,0.19999999992564524,7.428782310986666e-11,0.19999999999220497,1.2733069760311775e-10,0.19999999998791182,3.341398363504176e-11,7.914899859170966e-12
2015-03-31,0.19999999988174402,0.19999999988174402,0.19999999988174402,1.5051322421058662e-10,0.19999999996953952,1.7125102833418529e-10,0.19999999986325068,1.843166714726951e-10,1.589673483402866e-11
2015-04-30,0.13333333333618919,0.13333333333618919,0.13333333333618919,2.5849719986802517e-11,0.19999999997716392,0.199999999985776,0.1999999999868145,9.067859966784306e-13,1.4921593894339456e-11
