,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,1.3359594875362084e-13,1.3359594875362084e-13,1.3359594875362084e-13,1.3359594875362084e-13,1.3359594875362084e-13,4.123345871703762e-13,1.3359594875362084e-13,2.618601803083294e-13,0.19999999999482224,9.953157706046527e-13,2.367223279439927e-13,2.4316635304299525e-13,4.007382381104393e-13,2.4701752052212585e-12,0.19999999999948778,0.19999999999942455,0.19999999999416296,1.0332899443781109e-12,1.3359594875362084e-13,1.3359594875362084e-13,1.4258518643896832e-13,1.5760816090713814e-13,1.3359594875362084e-13,1.591925507591039e-13,1.8186256336379621e-13,1.3359594875362084e-13,1.4974909870962604e-13,1.3164793694314573e-13,1.3359594875362084e-13,1.3359594875362084e-13,1.3359594875362084e-13,1.3359594875362084e-13,3.3020449255947456e-12,0.19999999999935655,4.5242543569619425e-13,1.4498168911427926e-13
