,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-09-30,,,,,,,,,,,,,
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,7.242424522883915e-08,5.723728270435469e-10,0.19999999954786513,2.4605093706947434e-10,0.19999999945883104,0.19999999976280228,2.4605093706947434e-10,0.19999992641628647,2.2062689770351282e-10,2.4605093706947434e-10,0.19999999947941585,1.9019245435535278e-10,1.189209092470079e-09
2009-10-31,0.19999999813155953,1.3255715086685796e-10,0.1999999997730695,1.762294157873048e-10,0.1999999997056688,0.19999999991794276,1.762294157873048e-10,1.1391327003797923e-09,1.1168218202135534e-10,1.762294157873048e-10,0.19999999972612295,8.824350950731008e-11,7.453327746388363e-10
2009-11-30,0.1999999996619104,1.9263161314674035e-11,0.199999998227107,2.0254434661670708e-11,0.1999999997234651,0.199999999880442,2.0254434661670708e-11,6.223980729813e-10,1.8147740224400175e-11,2.0254434661670708e-11,0.19999999975598956,1.878223606639384e-11,2.0117314265238624e-09
2009-12-31,0.1999999995335941,4.633502274920991e-11,0.19999999986251407,4.172126130754604e-11,0.19999999983405622,0.19999999991975334,4.172126130754604e-11,4.214984133302441e-10,4.393475017183213e-11,4.172126130754604e-11,0.19999999981022332,4.29809090430396e-11,3.599459319857768e-10
2010-01-31,0.1999999998379208,2.1829359207040563e-11,0.1999999999337292,4.2780145907246674e-11,0.19999999993308248,0.19999999999604431,4.2780145907246674e-11,1.0952363619649489e-10,4.313707057636867e-11,4.2780145907246674e-11,0.199999999936479,4.276739501093125e-11,1.7146414968893856e-11
2010-02-28,0.19999999986747952,5.790157854870543e-10,0.19999999981666436,1.8150867082229314e-10,0.19999999982827824,3.25890591129847e-11,1.8150867082229314e-10,0.1999999990928279,1.7572033447527212e-10,1.8150867082229314e-10,0.19999999981705027,1.8231530880170614e-10,6.353321491348439e-11
