,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-09-30,,,,,,,,,,,,,,
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,7.177063423835006e-13,7.177063423835006e-13,2.561737847616164e-12,5.073897941821471e-13,2.1659799960583691e-13,0.19999999999897378,0.19999999999987148,0.19999999999812867,3.757732921157905e-13,0.1999999999993011,7.720427954015201e-13,3.237703187253174e-13,7.177063423835006e-13,0.1999999999968144
2009-10-31,2.2036798365429525e-12,2.2036798365429525e-12,0.19999999999954007,5.825094296887131e-12,2.3730004231833033e-12,3.2636741201720282e-12,0.19999999999759363,3.3883890187791463e-12,2.531408412411908e-11,2.569351335082049e-12,0.19999999999160428,0.19999999996477086,2.2036798365428317e-12,0.1999999999971465
2009-11-30,2.3561319677132088e-12,2.3561319677132088e-12,6.763474363951486e-12,3.323126947648492e-11,7.282288743784443e-09,0.19999999998804605,0.19999999999813145,0.19999999999877835,1.6356654768795406e-11,2.8112161879565912e-12,0.19999999266763266,0.1999999999943016,2.3561319677134774e-12,4.590296035170717e-12
2009-12-31,2.744942746951324e-11,2.744942746951324e-11,0.19999999999531085,1.301725769725974e-09,5.6215161335348125e-11,4.772355584529657e-11,0.1999999999739977,5.184160283003113e-10,0.19999999946696928,0.19999999964964643,1.8599417406579486e-10,5.915697646896416e-10,2.7449427469510276e-11,0.19999999813008298
2010-01-31,1.735288719176318e-11,1.735288719176318e-11,0.19999999999608067,0.19999999936721677,3.47205769814795e-12,8.436377622887241e-11,0.19999999998931065,1.6723057899519742e-10,0.1999999999924853,2.9349495976373163e-10,1.9108532396960737e-11,0.1999999999772503,1.735288719176278e-11,5.7927818863835365e-11
2010-02-28,2.543426701408085e-12,2.543426701408085e-12,0.199999999998108,0.19999999999139453,1.0089200233243966e-12,4.53189952660086e-12,2.7599476426487102e-12,5.854027797923404e-12,0.19999999999111587,4.3338915647219175e-11,3.4335969850033477e-12,0.19999999998922427,2.543426701408447e-12,0.1999999999615998
