Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-09-30,,,,ALL,LGBM_longonly,isotonic
2008-10-31,,,,ALL,LGBM_longonly,isotonic
2008-11-30,,,,ALL,LGBM_longonly,isotonic
2008-12-31,,,,ALL,LGBM_longonly,isotonic
2009-01-31,,,,ALL,LGBM_longonly,isotonic
2009-02-28,,,,ALL,LGBM_longonly,isotonic
2009-03-31,,,,ALL,LGBM_longonly,isotonic
2009-04-30,,,,ALL,LGBM_longonly,isotonic
2009-05-31,,,,ALL,LGBM_longonly,isotonic
2009-06-30,,,,ALL,LGBM_longonly,isotonic
2009-07-31,,,,ALL,LGBM_longonly,isotonic
2009-08-31,,,,ALL,LGBM_longonly,isotonic
2009-09-30,-0.03164484523632545,-0.00025000000000000006,-0.03189484523632545,ALL,LGBM_longonly,isotonic
2009-10-31,0.049486024840702615,-0.0003999999999456625,0.049086024840756956,ALL,LGBM_longonly,isotonic
2009-11-30,0.02429511703462819,-0.00039999999996904225,0.023895117034659148,ALL,LGBM_longonly,isotonic
2009-12-31,-0.03646563393061659,-0.0003000000023516339,-0.03676563393296822,ALL,LGBM_longonly,isotonic
2010-01-31,-0.0012488276285395426,-0.0003999999999755547,-0.0016488276285150972,ALL,LGBM_longonly,isotonic
2010-02-28,0.017526971040123778,-0.00010000000001817463,0.017426971040105602,ALL,LGBM_longonly,isotonic
2010-03-31,0.005661795428586448,-0.0004999999999926001,0.005161795428593848,ALL,LGBM_longonly,isotonic
2010-04-30,-0.06087166268931007,-0.00029999999999415726,-0.061171662689304226,ALL,LGBM_longonly,isotonic
2010-05-31,-0.00881391979324889,-0.00039999999999604854,-0.00921391979324494,ALL,LGBM_longonly,isotonic
2010-06-30,0.06268348153492695,-0.00039999999993912266,0.062283481534987827,ALL,LGBM_longonly,isotonic
2010-07-31,-0.046289725844718195,-0.0004999999997438375,-0.04678972584446203,ALL,LGBM_longonly,isotonic
2010-08-31,0.10082533330557658,-0.000499999999850973,0.10032533330572561,ALL,LGBM_longonly,isotonic
2010-09-30,0.05011472991733105,-0.0004000000000146343,0.049714729917316416,ALL,LGBM_longonly,isotonic
2010-10-31,-0.0060386879076918965,-0.00039999999999676145,-0.006438687907688658,ALL,LGBM_longonly,isotonic
2010-11-30,0.06236543659506208,-0.00040000000000083843,0.06196543659506124,ALL,LGBM_longonly,isotonic
2010-12-31,0.05842078516985495,-0.0004999999999712516,0.0579207851698837,ALL,LGBM_longonly,isotonic
2011-01-31,0.032593773137272644,-0.000300000000007755,0.03229377313726489,ALL,LGBM_longonly,isotonic
2011-02-28,0.010827024450378513,-0.0004999999999887285,0.010327024450389785,ALL,LGBM_longonly,isotonic
2011-03-31,0.07571051607606381,-0.0003999999999971646,0.07531051607606665,ALL,LGBM_longonly,isotonic
2011-04-30,-0.03193465128574063,-0.00029999999999375784,-0.032234651285734384,ALL,LGBM_longonly,isotonic
2011-05-31,-0.03346471319600911,-0.00030000000000249917,-0.03376471319601161,ALL,LGBM_longonly,isotonic
2011-06-30,-0.01971463618101151,-0.0003999999999984058,-0.020114636181009914,ALL,LGBM_longonly,isotonic
2011-07-31,-0.037137609325966534,-0.0003000000000017024,-0.037437609325968235,ALL,LGBM_longonly,isotonic
2011-08-31,-0.10629456921709529,-0.0003999999999799662,-0.10669456921707526,ALL,LGBM_longonly,isotonic
2011-09-30,0.12429377196471121,-0.0003999999999698821,0.12389377196474133,ALL,LGBM_longonly,isotonic
2011-10-31,-0.006733594916175271,-0.000300000000000305,-0.007033594916175576,ALL,LGBM_longonly,isotonic
2011-11-30,-0.03577893084800816,-0.0004999999999999584,-0.036278930848008116,ALL,LGBM_longonly,isotonic
2011-12-31,0.05143560095159406,-0.0004999999999991047,0.05093560095159495,ALL,LGBM_longonly,isotonic
2012-01-31,0.03419566451674527,-0.0003999999999929617,0.03379566451675231,ALL,LGBM_longonly,isotonic
2012-02-29,0.024507088541118972,-0.00030000000000420055,0.024207088541114773,ALL,LGBM_longonly,isotonic
2012-03-31,-0.0024414869011356683,-0.00020000000000093971,-0.0026414869011366082,ALL,LGBM_longonly,isotonic
2012-04-30,-0.06338188812894448,-0.00020000000003770387,-0.06358188812898218,ALL,LGBM_longonly,isotonic
2012-05-31,0.0543860873970316,-0.00040000000007007537,0.05398608739696153,ALL,LGBM_longonly,isotonic
2012-06-30,-0.006838416737257073,-0.0004000000000683069,-0.00723841673732538,ALL,LGBM_longonly,isotonic
2012-07-31,-9.304636911531053e-05,-0.0004999999999935683,-0.0005930463691088788,ALL,LGBM_longonly,isotonic
2012-08-31,0.020543391525479335,-0.0003000000000047584,0.020243391525474577,ALL,LGBM_longonly,isotonic
2012-09-30,-0.01925535374250485,-0.0004999999999718826,-0.019755353742476733,ALL,LGBM_longonly,isotonic
2012-10-31,0.023729672759583938,-0.000499999999982861,0.023229672759601076,ALL,LGBM_longonly,isotonic
2012-11-30,0.031807560407541395,-0.0004999999999962236,0.03130756040754517,ALL,LGBM_longonly,isotonic
2012-12-31,0.05254861199322886,-0.00040000000003709166,0.05214861199319177,ALL,LGBM_longonly,isotonic
2013-01-31,-0.01592819030984938,-0.00020000000005556358,-0.016128190309904943,ALL,LGBM_longonly,isotonic
2013-02-28,-0.0017226972940268459,-0.0003999999999615975,-0.0021226972939884436,ALL,LGBM_longonly,isotonic
2013-03-31,0.06522773031417078,-0.00030000000001279177,0.064927730314158,ALL,LGBM_longonly,isotonic
2013-04-30,0.04190736995110405,-0.00020000000000494373,0.0417073699510991,ALL,LGBM_longonly,isotonic
2013-05-31,-0.024141390131559227,-0.0002999999999997729,-0.024441390131559,ALL,LGBM_longonly,isotonic
2013-06-30,0.08663819146666747,-0.00030000000000740047,0.08633819146666007,ALL,LGBM_longonly,isotonic
2013-07-31,-0.024883391628330337,-0.0003999999999861166,-0.025283391628316453,ALL,LGBM_longonly,isotonic
2013-08-31,0.05381094576902137,-0.0003999999999775442,0.05341094576904383,ALL,LGBM_longonly,isotonic
2013-09-30,0.03503545069752695,-0.00029999999994643524,0.034735450697580515,ALL,LGBM_longonly,isotonic
2013-10-31,0.035138815823710846,-0.00020000000012539095,0.034938815823585455,ALL,LGBM_longonly,isotonic
2013-11-30,0.016017774814531233,-0.0004000000000006808,0.015617774814530552,ALL,LGBM_longonly,isotonic
2013-12-31,0.009644628104363798,-0.00010000000000881892,0.009544628104354979,ALL,LGBM_longonly,isotonic
2014-01-31,0.07714534967451038,-0.0003999999999725082,0.07674534967453787,ALL,LGBM_longonly,isotonic
2014-02-28,-0.008812952399182191,-0.0003999999999975701,-0.009212952399179762,ALL,LGBM_longonly,isotonic
2014-03-31,0.014855579818412762,-0.00039999999999997096,0.01445557981841279,ALL,LGBM_longonly,isotonic
2014-04-30,-0.0006659884246273933,-0.0004999999999951121,-0.0011659884246225053,ALL,LGBM_longonly,isotonic
2014-05-31,0.01547040003143639,-0.0003000000000855737,0.015170400031350817,ALL,LGBM_longonly,isotonic
2014-06-30,-0.024186387576362472,-0.00039999999998123844,-0.02458638757634371,ALL,LGBM_longonly,isotonic
2014-07-31,0.05315907219681795,-0.0003000000000034247,0.05285907219681453,ALL,LGBM_longonly,isotonic
2014-08-31,-0.030315426878366997,-0.000499999999992925,-0.030815426878359923,ALL,LGBM_longonly,isotonic
2014-09-30,0.013932480394846413,-0.0004999999999983478,0.013432480394848066,ALL,LGBM_longonly,isotonic
2014-10-31,0.009242960818860488,-0.00019999999999733618,0.009042960818863152,ALL,LGBM_longonly,isotonic
2014-11-30,-0.0630477421466806,-0.0002999999999998067,-0.0633477421466804,ALL,LGBM_longonly,isotonic
2014-12-31,0.00884489362589325,-0.00039999999988501783,0.008444893626008232,ALL,LGBM_longonly,isotonic
2015-01-31,0.06328205778393288,-0.0004999999999838561,0.06278205778394902,ALL,LGBM_longonly,isotonic
2015-02-28,0.00785179569946812,-0.0004999999999385021,0.007351795699529619,ALL,LGBM_longonly,isotonic
2015-03-31,0.021633424665168974,-0.0003999999999677143,0.02123342466520126,ALL,LGBM_longonly,isotonic
2015-04-30,0.001328952167147823,-0.0004999999999965147,0.0008289521671513082,ALL,LGBM_longonly,isotonic
2015-05-31,-0.0262584606167726,-0.00039999999999544686,-0.026658460616768045,ALL,LGBM_longonly,isotonic
2015-06-30,0.00911227362646146,-0.00029999999999659997,0.00881227362646486,ALL,LGBM_longonly,isotonic
2015-07-31,-0.036605808670972954,-0.0004999999999777907,-0.03710580867095074,ALL,LGBM_longonly,isotonic
2015-08-31,-0.04075880750782095,-0.00039999999997383676,-0.04115880750779479,ALL,LGBM_longonly,isotonic
2015-09-30,0.06786479527957869,-0.0004000000000026466,0.06746479527957604,ALL,LGBM_longonly,isotonic
2015-10-31,-0.015801569558099155,-0.00019999999999792615,-0.016001569558097083,ALL,LGBM_longonly,isotonic
2015-11-30,-0.0031245911702787034,-0.0004999999999824269,-0.00362459117026113,ALL,LGBM_longonly,isotonic
2015-12-31,-0.08193256221793602,-0.0004999999999283415,-0.08243256221786435,ALL,LGBM_longonly,isotonic
2016-01-31,0.01799130376211474,-0.0004000000001085679,0.017591303762006173,ALL,LGBM_longonly,isotonic
2016-02-29,0.08513434797510862,-0.0004999999998933495,0.08463434797521527,ALL,LGBM_longonly,isotonic
