Date,Universe,Model,Calib,Ticker,Weight
2008-09-30,A,LGBM_longonly,isotonic,DIA,
2008-10-31,A,LGBM_longonly,isotonic,DIA,
2008-11-30,A,LGBM_longonly,isotonic,DIA,
2008-12-31,A,LGBM_longonly,isotonic,DIA,
2009-01-31,A,LGBM_longonly,isotonic,DIA,
2009-02-28,A,LGBM_longonly,isotonic,DIA,
2009-03-31,A,LGBM_longonly,isotonic,DIA,
2009-04-30,A,LGBM_longonly,isotonic,DIA,
2009-05-31,A,LGBM_longonly,isotonic,DIA,
2009-06-30,A,LGBM_longonly,isotonic,DIA,
2009-07-31,A,LGBM_longonly,isotonic,DIA,
2009-08-31,A,LGBM_longonly,isotonic,DIA,
2009-09-30,A,LGBM_longonly,isotonic,DIA,2.012883477855894e-11
2009-10-31,A,LGBM_longonly,isotonic,DIA,6.176955277465789e-12
2009-11-30,A,LGBM_longonly,isotonic,DIA,0.19999999999766413
2009-12-31,A,LGBM_longonly,isotonic,DIA,8.162799796783006e-12
2010-01-31,A,LGBM_longonly,isotonic,DIA,2.147307689361935e-10
2010-02-28,A,LGBM_longonly,isotonic,DIA,2.196813288968921e-12
2010-03-31,A,LGBM_longonly,isotonic,DIA,7.043295923640035e-13
2010-04-30,A,LGBM_longonly,isotonic,DIA,1.5444931411786378e-12
2010-05-31,A,LGBM_longonly,isotonic,DIA,0.19999999994703319
2010-06-30,A,LGBM_longonly,isotonic,DIA,0.1999999998318953
2010-07-31,A,LGBM_longonly,isotonic,DIA,0.1999999999953865
2010-08-31,A,LGBM_longonly,isotonic,DIA,8.15020309550633e-13
2010-09-30,A,LGBM_longonly,isotonic,DIA,0.199999999988764
2010-10-31,A,LGBM_longonly,isotonic,DIA,2.4019924872335852e-11
2010-11-30,A,LGBM_longonly,isotonic,DIA,0.19999999999684198
2010-12-31,A,LGBM_longonly,isotonic,DIA,0.19999999998201048
2011-01-31,A,LGBM_longonly,isotonic,DIA,0.199999999985768
2011-02-28,A,LGBM_longonly,isotonic,DIA,2.7280236349943168e-11
2011-03-31,A,LGBM_longonly,isotonic,DIA,0.19999999999919507
2011-04-30,A,LGBM_longonly,isotonic,DIA,0.19999999999328424
2011-05-31,A,LGBM_longonly,isotonic,DIA,1.398439811985837e-11
2011-06-30,A,LGBM_longonly,isotonic,DIA,0.19999999998529658
2011-07-31,A,LGBM_longonly,isotonic,DIA,5.1122395865771826e-11
2011-08-31,A,LGBM_longonly,isotonic,DIA,4.09392950205828e-12
2011-09-30,A,LGBM_longonly,isotonic,DIA,3.1037370766677363e-13
2011-10-31,A,LGBM_longonly,isotonic,DIA,2.2022607588173337e-12
