,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2008-09-30,,,,,,,,,,,,,
2008-10-31,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,
2009-09-30,2.012883477855894e-11,0.19999999999170567,0.19999999983179614,1.621132760696874e-12,0.19999999998110163,0.19999999998360005,1.621132760696874e-12,0.19999999999247073,1.5397907244636507e-10,1.621132760696874e-12,1.2392066245433035e-11,1.4301115636178971e-11,1.3661305481122903e-11
2009-10-31,6.176955277465789e-12,0.19999999998328172,4.591456871278683e-12,1.3401885456355238e-12,0.1999999999987234,0.19999999999880896,1.3401885456355238e-12,2.2567815175768757e-11,1.6278177536687023e-11,1.3401885456355238e-12,0.1999999999900295,6.076960477782318e-11,0.19999999991475187
2009-11-30,0.19999999999766413,4.124397288961249e-13,1.6004046716712628e-12,1.524190267153045e-12,5.573453748453719e-13,0.19999999999914994,1.524190267153045e-12,0.19999999999873108,0.19999999999482487,1.524190267153045e-12,1.8766448021094934e-12,1.494450793131023e-12,0.19999999999911613
2009-12-31,8.162799796783006e-12,0.19999999999598053,0.19999999999211376,9.29657319861366e-12,0.19999999985413588,1.058119359582009e-10,9.29657319861366e-12,1.9208812855821415e-11,1.043007731685123e-11,9.29657319861366e-12,0.19999999998275508,1.9324903574183255e-11,0.19999999998418655
2010-01-31,2.147307689361935e-10,0.1999999999685661,0.19999999968108975,1.0744267837772816e-12,5.4003682495151766e-12,5.542575150418271e-12,1.0744267837772816e-12,0.1999999999897664,2.1623198004386866e-10,1.0744267837772816e-12,0.19999999999517884,0.19999999991033596,9.93394092458856e-12
2010-02-28,2.196813288968921e-12,0.1999999999998224,0.19999999999935436,0.06666666666516824,2.0168667436673038e-12,7.677663757214592e-13,0.06666666666516824,0.1999999999976617,1.4659530938459808e-12,0.06666666666516824,0.199999999999468,8.408193624934247e-13,9.007245792037505e-13
