,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2008-09-30,,,,,,,,,,,,,,
2008-10-31,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,
2009-09-30,1.8110835306729835e-13,1.8110835306729835e-13,4.065171438711977e-12,0.19999999997257478,2.934152625466933e-11,5.418462110900042e-11,0.19999999999573323,3.677261292544012e-11,3.014791098042178e-11,0.19999999979304006,0.19999999997756437,3.8564873060202705e-10,1.8110835306726294e-13,0.1999999997203838
2009-10-31,1.197806532092322e-11,1.197806532092322e-11,0.19999999998772194,1.1006258389067003e-11,8.7320177981885e-12,0.19999999994504494,0.1999999999851415,5.023594720979045e-12,2.205678121696985e-11,0.19999999996736492,2.6096419010509252e-11,2.908412912882801e-11,1.1978065320923084e-11,0.19999999997679307
2009-11-30,3.3218575446526897e-13,3.3218575446526897e-13,0.1999999999975916,3.3434640776045707e-12,4.527853808936872e-12,5.6031718232716765e-12,0.19999999999484194,9.582095092404582e-13,0.1999999999895398,1.751773398723698e-11,5.2525265522697675e-12,0.1999999999947446,3.3218575446525614e-13,0.19999999998508244
2009-12-31,3.392423770724889e-12,3.392423770724889e-12,0.19999999995180476,0.19999999997406992,2.6264188941464518e-11,0.19999999994764087,4.734473938146942e-12,0.1999999999960545,2.800319465976153e-11,1.2271628808901176e-11,5.447027335654905e-11,0.1999999999699018,3.3924237707257097e-12,2.4607181406194582e-11
2010-01-31,0.1999999999951606,0.1999999999951606,0.19999999999661783,2.5278159537053847e-12,2.17786409777264e-12,0.19999999999840262,1.4610372529570465e-12,9.164499654884886e-13,3.5956714734111127e-12,2.861536731346693e-12,1.819793258723244e-12,1.825827582912313e-12,0.1999999999951606,2.3116769252248965e-12
2010-02-28,6.081033540188165e-12,6.081033540188165e-12,0.19999999991645645,0.19999999997507031,2.390538379333588e-11,0.19999999997833726,5.294195256175478e-12,1.4896624913340065e-12,0.19999999990292383,4.026216508304856e-12,1.6455113429854188e-10,0.1999999998976029,6.0810335401875914e-12,1.1209962151675976e-10
