Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-09-30,,,,C,LGBM_longonly,isotonic
2008-10-31,,,,C,LGBM_longonly,isotonic
2008-11-30,,,,C,LGBM_longonly,isotonic
2008-12-31,,,,C,LGBM_longonly,isotonic
2009-01-31,,,,C,LGBM_longonly,isotonic
2009-02-28,,,,C,LGBM_longonly,isotonic
2009-03-31,,,,C,LGBM_longonly,isotonic
2009-04-30,,,,C,LGBM_longonly,isotonic
2009-05-31,,,,C,LGBM_longonly,isotonic
2009-06-30,,,,C,LGBM_longonly,isotonic
2009-07-31,,,,C,LGBM_longonly,isotonic
2009-08-31,,,,C,LGBM_longonly,isotonic
2009-09-30,-0.016273162463931398,-0.00025,-0.016523162463931398,C,LGBM_longonly,isotonic
2009-10-31,0.011439525130540537,-9.999999999563601e-05,0.011339525130544901,C,LGBM_longonly,isotonic
2009-11-30,0.010152257097139936,-9.999999999666359e-05,0.010052257097143273,C,LGBM_longonly,isotonic
2009-12-31,-0.05525888214772505,-5.6008808702046055e-15,-0.05525888214773065,C,LGBM_longonly,isotonic
2010-01-31,-0.015089920766876276,-9.999999999139212e-05,-0.015189920766867667,C,LGBM_longonly,isotonic
2010-02-28,-0.002452395827550371,-9.999999999575465e-05,-0.0025523958275461256,C,LGBM_longonly,isotonic
2010-03-31,0.017978322292484562,-4.9999999979435716e-05,0.017928322292505128,C,LGBM_longonly,isotonic
2010-04-30,-0.05512634921624518,-1.861892584553715e-14,-0.0551263492162638,C,LGBM_longonly,isotonic
2010-05-31,-0.0005988241558912667,-5.714285714383111e-05,-0.0006559670130350978,C,LGBM_longonly,isotonic
2010-06-30,0.03785342673078828,-0.00019999999990463248,0.03765342673088365,C,LGBM_longonly,isotonic
2010-07-31,-0.03500144772284236,-0.000199999999965816,-0.03520144772280818,C,LGBM_longonly,isotonic
2010-08-31,0.06240475261452207,-1.8336964238696574e-13,0.062404752614338706,C,LGBM_longonly,isotonic
2010-09-30,0.0010275402600833693,-0.00010000000011881836,0.0009275402599645509,C,LGBM_longonly,isotonic
2010-10-31,-0.042988118649173436,-9.999999970415282e-05,-0.04308811864887759,C,LGBM_longonly,isotonic
2010-11-30,0.039469226621707286,-0.00019999999983426691,0.039269226621873016,C,LGBM_longonly,isotonic
2010-12-31,0.007473464211637111,-9.999999994848761e-05,0.007373464211688623,C,LGBM_longonly,isotonic
2011-01-31,0.01764858512373165,-4.596672022531243e-14,0.017648585123685685,C,LGBM_longonly,isotonic
2011-02-28,0.046304442565778745,-9.99999999905217e-05,0.04620444256578822,C,LGBM_longonly,isotonic
2011-03-31,0.04052182519642946,-9.99999999998115e-05,0.04042182519642965,C,LGBM_longonly,isotonic
2011-04-30,-0.05084270392314289,-1.5551002499614165e-13,-0.0508427039232984,C,LGBM_longonly,isotonic
2011-05-31,-0.01902192871850313,-0.00023333333312352007,-0.01925526205162665,C,LGBM_longonly,isotonic
2011-06-30,-0.005009460064457162,-9.999999998809044e-05,-0.005109460064445253,C,LGBM_longonly,isotonic
2011-07-31,-0.049938819754061885,-0.0001999999999978902,-0.050138819754059774,C,LGBM_longonly,isotonic
2011-08-31,-0.13528014635422145,-9.999999999919115e-05,-0.13538014635422063,C,LGBM_longonly,isotonic
