Date,Universe,Strategy,Ret
2009-10-31,A,EqualWeight_1N,0.04255614938802869
2009-11-30,A,EqualWeight_1N,0.03464961374084849
2009-12-31,A,EqualWeight_1N,-0.0316729829958219
2010-01-31,A,EqualWeight_1N,0.03100613879830557
2010-02-28,A,EqualWeight_1N,0.054610945355494656
2010-03-31,A,EqualWeight_1N,0.023909013932528013
2010-04-30,A,EqualWeight_1N,-0.057005862009167456
2010-05-31,A,EqualWeight_1N,-0.044159612307518234
2010-06-30,A,EqualWeight_1N,0.055918474980582285
2010-07-31,A,EqualWeight_1N,-0.0365035893142922
2010-08-31,A,EqualWeight_1N,0.0752540155393158
2010-09-30,A,EqualWeight_1N,0.0331727389051518
2010-10-31,A,EqualWeight_1N,0.003786038122844581
2010-11-30,A,EqualWeight_1N,0.04832591836694837
2010-12-31,A,EqualWeight_1N,0.016521358657330204
2011-01-31,A,EqualWeight_1N,0.028670369209076074
2011-02-28,A,EqualWeight_1N,0.004410636864082717
2011-03-31,A,EqualWeight_1N,0.025674671434024625
2011-04-30,A,EqualWeight_1N,-0.006399464822018431
2011-05-31,A,EqualWeight_1N,-0.015441806551030909
2011-06-30,A,EqualWeight_1N,-0.01224792661880643
2011-07-31,A,EqualWeight_1N,-0.04530674410954263
2011-08-31,A,EqualWeight_1N,-0.060623208596465
2011-09-30,A,EqualWeight_1N,0.09245581033657638
2011-10-31,A,EqualWeight_1N,-0.007471673959318146
2011-11-30,A,EqualWeight_1N,0.009843744470326475
2011-12-31,A,EqualWeight_1N,0.046804696164943684
2012-01-31,A,EqualWeight_1N,0.030152740391033453
2012-02-29,A,EqualWeight_1N,0.027606716333810632
2012-03-31,A,EqualWeight_1N,-0.0018494645155452065
2012-04-30,A,EqualWeight_1N,-0.049863356591422034
2012-05-31,A,EqualWeight_1N,0.03265921741134895
2012-06-30,A,EqualWeight_1N,0.007161181790924963
2012-07-31,A,EqualWeight_1N,0.02167792186281084
2012-08-31,A,EqualWeight_1N,0.014665340642895198
2012-09-30,A,EqualWeight_1N,-0.01822924063122446
2012-10-31,A,EqualWeight_1N,0.00760587017510668
2012-11-30,A,EqualWeight_1N,0.010729510674824494
2012-12-31,A,EqualWeight_1N,0.04391436106847276
2013-01-31,A,EqualWeight_1N,0.010242770669235146
2013-02-28,A,EqualWeight_1N,0.033060984569022435
2013-03-31,A,EqualWeight_1N,0.0182030387589712
2013-04-30,A,EqualWeight_1N,0.014012213042403921
2013-05-31,A,EqualWeight_1N,-0.013089046567910597
2013-06-30,A,EqualWeight_1N,0.048724684990219244
2013-07-31,A,EqualWeight_1N,-0.028644760454951047
2013-08-31,A,EqualWeight_1N,0.038986509882874
2013-09-30,A,EqualWeight_1N,0.043638950725187496
2013-10-31,A,EqualWeight_1N,0.023921272392211406
2013-11-30,A,EqualWeight_1N,0.02353483278530958
2013-12-31,A,EqualWeight_1N,-0.025523533517200513
2014-01-31,A,EqualWeight_1N,0.049351214716873135
2014-02-28,A,EqualWeight_1N,-0.002414879820104038
2014-03-31,A,EqualWeight_1N,0.0003558963316162312
2014-04-30,A,EqualWeight_1N,0.023253385205772956
2014-05-31,A,EqualWeight_1N,0.024033768181737115
2014-06-30,A,EqualWeight_1N,-0.0158087872765132
2014-07-31,A,EqualWeight_1N,0.042231741367267574
2014-08-31,A,EqualWeight_1N,-0.021456691630622454
2014-09-30,A,EqualWeight_1N,0.03652318177603166
2014-10-31,A,EqualWeight_1N,0.0272660996948614
2014-11-30,A,EqualWeight_1N,0.0005842967527997298
2014-12-31,A,EqualWeight_1N,-0.015232153736909278
2015-01-31,A,EqualWeight_1N,0.050594846635802423
2015-02-28,A,EqualWeight_1N,-0.009087162125566196
2015-03-31,A,EqualWeight_1N,-0.0019561727969574874
2015-04-30,A,EqualWeight_1N,0.015330522390528038
2015-05-31,A,EqualWeight_1N,-0.01816734856419949
2015-06-30,A,EqualWeight_1N,0.024067895784314692
2015-07-31,A,EqualWeight_1N,-0.059020926020691436
2015-08-31,A,EqualWeight_1N,-0.019654621464793576
2015-09-30,A,EqualWeight_1N,0.07799944798667177
2015-10-31,A,EqualWeight_1N,0.006265345826364022
2015-11-30,A,EqualWeight_1N,-0.01646365201905629
2015-12-31,A,EqualWeight_1N,-0.05130530396863241
2016-01-31,A,EqualWeight_1N,0.0008986814513680326
2016-02-29,A,EqualWeight_1N,0.07272887336651976
2016-03-31,A,EqualWeight_1N,-0.0026450753332769245
2016-04-30,A,EqualWeight_1N,0.020343546223420685
2016-05-31,A,EqualWeight_1N,0.010250947354514468
2016-06-30,A,EqualWeight_1N,0.04075097152728162
2016-07-31,A,EqualWeight_1N,-0.0018262652366734142
2016-08-31,A,EqualWeight_1N,0.0014663164306215701
2016-09-30,A,EqualWeight_1N,-0.024401284612994265
2016-10-31,A,EqualWeight_1N,0.03615297638286773
2016-11-30,A,EqualWeight_1N,0.021963472070901366
2016-12-31,A,EqualWeight_1N,0.01875238749086504
2017-01-31,A,EqualWeight_1N,0.03784172080153565
2017-02-28,A,EqualWeight_1N,0.0021689547967259637
2017-03-31,A,EqualWeight_1N,0.012882619737144097
2017-04-30,A,EqualWeight_1N,0.013134420371252273
2017-05-31,A,EqualWeight_1N,0.006798015670258498
2017-06-30,A,EqualWeight_1N,0.021202808751322334
2017-07-31,A,EqualWeight_1N,0.0019101082019648173
2017-08-31,A,EqualWeight_1N,0.022591615056570397
2017-09-30,A,EqualWeight_1N,0.025276989572478856
2017-10-31,A,EqualWeight_1N,0.031239648949875975
2017-11-30,A,EqualWeight_1N,0.007139822465761555
2017-12-31,A,EqualWeight_1N,0.04669651738716088
2018-01-31,A,EqualWeight_1N,-0.03625242310318013
2018-02-28,A,EqualWeight_1N,-0.013126819850316641
2018-03-31,A,EqualWeight_1N,0.002623320056490378
2018-04-30,A,EqualWeight_1N,0.032822477926128996
2018-05-31,A,EqualWeight_1N,0.009117554303708829
2018-06-30,A,EqualWeight_1N,0.029369411639708333
2018-07-31,A,EqualWeight_1N,0.03761733883437152
2018-08-31,A,EqualWeight_1N,-0.0005555036246622021
2018-09-30,A,EqualWeight_1N,-0.07348363250129525
2018-10-31,A,EqualWeight_1N,0.01961738164460236
2018-11-30,A,EqualWeight_1N,-0.08955419461517354
2018-12-31,A,EqualWeight_1N,0.08712285851421661
2019-01-31,A,EqualWeight_1N,0.034466953021134096
2019-02-28,A,EqualWeight_1N,0.016036076797617
2019-03-31,A,EqualWeight_1N,0.03453605841100676
2019-04-30,A,EqualWeight_1N,-0.05810079213466319
2019-05-31,A,EqualWeight_1N,0.06615522259337936
2019-06-30,A,EqualWeight_1N,0.01522971584214939
2019-07-31,A,EqualWeight_1N,-0.014990763481873663
2019-08-31,A,EqualWeight_1N,0.017433776134111678
2019-09-30,A,EqualWeight_1N,0.01804634577103834
2019-10-31,A,EqualWeight_1N,0.031520373074015985
2019-11-30,A,EqualWeight_1N,0.02622776392726444
2019-12-31,A,EqualWeight_1N,0.002004760338950789
2020-01-31,A,EqualWeight_1N,-0.08077814650689544
2020-02-29,A,EqualWeight_1N,-0.141191505687494
2020-03-31,A,EqualWeight_1N,0.1261364242495749
2020-04-30,A,EqualWeight_1N,0.0513808532275818
2020-05-31,A,EqualWeight_1N,0.024504653456748477
2020-06-30,A,EqualWeight_1N,0.05220884561694475
2020-07-31,A,EqualWeight_1N,0.06255436884578176
2020-08-31,A,EqualWeight_1N,-0.03506230115621647
2020-09-30,A,EqualWeight_1N,-0.01994352239960127
2020-10-31,A,EqualWeight_1N,0.11972804641561989
2020-11-30,A,EqualWeight_1N,0.043595646553103704
2020-12-31,A,EqualWeight_1N,-0.0005731704900243055
2021-01-31,A,EqualWeight_1N,0.030265128152281016
2021-02-28,A,EqualWeight_1N,0.03922686384423073
2021-03-31,A,EqualWeight_1N,0.04970559326730727
2021-04-30,A,EqualWeight_1N,0.005728420725453944
2021-05-31,A,EqualWeight_1N,0.02118661832915702
2021-06-30,A,EqualWeight_1N,0.01817021671395
2021-07-31,A,EqualWeight_1N,0.027438126599269207
2021-08-31,A,EqualWeight_1N,-0.046014157501630126
2021-09-30,A,EqualWeight_1N,0.0657269796615865
2021-10-31,A,EqualWeight_1N,-0.016093246528300763
2021-11-30,A,EqualWeight_1N,0.04308918752565752
2021-12-31,A,EqualWeight_1N,-0.06603656297020474
2022-01-31,A,EqualWeight_1N,-0.024182254728317393
2022-02-28,A,EqualWeight_1N,0.03569992935051338
2022-03-31,A,EqualWeight_1N,-0.08463433177454514
2022-04-30,A,EqualWeight_1N,-0.0038078289124046268
2022-05-31,A,EqualWeight_1N,-0.07931159338499712
2022-06-30,A,EqualWeight_1N,0.08985533894770646
2022-07-31,A,EqualWeight_1N,-0.040409538110755816
2022-08-31,A,EqualWeight_1N,-0.09299567694551249
2022-09-30,A,EqualWeight_1N,0.08501616307946082
2022-10-31,A,EqualWeight_1N,0.055219741212690895
2022-11-30,A,EqualWeight_1N,-0.057245002575693885
2022-12-31,A,EqualWeight_1N,0.06810033659944238
2023-01-31,A,EqualWeight_1N,-0.027091275774560393
2023-02-28,A,EqualWeight_1N,0.020693025361000372
2023-03-31,A,EqualWeight_1N,0.007876395726404186
2023-04-30,A,EqualWeight_1N,-0.005991529268227421
2023-05-31,A,EqualWeight_1N,0.0656531017574303
2023-06-30,A,EqualWeight_1N,0.033577937512277896
2023-07-31,A,EqualWeight_1N,-0.019261142484669654
2023-08-31,A,EqualWeight_1N,-0.04941796760354016
2023-09-30,A,EqualWeight_1N,-0.027134968990263884
2023-10-31,A,EqualWeight_1N,0.09266778537377961
2023-11-30,A,EqualWeight_1N,0.06161664484823204
2023-12-31,A,EqualWeight_1N,0.005341891320545019
2024-01-31,A,EqualWeight_1N,0.04870746554990053
2024-02-29,A,EqualWeight_1N,0.030071657375686425
2024-03-31,A,EqualWeight_1N,-0.048870565406005026
2024-04-30,A,EqualWeight_1N,0.04665300051403692
2024-05-31,A,EqualWeight_1N,0.02402486470957263
2024-06-30,A,EqualWeight_1N,0.02890019199056815
2024-07-31,A,EqualWeight_1N,0.022335268679066596
2024-08-31,A,EqualWeight_1N,0.019388349817285103
2024-09-30,A,EqualWeight_1N,-0.012723650003830893
2024-10-31,A,EqualWeight_1N,0.06588022275275858
2024-11-30,A,EqualWeight_1N,-0.04293032548460922
2024-12-31,A,EqualWeight_1N,0.03180817322340575
2025-01-31,A,EqualWeight_1N,-0.012739496810017261
2025-02-28,A,EqualWeight_1N,-0.05191912549521874
2025-03-31,A,EqualWeight_1N,-0.010150624141095202
2025-04-30,A,EqualWeight_1N,0.05646285755324877
2025-05-31,A,EqualWeight_1N,0.040465120469900036
2025-06-30,A,EqualWeight_1N,0.012460371289141597
2025-07-31,A,EqualWeight_1N,0.026346986132963494
2025-08-31,A,EqualWeight_1N,0.008206181432160146
2025-09-30,A,EqualWeight_1N,0.0
2009-10-31,A,EqualWeight_LongShort,0.0031269043169171147
2009-11-30,A,EqualWeight_LongShort,0.0009157099331391855
