Date,Universe,Strategy,Ticker,Weight
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,SPY,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,USMV,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VNQ,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VTV,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels,VUG,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,DIA,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,IJR,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MDY,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,MTUM,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,ONEQ,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QQQ,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,QUAL,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels,RSP,
