Ticker,Months_in_sample,Freq_long,Freq_short,Avg_long_weight,Avg_short_weight,Annualized_contrib,Universe,Side
QQQ,204,0.9166666666666666,0.024509803921568627,0.19037433181566205,0.040000000261532276,0.025111482353825373,A,Long
MDY,204,0.9117647058823529,0.029411764705882353,0.09139784946122441,0.03333333344081404,0.01205590828360982,A,Long
DIA,204,0.9068627450980392,0.03431372549019608,0.015135134480280796,0.05714285788362659,0.001996412325125636,A,Long
RSP,204,0.9068627450980392,0.03431372549019608,0.014054053375315092,0.1142857148455435,0.0018538114354390625,A,Long
ONEQ,204,0.9019607843137255,0.0392156862745098,0.18913043500683094,0.07500000021922336,0.024947405125204096,A,Long
QUAL,204,0.7205882352941176,0.22058823529411764,0.09387755101946277,0.004444444445157882,-0.0005862480891867667,A,Short
MTUM,204,0.7303921568627451,0.2107843137254902,0.059060402532485096,0.004651162778682637,-0.0006135154404888607,A,Short
USMV,204,0.7598039215686274,0.18137254901960784,0.07483870984645954,1.080464939618845e-12,-1.4251961389121198e-13,A,Short
VTV,204,0.8921568627450981,0.049019607843137254,0.0054945057610567855,0.14000003726470817,-0.018466819721850682,A,Short
SPY,204,0.8921568627450981,0.049019607843137254,0.002197802269339868,0.1199999620364484,-0.015828693397888418,A,Short
VNQ,204,0.9411764705882353,0.0,0.04479166666263936,0.0,0.0047815472982244075,ALL,Long
GLD,204,0.9411764705882353,0.0,0.03749999997928482,0.0,0.004003155875731794,ALL,Long
EWD,204,0.9362745098039216,0.004901960784313725,0.06806282723605622,1.7121656420487046e-12,0.0072657628511852805,ALL,Long
QQQ,204,0.9313725490196079,0.00980392156862745,0.16315789474071613,2.55711362253024e-13,0.017417239609710096,ALL,Long
RSP,204,0.9313725490196079,0.00980392156862745,0.004210526324028539,1.529720141546067e-11,0.00044947715208717965,ALL,Long
UNG,204,0.09803921568627451,0.8431372549019608,0.029999999999801342,0.10465116272991269,-0.011171597792422288,ALL,Short
USO,204,0.21568627450980393,0.7254901960784313,1.4409578253515058e-12,0.016216216233618932,-0.0017310944355629029,ALL,Short
DBC,204,0.47058823529411764,0.47058823529411764,0.0020833333343818427,0.008333333363661852,-0.0008895901983360736,ALL,Short
BITW,204,0.5098039215686274,0.43137254901960786,0.021153846154789713,6.232910374994944e-25,-6.653683147827705e-26,ALL,Short
EUMV,204,0.5588235294117647,0.38235294117647056,0.0017543859650279569,4.94245723881422e-14,-5.276113799211159e-15,ALL,Short
EWL,204,0.9362745098039216,0.004901960784313725,0.18952879582920154,3.1230996593469734e-12,0.00959278572805812,B,Long
EWD,204,0.9313725490196079,0.00980392156862745,0.17789473686385623,0.1000000000215374,0.009003940986477402,B,Long
EWN,204,0.9215686274509803,0.0196078431372549,0.17765957413122732,5.7530080743981664e-11,0.008992038490629928,B,Long
EWU,204,0.9215686274509803,0.0196078431372549,0.16170212516931068,0.04999999967684343,0.008184370252205416,B,Long
EWG,204,0.9215686274509803,0.0196078431372549,0.1478723404174925,4.624405885646292e-11,0.007484391332332405,B,Long
EUMV,204,0.5343137254901961,0.4068627450980392,0.003669724777337432,1.391586486081832e-12,-7.043357672717077e-14,B,Short
DAX,204,0.5735294117647058,0.36764705882352944,0.054700854927123156,0.01866666666845403,-0.0009447922297197155,B,Short
EWI,204,0.5784313725490197,0.3627450980392157,1.222473968776579e-11,0.013513513522755871,-0.0006839712091762254,B,Short
IEUS,204,0.7843137254901961,0.1568627450980392,0.001250000036469243,8.71424760679268e-13,-4.4106179067659e-14,B,Short
EWP,204,0.9117647058823529,0.029411764705882353,0.008602150941276776,0.033333339257268536,-0.001687129281314087,B,Short
GLD,204,0.9215686274509803,0.0196078431372549,0.11914893610555187,0.050000000001464914,0.008020506156411051,C,Long
TAN,204,0.8627450980392157,0.0784313725490196,0.16477272728130193,0.1875000000068618,0.011091669944896318,C,Long
ICLN,204,0.803921568627451,0.13725490196078433,0.11951219511173597,0.10000000003829491,0.008044958922761313,C,Long
CRYPTO_EQ,204,0.7450980392156863,0.19607843137254902,0.10789473685859742,0.01500000000325168,0.007262930157027295,C,Long
CPER,204,0.6274509803921569,0.3137254901960784,0.0781250008744882,0.0468749992002847,0.0052589814979829615,C,Long
USO,204,0.058823529411764705,0.8823529411764706,0.15277777685136937,0.1375925926186669,-0.009262040201491602,C,Short
UNG,204,0.08823529411764706,0.8529411764705882,0.13333333342267903,0.17471264415184357,-0.011760775075501662,C,Short
DBC,204,0.47058823529411764,0.47058823529411764,0.09947916633323957,0.14427083231120905,-0.009711585655431471,C,Short
BITW,204,0.6029411764705882,0.3382352941176471,0.017886178864002747,3.314881305528689e-24,-2.231411105107291e-25,C,Short
CPER,204,0.6274509803921569,0.3137254901960784,0.0781250008744882,0.0468749992002847,-0.0031553888096372876,C,Short
