Date,Universe,Strategy,Ret_gross,Cost,Ret_net
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-05-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,,,
2009-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.05844989852127509,-0.00025,0.05819989852127509
2009-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.053455127660266104,-3.0859921416928785e-13,0.0534551276599575
2009-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.050344356084604795,-9.999999998105334e-05,-0.05044435608458585
2010-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.03836130736025777,-0.0002000000005761584,0.038161307359681616
2010-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,0.06724839570425815,-0.0002000000013092648,0.06704839570294889
2010-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.03533538713590195,-0.0001999999984190406,0.03513538713748291
2010-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.04023166292376263,-0.00029999999939581406,-0.04053166292315844
2010-05-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.03675240713303519,-0.00039999982074986033,0.036352407312285326
2010-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.07030284239282014,-0.0002999999979645387,-0.07060284239078468
2010-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.05479251761937763,-0.00019999999903830612,0.05459251762033933
2010-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.09745365060458766,-0.00010000000030493131,-0.09755365060489259
2010-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.04004308639896322,-0.00010000018822348396,-0.040143086587186703
2010-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.00457688835633804,-0.0004999999990570585,0.004076888357280982
2010-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.06129486295333684,-9.99999994614085e-05,0.06119486295387543
2010-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.019396972130525922,-0.00019999999997365956,0.019196972130552263
2011-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.04052517179674989,-6.200657027185574e-13,0.04052517179612982
2011-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,0.00019424666687080903,-0.0001999999991399257,-5.753332269116678e-06
2011-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.03104266544507328,-0.0002000000212530195,0.030842665423820262
2011-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.006068646224553765,-0.0001999999783991057,-0.006268646202952871
2011-05-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.021655396752088846,-2.205378018393618e-11,-0.021655396774142625
2011-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.016458367107708666,-0.00010000000007823479,-0.016558367107786902
2011-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.06231401228861794,-0.0004999999999880665,0.06181401228862987
2011-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.0441388360824401,-0.00039999999959793064,-0.04453883608203803
2011-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.12022672528111304,-0.0003999999991722679,-0.12062672528028531
2011-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.017239333360875013,-0.0004999999999881143,-0.017739333360863127
2011-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.0096213212170995,-3.4691407616446226e-13,0.009621321216752587
2011-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.07173557915387048,-2.9974065915507807e-13,0.07173557915357073
2012-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.03453258630410075,-3.5801599803047583e-13,0.03453258630374273
2012-02-29,A,ML_RF_longshort_costaware_5bps_netlabels,0.03866733394760867,-8.602042073484457e-14,0.03866733394752265
2012-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.0023905189678373527,-1.3139307252665578e-14,-0.002390518967850492
2012-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.06322035953971404,-2.153896312904409e-14,-0.06322035953973558
2012-05-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.03840821319456088,-3.599066579565654e-14,0.038408213194524886
2012-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.005078682325637858,-3.817931566145397e-14,0.0050786823255996785
2012-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.033425273159267486,-2.871645000439426e-13,0.03342527315898032
2012-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.009695052084895022,-1.1906927041311566e-13,0.009695052084775953
2012-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.027961910435836856,-1.1766097993956758e-13,-0.027961910435954515
2012-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.013087379329537838,-3.5582684159941726e-14,0.013087379329502255
2012-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.017508639337088166,-2.8710851773372104e-14,0.017508639337059456
2012-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.04720299192191388,-5.1761593471822783e-14,0.047202991921862114
2013-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.00912024025240187,-1.1518007342419051e-14,0.009120240252390352
2013-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,0.03651215211156637,-1.597751012079026e-14,0.03651215211155039
2013-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.022977798490442864,-1.7043658466730893e-14,0.02297779849042582
2013-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.0176330557540543,-4.02945789575769e-14,0.017633055754014006
2013-05-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.01707928320429723,-5.005262789995518e-14,-0.017079283204347283
2013-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.05509472362130059,-1.4718539442884354e-14,0.055094723621285875
2013-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.02937645862197161,-1.312939532842976e-14,-0.02937645862198474
2013-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.04916178990289036,-9.895112005287546e-14,0.04916178990279141
2013-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.04175067483493967,-1.0802606500560726e-13,0.04175067483483164
2013-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.016165033191996293,-2.4034770551872502e-15,0.01616503319199389
2013-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.020339655993893032,-1.021417708330165e-15,0.020339655993892012
2013-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.010413681163283214,-2.037062473373435e-15,-0.010413681163285251
2014-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.048818281078995225,-1.6511434074324816e-15,0.048818281078993574
2014-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,-0.007100490625476481,-2.3143323640065723e-15,-0.007100490625478795
2014-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.006835211570851116,-1.888870538362337e-15,-0.006835211570853005
