Date,Universe,Strategy,Ret_gross,Cost,Ret_net
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2008-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,,,
2009-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.05844989852111045,-0.00025000000000000006,0.058199898521110446
2009-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.05345512766108974,-2.993976815680428e-13,0.05345512766079034
2009-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.05034435608457058,-9.999999998320581e-05,-0.05044435608455378
2010-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.038361307360084085,-0.00020000000056092073,0.03816130735952317
2010-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.06724839571557072,-0.00020000000123045062,0.06704839571434026
2010-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.0353353871361287,-0.00019999999848605533,0.035135387137642644
2010-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.04023166294741583,-0.00029999999938989995,-0.04053166294680573
2010-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.036752407110807433,-0.0003999998041106099,0.036352407306696824
2010-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.07030284239049675,-0.00029999999800977927,-0.07060284238850653
2010-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.05479251761884603,-0.00019999999921591847,0.05459251761963011
2010-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.09745365060447107,-0.00010000000028264112,-0.09755365060475371
2010-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.03616783085438857,-0.0001999999899868769,-0.03636783084437545
2010-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.004576888272495538,-0.0004999999965962397,0.004076888275899298
2010-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.06129486296153834,-0.00010000000099371709,0.061194862960544626
2010-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.019396972130528198,-0.00019999999997055937,0.019196972130557637
2011-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.040525171796742115,-6.163438080076636e-13,0.04052517179612577
2011-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.00019424666663280386,-0.0001999999991456082,-5.753332512804343e-06
2011-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.03104266544436275,-0.00020000002151492795,0.03084266542284782
2011-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.006068646228620762,-0.00019999997814360333,-0.006268646206764365
2011-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.021655396754020825,-2.2324291411923714e-11,-0.021655396776345117
2011-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.01645836710708256,-0.00010000000006724485,-0.016558367107149804
2011-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.06231401228852347,-0.0004999999999886162,0.06181401228853486
2011-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.044138832082506255,-0.0003999999990086716,-0.04453883208151493
2011-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.12022672528121166,-0.00039999998354039486,-0.12062672526475206
2011-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.017239333362011368,-0.0004999999999878427,-0.01773933336199921
2011-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.009621321216918555,-3.3541391960512055e-13,0.00962132121658314
2011-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.07173557915512117,-2.939266544685334e-13,0.07173557915482724
2012-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.034532586304185944,-3.43503505089134e-13,0.03453258630384244
2012-02-29,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.03866733394760812,-7.904154994028205e-14,0.03866733394752908
2012-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.0023905189677467043,-1.381934833173376e-14,-0.0023905189677605235
2012-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.06322035953970705,-2.4987710191477827e-14,-0.06322035953973204
2012-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.03840821319453403,-3.537666292600467e-14,0.03840821319449866
2012-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.005078682325664199,-3.765443843297016e-14,0.005078682325626544
2012-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.03342527315910004,-2.9762871234885024e-13,0.03342527315880241
2012-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.009695052084869264,-1.2042666642915816e-13,0.009695052084748837
2012-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.027961910435827755,-1.229883095730751e-13,-0.027961910435950744
2012-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.013087379329545679,-4.264476125837172e-14,0.013087379329503034
2012-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.01750863933689168,-3.158975694324828e-14,0.01750863933686009
2012-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.04720299192189126,-5.375324962835125e-14,0.0472029919218375
2013-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.009120240252404392,-1.2486792040201356e-14,0.009120240252391906
2013-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.03651215211154646,-1.3190431159985136e-14,0.03651215211153327
2013-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.02297779849040521,-1.6691692491363454e-14,0.02297779849038852
2013-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.017633055753881483,-4.735042217077117e-14,0.017633055753834132
2013-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.017079283204304314,-5.446248480171777e-14,-0.017079283204358777
2013-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.05509472362131271,-1.4147631887876302e-14,0.05509472362129856
2013-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.029376458621961865,-1.3131546475479186e-14,-0.029376458621974997
2013-08-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.049161789902956304,-1.0328013217204556e-13,0.049161789902853026
2013-09-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.04175067483494034,-1.1188874517149943e-13,0.04175067483482845
2013-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.0161650331928665,-2.1681592486194116e-13,0.016165033192649683
2013-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.020339655994032094,-2.1129818454094148e-13,0.020339655993820795
2013-12-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.010413681163284191,-5.625848121215136e-15,-0.010413681163289817
2014-01-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.04881828107899576,-1.6541046637695836e-15,0.04881828107899411
2014-02-28,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.007100490625472634,-2.3687749001379958e-15,-0.007100490625475003
2014-03-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.006835211570847336,-1.8532151951967926e-15,-0.00683521157084919
2014-04-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.02420250420057352,-4.500978638629907e-16,0.024202504200573068
2014-05-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.03467719234455299,-7.843460803716035e-16,0.03467719234455221
2014-06-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,-0.018903253582571857,-2.707735232725214e-15,-0.018903253582574563
2014-07-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,0.04443622034733056,-1.7271275309008441e-13,0.04443622034715784
