Date,Universe,Strategy,Ticker,Weight
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,DIA,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,IJR,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,MDY,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,MTUM,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,ONEQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,QQQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,QUAL,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,RSP,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,SPY,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,USMV,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,VNQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,VTV,
2008-10-31,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,VUG,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,DIA,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,IJR,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,MDY,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,MTUM,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,ONEQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,QQQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,QUAL,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,RSP,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,SPY,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,USMV,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,VNQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,VTV,
2008-11-30,A,ML_RF_longshort_costaware_5bps_grosslabels_affine,VUG,
